"Occupation - National Occupational Classification (NOC) 2016 (691), Employment Income Statistics (3), Highest Certificate, Diploma or Degree (7), Visible Minority (15), Work Activity During the Reference Year (4), Age (4D) and Sex (3) for the Population Aged 15 Years and Over Who Worked in 2015 and Reported Employment Income in 2015, in Private Households of Canada, Provinces and Territories and Census Metropolitan Areas, 2016 Census - 25% Sample Data",,,,
Geography = Abbotsford - Mission,,,,
Global non-response rate (GNR) =   5.3 %,,,,
Visible minority (15) = Total - Visible minority [1],,,,
"Highest certificate, diploma or degree (7) = Total - Highest certificate, diploma or degree [2]",,,,
Work activity during the reference year (4) = Total - Work activity during the reference year [3],,,,
Age (4D) = Total - Age,,,,
Sex (3) = Total - Sex,,,,
Occupation - National Occupational Classification (NOC) 2016 (691),Total - Number of employment income recipients [4],Median employment income in 2015 ($) [5],Average employment income in 2015 ($) [6], 
Total - Occupation - National Occupational Classification (NOC) 2016 [7],92995,33377,41904,
  0 Management occupations,9190,54976,67607,
    00 Senior management occupations,655,82181,114700,
      001 Legislators and senior management,655,82181,114700,
        0011 Legislators,20,0,0,
        0012 Senior government managers and officials,50,79502,105230,
"        0013 Senior managers - financial, communications and other business services",105,65022,125248,
"        0014 Senior managers - health, education, social and community services and membership organizations",95,70291,90709,
"        0015 Senior managers - trade, broadcasting and other services, n.e.c.",155,82102,121496,
"        0016 Senior managers - construction, transportation, production and utilities",225,100898,121611,
    01-05 Specialized middle management occupations,2165,67876,71357,
      011 Administrative services managers,595,62918,67683,
        0111 Financial managers,245,57670,65180,
        0112 Human resources managers,175,64050,65174,
        0113 Purchasing managers,80,83733,76943,
        0114 Other administrative services managers,95,62386,71058,
      012 Managers in financial and business services,655,57861,62911,
"        0121 Insurance, real estate and financial brokerage managers",150,50814,63290,
"        0122 Banking, credit and other investment managers",245,63989,70443,
"        0124 Advertising, marketing and public relations managers",160,60249,61760,
        0125 Other business services managers,105,33641,46903,
      013 Managers in communication (except broadcasting),40,52321,60643,
        0131 Telecommunication carriers managers,20,0,0,
        0132 Postal and courier services managers,15,0,0,
"      021 Managers in engineering, architecture, science and information systems",190,95298,95115,
        0211 Engineering managers,35,106298,114011,
        0212 Architecture and science managers,10,0,0,
        0213 Computer and information systems managers,150,92881,91224,
      031 Managers in health care,120,74000,73390,
        0311 Managers in health care,115,74000,73390,
      041 Managers in public administration,45,78041,83309,
        0411 Government managers - health and social policy development and program administration,10,0,0,
"        0412 Government managers - economic analysis, policy development and program administration",15,0,0,
        0413 Government managers - education policy development and program administration,0,0,0,
        0414 Other managers in public administration,25,0,0,
      042 Managers in education and social and community services,400,87927,83688,
        0421 Administrators - post-secondary education and vocational training,55,70493,84931,
        0422 School principals and administrators of elementary and secondary education,165,103603,101145,
"        0423 Managers in social, community and correctional services",175,62985,66585,
      043 Managers in public protection services,30,0,0,
        0431 Commissioned police officers,0,0,0,
        0432 Fire chiefs and senior firefighting officers,15,0,0,
        0433 Commissioned officers of the Canadian Armed Forces,10,0,0,
"      051 Managers in art, culture, recreation and sport",85,34275,41192,
"        0511 Library, archive, museum and art gallery managers",20,0,0,
"        0512 Managers - publishing, motion pictures, broadcasting and performing arts",25,0,0,
"        0513 Recreation, sports and fitness program and service directors",40,43197,43215,
    06 Middle management occupations in retail and wholesale trade and customer services,3245,43908,58985,
      060 Corporate sales managers,245,87605,92937,
        0601 Corporate sales managers,245,87605,92937,
      062 Retail and wholesale trade managers,2165,48863,60577,
        0621 Retail and wholesale trade managers,2165,48863,60577,
      063 Managers in food service and accommodation,685,28113,47569,
        0631 Restaurant and food service managers,585,27485,47952,
        0632 Accommodation service managers,100,31205,45300,
"      065 Managers in customer and personal services, n.e.c.",145,26757,31418,
"        0651 Managers in customer and personal services, n.e.c.",145,26757,31418,
"    07-09 Middle management occupations in trades, transportation, production and utilities",3130,55502,64121,
      071 Managers in construction and facility operation and maintenance,1315,55581,66461,
        0711 Construction managers,590,71078,79865,
        0712 Home building and renovation managers,360,26547,43080,
        0714 Facility operation and maintenance managers,370,60029,68115,
      073 Managers in transportation,180,73708,81179,
        0731 Managers in transportation,175,73708,81179,
      081 Managers in natural resources production and fishing,45,89699,94933,
        0811 Managers in natural resources production and fishing,50,89699,94933,
"      082 Managers in agriculture, horticulture and aquaculture",1055,30503,40872,
        0821 Managers in agriculture,925,30514,40924,
        0822 Managers in horticulture,105,30002,38569,
        0823 Managers in aquaculture,20,0,0,
      091 Managers in manufacturing and utilities,530,82757,95867,
        0911 Manufacturing managers,465,82495,97006,
        0912 Utilities managers,70,86325,87886,
"  1 Business, finance and administration occupations",12715,37003,40824,
    11 Professional occupations in business and finance,1770,48684,56976,
"      111 Auditors, accountants and investment professionals",1135,52175,63594,
        1111 Financial auditors and accountants,640,50059,56789,
        1112 Financial and investment analysts,40,89278,111961,
"        1113 Securities agents, investment dealers and brokers",50,37172,34034,
        1114 Other financial officers,400,54970,73445,
      112 Human resources and business service professionals,640,39273,45309,
        1121 Human resources professionals,225,56291,55423,
        1122 Professional occupations in business management consulting,155,52036,48480,
"        1123 Professional occupations in advertising, marketing and public relations",260,26143,34606,
    12 Administrative and financial supervisors and administrative occupations,3890,38534,43081,
      121 Administrative services supervisors,410,46942,50270,
"        1211 Supervisors, general office and administrative support workers",60,51472,49349,
"        1212 Supervisors, finance and insurance office workers",80,50078,54781,
"        1213 Supervisors, library, correspondence and related information workers",15,0,0,
"        1214 Supervisors, mail and message distribution occupations",15,0,0,
"        1215 Supervisors, supply chain, tracking and scheduling co-ordination occupations",240,45205,49305,
      122 Administrative and regulatory occupations,1915,43433,49490,
        1221 Administrative officers,1195,42796,50542,
        1222 Executive assistants,155,52871,50911,
        1223 Human resources and recruitment officers,55,38364,42342,
        1224 Property administrators,160,21276,31350,
        1225 Purchasing agents and officers,125,58177,64361,
        1226 Conference and event planners,85,19197,28177,
        1227 Court officers and justices of the peace,10,0,0,
"        1228 Employment insurance, immigration, border services and revenue officers",120,76891,65577,
"      124 Office administrative assistants - general, legal and medical",1475,32223,33485,
        1241 Administrative assistants,1185,32543,33799,
        1242 Legal administrative assistants,170,34994,36376,
        1243 Medical administrative assistants,120,26417,26399,
"      125 Court reporters, transcriptionists, records management technicians and statistical officers",100,27410,32619,
"        1251 Court reporters, medical transcriptionists and related occupations",70,18924,26863,
        1252 Health information management occupations,10,0,0,
        1253 Records management technicians,10,0,0,
        1254 Statistical officers and related research support occupations,10,0,0,
"    13 Finance, insurance and related business administrative occupations",1290,35631,39238,
"      131 Finance, insurance and related business administrative occupations",1285,35631,39238,
        1311 Accounting technicians and bookkeepers,1060,29798,34811,
        1312 Insurance adjusters and claims examiners,130,62968,63264,
        1313 Insurance underwriters,15,0,0,
"        1314 Assessors, valuators and appraisers",75,51407,56141,
"        1315 Customs, ship and other brokers",0,0,0,
    14 Office support occupations,3870,30138,31340,
      141 General office workers,2615,28981,30051,
        1411 General office support workers,1475,33718,32903,
        1414 Receptionists,1075,24539,25918,
        1415 Personnel clerks,60,30908,31269,
        1416 Court clerks,10,0,0,
      142 Office equipment operators,195,21823,21132,
        1422 Data entry clerks,195,21763,21047,
        1423 Desktop publishing operators and related occupations,0,0,0,
"      143 Financial, insurance and related administrative support workers",900,39296,37027,
        1431 Accounting and related clerks,665,39377,37306,
        1432 Payroll administrators,150,41721,38235,
"        1434 Banking, insurance and other financial clerks",70,24536,30063,
        1435 Collectors,15,0,0,
"      145 Library, correspondence and other clerks",160,27326,33027,
        1451 Library assistants and clerks,35,16302,23001,
"        1452 Correspondence, publication and regulatory clerks",85,50341,49573,
        1454 Survey interviewers and statistical clerks,40,0,0,
"    15 Distribution, tracking and scheduling co-ordination occupations",1895,39038,41525,
      151 Mail and message distribution occupations,390,38421,39008,
"        1511 Mail, postal and related workers",100,30056,34035,
        1512 Letter carriers,165,56501,50808,
"        1513 Couriers, messengers and door-to-door distributors",125,25051,27473,
"      152 Supply chain logistics, tracking and scheduling co-ordination occupations",1500,39206,42181,
        1521 Shippers and receivers,670,35524,36040,
        1522 Storekeepers and partspersons,200,52282,52749,
        1523 Production logistics co-ordinators,95,52749,57341,
        1524 Purchasing and inventory control workers,140,31690,32820,
        1525 Dispatchers,355,40076,47136,
