"Occupation - National Occupational Classification (NOC) 2016 (691), Employment Income Statistics (3), Highest Certificate, Diploma or Degree (7), Visible Minority (15), Work Activity During the Reference Year (4), Age (4D) and Sex (3) for the Population Aged 15 Years and Over Who Worked in 2015 and Reported Employment Income in 2015, in Private Households of Canada, Provinces and Territories and Census Metropolitan Areas, 2016 Census - 25% Sample Data",,,,
Geography = Alberta [1],,,,
Global non-response rate (GNR) =   6.1 %,,,,
Visible minority (15) = Total - Visible minority [2],,,,
"Highest certificate, diploma or degree (7) = Total - Highest certificate, diploma or degree [3]",,,,
Work activity during the reference year (4) = Total - Work activity during the reference year [4],,,,
Age (4D) = Total - Age,,,,
Sex (3) = Total - Sex,,,,
Occupation - National Occupational Classification (NOC) 2016 (691),Total - Number of employment income recipients [5],Median employment income in 2015 ($) [6],Average employment income in 2015 ($) [7], 
Total - Occupation - National Occupational Classification (NOC) 2016 [8],2278765,45895,62490,
  0 Management occupations,254015,69407,103752,
    00 Senior management occupations,22535,123252,232368,
      001 Legislators and senior management,22535,123252,232368,
        0011 Legislators,1055,44998,63584,
        0012 Senior government managers and officials,2015,119577,133522,
"        0013 Senior managers - financial, communications and other business services",5345,137331,251665,
"        0014 Senior managers - health, education, social and community services and membership organizations",2510,98954,122971,
"        0015 Senior managers - trade, broadcasting and other services, n.e.c.",3945,99784,244235,
"        0016 Senior managers - construction, transportation, production and utilities",7670,164143,297829,
    01-05 Specialized middle management occupations,73370,92502,112010,
      011 Administrative services managers,22530,94591,119069,
        0111 Financial managers,8570,94362,119996,
        0112 Human resources managers,6780,97236,115795,
        0113 Purchasing managers,3245,106909,134743,
        0114 Other administrative services managers,3935,79174,109763,
      012 Managers in financial and business services,18415,79160,108270,
"        0121 Insurance, real estate and financial brokerage managers",3305,90324,144554,
"        0122 Banking, credit and other investment managers",6320,80819,100407,
"        0124 Advertising, marketing and public relations managers",5830,78654,99413,
        0125 Other business services managers,2970,64160,102036,
      013 Managers in communication (except broadcasting),1690,82800,110092,
        0131 Telecommunication carriers managers,1320,92253,126446,
        0132 Postal and courier services managers,370,45988,51917,
"      021 Managers in engineering, architecture, science and information systems",10430,121021,148408,
        0211 Engineering managers,3355,152798,188364,
        0212 Architecture and science managers,1070,103997,125135,
        0213 Computer and information systems managers,6010,112484,130238,
      031 Managers in health care,3800,97901,93802,
        0311 Managers in health care,3800,97901,93802,
      041 Managers in public administration,2300,112426,115282,
        0411 Government managers - health and social policy development and program administration,470,113603,110886,
"        0412 Government managers - economic analysis, policy development and program administration",775,116612,127586,
        0413 Government managers - education policy development and program administration,180,102719,102747,
        0414 Other managers in public administration,880,107238,109356,
      042 Managers in education and social and community services,9745,90407,88485,
        0421 Administrators - post-secondary education and vocational training,2010,79226,87420,
        0422 School principals and administrators of elementary and secondary education,4165,116721,110845,
"        0423 Managers in social, community and correctional services",3560,55502,62939,
      043 Managers in public protection services,1715,93975,94464,
        0431 Commissioned police officers,140,139361,132963,
        0432 Fire chiefs and senior firefighting officers,350,120271,114620,
        0433 Commissioned officers of the Canadian Armed Forces,1225,89365,84325,
"      051 Managers in art, culture, recreation and sport",2750,52880,59001,
"        0511 Library, archive, museum and art gallery managers",715,48716,51644,
"        0512 Managers - publishing, motion pictures, broadcasting and performing arts",470,59994,64996,
"        0513 Recreation, sports and fitness program and service directors",1565,53320,60552,
    06 Middle management occupations in retail and wholesale trade and customer services,78475,51176,72294,
      060 Corporate sales managers,7275,98122,113429,
        0601 Corporate sales managers,7270,98122,113429,
      062 Retail and wholesale trade managers,48970,54033,77674,
        0621 Retail and wholesale trade managers,48970,54033,77674,
      063 Managers in food service and accommodation,18580,38571,47485,
        0631 Restaurant and food service managers,15675,37646,45630,
        0632 Accommodation service managers,2900,44541,57505,
"      065 Managers in customer and personal services, n.e.c.",3655,34489,44435,
"        0651 Managers in customer and personal services, n.e.c.",3650,34489,44435,
"    07-09 Middle management occupations in trades, transportation, production and utilities",79640,59798,90751,
      071 Managers in construction and facility operation and maintenance,30115,75506,103585,
        0711 Construction managers,15620,89512,120367,
        0712 Home building and renovation managers,5610,39154,53940,
        0714 Facility operation and maintenance managers,8885,75074,105432,
      073 Managers in transportation,4920,89655,114522,
        0731 Managers in transportation,4920,89655,114522,
      081 Managers in natural resources production and fishing,5940,156040,192765,
        0811 Managers in natural resources production and fishing,5940,156040,192765,
"      082 Managers in agriculture, horticulture and aquaculture",29435,21362,33732,
        0821 Managers in agriculture,28905,21138,33530,
        0822 Managers in horticulture,500,30159,43654,
        0823 Managers in aquaculture,35,57056,59658,
      091 Managers in manufacturing and utilities,9220,103349,152435,
        0911 Manufacturing managers,6825,94406,135726,
        0912 Utilities managers,2395,139453,200040,
"  1 Business, finance and administration occupations",362005,48420,60861,
    11 Professional occupations in business and finance,71840,70957,101424,
"      111 Auditors, accountants and investment professionals",45350,72681,112139,
        1111 Financial auditors and accountants,28485,73906,99784,
        1112 Financial and investment analysts,4015,91726,185190,
"        1113 Securities agents, investment dealers and brokers",1340,75691,181251,
        1114 Other financial officers,11510,62778,109181,
      112 Human resources and business service professionals,26490,68612,83081,
        1121 Human resources professionals,8710,73724,86250,
        1122 Professional occupations in business management consulting,8645,77385,94044,
"        1123 Professional occupations in advertising, marketing and public relations",9130,55966,69680,
    12 Administrative and financial supervisors and administrative occupations,118960,51272,59154,
      121 Administrative services supervisors,11820,62903,70016,
"        1211 Supervisors, general office and administrative support workers",1915,67503,76369,
"        1212 Supervisors, finance and insurance office workers",2670,70380,77368,
"        1213 Supervisors, library, correspondence and related information workers",375,21466,36555,
