"Occupation - National Occupational Classification (NOC) 2016 (691), Employment Income Statistics (3), Highest Certificate, Diploma or Degree (7), Visible Minority (15), Work Activity During the Reference Year (4), Age (4D) and Sex (3) for the Population Aged 15 Years and Over Who Worked in 2015 and Reported Employment Income in 2015, in Private Households of Canada, Provinces and Territories and Census Metropolitan Areas, 2016 Census - 25% Sample Data",,,,
Geography = Barrie,,,,
Global non-response rate (GNR) =   4.1 %,,,,
Visible minority (15) = Total - Visible minority [1],,,,
"Highest certificate, diploma or degree (7) = Total - Highest certificate, diploma or degree [2]",,,,
Work activity during the reference year (4) = Total - Work activity during the reference year [3],,,,
Age (4D) = Total - Age,,,,
Sex (3) = Total - Sex,,,,
Occupation - National Occupational Classification (NOC) 2016 (691),Total - Number of employment income recipients [4],Median employment income in 2015 ($) [5],Average employment income in 2015 ($) [6], 
Total - Occupation - National Occupational Classification (NOC) 2016 [7],109125,37371,47658,
  0 Management occupations,11470,62249,76414,
    00 Senior management occupations,910,93748,112729,
      001 Legislators and senior management,910,93748,112729,
        0011 Legislators,10,0,0,
        0012 Senior government managers and officials,70,105170,103642,
"        0013 Senior managers - financial, communications and other business services",175,81555,97798,
"        0014 Senior managers - health, education, social and community services and membership organizations",125,65160,69113,
"        0015 Senior managers - trade, broadcasting and other services, n.e.c.",250,95415,110329,
"        0016 Senior managers - construction, transportation, production and utilities",275,111893,148898,
    01-05 Specialized middle management occupations,3555,80130,86730,
      011 Administrative services managers,1005,77469,81666,
        0111 Financial managers,305,73150,85047,
        0112 Human resources managers,295,70416,75600,
        0113 Purchasing managers,150,89083,90814,
        0114 Other administrative services managers,250,81089,79048,
      012 Managers in financial and business services,920,67795,89402,
"        0121 Insurance, real estate and financial brokerage managers",115,63895,70686,
"        0122 Banking, credit and other investment managers",280,79175,82988,
"        0124 Advertising, marketing and public relations managers",380,64814,111375,
        0125 Other business services managers,140,42311,58145,
      013 Managers in communication (except broadcasting),170,73781,77702,
        0131 Telecommunication carriers managers,140,73887,78761,
        0132 Postal and courier services managers,35,71053,73379,
"      021 Managers in engineering, architecture, science and information systems",405,101670,104350,
        0211 Engineering managers,110,105503,108421,
        0212 Architecture and science managers,55,92719,110589,
        0213 Computer and information systems managers,240,99259,101134,
      031 Managers in health care,190,91553,90321,
        0311 Managers in health care,195,91553,90321,
      041 Managers in public administration,65,92730,89713,
        0411 Government managers - health and social policy development and program administration,10,0,0,
"        0412 Government managers - economic analysis, policy development and program administration",15,0,0,
        0413 Government managers - education policy development and program administration,10,0,0,
        0414 Other managers in public administration,30,0,80446,
      042 Managers in education and social and community services,470,88022,80213,
        0421 Administrators - post-secondary education and vocational training,75,70385,66216,
        0422 School principals and administrators of elementary and secondary education,180,108128,95739,
"        0423 Managers in social, community and correctional services",210,77697,72172,
      043 Managers in public protection services,175,101834,108585,
        0431 Commissioned police officers,30,0,138240,
        0432 Fire chiefs and senior firefighting officers,20,0,0,
        0433 Commissioned officers of the Canadian Armed Forces,130,97839,90990,
"      051 Managers in art, culture, recreation and sport",155,53560,56476,
"        0511 Library, archive, museum and art gallery managers",30,0,63271,
"        0512 Managers - publishing, motion pictures, broadcasting and performing arts",45,68643,62009,
"        0513 Recreation, sports and fitness program and service directors",85,37582,51632,
    06 Middle management occupations in retail and wholesale trade and customer services,4400,48316,64865,
      060 Corporate sales managers,500,98495,115692,
        0601 Corporate sales managers,500,98495,115692,
      062 Retail and wholesale trade managers,2910,48164,64372,
        0621 Retail and wholesale trade managers,2910,48164,64372,
      063 Managers in food service and accommodation,810,35156,39515,
        0631 Restaurant and food service managers,710,34145,37715,
        0632 Accommodation service managers,100,37520,52213,
"      065 Managers in customer and personal services, n.e.c.",175,36151,45499,
"        0651 Managers in customer and personal services, n.e.c.",180,36151,45499,
"    07-09 Middle management occupations in trades, transportation, production and utilities",2605,59898,69186,
      071 Managers in construction and facility operation and maintenance,1310,53254,62091,
        0711 Construction managers,465,62400,77142,
        0712 Home building and renovation managers,400,26275,36851,
        0714 Facility operation and maintenance managers,450,62987,69004,
      073 Managers in transportation,270,76236,87804,
        0731 Managers in transportation,270,76236,87804,
      081 Managers in natural resources production and fishing,30,0,118344,
        0811 Managers in natural resources production and fishing,35,0,118344,
"      082 Managers in agriculture, horticulture and aquaculture",320,13669,22566,
        0821 Managers in agriculture,280,13000,19055,
        0822 Managers in horticulture,40,0,0,
        0823 Managers in aquaculture,0,0,0,
      091 Managers in manufacturing and utilities,675,84201,94977,
        0911 Manufacturing managers,605,82742,92894,
        0912 Utilities managers,70,110762,112693,
"  1 Business, finance and administration occupations",15040,39869,44810,
    11 Professional occupations in business and finance,2420,56446,66813,
"      111 Auditors, accountants and investment professionals",1345,57793,73531,
        1111 Financial auditors and accountants,550,60036,77303,
        1112 Financial and investment analysts,115,58392,84518,
"        1113 Securities agents, investment dealers and brokers",65,19372,100780,
        1114 Other financial officers,610,55475,65123,
      112 Human resources and business service professionals,1080,54706,58481,
        1121 Human resources professionals,370,72373,72204,
        1122 Professional occupations in business management consulting,290,59385,57561,
"        1123 Professional occupations in advertising, marketing and public relations",420,40489,47011,
    12 Administrative and financial supervisors and administrative occupations,5070,42365,46061,
      121 Administrative services supervisors,525,54787,64480,
"        1211 Supervisors, general office and administrative support workers",55,55030,90060,
"        1212 Supervisors, finance and insurance office workers",115,58777,63856,
"        1213 Supervisors, library, correspondence and related information workers",15,0,0,
"        1214 Supervisors, mail and message distribution occupations",35,61706,56940,
"        1215 Supervisors, supply chain, tracking and scheduling co-ordination occupations",315,52156,62932,
      122 Administrative and regulatory occupations,2760,43253,48303,
        1221 Administrative officers,1670,40019,45308,
        1222 Executive assistants,220,53693,56470,
        1223 Human resources and recruitment officers,160,46821,55950,
        1224 Property administrators,230,42607,44571,
        1225 Purchasing agents and officers,215,58383,64568,
        1226 Conference and event planners,170,38996,39770,
        1227 Court officers and justices of the peace,20,0,0,
"        1228 Employment insurance, immigration, border services and revenue officers",70,59645,59467,
"      124 Office administrative assistants - general, legal and medical",1640,36584,37278,
        1241 Administrative assistants,1100,34714,35222,
        1242 Legal administrative assistants,210,49406,44833,
        1243 Medical administrative assistants,325,35375,39289,
"      125 Court reporters, transcriptionists, records management technicians and statistical officers",140,30112,35269,
"        1251 Court reporters, medical transcriptionists and related occupations",90,25620,24340,
        1252 Health information management occupations,20,0,0,
        1253 Records management technicians,20,0,0,
        1254 Statistical officers and related research support occupations,10,0,0,
"    13 Finance, insurance and related business administrative occupations",1030,36049,40799,
"      131 Finance, insurance and related business administrative occupations",1030,36049,40799,
        1311 Accounting technicians and bookkeepers,740,28051,32169,
        1312 Insurance adjusters and claims examiners,150,58688,65913,
        1313 Insurance underwriters,35,52035,57618,
"        1314 Assessors, valuators and appraisers",105,61748,60094,
