"Occupation - National Occupational Classification (NOC) 2016 (691), Employment Income Statistics (3), Highest Certificate, Diploma or Degree (7), Visible Minority (15), Work Activity During the Reference Year (4), Age (4D) and Sex (3) for the Population Aged 15 Years and Over Who Worked in 2015 and Reported Employment Income in 2015, in Private Households of Canada, Provinces and Territories and Census Metropolitan Areas, 2016 Census - 25% Sample Data",,,,
Geography = Belleville,,,,
Global non-response rate (GNR) =   4.8 %,,,,
Visible minority (15) = Total - Visible minority [1],,,,
"Highest certificate, diploma or degree (7) = Total - Highest certificate, diploma or degree [2]",,,,
Work activity during the reference year (4) = Total - Work activity during the reference year [3],,,,
Age (4D) = Total - Age,,,,
Sex (3) = Total - Sex,,,,
Occupation - National Occupational Classification (NOC) 2016 (691),Total - Number of employment income recipients [4],Median employment income in 2015 ($) [5],Average employment income in 2015 ($) [6], 
Total - Occupation - National Occupational Classification (NOC) 2016 [7],51210,33588,40730,
  0 Management occupations,4730,50721,60237,
    00 Senior management occupations,300,84909,93388,
      001 Legislators and senior management,295,84909,93388,
        0011 Legislators,0,0,0,
        0012 Senior government managers and officials,40,84759,112366,
"        0013 Senior managers - financial, communications and other business services",65,59692,74621,
"        0014 Senior managers - health, education, social and community services and membership organizations",40,92757,76042,
"        0015 Senior managers - trade, broadcasting and other services, n.e.c.",50,92495,116740,
"        0016 Senior managers - construction, transportation, production and utilities",90,97201,98300,
    01-05 Specialized middle management occupations,1580,75085,78786,
      011 Administrative services managers,295,63200,72174,
        0111 Financial managers,115,44252,61122,
        0112 Human resources managers,75,63580,81475,
        0113 Purchasing managers,60,75974,85388,
        0114 Other administrative services managers,45,65577,68388,
      012 Managers in financial and business services,300,56820,77164,
"        0121 Insurance, real estate and financial brokerage managers",30,0,0,
"        0122 Banking, credit and other investment managers",115,65628,76916,
"        0124 Advertising, marketing and public relations managers",55,72483,84958,
        0125 Other business services managers,95,43066,54525,
      013 Managers in communication (except broadcasting),45,47040,45617,
        0131 Telecommunication carriers managers,20,0,0,
        0132 Postal and courier services managers,25,0,0,
"      021 Managers in engineering, architecture, science and information systems",105,90343,92464,
        0211 Engineering managers,30,0,101346,
        0212 Architecture and science managers,0,0,0,
        0213 Computer and information systems managers,65,85472,90919,
      031 Managers in health care,55,98848,89663,
        0311 Managers in health care,55,98848,89663,
      041 Managers in public administration,35,91497,84449,
        0411 Government managers - health and social policy development and program administration,0,0,0,
"        0412 Government managers - economic analysis, policy development and program administration",15,0,0,
        0413 Government managers - education policy development and program administration,0,0,0,
        0414 Other managers in public administration,15,0,0,
      042 Managers in education and social and community services,245,81265,74963,
        0421 Administrators - post-secondary education and vocational training,20,0,0,
        0422 School principals and administrators of elementary and secondary education,120,107473,92444,
"        0423 Managers in social, community and correctional services",105,58737,61500,
      043 Managers in public protection services,455,89762,88186,
        0431 Commissioned police officers,0,0,0,
        0432 Fire chiefs and senior firefighting officers,10,0,0,
        0433 Commissioned officers of the Canadian Armed Forces,440,90632,88751,
"      051 Managers in art, culture, recreation and sport",40,39872,40716,
"        0511 Library, archive, museum and art gallery managers",0,0,0,
"        0512 Managers - publishing, motion pictures, broadcasting and performing arts",25,0,0,
"        0513 Recreation, sports and fitness program and service directors",15,0,0,
    06 Middle management occupations in retail and wholesale trade and customer services,1635,37368,43800,
      060 Corporate sales managers,80,79587,78801,
        0601 Corporate sales managers,80,79587,78801,
      062 Retail and wholesale trade managers,1115,38973,44703,
        0621 Retail and wholesale trade managers,1115,38973,44703,
      063 Managers in food service and accommodation,370,28203,34134,
        0631 Restaurant and food service managers,310,25705,29320,
        0632 Accommodation service managers,55,67170,61604,
"      065 Managers in customer and personal services, n.e.c.",70,46748,40303,
"        0651 Managers in customer and personal services, n.e.c.",70,46748,40303,
"    07-09 Middle management occupations in trades, transportation, production and utilities",1230,40443,50264,
      071 Managers in construction and facility operation and maintenance,480,46581,48939,
        0711 Construction managers,175,60376,58327,
        0712 Home building and renovation managers,125,29069,32940,
        0714 Facility operation and maintenance managers,180,48882,50779,
      073 Managers in transportation,70,46017,59503,
        0731 Managers in transportation,70,46017,59503,
      081 Managers in natural resources production and fishing,10,0,0,
