"Occupation - National Occupational Classification (NOC) 2016 (691), Employment Income Statistics (3), Highest Certificate, Diploma or Degree (7), Visible Minority (15), Work Activity During the Reference Year (4), Age (4D) and Sex (3) for the Population Aged 15 Years and Over Who Worked in 2015 and Reported Employment Income in 2015, in Private Households of Canada, Provinces and Territories and Census Metropolitan Areas, 2016 Census - 25% Sample Data",,,,
Geography = Brantford [1],,,,
Global non-response rate (GNR) =   5.3 %,,,,
Visible minority (15) = Total - Visible minority [2],,,,
"Highest certificate, diploma or degree (7) = Total - Highest certificate, diploma or degree [3]",,,,
Work activity during the reference year (4) = Total - Work activity during the reference year [4],,,,
Age (4D) = Total - Age,,,,
Sex (3) = Total - Sex,,,,
Occupation - National Occupational Classification (NOC) 2016 (691),Total - Number of employment income recipients [5],Median employment income in 2015 ($) [6],Average employment income in 2015 ($) [7], 
Total - Occupation - National Occupational Classification (NOC) 2016 [8],69630,36959,43946,
  0 Management occupations,6920,60775,71469,
    00 Senior management occupations,595,98036,114603,
      001 Legislators and senior management,600,98036,114603,
        0011 Legislators,20,0,0,
        0012 Senior government managers and officials,10,0,0,
"        0013 Senior managers - financial, communications and other business services",65,73717,91176,
"        0014 Senior managers - health, education, social and community services and membership organizations",160,91645,107352,
"        0015 Senior managers - trade, broadcasting and other services, n.e.c.",125,100302,126735,
"        0016 Senior managers - construction, transportation, production and utilities",215,110321,128551,
    01-05 Specialized middle management occupations,1910,78353,82901,
      011 Administrative services managers,595,72280,81057,
        0111 Financial managers,210,72879,83013,
        0112 Human resources managers,205,76544,85522,
        0113 Purchasing managers,75,54513,64968,
        0114 Other administrative services managers,105,63785,79471,
      012 Managers in financial and business services,455,67611,79639,
"        0121 Insurance, real estate and financial brokerage managers",70,106546,115998,
"        0122 Banking, credit and other investment managers",155,61219,70822,
"        0124 Advertising, marketing and public relations managers",155,82994,93090,
        0125 Other business services managers,70,32822,33339,
      013 Managers in communication (except broadcasting),35,55059,60452,
        0131 Telecommunication carriers managers,15,0,0,
        0132 Postal and courier services managers,20,0,0,
"      021 Managers in engineering, architecture, science and information systems",250,96613,99839,
        0211 Engineering managers,50,97926,93224,
        0212 Architecture and science managers,40,96370,103016,
        0213 Computer and information systems managers,165,97901,101242,
      031 Managers in health care,110,93947,80746,
        0311 Managers in health care,110,93947,80746,
      041 Managers in public administration,45,97901,90408,
        0411 Government managers - health and social policy development and program administration,15,0,0,
"        0412 Government managers - economic analysis, policy development and program administration",15,0,0,
        0413 Government managers - education policy development and program administration,0,0,0,
        0414 Other managers in public administration,10,0,0,
      042 Managers in education and social and community services,340,84049,82509,
        0421 Administrators - post-secondary education and vocational training,75,82120,88867,
        0422 School principals and administrators of elementary and secondary education,110,114777,95970,
"        0423 Managers in social, community and correctional services",155,66562,69343,
      043 Managers in public protection services,35,79179,101085,
        0431 Commissioned police officers,15,0,0,
        0432 Fire chiefs and senior firefighting officers,15,0,0,
        0433 Commissioned officers of the Canadian Armed Forces,10,0,0,
"      051 Managers in art, culture, recreation and sport",40,46080,48323,
"        0511 Library, archive, museum and art gallery managers",10,0,0,
"        0512 Managers - publishing, motion pictures, broadcasting and performing arts",10,0,0,
"        0513 Recreation, sports and fitness program and service directors",30,0,0,
    06 Middle management occupations in retail and wholesale trade and customer services,2485,43642,58502,
      060 Corporate sales managers,320,87829,95443,
        0601 Corporate sales managers,320,87829,95443,
      062 Retail and wholesale trade managers,1575,42603,57825,
        0621 Retail and wholesale trade managers,1575,42603,57825,
      063 Managers in food service and accommodation,475,32182,42700,
        0631 Restaurant and food service managers,440,31613,42921,
        0632 Accommodation service managers,35,0,0,
"      065 Managers in customer and personal services, n.e.c.",120,26868,31348,
"        0651 Managers in customer and personal services, n.e.c.",120,26868,31348,
"    07-09 Middle management occupations in trades, transportation, production and utilities",1925,55187,63520,
      071 Managers in construction and facility operation and maintenance,655,50116,58948,
        0711 Construction managers,245,61599,69812,
        0712 Home building and renovation managers,205,21879,28833,
        0714 Facility operation and maintenance managers,205,58758,75292,
      073 Managers in transportation,145,78534,89045,
        0731 Managers in transportation,145,78534,89045,
      081 Managers in natural resources production and fishing,10,0,0,
        0811 Managers in natural resources production and fishing,0,0,0,
"      082 Managers in agriculture, horticulture and aquaculture",535,19203,28067,
        0821 Managers in agriculture,505,17249,27186,
        0822 Managers in horticulture,30,0,43207,
        0823 Managers in aquaculture,0,0,0,
      091 Managers in manufacturing and utilities,590,83204,94998,
        0911 Manufacturing managers,545,82312,95477,
        0912 Utilities managers,40,98365,88320,
"  1 Business, finance and administration occupations",9505,40016,42764,
    11 Professional occupations in business and finance,1255,54602,64537,
"      111 Auditors, accountants and investment professionals",710,59395,71206,
        1111 Financial auditors and accountants,350,60594,68616,
        1112 Financial and investment analysts,30,0,83220,
"        1113 Securities agents, investment dealers and brokers",15,0,0,
        1114 Other financial officers,315,52699,73507,
      112 Human resources and business service professionals,540,47723,55758,
        1121 Human resources professionals,185,57425,61774,
        1122 Professional occupations in business management consulting,160,54714,65050,
"        1123 Professional occupations in advertising, marketing and public relations",190,39436,42065,
    12 Administrative and financial supervisors and administrative occupations,3180,43003,44275,
      121 Administrative services supervisors,370,48217,51352,
"        1211 Supervisors, general office and administrative support workers",55,47477,53881,
"        1212 Supervisors, finance and insurance office workers",50,43700,61286,
"        1213 Supervisors, library, correspondence and related information workers",20,0,0,
"        1214 Supervisors, mail and message distribution occupations",10,0,0,
"        1215 Supervisors, supply chain, tracking and scheduling co-ordination occupations",240,49147,52098,
      122 Administrative and regulatory occupations,1685,44945,47797,
        1221 Administrative officers,1045,43859,46965,
        1222 Executive assistants,120,52810,58316,
        1223 Human resources and recruitment officers,100,52063,51730,
        1224 Property administrators,100,33018,35650,
        1225 Purchasing agents and officers,210,51091,52920,
        1226 Conference and event planners,50,10617,27731,
        1227 Court officers and justices of the peace,0,0,0,
"        1228 Employment insurance, immigration, border services and revenue officers",50,73744,60748,
"      124 Office administrative assistants - general, legal and medical",1010,37151,35911,
        1241 Administrative assistants,725,36607,35910,
        1242 Legal administrative assistants,120,40616,38537,
        1243 Medical administrative assistants,165,37263,34014,
"      125 Court reporters, transcriptionists, records management technicians and statistical officers",115,47396,43385,
"        1251 Court reporters, medical transcriptionists and related occupations",65,44913,39962,
        1252 Health information management occupations,15,0,0,
        1253 Records management technicians,10,0,0,
        1254 Statistical officers and related research support occupations,30,0,62763,
"    13 Finance, insurance and related business administrative occupations",605,34627,38404,
"      131 Finance, insurance and related business administrative occupations",600,34627,38404,
        1311 Accounting technicians and bookkeepers,460,27649,31361,
        1312 Insurance adjusters and claims examiners,75,54134,59013,
        1313 Insurance underwriters,25,0,61447,
"        1314 Assessors, valuators and appraisers",45,76892,64385,
"        1315 Customs, ship and other brokers",0,0,0,
    14 Office support occupations,2700,34204,34285,
      141 General office workers,1600,33026,33448,
        1411 General office support workers,1045,39515,37038,
        1414 Receptionists,525,26093,25943,
        1415 Personnel clerks,30,0,0,
        1416 Court clerks,10,0,0,
      142 Office equipment operators,160,22819,26203,
        1422 Data entry clerks,160,22819,26203,
        1423 Desktop publishing operators and related occupations,0,0,0,
"      143 Financial, insurance and related administrative support workers",745,37505,37866,
        1431 Accounting and related clerks,480,39232,36705,
        1432 Payroll administrators,100,41913,49374,
"        1434 Banking, insurance and other financial clerks",45,33441,39524,
        1435 Collectors,115,29199,32410,
"      145 Library, correspondence and other clerks",190,34911,34154,
        1451 Library assistants and clerks,50,15848,16729,
"        1452 Correspondence, publication and regulatory clerks",105,45505,45868,
        1454 Survey interviewers and statistical clerks,35,0,0,
"    15 Distribution, tracking and scheduling co-ordination occupations",1775,37719,39073,
      151 Mail and message distribution occupations,335,40872,38640,
"        1511 Mail, postal and related workers",95,28227,30759,
        1512 Letter carriers,95,57753,55030,
"        1513 Couriers, messengers and door-to-door distributors",145,27445,32791,
"      152 Supply chain logistics, tracking and scheduling co-ordination occupations",1440,37434,39175,
        1521 Shippers and receivers,740,35966,36588,
        1522 Storekeepers and partspersons,155,35003,32442,
        1523 Production logistics co-ordinators,120,51313,56082,
        1524 Purchasing and inventory control workers,160,36473,36617,
        1525 Dispatchers,225,42526,43486,
        1526 Transportation route and crew schedulers,35,42856,48642,
  2 Natural and applied sciences and related occupations,3210,58150,61567,
    21 Professional occupations in natural and applied sciences,1320,65363,67986,
      211 Physical science professionals,120,69493,68717,
        2111 Physicists and astronomers,0,0,0,
        2112 Chemists,110,66089,64289,
        2113 Geoscientists and oceanographers,0,0,0,
        2114 Meteorologists and climatologists,0,0,0,
        2115 Other professional occupations in physical sciences,0,0,0,
      212 Life science professionals,65,40661,42880,
