"Occupation - National Occupational Classification (NOC) 2016 (691), Employment Income Statistics (3), Highest Certificate, Diploma or Degree (7), Visible Minority (15), Work Activity During the Reference Year (4), Age (4D) and Sex (3) for the Population Aged 15 Years and Over Who Worked in 2015 and Reported Employment Income in 2015, in Private Households of Canada, Provinces and Territories and Census Metropolitan Areas, 2016 Census - 25% Sample Data",,,,
Geography = British Columbia / Colombie-Britannique [1],,,,
Global non-response rate (GNR) =   6.1 %,,,,
Visible minority (15) = Total - Visible minority [2],,,,
"Highest certificate, diploma or degree (7) = Total - Highest certificate, diploma or degree [3]",,,,
Work activity during the reference year (4) = Total - Work activity during the reference year [4],,,,
Age (4D) = Total - Age,,,,
Sex (3) = Total - Sex,,,,
Occupation - National Occupational Classification (NOC) 2016 (691),Total - Number of employment income recipients [5],Median employment income in 2015 ($) [6],Average employment income in 2015 ($) [7], 
Total - Occupation - National Occupational Classification (NOC) 2016 [8],2445820,36282,47482,
  0 Management occupations,266245,56814,76212,
    00 Senior management occupations,26160,89692,149361,
      001 Legislators and senior management,26160,89692,149361,
        0011 Legislators,1040,41483,56521,
        0012 Senior government managers and officials,2130,103424,122311,
"        0013 Senior managers - financial, communications and other business services",7665,105078,185865,
"        0014 Senior managers - health, education, social and community services and membership organizations",3335,85271,100145,
"        0015 Senior managers - trade, broadcasting and other services, n.e.c.",5535,72283,130991,
"        0016 Senior managers - construction, transportation, production and utilities",6460,97381,171074,
    01-05 Specialized middle management occupations,85580,74273,84685,
      011 Administrative services managers,21275,73844,84851,
        0111 Financial managers,8925,76138,86781,
        0112 Human resources managers,5555,79467,84645,
        0113 Purchasing managers,2440,79161,88259,
        0114 Other administrative services managers,4350,61870,79240,
      012 Managers in financial and business services,26695,64550,80489,
"        0121 Insurance, real estate and financial brokerage managers",6070,70271,99996,
"        0122 Banking, credit and other investment managers",7985,72433,85600,
"        0124 Advertising, marketing and public relations managers",9295,59771,70489,
        0125 Other business services managers,3350,47985,60680,
      013 Managers in communication (except broadcasting),2035,79923,88913,
        0131 Telecommunication carriers managers,1535,87039,99071,
        0132 Postal and courier services managers,505,48944,57992,
"      021 Managers in engineering, architecture, science and information systems",11115,96035,110472,
        0211 Engineering managers,2425,110418,124179,
        0212 Architecture and science managers,1135,81340,102859,
        0213 Computer and information systems managers,7555,95065,107217,
      031 Managers in health care,4410,80656,82058,
        0311 Managers in health care,4410,80656,82058,
      041 Managers in public administration,2720,89947,91804,
        0411 Government managers - health and social policy development and program administration,580,91022,90864,
"        0412 Government managers - economic analysis, policy development and program administration",1025,93263,103559,
        0413 Government managers - education policy development and program administration,140,81255,74326,
        0414 Other managers in public administration,970,83446,82438,
      042 Managers in education and social and community services,11545,73881,75192,
        0421 Administrators - post-secondary education and vocational training,2980,67238,74427,
        0422 School principals and administrators of elementary and secondary education,4375,99827,90601,
"        0423 Managers in social, community and correctional services",4190,54226,59646,
      043 Managers in public protection services,2200,90493,92701,
        0431 Commissioned police officers,175,120795,122070,
        0432 Fire chiefs and senior firefighting officers,480,123688,116786,
        0433 Commissioned officers of the Canadian Armed Forces,1545,83506,81856,
"      051 Managers in art, culture, recreation and sport",3590,46374,56143,
"        0511 Library, archive, museum and art gallery managers",685,46970,53376,
"        0512 Managers - publishing, motion pictures, broadcasting and performing arts",1115,44931,63822,
"        0513 Recreation, sports and fitness program and service directors",1790,46341,52434,
    06 Middle management occupations in retail and wholesale trade and customer services,94745,41938,55005,
      060 Corporate sales managers,8425,86923,99223,
        0601 Corporate sales managers,8420,86923,99223,
      062 Retail and wholesale trade managers,56620,45036,56985,
        0621 Retail and wholesale trade managers,56620,45036,56985,
      063 Managers in food service and accommodation,25275,30714,38890,
        0631 Restaurant and food service managers,19855,30107,37978,
        0632 Accommodation service managers,5420,34138,42234,
"      065 Managers in customer and personal services, n.e.c.",4425,30025,37561,
"        0651 Managers in customer and personal services, n.e.c.",4420,30025,37561,
"    07-09 Middle management occupations in trades, transportation, production and utilities",59760,51392,65675,
      071 Managers in construction and facility operation and maintenance,29995,53719,65532,
        0711 Construction managers,13605,65124,77175,
        0712 Home building and renovation managers,7480,27286,39007,
        0714 Facility operation and maintenance managers,8910,60238,70029,
      073 Managers in transportation,5365,72673,83120,
        0731 Managers in transportation,5365,72673,83120,
      081 Managers in natural resources production and fishing,1970,104533,145789,
