"Occupation - National Occupational Classification (NOC) 2016 (691), Employment Income Statistics (3), Highest Certificate, Diploma or Degree (7), Visible Minority (15), Work Activity During the Reference Year (4), Age (4D) and Sex (3) for the Population Aged 15 Years and Over Who Worked in 2015 and Reported Employment Income in 2015, in Private Households of Canada, Provinces and Territories and Census Metropolitan Areas, 2016 Census - 25% Sample Data",,,,
Geography = Calgary,,,,
Global non-response rate (GNR) =   4.9 %,,,,
Visible minority (15) = Total - Visible minority [1],,,,
"Highest certificate, diploma or degree (7) = Total - Highest certificate, diploma or degree [2]",,,,
Work activity during the reference year (4) = Total - Work activity during the reference year [3],,,,
Age (4D) = Total - Age,,,,
Sex (3) = Total - Sex,,,,
Occupation - National Occupational Classification (NOC) 2016 (691),Total - Number of employment income recipients [4],Median employment income in 2015 ($) [5],Average employment income in 2015 ($) [6], 
Total - Occupation - National Occupational Classification (NOC) 2016 [7],799375,47157,68722,
  0 Management occupations,88070,80778,130292,
    00 Senior management occupations,10245,149255,303203,
      001 Legislators and senior management,10245,149255,303203,
        0011 Legislators,105,92559,92751,
        0012 Senior government managers and officials,465,111198,129069,
"        0013 Senior managers - financial, communications and other business services",3070,148027,297028,
"        0014 Senior managers - health, education, social and community services and membership organizations",805,109771,124513,
"        0015 Senior managers - trade, broadcasting and other services, n.e.c.",1825,111349,296458,
"        0016 Senior managers - construction, transportation, production and utilities",3970,198639,373375,
    01-05 Specialized middle management occupations,30840,98195,127931,
      011 Administrative services managers,9640,103922,136286,
        0111 Financial managers,3700,109132,145088,
        0112 Human resources managers,2675,100088,127324,
        0113 Purchasing managers,1595,119935,139970,
        0114 Other administrative services managers,1670,80529,127638,
      012 Managers in financial and business services,8385,86072,126882,
"        0121 Insurance, real estate and financial brokerage managers",1620,94895,170899,
"        0122 Banking, credit and other investment managers",2390,85683,120907,
"        0124 Advertising, marketing and public relations managers",3110,86325,117471,
        0125 Other business services managers,1265,72178,104961,
      013 Managers in communication (except broadcasting),900,87810,133665,
        0131 Telecommunication carriers managers,720,93635,155005,
        0132 Postal and courier services managers,180,46012,49765,
"      021 Managers in engineering, architecture, science and information systems",5750,129771,157041,
        0211 Engineering managers,1945,157195,198333,
        0212 Architecture and science managers,480,104018,146981,
        0213 Computer and information systems managers,3325,119324,134320,
      031 Managers in health care,1380,90348,89615,
        0311 Managers in health care,1380,90348,89615,
      041 Managers in public administration,505,121533,143390,
        0411 Government managers - health and social policy development and program administration,75,118516,112784,
"        0412 Government managers - economic analysis, policy development and program administration",255,134444,162289,
        0413 Government managers - education policy development and program administration,15,0,0,
        0414 Other managers in public administration,150,114848,129995,
      042 Managers in education and social and community services,3065,82407,85865,
        0421 Administrators - post-secondary education and vocational training,695,73020,82718,
        0422 School principals and administrators of elementary and secondary education,1200,118147,109497,
"        0423 Managers in social, community and correctional services",1170,54395,63380,
      043 Managers in public protection services,280,89971,90264,
        0431 Commissioned police officers,35,170942,168051,
        0432 Fire chiefs and senior firefighting officers,65,133380,121346,
        0433 Commissioned officers of the Canadian Armed Forces,175,55420,60793,
"      051 Managers in art, culture, recreation and sport",935,57494,64094,
"        0511 Library, archive, museum and art gallery managers",180,55769,64245,
"        0512 Managers - publishing, motion pictures, broadcasting and performing arts",195,59416,64539,
"        0513 Recreation, sports and fitness program and service directors",565,58775,63894,
    06 Middle management occupations in retail and wholesale trade and customer services,27735,52922,77087,
      060 Corporate sales managers,3355,101820,121767,
        0601 Corporate sales managers,3355,101820,121767,
      062 Retail and wholesale trade managers,16250,55983,83896,
        0621 Retail and wholesale trade managers,16250,55983,83896,
      063 Managers in food service and accommodation,6705,38832,45887,
        0631 Restaurant and food service managers,5975,38074,43788,
        0632 Accommodation service managers,735,45001,62910,
"      065 Managers in customer and personal services, n.e.c.",1420,34178,41073,
"        0651 Managers in customer and personal services, n.e.c.",1420,34178,41073,
"    07-09 Middle management occupations in trades, transportation, production and utilities",19250,82931,118710,
      071 Managers in construction and facility operation and maintenance,10415,72067,92337,
        0711 Construction managers,5330,88420,108086,
        0712 Home building and renovation managers,2160,39947,61264,
        0714 Facility operation and maintenance managers,2935,70482,86642,
      073 Managers in transportation,2030,86675,108801,
        0731 Managers in transportation,2035,86675,108801,
      081 Managers in natural resources production and fishing,2300,195365,232075,
        0811 Managers in natural resources production and fishing,2300,195365,232075,
"      082 Managers in agriculture, horticulture and aquaculture",1345,21071,36689,
        0821 Managers in agriculture,1280,20073,36021,
        0822 Managers in horticulture,60,56092,53722,
        0823 Managers in aquaculture,0,0,0,
      091 Managers in manufacturing and utilities,3155,103453,164635,
        0911 Manufacturing managers,2235,90078,138008,
        0912 Utilities managers,915,171697,229502,
"  1 Business, finance and administration occupations",143045,52519,72356,
    11 Professional occupations in business and finance,38865,77462,116465,
"      111 Auditors, accountants and investment professionals",25115,79388,129656,
        1111 Financial auditors and accountants,16070,80342,112237,
        1112 Financial and investment analysts,2750,99484,217035,
"        1113 Securities agents, investment dealers and brokers",900,101337,234350,
        1114 Other financial officers,5390,64367,119481,
      112 Human resources and business service professionals,13750,73696,92367,
        1121 Human resources professionals,4055,78633,93757,
        1122 Professional occupations in business management consulting,5155,83254,104134,
"        1123 Professional occupations in advertising, marketing and public relations",4540,59017,77758,
    12 Administrative and financial supervisors and administrative occupations,45075,54642,66694,
      121 Administrative services supervisors,4700,65436,74560,
"        1211 Supervisors, general office and administrative support workers",555,68768,76776,
"        1212 Supervisors, finance and insurance office workers",1235,75237,83854,
"        1213 Supervisors, library, correspondence and related information workers",95,56047,59410,
"        1214 Supervisors, mail and message distribution occupations",130,69998,64405,
"        1215 Supervisors, supply chain, tracking and scheduling co-ordination occupations",2680,61441,70864,
      122 Administrative and regulatory occupations,25740,58651,75895,
        1221 Administrative officers,12400,51718,66794,
        1222 Executive assistants,2435,67175,78128,
        1223 Human resources and recruitment officers,1660,60277,71164,
        1224 Property administrators,2045,52143,70477,
        1225 Purchasing agents and officers,5195,85325,108824,
        1226 Conference and event planners,1120,38443,43341,
        1227 Court officers and justices of the peace,115,71725,83203,
"        1228 Employment insurance, immigration, border services and revenue officers",765,60944,63953,
"      124 Office administrative assistants - general, legal and medical",13240,46797,46753,
        1241 Administrative assistants,9165,44929,45507,
        1242 Legal administrative assistants,2385,53814,53615,
        1243 Medical administrative assistants,1690,47793,43828,
"      125 Court reporters, transcriptionists, records management technicians and statistical officers",1400,56220,59727,
"        1251 Court reporters, medical transcriptionists and related occupations",375,52499,44511,
        1252 Health information management occupations,205,63846,68326,
        1253 Records management technicians,500,56179,63277,
        1254 Statistical officers and related research support occupations,320,60081,66558,
"    13 Finance, insurance and related business administrative occupations",8080,46138,55690,
"      131 Finance, insurance and related business administrative occupations",8075,46138,55690,
        1311 Accounting technicians and bookkeepers,5415,34583,48447,
        1312 Insurance adjusters and claims examiners,1235,62505,67764,
        1313 Insurance underwriters,875,59866,66648,
"        1314 Assessors, valuators and appraisers",400,79923,86448,
"        1315 Customs, ship and other brokers",155,64029,71629,
    14 Office support occupations,36425,39978,44737,
      141 General office workers,19595,33997,36911,
        1411 General office support workers,10835,39115,40451,
        1414 Receptionists,8185,28840,30379,
        1415 Personnel clerks,415,55483,62999,
        1416 Court clerks,170,58178,63005,
      142 Office equipment operators,2235,35564,39744,
        1422 Data entry clerks,2195,35487,39358,
        1423 Desktop publishing operators and related occupations,35,43321,62411,
"      143 Financial, insurance and related administrative support workers",11180,49044,59068,
        1431 Accounting and related clerks,8245,48075,59576,
        1432 Payroll administrators,1700,55891,62000,
"        1434 Banking, insurance and other financial clerks",950,46404,51975,
        1435 Collectors,280,50902,50231,
"      145 Library, correspondence and other clerks",3420,38074,46004,
        1451 Library assistants and clerks,765,24744,26743,
"        1452 Correspondence, publication and regulatory clerks",1765,58277,66245,
        1454 Survey interviewers and statistical clerks,885,4867,22385,
"    15 Distribution, tracking and scheduling co-ordination occupations",14600,45790,50554,
      151 Mail and message distribution occupations,3230,42296,41322,
"        1511 Mail, postal and related workers",1105,40938,41675,
        1512 Letter carriers,1095,52589,49242,
"        1513 Couriers, messengers and door-to-door distributors",1030,27723,32565,
"      152 Supply chain logistics, tracking and scheduling co-ordination occupations",11370,46637,53177,
        1521 Shippers and receivers,4920,40654,41006,
        1522 Storekeepers and partspersons,1375,50855,52905,
        1523 Production logistics co-ordinators,1620,68428,81320,
        1524 Purchasing and inventory control workers,1515,44586,46226,
        1525 Dispatchers,1490,53622,62849,
        1526 Transportation route and crew schedulers,455,69735,77292,
  2 Natural and applied sciences and related occupations,86595,85976,108177,
    21 Professional occupations in natural and applied sciences,54650,98417,123778,
      211 Physical science professionals,5140,114053,162907,
        2111 Physicists and astronomers,80,98649,94758,
        2112 Chemists,540,75243,127680,
        2113 Geoscientists and oceanographers,4420,122998,170427,
        2114 Meteorologists and climatologists,25,0,0,
        2115 Other professional occupations in physical sciences,75,66056,77744,
      212 Life science professionals,1175,74640,83940,
        2121 Biologists and related scientists,975,73748,82514,
        2122 Forestry professionals,30,0,87215,
"        2123 Agricultural representatives, consultants and specialists",170,83758,91465,
"      213 Civil, mechanical, electrical and chemical engineers",18085,105526,130303,
        2131 Civil engineers,5370,96550,117653,
        2132 Mechanical engineers,5400,106877,131740,
        2133 Electrical and electronics engineers,4535,107268,123379,
        2134 Chemical engineers,2785,120306,163198,
      214 Other engineers,9495,134963,168739,
        2141 Industrial and manufacturing engineers,1415,139147,148717,
        2142 Metallurgical and materials engineers,270,100550,134485,
        2143 Mining engineers,355,140044,161612,
        2144 Geological engineers,370,109075,141363,
        2145 Petroleum engineers,5665,155166,195280,
        2146 Aerospace engineers,45,85117,79203,
        2147 Computer engineers (except software engineers and designers),1230,91858,101000,
"        2148 Other professional engineers, n.e.c.",150,76153,82657,
"      215 Architects, urban planners and land surveyors",2325,83929,96895,
        2151 Architects,735,77216,100517,
        2152 Landscape architects,65,71380,75562,
        2153 Urban and land use planners,910,89710,92045,
        2154 Land surveyors,615,84152,102071,
"      216 Mathematicians, statisticians and actuaries",310,82806,84841,
"        2161 Mathematicians, statisticians and actuaries",310,82806,84841,
      217 Computer and information systems professionals,18120,83570,89315,
        2171 Information systems analysts and consultants,9675,84546,90084,
        2172 Database analysts and data administrators,1340,89229,94923,
        2173 Software engineers and designers,2125,92967,101541,
        2174 Computer programmers and interactive media developers,4175,81806,87004,
        2175 Web designers and developers,800,45828,50154,
    22 Technical occupations related to natural and applied sciences,31945,69981,81488,
      221 Technical occupations in physical sciences,3180,70168,87028,
        2211 Chemical technologists and technicians,1230,53585,64554,
        2212 Geological and mineral technologists and technicians,1950,84518,101199,
      222 Technical occupations in life sciences,1050,41850,51322,
        2221 Biological technologists and technicians,200,60046,63878,
        2222 Agricultural and fish products inspectors,125,60415,77909,
        2223 Forestry technologists and technicians,55,72932,69321,
        2224 Conservation and fishery officers,50,62153,62723,
        2225 Landscape and horticulture technicians and specialists,635,31854,39815,
"      223 Technical occupations in civil, mechanical and industrial engineering",4670,76976,91948,
        2231 Civil engineering technologists and technicians,1065,72717,76846,
        2232 Mechanical engineering technologists and technicians,1010,79549,92139,
        2233 Industrial engineering and manufacturing technologists and technicians,740,77170,89048,
        2234 Construction estimators,1855,80034,101664,
      224 Technical occupations in electronics and electrical engineering,5525,59752,69250,
        2241 Electrical and electronics engineering technologists and technicians,2070,69363,77243,
