"Occupation - National Occupational Classification (NOC) 2016 (691), Employment Income Statistics (3), Highest Certificate, Diploma or Degree (7), Visible Minority (15), Work Activity During the Reference Year (4), Age (4D) and Sex (3) for the Population Aged 15 Years and Over Who Worked in 2015 and Reported Employment Income in 2015, in Private Households of Canada, Provinces and Territories and Census Metropolitan Areas, 2016 Census - 25% Sample Data",,,,
Geography = Canada [1],,,,
Global non-response rate (GNR) =   5.1 %,,,,
Visible minority (15) = Total - Visible minority [2],,,,
"Highest certificate, diploma or degree (7) = Total - Highest certificate, diploma or degree [3]",,,,
Work activity during the reference year (4) = Total - Work activity during the reference year [4],,,,
Age (4D) = Total - Age,,,,
Sex (3) = Total - Sex,,,,
Occupation - National Occupational Classification (NOC) 2016 (691),Total - Number of employment income recipients [5],Median employment income in 2015 ($) [6],Average employment income in 2015 ($) [7], 
Total - Occupation - National Occupational Classification (NOC) 2016 [8],18499405,37231,49447,
  0 Management occupations,1967290,59961,84384,
    00 Senior management occupations,214900,92413,168916,
      001 Legislators and senior management,214900,92413,168916,
        0011 Legislators,7990,39203,57060,
        0012 Senior government managers and officials,18200,103666,115336,
"        0013 Senior managers - financial, communications and other business services",57935,115341,216584,
"        0014 Senior managers - health, education, social and community services and membership organizations",26455,82409,104525,
"        0015 Senior managers - trade, broadcasting and other services, n.e.c.",47890,76666,159981,
"        0016 Senior managers - construction, transportation, production and utilities",56430,97691,190860,
    01-05 Specialized middle management occupations,652320,82893,95686,
      011 Administrative services managers,180270,82212,98220,
        0111 Financial managers,75350,84313,105248,
        0112 Human resources managers,50420,83127,92727,
        0113 Purchasing managers,21930,85222,98159,
        0114 Other administrative services managers,32565,72602,90504,
      012 Managers in financial and business services,181205,74119,97133,
"        0121 Insurance, real estate and financial brokerage managers",29545,83318,134787,
"        0122 Banking, credit and other investment managers",62650,79735,102313,
"        0124 Advertising, marketing and public relations managers",67915,70492,83186,
        0125 Other business services managers,21100,54149,73914,
      013 Managers in communication (except broadcasting),17810,85002,92765,
        0131 Telecommunication carriers managers,14235,89535,99521,
        0132 Postal and courier services managers,3570,59083,65852,
"      021 Managers in engineering, architecture, science and information systems",92160,101440,114420,
        0211 Engineering managers,19730,112878,132409,
        0212 Architecture and science managers,8970,93471,108383,
        0213 Computer and information systems managers,63470,99688,109681,
      031 Managers in health care,32565,85914,87236,
        0311 Managers in health care,32565,85914,87236,
      041 Managers in public administration,23420,97146,98549,
        0411 Government managers - health and social policy development and program administration,5485,102708,102989,
"        0412 Government managers - economic analysis, policy development and program administration",7850,100484,106249,
        0413 Government managers - education policy development and program administration,1315,85365,85581,
        0414 Other managers in public administration,8775,89864,90831,
      042 Managers in education and social and community services,79660,82041,81195,
        0421 Administrators - post-secondary education and vocational training,17570,75621,82701,
        0422 School principals and administrators of elementary and secondary education,32005,103000,97539,
"        0423 Managers in social, community and correctional services",30085,57852,62929,
      043 Managers in public protection services,20185,92110,90377,
        0431 Commissioned police officers,2050,114431,118947,
        0432 Fire chiefs and senior firefighting officers,2480,106174,104644,
        0433 Commissioned officers of the Canadian Armed Forces,15645,87975,84365,
"      051 Managers in art, culture, recreation and sport",25045,50305,58794,
"        0511 Library, archive, museum and art gallery managers",4960,52176,56367,
"        0512 Managers - publishing, motion pictures, broadcasting and performing arts",7605,58437,70159,
"        0513 Recreation, sports and fitness program and service directors",12480,45581,52831,
    06 Middle management occupations in retail and wholesale trade and customer services,635825,42238,58074,
      060 Corporate sales managers,69130,90835,104913,
        0601 Corporate sales managers,69130,90835,104913,
      062 Retail and wholesale trade managers,388055,43259,58566,
        0621 Retail and wholesale trade managers,388055,43259,58566,
      063 Managers in food service and accommodation,151970,31185,39072,
        0631 Restaurant and food service managers,126415,30703,37805,
        0632 Accommodation service managers,25555,34804,45340,
"      065 Managers in customer and personal services, n.e.c.",26670,29041,37778,
"        0651 Managers in customer and personal services, n.e.c.",26665,29041,37778,
"    07-09 Middle management occupations in trades, transportation, production and utilities",464245,47370,65407,
      071 Managers in construction and facility operation and maintenance,185565,54211,69468,
        0711 Construction managers,82170,67891,83960,
        0712 Home building and renovation managers,45745,24522,38596,
        0714 Facility operation and maintenance managers,57640,60524,73307,
      073 Managers in transportation,34720,72139,85350,
        0731 Managers in transportation,34720,72139,85350,
      081 Managers in natural resources production and fishing,12780,130555,163423,
        0811 Managers in natural resources production and fishing,12780,130555,163423,
"      082 Managers in agriculture, horticulture and aquaculture",151145,18792,28584,
        0821 Managers in agriculture,144975,18322,28130,
        0822 Managers in horticulture,4930,25691,36914,
        0823 Managers in aquaculture,1240,47082,48566,
      091 Managers in manufacturing and utilities,80040,78571,101229,
        0911 Manufacturing managers,69755,74950,96237,
        0912 Utilities managers,10280,111971,135102,
"  1 Business, finance and administration occupations",2938045,41717,50470,
    11 Professional occupations in business and finance,632365,59130,81246,
"      111 Auditors, accountants and investment professionals",382640,59917,89834,
        1111 Financial auditors and accountants,200285,58535,76615,
        1112 Financial and investment analysts,53315,70440,129352,
"        1113 Securities agents, investment dealers and brokers",14395,56085,133146,
        1114 Other financial officers,114650,57469,89111,
      112 Human resources and business service professionals,249730,57791,68086,
        1121 Human resources professionals,76575,63960,71526,
        1122 Professional occupations in business management consulting,78210,64915,80383,
"        1123 Professional occupations in advertising, marketing and public relations",94945,47076,55183,
    12 Administrative and financial supervisors and administrative occupations,990160,43002,47331,
      121 Administrative services supervisors,93615,53277,57719,
"        1211 Supervisors, general office and administrative support workers",13410,58968,62704,
"        1212 Supervisors, finance and insurance office workers",19645,58477,65912,
