"Occupation - National Occupational Classification (NOC) 2016 (691), Employment Income Statistics (3), Highest Certificate, Diploma or Degree (7), Visible Minority (15), Work Activity During the Reference Year (4), Age (4D) and Sex (3) for the Population Aged 15 Years and Over Who Worked in 2015 and Reported Employment Income in 2015, in Private Households of Canada, Provinces and Territories and Census Metropolitan Areas, 2016 Census - 25% Sample Data",,,,
Geography = Edmonton,,,,
Global non-response rate (GNR) =   5.7 %,,,,
Visible minority (15) = Total - Visible minority [1],,,,
"Highest certificate, diploma or degree (7) = Total - Highest certificate, diploma or degree [2]",,,,
Work activity during the reference year (4) = Total - Work activity during the reference year [3],,,,
Age (4D) = Total - Age,,,,
Sex (3) = Total - Sex,,,,
Occupation - National Occupational Classification (NOC) 2016 (691),Total - Number of employment income recipients [4],Median employment income in 2015 ($) [5],Average employment income in 2015 ($) [6], 
Total - Occupation - National Occupational Classification (NOC) 2016 [7],752845,47673,60605,
  0 Management occupations,77765,76390,101872,
    00 Senior management occupations,6815,121004,191786,
      001 Legislators and senior management,6815,121004,191786,
        0011 Legislators,265,55023,75405,
        0012 Senior government managers and officials,910,134754,150379,
"        0013 Senior managers - financial, communications and other business services",1590,124802,201151,
"        0014 Senior managers - health, education, social and community services and membership organizations",960,93353,126338,
"        0015 Senior managers - trade, broadcasting and other services, n.e.c.",1185,106767,224186,
"        0016 Senior managers - construction, transportation, production and utilities",1905,143658,232780,
    01-05 Specialized middle management occupations,25900,92694,104830,
      011 Administrative services managers,8050,93751,109689,
        0111 Financial managers,2950,92273,103479,
        0112 Human resources managers,2645,97781,106982,
        0113 Purchasing managers,1070,98177,139417,
        0114 Other administrative services managers,1385,85232,105125,
      012 Managers in financial and business services,6030,77958,99797,
"        0121 Insurance, real estate and financial brokerage managers",1150,94919,135075,
"        0122 Banking, credit and other investment managers",2195,77615,91108,
"        0124 Advertising, marketing and public relations managers",1845,76650,81148,
        0125 Other business services managers,840,55932,115104,
      013 Managers in communication (except broadcasting),525,77796,84405,
        0131 Telecommunication carriers managers,420,89395,93638,
        0132 Postal and courier services managers,105,37840,47238,
"      021 Managers in engineering, architecture, science and information systems",3395,112856,135041,
        0211 Engineering managers,920,143703,157471,
        0212 Architecture and science managers,415,103978,104439,
        0213 Computer and information systems managers,2060,107565,131222,
      031 Managers in health care,1495,101847,98507,
        0311 Managers in health care,1495,101847,98507,
      041 Managers in public administration,1215,112483,109921,
        0411 Government managers - health and social policy development and program administration,280,113024,110708,
"        0412 Government managers - economic analysis, policy development and program administration",385,115097,114327,
        0413 Government managers - education policy development and program administration,140,102336,101365,
        0414 Other managers in public administration,400,110949,108158,
      042 Managers in education and social and community services,3545,88790,89757,
        0421 Administrators - post-secondary education and vocational training,875,83915,94260,
