"Occupation - National Occupational Classification (NOC) 2016 (691), Employment Income Statistics (3), Highest Certificate, Diploma or Degree (7), Visible Minority (15), Work Activity During the Reference Year (4), Age (4D) and Sex (3) for the Population Aged 15 Years and Over Who Worked in 2015 and Reported Employment Income in 2015, in Private Households of Canada, Provinces and Territories and Census Metropolitan Areas, 2016 Census - 25% Sample Data",,,,
Geography = Greater Sudbury / Grand Sudbury,,,,
Global non-response rate (GNR) =   5.5 %,,,,
Visible minority (15) = Total - Visible minority [1],,,,
"Highest certificate, diploma or degree (7) = Total - Highest certificate, diploma or degree [2]",,,,
Work activity during the reference year (4) = Total - Work activity during the reference year [3],,,,
Age (4D) = Total - Age,,,,
Sex (3) = Total - Sex,,,,
Occupation - National Occupational Classification (NOC) 2016 (691),Total - Number of employment income recipients [4],Median employment income in 2015 ($) [5],Average employment income in 2015 ($) [6], 
Total - Occupation - National Occupational Classification (NOC) 2016 [7],85505,41299,50941,
  0 Management occupations,7510,65162,76460,
    00 Senior management occupations,625,96023,117722,
      001 Legislators and senior management,630,96023,117722,
        0011 Legislators,35,26663,35272,
        0012 Senior government managers and officials,50,145369,137235,
"        0013 Senior managers - financial, communications and other business services",135,123231,162829,
"        0014 Senior managers - health, education, social and community services and membership organizations",140,93720,96942,
"        0015 Senior managers - trade, broadcasting and other services, n.e.c.",115,52686,58524,
"        0016 Senior managers - construction, transportation, production and utilities",160,120515,152558,
    01-05 Specialized middle management occupations,2315,85358,88126,
      011 Administrative services managers,635,84563,92076,
        0111 Financial managers,290,81193,91041,
        0112 Human resources managers,180,84676,86738,
        0113 Purchasing managers,40,114683,115197,
        0114 Other administrative services managers,130,80095,94532,
      012 Managers in financial and business services,460,68687,73821,
"        0121 Insurance, real estate and financial brokerage managers",35,90838,75264,
"        0122 Banking, credit and other investment managers",180,69707,73867,
"        0124 Advertising, marketing and public relations managers",150,66404,73294,
        0125 Other business services managers,90,62534,74024,
      013 Managers in communication (except broadcasting),50,74785,68689,
        0131 Telecommunication carriers managers,35,75110,68711,
        0132 Postal and courier services managers,10,0,0,
"      021 Managers in engineering, architecture, science and information systems",185,99485,112995,
        0211 Engineering managers,65,162274,147007,
        0212 Architecture and science managers,30,0,74491,
        0213 Computer and information systems managers,95,94269,101945,
      031 Managers in health care,190,90400,83721,
        0311 Managers in health care,190,90400,83721,
      041 Managers in public administration,140,90525,86622,
        0411 Government managers - health and social policy development and program administration,45,98852,91440,
"        0412 Government managers - economic analysis, policy development and program administration",65,85189,80578,
        0413 Government managers - education policy development and program administration,0,0,0,
        0414 Other managers in public administration,30,99613,92991,
      042 Managers in education and social and community services,495,101113,97239,
        0421 Administrators - post-secondary education and vocational training,120,93152,106662,
        0422 School principals and administrators of elementary and secondary education,240,115744,106729,
"        0423 Managers in social, community and correctional services",135,68584,71926,
      043 Managers in public protection services,50,82030,65263,
        0431 Commissioned police officers,10,0,0,
        0432 Fire chiefs and senior firefighting officers,10,0,0,
        0433 Commissioned officers of the Canadian Armed Forces,30,0,0,
"      051 Managers in art, culture, recreation and sport",100,69690,69817,
"        0511 Library, archive, museum and art gallery managers",15,0,0,
"        0512 Managers - publishing, motion pictures, broadcasting and performing arts",30,0,0,
"        0513 Recreation, sports and fitness program and service directors",55,51331,58425,
    06 Middle management occupations in retail and wholesale trade and customer services,2990,42433,52567,
      060 Corporate sales managers,270,87127,86983,
        0601 Corporate sales managers,270,87127,86983,
      062 Retail and wholesale trade managers,1815,43856,54158,
        0621 Retail and wholesale trade managers,1815,43856,54158,
      063 Managers in food service and accommodation,765,31536,39669,
        0631 Restaurant and food service managers,675,32151,37388,
        0632 Accommodation service managers,85,27564,57725,
"      065 Managers in customer and personal services, n.e.c.",145,16869,35731,
"        0651 Managers in customer and personal services, n.e.c.",140,16869,35731,
"    07-09 Middle management occupations in trades, transportation, production and utilities",1570,76568,88219,
      071 Managers in construction and facility operation and maintenance,815,65528,75062,
        0711 Construction managers,345,79829,84655,
        0712 Home building and renovation managers,145,29013,32395,
        0714 Facility operation and maintenance managers,325,65487,83838,
      073 Managers in transportation,60,77057,86980,
        0731 Managers in transportation,60,77057,86980,
      081 Managers in natural resources production and fishing,300,137967,153416,
        0811 Managers in natural resources production and fishing,300,137967,153416,
"      082 Managers in agriculture, horticulture and aquaculture",150,7533,12567,
        0821 Managers in agriculture,125,6340,13246,
        0822 Managers in horticulture,25,0,0,
        0823 Managers in aquaculture,0,0,0,
      091 Managers in manufacturing and utilities,240,83605,99050,
        0911 Manufacturing managers,185,81959,101099,
        0912 Utilities managers,55,84731,91940,
"  1 Business, finance and administration occupations",13530,42478,46388,
    11 Professional occupations in business and finance,1820,59370,75901,
"      111 Auditors, accountants and investment professionals",1140,60558,81074,
        1111 Financial auditors and accountants,620,62160,78822,
        1112 Financial and investment analysts,40,74423,70893,
"        1113 Securities agents, investment dealers and brokers",25,0,0,
        1114 Other financial officers,455,55649,86353,
      112 Human resources and business service professionals,680,55228,67235,
        1121 Human resources professionals,330,66869,85036,
        1122 Professional occupations in business management consulting,135,53489,54246,
"        1123 Professional occupations in advertising, marketing and public relations",210,45104,48169,
    12 Administrative and financial supervisors and administrative occupations,4875,46406,47870,
      121 Administrative services supervisors,395,59105,62653,
"        1211 Supervisors, general office and administrative support workers",65,63879,60719,
"        1212 Supervisors, finance and insurance office workers",90,89305,86722,
"        1213 Supervisors, library, correspondence and related information workers",40,7247,23409,
"        1214 Supervisors, mail and message distribution occupations",25,0,0,
"        1215 Supervisors, supply chain, tracking and scheduling co-ordination occupations",175,49788,59580,
      122 Administrative and regulatory occupations,2615,50072,51945,
        1221 Administrative officers,1130,44198,52402,
        1222 Executive assistants,200,59275,58810,
        1223 Human resources and recruitment officers,160,54136,53275,
        1224 Property administrators,190,31145,39678,
        1225 Purchasing agents and officers,210,62673,64623,
        1226 Conference and event planners,55,31635,28356,
        1227 Court officers and justices of the peace,35,51737,51390,
"        1228 Employment insurance, immigration, border services and revenue officers",640,53657,50256,
"      124 Office administrative assistants - general, legal and medical",1725,39397,38639,
        1241 Administrative assistants,1145,39283,39007,
        1242 Legal administrative assistants,220,44079,39662,
        1243 Medical administrative assistants,365,38736,36859,
"      125 Court reporters, transcriptionists, records management technicians and statistical officers",135,47692,43868,
"        1251 Court reporters, medical transcriptionists and related occupations",85,40607,33444,
        1252 Health information management occupations,25,0,56671,
        1253 Records management technicians,10,0,0,
        1254 Statistical officers and related research support occupations,20,0,0,
"    13 Finance, insurance and related business administrative occupations",855,39048,40994,
"      131 Finance, insurance and related business administrative occupations",860,39048,40994,
        1311 Accounting technicians and bookkeepers,585,36461,36383,
        1312 Insurance adjusters and claims examiners,170,45941,49959,
        1313 Insurance underwriters,45,61077,52716,
"        1314 Assessors, valuators and appraisers",55,53984,53275,
"        1315 Customs, ship and other brokers",0,0,0,
    14 Office support occupations,4240,35669,35222,
      141 General office workers,2265,33823,33544,
        1411 General office support workers,1525,38524,36810,
        1414 Receptionists,655,23768,25132,
        1415 Personnel clerks,70,38411,40438,
        1416 Court clerks,15,0,0,
      142 Office equipment operators,310,33241,32074,
        1422 Data entry clerks,305,33230,32153,
        1423 Desktop publishing operators and related occupations,10,0,0,
"      143 Financial, insurance and related administrative support workers",1310,41387,40260,
        1431 Accounting and related clerks,925,40050,38846,
        1432 Payroll administrators,265,43976,45473,
"        1434 Banking, insurance and other financial clerks",85,34683,39091,
        1435 Collectors,35,47362,41348,
"      145 Library, correspondence and other clerks",360,25179,30175,
        1451 Library assistants and clerks,65,13368,22131,
"        1452 Correspondence, publication and regulatory clerks",150,46133,43494,
        1454 Survey interviewers and statistical clerks,150,13216,20387,
"    15 Distribution, tracking and scheduling co-ordination occupations",1740,38652,41260,
      151 Mail and message distribution occupations,505,34200,35557,
"        1511 Mail, postal and related workers",215,29331,32875,
        1512 Letter carriers,175,49400,43844,
"        1513 Couriers, messengers and door-to-door distributors",105,21773,27376,
"      152 Supply chain logistics, tracking and scheduling co-ordination occupations",1240,39612,43569,
        1521 Shippers and receivers,450,34261,36650,
        1522 Storekeepers and partspersons,285,39615,42553,
        1523 Production logistics co-ordinators,135,63768,72838,
        1524 Purchasing and inventory control workers,100,30883,32996,
        1525 Dispatchers,230,44094,45093,
        1526 Transportation route and crew schedulers,35,58900,45222,
  2 Natural and applied sciences and related occupations,4800,66967,71629,
    21 Professional occupations in natural and applied sciences,2170,77578,84387,
      211 Physical science professionals,365,85692,94369,
        2111 Physicists and astronomers,30,0,0,
        2112 Chemists,50,42683,64431,
        2113 Geoscientists and oceanographers,285,85889,97617,
        2114 Meteorologists and climatologists,0,0,0,
        2115 Other professional occupations in physical sciences,10,0,0,
      212 Life science professionals,100,53607,53222,
        2121 Biologists and related scientists,70,53612,54309,
        2122 Forestry professionals,15,0,0,
"        2123 Agricultural representatives, consultants and specialists",10,0,0,
"      213 Civil, mechanical, electrical and chemical engineers",580,85115,90201,
        2131 Civil engineers,145,90208,89372,
        2132 Mechanical engineers,230,74178,83092,
        2133 Electrical and electronics engineers,145,82113,99812,
        2134 Chemical engineers,65,106875,96057,
      214 Other engineers,440,105629,102835,
        2141 Industrial and manufacturing engineers,25,0,0,
        2142 Metallurgical and materials engineers,55,146940,147810,
        2143 Mining engineers,330,111197,103682,
        2144 Geological engineers,10,0,0,
        2145 Petroleum engineers,0,0,0,
        2146 Aerospace engineers,0,0,0,
        2147 Computer engineers (except software engineers and designers),20,0,0,
"        2148 Other professional engineers, n.e.c.",0,0,0,
"      215 Architects, urban planners and land surveyors",135,83492,81676,
        2151 Architects,40,83096,79013,
        2152 Landscape architects,0,0,0,
        2153 Urban and land use planners,70,100145,93357,
        2154 Land surveyors,25,0,0,
"      216 Mathematicians, statisticians and actuaries",15,0,0,
"        2161 Mathematicians, statisticians and actuaries",15,0,0,
      217 Computer and information systems professionals,530,61548,63504,
        2171 Information systems analysts and consultants,275,62675,62329,
        2172 Database analysts and data administrators,35,59025,56708,
        2173 Software engineers and designers,30,0,0,
        2174 Computer programmers and interactive media developers,145,64125,59246,
        2175 Web designers and developers,45,21042,27320,
    22 Technical occupations related to natural and applied sciences,2635,59751,61111,
      221 Technical occupations in physical sciences,370,72665,68837,
