"Occupation - National Occupational Classification (NOC) 2016 (691), Employment Income Statistics (3), Highest Certificate, Diploma or Degree (7), Visible Minority (15), Work Activity During the Reference Year (4), Age (4D) and Sex (3) for the Population Aged 15 Years and Over Who Worked in 2015 and Reported Employment Income in 2015, in Private Households of Canada, Provinces and Territories and Census Metropolitan Areas, 2016 Census - 25% Sample Data",,,,
Geography = Guelph,,,,
Global non-response rate (GNR) =   3.9 %,,,,
Visible minority (15) = Total - Visible minority [1],,,,
"Highest certificate, diploma or degree (7) = Total - Highest certificate, diploma or degree [2]",,,,
Work activity during the reference year (4) = Total - Work activity during the reference year [3],,,,
Age (4D) = Total - Age,,,,
Sex (3) = Total - Sex,,,,
Occupation - National Occupational Classification (NOC) 2016 (691),Total - Number of employment income recipients [4],Median employment income in 2015 ($) [5],Average employment income in 2015 ($) [6], 
Total - Occupation - National Occupational Classification (NOC) 2016 [7],86865,40919,50582,
  0 Management occupations,9265,70485,95955,
    00 Senior management occupations,1200,109151,212742,
      001 Legislators and senior management,1200,109151,212742,
        0011 Legislators,40,0,0,
        0012 Senior government managers and officials,65,111266,135329,
"        0013 Senior managers - financial, communications and other business services",340,116732,178632,
"        0014 Senior managers - health, education, social and community services and membership organizations",155,80667,123524,
"        0015 Senior managers - trade, broadcasting and other services, n.e.c.",255,88006,134909,
"        0016 Senior managers - construction, transportation, production and utilities",345,133109,377418,
    01-05 Specialized middle management occupations,3200,86341,93821,
      011 Administrative services managers,965,79876,92692,
        0111 Financial managers,345,73796,84380,
        0112 Human resources managers,335,77355,98930,
        0113 Purchasing managers,125,98176,108393,
        0114 Other administrative services managers,160,60996,84904,
      012 Managers in financial and business services,870,80985,91888,
"        0121 Insurance, real estate and financial brokerage managers",180,115562,125885,
"        0122 Banking, credit and other investment managers",205,87305,85603,
"        0124 Advertising, marketing and public relations managers",415,72403,83582,
        0125 Other business services managers,70,55259,70212,
      013 Managers in communication (except broadcasting),75,84013,88353,
        0131 Telecommunication carriers managers,45,81553,82559,
        0132 Postal and courier services managers,30,0,98750,
"      021 Managers in engineering, architecture, science and information systems",530,102891,111878,
        0211 Engineering managers,110,110102,106681,
        0212 Architecture and science managers,105,105108,105784,
        0213 Computer and information systems managers,320,99408,115676,
      031 Managers in health care,135,92552,96945,
        0311 Managers in health care,135,92552,96945,
      041 Managers in public administration,75,101039,92707,
        0411 Government managers - health and social policy development and program administration,30,0,88328,
"        0412 Government managers - economic analysis, policy development and program administration",20,0,99436,
        0413 Government managers - education policy development and program administration,10,0,0,
        0414 Other managers in public administration,20,0,0,
      042 Managers in education and social and community services,380,91295,85011,
        0421 Administrators - post-secondary education and vocational training,130,91191,89099,
        0422 School principals and administrators of elementary and secondary education,140,109514,90860,
"        0423 Managers in social, community and correctional services",105,72887,72702,
      043 Managers in public protection services,45,86001,87713,
        0431 Commissioned police officers,0,0,0,
        0432 Fire chiefs and senior firefighting officers,15,0,0,
        0433 Commissioned officers of the Canadian Armed Forces,25,0,0,
"      051 Managers in art, culture, recreation and sport",125,71776,68641,
"        0511 Library, archive, museum and art gallery managers",15,0,0,
"        0512 Managers - publishing, motion pictures, broadcasting and performing arts",55,84169,73927,
"        0513 Recreation, sports and fitness program and service directors",55,58981,67623,
    06 Middle management occupations in retail and wholesale trade and customer services,2950,46864,66308,
      060 Corporate sales managers,465,92913,112458,
        0601 Corporate sales managers,460,92913,112458,
      062 Retail and wholesale trade managers,1695,47830,64788,
        0621 Retail and wholesale trade managers,1690,47830,64788,
      063 Managers in food service and accommodation,640,33708,42890,
        0631 Restaurant and food service managers,565,32863,40111,
        0632 Accommodation service managers,70,35559,64128,
"      065 Managers in customer and personal services, n.e.c.",150,21689,41053,
"        0651 Managers in customer and personal services, n.e.c.",150,21689,41053,
"    07-09 Middle management occupations in trades, transportation, production and utilities",1910,61003,71865,
      071 Managers in construction and facility operation and maintenance,920,60097,61439,
        0711 Construction managers,360,77960,75481,
        0712 Home building and renovation managers,255,24967,38287,
        0714 Facility operation and maintenance managers,305,63270,64182,
      073 Managers in transportation,165,81157,110139,
        0731 Managers in transportation,170,81157,110139,
      081 Managers in natural resources production and fishing,20,0,0,
        0811 Managers in natural resources production and fishing,20,0,0,
"      082 Managers in agriculture, horticulture and aquaculture",340,20013,45049,
        0821 Managers in agriculture,330,17268,44549,
        0822 Managers in horticulture,10,0,0,
        0823 Managers in aquaculture,0,0,0,
      091 Managers in manufacturing and utilities,465,88134,95525,
        0911 Manufacturing managers,440,86802,95191,
        0912 Utilities managers,30,0,100633,
"  1 Business, finance and administration occupations",11970,43521,48989,
    11 Professional occupations in business and finance,2525,58726,73583,
"      111 Auditors, accountants and investment professionals",1330,62796,83792,
        1111 Financial auditors and accountants,665,68519,80605,
        1112 Financial and investment analysts,160,58831,108397,
"        1113 Securities agents, investment dealers and brokers",45,45969,70960,
        1114 Other financial officers,460,60735,80932,
      112 Human resources and business service professionals,1195,55456,62214,
        1121 Human resources professionals,395,55525,64730,
        1122 Professional occupations in business management consulting,390,65865,70367,
"        1123 Professional occupations in advertising, marketing and public relations",410,42677,51992,
    12 Administrative and financial supervisors and administrative occupations,3890,45278,47415,
      121 Administrative services supervisors,420,58129,57188,
"        1211 Supervisors, general office and administrative support workers",65,52989,54829,
"        1212 Supervisors, finance and insurance office workers",55,80524,84019,
"        1213 Supervisors, library, correspondence and related information workers",15,0,0,
"        1214 Supervisors, mail and message distribution occupations",15,0,0,
"        1215 Supervisors, supply chain, tracking and scheduling co-ordination occupations",260,47785,54474,
      122 Administrative and regulatory occupations,2235,47668,49657,
        1221 Administrative officers,1285,46603,49116,
        1222 Executive assistants,205,56137,53091,
        1223 Human resources and recruitment officers,90,52320,53582,
        1224 Property administrators,235,34024,41780,
        1225 Purchasing agents and officers,240,58244,57943,
        1226 Conference and event planners,115,28106,34497,
        1227 Court officers and justices of the peace,35,72654,85911,
"        1228 Employment insurance, immigration, border services and revenue officers",40,56488,51182,
"      124 Office administrative assistants - general, legal and medical",1150,40773,39678,
        1241 Administrative assistants,895,41234,39967,
        1242 Legal administrative assistants,75,42673,45567,
        1243 Medical administrative assistants,170,35843,35622,
"      125 Court reporters, transcriptionists, records management technicians and statistical officers",95,45806,45177,
"        1251 Court reporters, medical transcriptionists and related occupations",35,9192,17013,
        1252 Health information management occupations,20,0,0,
        1253 Records management technicians,15,0,0,
        1254 Statistical officers and related research support occupations,20,0,0,
"    13 Finance, insurance and related business administrative occupations",870,44145,47198,
"      131 Finance, insurance and related business administrative occupations",865,44145,47198,
        1311 Accounting technicians and bookkeepers,530,34695,38519,
        1312 Insurance adjusters and claims examiners,145,56056,57195,
        1313 Insurance underwriters,135,61096,63959,
"        1314 Assessors, valuators and appraisers",40,64260,63244,
"        1315 Customs, ship and other brokers",15,0,0,
    14 Office support occupations,2990,32864,33447,
      141 General office workers,1630,27998,29695,
        1411 General office support workers,955,31889,32613,
        1414 Receptionists,605,20799,22533,
        1415 Personnel clerks,70,43928,51476,
        1416 Court clerks,0,0,0,
      142 Office equipment operators,185,30327,31734,
        1422 Data entry clerks,175,32720,31903,
        1423 Desktop publishing operators and related occupations,0,0,0,
"      143 Financial, insurance and related administrative support workers",835,41742,43056,
        1431 Accounting and related clerks,530,41017,41973,
        1432 Payroll administrators,160,49344,51137,
"        1434 Banking, insurance and other financial clerks",115,33893,35994,
        1435 Collectors,35,50477,46558,
"      145 Library, correspondence and other clerks",345,14661,28741,
        1451 Library assistants and clerks,155,10827,20268,
"        1452 Correspondence, publication and regulatory clerks",115,48547,57578,
        1454 Survey interviewers and statistical clerks,75,624,1242,
"    15 Distribution, tracking and scheduling co-ordination occupations",1690,44851,44305,
      151 Mail and message distribution occupations,230,53790,47301,
"        1511 Mail, postal and related workers",35,34842,35983,
        1512 Letter carriers,135,58203,53954,
"        1513 Couriers, messengers and door-to-door distributors",55,42962,38587,
"      152 Supply chain logistics, tracking and scheduling co-ordination occupations",1465,43784,43832,
        1521 Shippers and receivers,685,38730,39232,
        1522 Storekeepers and partspersons,220,38345,46193,
        1523 Production logistics co-ordinators,155,53277,53618,
        1524 Purchasing and inventory control workers,180,44015,42549,
        1525 Dispatchers,195,49443,49598,
        1526 Transportation route and crew schedulers,30,0,0,
  2 Natural and applied sciences and related occupations,6260,65265,69134,
    21 Professional occupations in natural and applied sciences,3565,72615,74914,
      211 Physical science professionals,165,69837,75281,
        2111 Physicists and astronomers,10,0,0,
        2112 Chemists,95,69901,80534,
        2113 Geoscientists and oceanographers,40,84159,70146,
        2114 Meteorologists and climatologists,0,0,0,
        2115 Other professional occupations in physical sciences,20,0,0,
      212 Life science professionals,425,64416,66266,
        2121 Biologists and related scientists,380,62709,67179,
        2122 Forestry professionals,0,0,0,
"        2123 Agricultural representatives, consultants and specialists",40,80045,62285,
"      213 Civil, mechanical, electrical and chemical engineers",835,80191,84788,
        2131 Civil engineers,330,84635,90708,
        2132 Mechanical engineers,300,74208,76132,
        2133 Electrical and electronics engineers,135,84515,84526,
        2134 Chemical engineers,65,81570,95309,
      214 Other engineers,380,81513,81595,
        2141 Industrial and manufacturing engineers,210,75129,70523,
        2142 Metallurgical and materials engineers,30,0,124893,
        2143 Mining engineers,0,0,0,
        2144 Geological engineers,25,0,0,
        2145 Petroleum engineers,0,0,0,
        2146 Aerospace engineers,15,0,0,
        2147 Computer engineers (except software engineers and designers),95,81751,89662,
"        2148 Other professional engineers, n.e.c.",10,0,0,
"      215 Architects, urban planners and land surveyors",210,55571,57964,
        2151 Architects,35,39589,53450,
        2152 Landscape architects,85,37014,47585,
        2153 Urban and land use planners,70,70571,72083,
        2154 Land surveyors,20,0,0,
"      216 Mathematicians, statisticians and actuaries",90,84139,93294,
"        2161 Mathematicians, statisticians and actuaries",85,84139,93294,
      217 Computer and information systems professionals,1470,69968,71352,
        2171 Information systems analysts and consultants,605,77643,75480,
        2172 Database analysts and data administrators,85,63364,66215,
        2173 Software engineers and designers,190,71944,84171,
        2174 Computer programmers and interactive media developers,465,68998,71244,
        2175 Web designers and developers,125,39205,36266,
    22 Technical occupations related to natural and applied sciences,2700,57377,61501,
      221 Technical occupations in physical sciences,210,50635,52588,
        2211 Chemical technologists and technicians,185,51983,52997,
        2212 Geological and mineral technologists and technicians,25,0,49847,
      222 Technical occupations in life sciences,335,44279,46468,
        2221 Biological technologists and technicians,115,42160,36699,
        2222 Agricultural and fish products inspectors,80,71676,65443,
        2223 Forestry technologists and technicians,15,0,0,
        2224 Conservation and fishery officers,15,0,0,
        2225 Landscape and horticulture technicians and specialists,115,35053,42261,
"      223 Technical occupations in civil, mechanical and industrial engineering",530,62604,62671,
        2231 Civil engineering technologists and technicians,80,26362,53704,
        2232 Mechanical engineering technologists and technicians,125,60276,58004,
        2233 Industrial engineering and manufacturing technologists and technicians,215,64726,62592,
        2234 Construction estimators,110,64505,74690,
      224 Technical occupations in electronics and electrical engineering,435,43179,45286,
        2241 Electrical and electronics engineering technologists and technicians,165,52897,52332,
        2242 Electronic service technicians (household and business equipment),240,34991,37694,
        2243 Industrial instrument technicians and mechanics,15,0,0,
"        2244 Aircraft instrument, electrical and avionics mechanics, technicians and inspectors",15,0,0,
"      225 Technical occupations in architecture, drafting, surveying, geomatics and meteorology",220,45602,45510,
        2251 Architectural technologists and technicians,40,32118,43150,
        2252 Industrial designers,15,0,0,
        2253 Drafting technologists and technicians,95,47306,50975,
        2254 Land survey technologists and technicians,30,0,0,
        2255 Technical occupations in geomatics and meteorology,40,39369,44345,
      226 Other technical inspectors and regulatory officers,265,70627,71678,
        2261 Non-destructive testers and inspection technicians,20,0,0,
        2262 Engineering inspectors and regulatory officers,10,0,0,
        2263 Inspectors in public and environmental health and occupational health and safety,175,77844,69846,
        2264 Construction inspectors,60,79377,77162,
      227 Transportation officers and controllers,245,118383,125967,
"        2271 Air pilots, flight engineers and flying instructors",215,121768,129798,
        2272 Air traffic controllers and related occupations,15,0,0,
"        2273 Deck officers, water transport",10,0,0,
"        2274 Engineer officers, water transport",0,0,0,
        2275 Railway traffic controllers and marine traffic regulators,0,0,0,
      228 Technical occupations in computer and information systems,455,58465,57660,
        2281 Computer network technicians,240,57306,56042,
        2282 User support technicians,175,59994,60140,
        2283 Information systems testing technicians,45,62961,56701,
  3 Health occupations,4855,47628,56306,
    30 Professional occupations in nursing,1000,62702,62191,
      301 Professional occupations in nursing,1000,62702,62191,
        3011 Nursing co-ordinators and supervisors,45,62619,62005,
        3012 Registered nurses and registered psychiatric nurses,950,62786,62201,
    31 Professional occupations in health (except nursing),1380,67715,81656,
"      311 Physicians, dentists and veterinarians",625,78149,102547,
        3111 Specialist physicians,180,113062,135026,
        3112 General practitioners and family physicians,165,67799,88467,
        3113 Dentists,70,108167,143507,
        3114 Veterinarians,215,56658,73450,
"      312 Optometrists, chiropractors and other health diagnosing and treating professionals",235,80372,73133,
        3121 Optometrists,20,0,0,
        3122 Chiropractors,80,59636,68437,
        3124 Allied primary health practitioners,80,90546,92293,
        3125 Other professional occupations in health diagnosing and treating,45,25414,49355,
"      313 Pharmacists, dietitians and nutritionists",190,65863,69486,
        3131 Pharmacists,120,98829,85272,
        3132 Dietitians and nutritionists,70,37748,40238,
      314 Therapy and assessment professionals,330,52041,55038,
        3141 Audiologists and speech-language pathologists,60,70901,54295,
        3142 Physiotherapists,90,60378,67722,
        3143 Occupational therapists,100,52788,56594,
        3144 Other professional occupations in therapy and assessment,75,37710,38422,
    32 Technical occupations in health,1515,41934,44138,
      321 Medical technologists and technicians (except dental health),760,40323,41267,
        3211 Medical laboratory technologists,75,59363,58154,
        3212 Medical laboratory technicians and pathologists' assistants,85,38917,36036,
        3213 Animal health technologists and veterinary technicians,235,31285,33089,
"        3214 Respiratory therapists, clinical perfusionists and cardiopulmonary technologists",45,82968,69685,
        3215 Medical radiation technologists,60,60160,50469,
        3216 Medical sonographers,35,0,71588,
"        3217 Cardiology technologists and electrophysiological diagnostic technologists, n.e.c.",0,0,0,
        3219 Other medical technologists and technicians (except dental health),225,30519,34276,
      322 Technical occupations in dental health care,130,48514,46975,
        3221 Denturists,0,0,0,
        3222 Dental hygienists and dental therapists,110,48972,45805,
"        3223 Dental technologists, technicians and laboratory assistants",15,0,0,
      323 Other technical occupations in health care,620,44161,47041,
        3231 Opticians,35,0,55801,
        3232 Practitioners of natural healing,55,11019,19628,
        3233 Licensed practical nurses,230,49797,44689,
        3234 Paramedical occupations,100,88168,87386,
        3236 Massage therapists,160,24006,28374,
        3237 Other technical occupations in therapy and assessment,50,39861,59214,
    34 Assisting occupations in support of health services,965,34038,33128,
      341 Assisting occupations in support of health services,965,34038,33128,
        3411 Dental assistants,90,35859,37451,
"        3413 Nurse aides, orderlies and patient service associates",780,34033,32497,
        3414 Other assisting occupations in support of health services,95,31958,34201,
"  4 Occupations in education, law and social, community and government services",11845,49927,56903,
    40 Professional occupations in education services,5435,61450,61863,
      401 University professors and post-secondary assistants,2210,38696,59379,
        4011 University professors and lecturers,995,114199,104860,
        4012 Post-secondary teaching and research assistants,1220,12139,22185,
      402 College and other vocational instructors,245,60195,59596,
        4021 College and other vocational instructors,245,60195,59596,
      403 Secondary and elementary school teachers and educational counsellors,2970,69490,63900,
        4031 Secondary school teachers,940,84060,71624,
        4032 Elementary school and kindergarten teachers,1915,64254,60486,
        4033 Educational counsellors,120,59857,58159,
"    41 Professional occupations in law and social, community and government services",2315,66884,69352,
"      411 Judges, lawyers and Quebec notaries",260,112555,128414,
        4111 Judges,10,0,0,
        4112 Lawyers and Quebec notaries,250,112313,123574,
      415 Social and community service professionals,830,54352,52267,
        4151 Psychologists,115,37879,47453,
        4152 Social workers,335,67315,59929,
"        4153 Family, marriage and other related counsellors",85,52330,49033,
        4154 Professional occupations in religion,200,42427,42128,
        4155 Probation and parole officers and related occupations,35,83010,70509,
        4156 Employment counsellors,60,47928,46911,
"      416 Policy and program researchers, consultants and officers",1225,68414,68432,
"        4161 Natural and applied science policy researchers, consultants and program officers",235,74687,73986,
