"Occupation - National Occupational Classification (NOC) 2016 (691), Employment Income Statistics (3), Highest Certificate, Diploma or Degree (7), Visible Minority (15), Work Activity During the Reference Year (4), Age (4D) and Sex (3) for the Population Aged 15 Years and Over Who Worked in 2015 and Reported Employment Income in 2015, in Private Households of Canada, Provinces and Territories and Census Metropolitan Areas, 2016 Census - 25% Sample Data",,,,
Geography = Halifax,,,,
Global non-response rate (GNR) =   4.7 %,,,,
Visible minority (15) = Total - Visible minority [1],,,,
"Highest certificate, diploma or degree (7) = Total - Highest certificate, diploma or degree [2]",,,,
Work activity during the reference year (4) = Total - Work activity during the reference year [3],,,,
Age (4D) = Total - Age,,,,
Sex (3) = Total - Sex,,,,
Occupation - National Occupational Classification (NOC) 2016 (691),Total - Number of employment income recipients [4],Median employment income in 2015 ($) [5],Average employment income in 2015 ($) [6], 
Total - Occupation - National Occupational Classification (NOC) 2016 [7],224380,36808,46542,
  0 Management occupations,23735,65774,82190,
    00 Senior management occupations,2480,101493,164614,
      001 Legislators and senior management,2480,101493,164614,
        0011 Legislators,90,84018,82015,
        0012 Senior government managers and officials,320,97462,107716,
"        0013 Senior managers - financial, communications and other business services",715,129768,236439,
"        0014 Senior managers - health, education, social and community services and membership organizations",450,93399,101582,
"        0015 Senior managers - trade, broadcasting and other services, n.e.c.",455,89267,147622,
"        0016 Senior managers - construction, transportation, production and utilities",460,131413,187319,
    01-05 Specialized middle management occupations,10060,78311,80874,
      011 Administrative services managers,2440,75326,80372,
        0111 Financial managers,945,74144,84004,
        0112 Human resources managers,825,77797,80625,
        0113 Purchasing managers,270,76241,82350,
        0114 Other administrative services managers,400,70716,69936,
      012 Managers in financial and business services,2290,67340,78610,
"        0121 Insurance, real estate and financial brokerage managers",390,78407,101836,
"        0122 Banking, credit and other investment managers",760,75796,78663,
"        0124 Advertising, marketing and public relations managers",785,66927,73624,
        0125 Other business services managers,355,46481,63882,
      013 Managers in communication (except broadcasting),250,79726,75724,
        0131 Telecommunication carriers managers,185,79712,77416,
        0132 Postal and courier services managers,65,80907,70950,
"      021 Managers in engineering, architecture, science and information systems",1235,86977,90436,
        0211 Engineering managers,340,96827,97047,
        0212 Architecture and science managers,155,89234,94622,
        0213 Computer and information systems managers,745,81712,86553,
      031 Managers in health care,475,85477,85528,
        0311 Managers in health care,475,85477,85528,
      041 Managers in public administration,420,92534,90803,
        0411 Government managers - health and social policy development and program administration,110,92275,92155,
"        0412 Government managers - economic analysis, policy development and program administration",170,98470,91359,
        0413 Government managers - education policy development and program administration,45,83256,80488,
        0414 Other managers in public administration,100,92221,92964,
      042 Managers in education and social and community services,1190,73380,74933,
        0421 Administrators - post-secondary education and vocational training,440,70505,79361,
        0422 School principals and administrators of elementary and secondary education,385,91509,91706,
"        0423 Managers in social, community and correctional services",370,43509,52280,
      043 Managers in public protection services,1390,88003,86617,
        0431 Commissioned police officers,10,0,0,
        0432 Fire chiefs and senior firefighting officers,20,0,0,
        0433 Commissioned officers of the Canadian Armed Forces,1365,87778,85956,
"      051 Managers in art, culture, recreation and sport",365,45360,49580,
"        0511 Library, archive, museum and art gallery managers",105,58785,55121,
"        0512 Managers - publishing, motion pictures, broadcasting and performing arts",100,39139,51018,
"        0513 Recreation, sports and fitness program and service directors",155,41312,44728,
    06 Middle management occupations in retail and wholesale trade and customer services,8040,43011,59023,
      060 Corporate sales managers,1050,94511,104431,
        0601 Corporate sales managers,1050,94511,104431,
      062 Retail and wholesale trade managers,4770,43689,58676,
        0621 Retail and wholesale trade managers,4775,43689,58676,
      063 Managers in food service and accommodation,1855,31162,37990,
        0631 Restaurant and food service managers,1540,30819,35732,
        0632 Accommodation service managers,315,34429,49136,
"      065 Managers in customer and personal services, n.e.c.",365,30283,39655,
"        0651 Managers in customer and personal services, n.e.c.",360,30283,39655,
"    07-09 Middle management occupations in trades, transportation, production and utilities",3150,61969,80536,
      071 Managers in construction and facility operation and maintenance,1890,57480,75018,
        0711 Construction managers,845,64024,94550,
        0712 Home building and renovation managers,270,26225,36047,
        0714 Facility operation and maintenance managers,770,61882,67309,
      073 Managers in transportation,430,68666,86893,
        0731 Managers in transportation,425,68666,86893,
      081 Managers in natural resources production and fishing,85,132813,181587,
        0811 Managers in natural resources production and fishing,80,132813,181587,
"      082 Managers in agriculture, horticulture and aquaculture",175,13908,24464,
        0821 Managers in agriculture,130,9220,21366,
        0822 Managers in horticulture,20,0,0,
        0823 Managers in aquaculture,25,0,0,
      091 Managers in manufacturing and utilities,580,74541,96746,
        0911 Manufacturing managers,440,69872,81550,
        0912 Utilities managers,135,94219,144916,
"  1 Business, finance and administration occupations",37740,39614,44900,
    11 Professional occupations in business and finance,8310,50470,64136,
"      111 Auditors, accountants and investment professionals",5195,49531,68780,
        1111 Financial auditors and accountants,2985,45332,57911,
        1112 Financial and investment analysts,560,55655,86979,
"        1113 Securities agents, investment dealers and brokers",85,38740,73722,
        1114 Other financial officers,1560,55683,82738,
      112 Human resources and business service professionals,3115,52141,56388,
        1121 Human resources professionals,1065,58333,61863,
        1122 Professional occupations in business management consulting,820,58416,63919,
"        1123 Professional occupations in advertising, marketing and public relations",1235,38965,46654,
    12 Administrative and financial supervisors and administrative occupations,12675,41944,44298,
      121 Administrative services supervisors,1205,52166,54765,
"        1211 Supervisors, general office and administrative support workers",190,49541,53585,
"        1212 Supervisors, finance and insurance office workers",300,54808,56156,
"        1213 Supervisors, library, correspondence and related information workers",75,22706,33252,
"        1214 Supervisors, mail and message distribution occupations",85,71331,61729,
"        1215 Supervisors, supply chain, tracking and scheduling co-ordination occupations",560,50325,56195,
      122 Administrative and regulatory occupations,6945,44133,47174,
        1221 Administrative officers,3665,41819,43110,
        1222 Executive assistants,615,52129,63322,
        1223 Human resources and recruitment officers,410,51496,55688,
        1224 Property administrators,955,33732,38803,
        1225 Purchasing agents and officers,495,53306,57394,
        1226 Conference and event planners,320,38485,38590,
        1227 Court officers and justices of the peace,115,52433,65290,
"        1228 Employment insurance, immigration, border services and revenue officers",375,61019,60992,
"      124 Office administrative assistants - general, legal and medical",4055,38227,36579,
        1241 Administrative assistants,2725,38174,35925,
        1242 Legal administrative assistants,480,41085,42517,
        1243 Medical administrative assistants,850,38180,35322,
"      125 Court reporters, transcriptionists, records management technicians and statistical officers",465,38379,41491,
"        1251 Court reporters, medical transcriptionists and related occupations",240,27982,32029,
        1252 Health information management occupations,60,50168,56857,
        1253 Records management technicians,75,48533,49046,
        1254 Statistical officers and related research support occupations,95,48309,49209,
"    13 Finance, insurance and related business administrative occupations",2400,43150,48128,
"      131 Finance, insurance and related business administrative occupations",2405,43150,48128,
        1311 Accounting technicians and bookkeepers,1220,26050,37523,
        1312 Insurance adjusters and claims examiners,595,60146,61169,
        1313 Insurance underwriters,425,50225,55203,
"        1314 Assessors, valuators and appraisers",140,63582,65366,
"        1315 Customs, ship and other brokers",25,0,0,
    14 Office support occupations,10425,32315,32127,
      141 General office workers,5350,29184,29841,
        1411 General office support workers,3345,33003,32468,
        1414 Receptionists,1760,21204,23278,
        1415 Personnel clerks,195,42002,41246,
        1416 Court clerks,45,42889,41946,
      142 Office equipment operators,705,28241,29969,
        1422 Data entry clerks,680,28199,29798,
        1423 Desktop publishing operators and related occupations,20,0,0,
"      143 Financial, insurance and related administrative support workers",3105,39109,39022,
        1431 Accounting and related clerks,1825,36485,36883,
        1432 Payroll administrators,750,44088,42152,
"        1434 Banking, insurance and other financial clerks",415,39166,42253,
        1435 Collectors,120,43023,41005,
"      145 Library, correspondence and other clerks",1270,22810,26073,
        1451 Library assistants and clerks,400,25794,25545,
"        1452 Correspondence, publication and regulatory clerks",305,42899,46392,
        1454 Survey interviewers and statistical clerks,565,8103,15457,
"    15 Distribution, tracking and scheduling co-ordination occupations",3935,36741,38089,
      151 Mail and message distribution occupations,1225,38276,36823,
"        1511 Mail, postal and related workers",520,36490,35334,
        1512 Letter carriers,325,57814,52165,
"        1513 Couriers, messengers and door-to-door distributors",375,13748,25786,
"      152 Supply chain logistics, tracking and scheduling co-ordination occupations",2710,36329,38660,
        1521 Shippers and receivers,945,31038,31650,
        1522 Storekeepers and partspersons,465,38261,37081,
        1523 Production logistics co-ordinators,330,50743,52977,
        1524 Purchasing and inventory control workers,425,32051,33597,
        1525 Dispatchers,445,43815,46739,
        1526 Transportation route and crew schedulers,100,43784,50186,
  2 Natural and applied sciences and related occupations,17660,63228,66915,
