"Occupation - National Occupational Classification (NOC) 2016 (691), Employment Income Statistics (3), Highest Certificate, Diploma or Degree (7), Visible Minority (15), Work Activity During the Reference Year (4), Age (4D) and Sex (3) for the Population Aged 15 Years and Over Who Worked in 2015 and Reported Employment Income in 2015, in Private Households of Canada, Provinces and Territories and Census Metropolitan Areas, 2016 Census - 25% Sample Data",,,,
Geography = Hamilton,,,,
Global non-response rate (GNR) =   4.5 %,,,,
Visible minority (15) = Total - Visible minority [1],,,,
"Highest certificate, diploma or degree (7) = Total - Highest certificate, diploma or degree [2]",,,,
Work activity during the reference year (4) = Total - Work activity during the reference year [3],,,,
Age (4D) = Total - Age,,,,
Sex (3) = Total - Sex,,,,
Occupation - National Occupational Classification (NOC) 2016 (691),Total - Number of employment income recipients [4],Median employment income in 2015 ($) [5],Average employment income in 2015 ($) [6], 
Total - Occupation - National Occupational Classification (NOC) 2016 [7],390570,39498,51538,
  0 Management occupations,43765,70407,91262,
    00 Senior management occupations,4755,109711,171845,
      001 Legislators and senior management,4755,109711,171845,
        0011 Legislators,40,42645,45627,
        0012 Senior government managers and officials,185,109116,145752,
"        0013 Senior managers - financial, communications and other business services",1435,118515,153633,
"        0014 Senior managers - health, education, social and community services and membership organizations",620,99822,118990,
"        0015 Senior managers - trade, broadcasting and other services, n.e.c.",1205,103268,183978,
"        0016 Senior managers - construction, transportation, production and utilities",1265,135493,214867,
    01-05 Specialized middle management occupations,15030,89163,99306,
      011 Administrative services managers,4315,90801,101228,
        0111 Financial managers,1705,93062,106978,
        0112 Human resources managers,1305,91350,97566,
        0113 Purchasing managers,625,95375,102996,
        0114 Other administrative services managers,690,80780,92302,
      012 Managers in financial and business services,4485,80990,98782,
"        0121 Insurance, real estate and financial brokerage managers",735,92605,108119,
"        0122 Banking, credit and other investment managers",1345,86365,105066,
"        0124 Advertising, marketing and public relations managers",1945,79637,92287,
        0125 Other business services managers,460,53679,92880,
      013 Managers in communication (except broadcasting),450,85723,87013,
        0131 Telecommunication carriers managers,325,97815,93771,
        0132 Postal and courier services managers,125,56439,69838,
"      021 Managers in engineering, architecture, science and information systems",2155,108829,118735,
        0211 Engineering managers,530,113571,119687,
        0212 Architecture and science managers,260,95146,103788,
        0213 Computer and information systems managers,1360,110007,121227,
      031 Managers in health care,930,87367,92783,
        0311 Managers in health care,930,87367,92783,
      041 Managers in public administration,295,106089,107150,
        0411 Government managers - health and social policy development and program administration,105,114174,109188,
"        0412 Government managers - economic analysis, policy development and program administration",90,105999,116618,
        0413 Government managers - education policy development and program administration,10,0,0,
        0414 Other managers in public administration,85,101600,101130,
      042 Managers in education and social and community services,1875,84527,87677,
        0421 Administrators - post-secondary education and vocational training,500,70054,88161,
        0422 School principals and administrators of elementary and secondary education,835,108206,98060,
"        0423 Managers in social, community and correctional services",540,69765,71189,
      043 Managers in public protection services,110,88649,104463,
        0431 Commissioned police officers,30,0,123245,
        0432 Fire chiefs and senior firefighting officers,25,0,166984,
