"Occupation - National Occupational Classification (NOC) 2016 (691), Employment Income Statistics (3), Highest Certificate, Diploma or Degree (7), Visible Minority (15), Work Activity During the Reference Year (4), Age (4D) and Sex (3) for the Population Aged 15 Years and Over Who Worked in 2015 and Reported Employment Income in 2015, in Private Households of Canada, Provinces and Territories and Census Metropolitan Areas, 2016 Census - 25% Sample Data",,,,
Geography = Kelowna,,,,
Global non-response rate (GNR) =   6.0 %,,,,
Visible minority (15) = Total - Visible minority [1],,,,
"Highest certificate, diploma or degree (7) = Total - Highest certificate, diploma or degree [2]",,,,
Work activity during the reference year (4) = Total - Work activity during the reference year [3],,,,
Age (4D) = Total - Age,,,,
Sex (3) = Total - Sex,,,,
Occupation - National Occupational Classification (NOC) 2016 (691),Total - Number of employment income recipients [4],Median employment income in 2015 ($) [5],Average employment income in 2015 ($) [6], 
Total - Occupation - National Occupational Classification (NOC) 2016 [7],103190,34915,45779,
  0 Management occupations,11575,54074,68082,
    00 Senior management occupations,1045,78223,114637,
      001 Legislators and senior management,1050,78223,114637,
        0011 Legislators,20,0,109850,
        0012 Senior government managers and officials,55,105230,111201,
"        0013 Senior managers - financial, communications and other business services",305,80191,114198,
"        0014 Senior managers - health, education, social and community services and membership organizations",110,89142,98822,
"        0015 Senior managers - trade, broadcasting and other services, n.e.c.",245,60814,105348,
"        0016 Senior managers - construction, transportation, production and utilities",310,69374,129048,
    01-05 Specialized middle management occupations,3115,67157,75589,
      011 Administrative services managers,770,63386,74341,
        0111 Financial managers,385,66833,71262,
        0112 Human resources managers,145,76972,82792,
        0113 Purchasing managers,65,59559,62142,
        0114 Other administrative services managers,170,52267,79047,
      012 Managers in financial and business services,1165,61993,73222,
"        0121 Insurance, real estate and financial brokerage managers",215,77774,92538,
"        0122 Banking, credit and other investment managers",380,69573,82534,
"        0124 Advertising, marketing and public relations managers",335,52992,60712,
        0125 Other business services managers,240,50563,58069,
      013 Managers in communication (except broadcasting),70,94323,98837,
        0131 Telecommunication carriers managers,50,103212,111067,
        0132 Postal and courier services managers,15,0,0,
"      021 Managers in engineering, architecture, science and information systems",280,71629,91015,
        0211 Engineering managers,60,75741,121341,
        0212 Architecture and science managers,30,96836,109620,
        0213 Computer and information systems managers,195,68622,78800,
      031 Managers in health care,220,86749,87774,
        0311 Managers in health care,215,86749,87774,
      041 Managers in public administration,60,88809,86895,
        0411 Government managers - health and social policy development and program administration,15,0,0,
"        0412 Government managers - economic analysis, policy development and program administration",20,0,0,
        0413 Government managers - education policy development and program administration,0,0,0,
        0414 Other managers in public administration,25,0,0,
      042 Managers in education and social and community services,335,62162,71242,
        0421 Administrators - post-secondary education and vocational training,80,79040,84782,
        0422 School principals and administrators of elementary and secondary education,125,96213,82912,
"        0423 Managers in social, community and correctional services",130,49201,51528,
      043 Managers in public protection services,65,56183,55408,
        0431 Commissioned police officers,10,0,0,
        0432 Fire chiefs and senior firefighting officers,10,0,0,
        0433 Commissioned officers of the Canadian Armed Forces,50,38183,42077,
"      051 Managers in art, culture, recreation and sport",145,46826,57077,
"        0511 Library, archive, museum and art gallery managers",30,0,0,
"        0512 Managers - publishing, motion pictures, broadcasting and performing arts",50,50112,66206,
"        0513 Recreation, sports and fitness program and service directors",70,46619,53643,
    06 Middle management occupations in retail and wholesale trade and customer services,4445,45119,55447,
      060 Corporate sales managers,430,92380,103563,
        0601 Corporate sales managers,425,92380,103563,
      062 Retail and wholesale trade managers,2710,47780,56669,
        0621 Retail and wholesale trade managers,2710,47780,56669,
      063 Managers in food service and accommodation,1050,33807,37373,
        0631 Restaurant and food service managers,815,33793,37802,
        0632 Accommodation service managers,225,35890,35842,
"      065 Managers in customer and personal services, n.e.c.",255,35391,35958,
"        0651 Managers in customer and personal services, n.e.c.",260,35391,35958,
"    07-09 Middle management occupations in trades, transportation, production and utilities",2965,49750,62699,
      071 Managers in construction and facility operation and maintenance,1530,58382,68361,
        0711 Construction managers,730,78016,82491,
        0712 Home building and renovation managers,415,42156,47431,
        0714 Facility operation and maintenance managers,385,50878,64183,
      073 Managers in transportation,190,81102,90239,
        0731 Managers in transportation,185,81102,90239,
      081 Managers in natural resources production and fishing,65,131126,117186,
        0811 Managers in natural resources production and fishing,65,131126,117186,
"      082 Managers in agriculture, horticulture and aquaculture",670,11692,21990,
        0821 Managers in agriculture,625,10508,20301,
        0822 Managers in horticulture,35,32022,41670,
        0823 Managers in aquaculture,10,0,0,
      091 Managers in manufacturing and utilities,520,61317,81674,
        0911 Manufacturing managers,455,60124,75930,
        0912 Utilities managers,60,101583,122971,
"  1 Business, finance and administration occupations",15070,38673,45542,
    11 Professional occupations in business and finance,2740,53594,72338,
"      111 Auditors, accountants and investment professionals",1815,58213,82911,
        1111 Financial auditors and accountants,935,58241,67842,
        1112 Financial and investment analysts,110,69005,132424,
"        1113 Securities agents, investment dealers and brokers",60,0,0,
        1114 Other financial officers,710,59816,91365,
      112 Human resources and business service professionals,930,43647,51649,
        1121 Human resources professionals,235,64696,67133,
        1122 Professional occupations in business management consulting,315,39874,50810,
"        1123 Professional occupations in advertising, marketing and public relations",380,35789,42742,
    12 Administrative and financial supervisors and administrative occupations,4840,39981,44255,
      121 Administrative services supervisors,345,46178,48824,
"        1211 Supervisors, general office and administrative support workers",40,50802,51101,
"        1212 Supervisors, finance and insurance office workers",85,46138,38735,
"        1213 Supervisors, library, correspondence and related information workers",0,0,0,
"        1214 Supervisors, mail and message distribution occupations",15,0,0,
"        1215 Supervisors, supply chain, tracking and scheduling co-ordination occupations",200,43654,51021,
      122 Administrative and regulatory occupations,2770,42681,49455,
        1221 Administrative officers,1680,43537,47188,
        1222 Executive assistants,175,44798,97446,
        1223 Human resources and recruitment officers,110,46704,48589,
        1224 Property administrators,345,34890,39116,
        1225 Purchasing agents and officers,170,54791,56162,
        1226 Conference and event planners,175,23820,29584,
        1227 Court officers and justices of the peace,10,0,0,
"        1228 Employment insurance, immigration, border services and revenue officers",110,55874,55372,
"      124 Office administrative assistants - general, legal and medical",1535,36142,35564,
        1241 Administrative assistants,1050,34800,34520,
        1242 Legal administrative assistants,285,36259,36337,
        1243 Medical administrative assistants,200,41018,39944,
"      125 Court reporters, transcriptionists, records management technicians and statistical officers",185,23988,29537,
"        1251 Court reporters, medical transcriptionists and related occupations",140,16130,25050,
        1252 Health information management occupations,15,0,0,
        1253 Records management technicians,15,0,0,
        1254 Statistical officers and related research support occupations,15,0,0,
"    13 Finance, insurance and related business administrative occupations",1515,35067,38763,
"      131 Finance, insurance and related business administrative occupations",1515,35067,38763,
        1311 Accounting technicians and bookkeepers,1200,31073,33374,
        1312 Insurance adjusters and claims examiners,160,66557,66018,
        1313 Insurance underwriters,45,76361,79821,
"        1314 Assessors, valuators and appraisers",105,43574,40638,
"        1315 Customs, ship and other brokers",0,0,0,
    14 Office support occupations,4345,32571,33129,
      141 General office workers,2795,30217,31131,
        1411 General office support workers,1620,32188,33145,
        1414 Receptionists,1100,27218,27844,
        1415 Personnel clerks,60,30530,33623,
        1416 Court clerks,20,0,0,
      142 Office equipment operators,180,29401,30319,
        1422 Data entry clerks,170,29400,30106,
        1423 Desktop publishing operators and related occupations,10,0,0,
"      143 Financial, insurance and related administrative support workers",1105,39172,39490,
        1431 Accounting and related clerks,760,39256,39843,
        1432 Payroll administrators,170,43868,40461,
"        1434 Banking, insurance and other financial clerks",100,37805,44027,
        1435 Collectors,80,23874,28210,
"      145 Library, correspondence and other clerks",260,28004,29425,
        1451 Library assistants and clerks,75,33461,30024,
"        1452 Correspondence, publication and regulatory clerks",90,43838,48363,
        1454 Survey interviewers and statistical clerks,95,798,12044,
"    15 Distribution, tracking and scheduling co-ordination occupations",1635,41830,43700,
      151 Mail and message distribution occupations,485,40535,39734,
"        1511 Mail, postal and related workers",75,25333,30948,
        1512 Letter carriers,185,55980,47377,
"        1513 Couriers, messengers and door-to-door distributors",225,36438,36286,
"      152 Supply chain logistics, tracking and scheduling co-ordination occupations",1150,42269,45372,
        1521 Shippers and receivers,405,37707,37355,
        1522 Storekeepers and partspersons,255,42261,48348,
        1523 Production logistics co-ordinators,115,43228,43841,
        1524 Purchasing and inventory control workers,165,41176,42820,
        1525 Dispatchers,185,60802,60541,
        1526 Transportation route and crew schedulers,20,0,0,
  2 Natural and applied sciences and related occupations,5250,59682,68034,
    21 Professional occupations in natural and applied sciences,2460,63714,75879,
      211 Physical science professionals,90,107464,91815,
        2111 Physicists and astronomers,0,0,0,
        2112 Chemists,30,0,0,
        2113 Geoscientists and oceanographers,35,0,0,
        2114 Meteorologists and climatologists,15,0,0,
        2115 Other professional occupations in physical sciences,0,0,0,
      212 Life science professionals,150,46265,50747,
        2121 Biologists and related scientists,80,49743,48029,
        2122 Forestry professionals,20,0,0,
"        2123 Agricultural representatives, consultants and specialists",45,40877,53759,
"      213 Civil, mechanical, electrical and chemical engineers",595,67971,83183,
        2131 Civil engineers,295,78866,95051,
        2132 Mechanical engineers,140,41955,53486,
        2133 Electrical and electronics engineers,140,78231,83374,
        2134 Chemical engineers,20,0,0,
      214 Other engineers,180,82761,93993,
        2141 Industrial and manufacturing engineers,10,0,0,
        2142 Metallurgical and materials engineers,10,0,0,
        2143 Mining engineers,10,0,0,
        2144 Geological engineers,50,104631,98727,
        2145 Petroleum engineers,25,0,0,
        2146 Aerospace engineers,20,0,0,
        2147 Computer engineers (except software engineers and designers),30,67374,81422,
"        2148 Other professional engineers, n.e.c.",35,0,72502,
"      215 Architects, urban planners and land surveyors",265,63958,129434,
        2151 Architects,55,66161,54389,
        2152 Landscape architects,25,0,40412,
        2153 Urban and land use planners,115,69467,223088,
        2154 Land surveyors,60,59131,63714,
"      216 Mathematicians, statisticians and actuaries",15,0,0,
"        2161 Mathematicians, statisticians and actuaries",15,0,0,
      217 Computer and information systems professionals,1170,60055,59446,
        2171 Information systems analysts and consultants,420,63709,61085,
        2172 Database analysts and data administrators,50,68475,68012,
        2173 Software engineers and designers,155,79375,78900,
        2174 Computer programmers and interactive media developers,375,58517,61301,
        2175 Web designers and developers,165,24064,29847,
    22 Technical occupations related to natural and applied sciences,2790,55934,61105,
      221 Technical occupations in physical sciences,125,38953,50098,
        2211 Chemical technologists and technicians,70,35840,33048,
        2212 Geological and mineral technologists and technicians,55,70382,72556,
      222 Technical occupations in life sciences,265,29272,33861,
        2221 Biological technologists and technicians,25,0,0,
        2222 Agricultural and fish products inspectors,10,0,0,
        2223 Forestry technologists and technicians,45,52804,44864,
        2224 Conservation and fishery officers,10,0,0,
        2225 Landscape and horticulture technicians and specialists,180,29868,32627,
"      223 Technical occupations in civil, mechanical and industrial engineering",480,63327,60098,
        2231 Civil engineering technologists and technicians,230,61333,57321,
        2232 Mechanical engineering technologists and technicians,40,83324,83739,
        2233 Industrial engineering and manufacturing technologists and technicians,80,61121,62180,
        2234 Construction estimators,120,59525,56293,
      224 Technical occupations in electronics and electrical engineering,640,53550,55883,
        2241 Electrical and electronics engineering technologists and technicians,220,55841,61410,
        2242 Electronic service technicians (household and business equipment),325,46251,44132,
        2243 Industrial instrument technicians and mechanics,25,0,0,
"        2244 Aircraft instrument, electrical and avionics mechanics, technicians and inspectors",70,75531,82012,
"      225 Technical occupations in architecture, drafting, surveying, geomatics and meteorology",235,50738,48195,
        2251 Architectural technologists and technicians,35,61461,48357,
        2252 Industrial designers,30,0,0,
        2253 Drafting technologists and technicians,90,44981,39116,
        2254 Land survey technologists and technicians,35,0,59407,
        2255 Technical occupations in geomatics and meteorology,50,56902,54492,
      226 Other technical inspectors and regulatory officers,315,69567,65788,
        2261 Non-destructive testers and inspection technicians,55,50966,59505,
        2262 Engineering inspectors and regulatory officers,15,0,0,
        2263 Inspectors in public and environmental health and occupational health and safety,145,71296,66747,
        2264 Construction inspectors,100,66169,61528,
      227 Transportation officers and controllers,300,105393,119388,
"        2271 Air pilots, flight engineers and flying instructors",215,118153,135260,
        2272 Air traffic controllers and related occupations,35,0,0,
"        2273 Deck officers, water transport",35,0,78610,
"        2274 Engineer officers, water transport",10,0,0,
        2275 Railway traffic controllers and marine traffic regulators,10,0,0,
      228 Technical occupations in computer and information systems,435,55531,53394,
        2281 Computer network technicians,255,60465,57332,
        2282 User support technicians,165,48101,47167,
        2283 Information systems testing technicians,15,0,0,
  3 Health occupations,8310,45985,54374,
    30 Professional occupations in nursing,2060,68164,63088,
      301 Professional occupations in nursing,2060,68164,63088,
        3011 Nursing co-ordinators and supervisors,105,87713,70494,
        3012 Registered nurses and registered psychiatric nurses,1955,67541,62682,
    31 Professional occupations in health (except nursing),1490,76429,92310,
"      311 Physicians, dentists and veterinarians",655,118991,130571,
        3111 Specialist physicians,260,119983,145197,
        3112 General practitioners and family physicians,240,85380,127082,
        3113 Dentists,125,134297,129535,
        3114 Veterinarians,35,0,0,
"      312 Optometrists, chiropractors and other health diagnosing and treating professionals",170,42968,51362,
        3121 Optometrists,50,48056,48289,
        3122 Chiropractors,60,30528,46329,
        3124 Allied primary health practitioners,30,93271,82921,
        3125 Other professional occupations in health diagnosing and treating,30,0,0,
"      313 Pharmacists, dietitians and nutritionists",275,75209,80104,
        3131 Pharmacists,200,99336,95433,
        3132 Dietitians and nutritionists,75,41660,37993,
      314 Therapy and assessment professionals,395,57916,55000,
        3141 Audiologists and speech-language pathologists,70,63382,58646,
        3142 Physiotherapists,145,48616,54801,
        3143 Occupational therapists,100,63147,64827,
        3144 Other professional occupations in therapy and assessment,80,41294,39940,
    32 Technical occupations in health,2495,42814,43204,
      321 Medical technologists and technicians (except dental health),1080,44562,44427,
        3211 Medical laboratory technologists,160,60279,56875,
        3212 Medical laboratory technicians and pathologists' assistants,190,38823,38703,
        3213 Animal health technologists and veterinary technicians,140,27661,30182,
"        3214 Respiratory therapists, clinical perfusionists and cardiopulmonary technologists",60,64004,60065,
        3215 Medical radiation technologists,175,64709,60532,
        3216 Medical sonographers,30,0,54965,
"        3217 Cardiology technologists and electrophysiological diagnostic technologists, n.e.c.",20,0,0,
        3219 Other medical technologists and technicians (except dental health),300,35932,34049,
      322 Technical occupations in dental health care,220,54692,53500,
        3221 Denturists,0,0,0,
        3222 Dental hygienists and dental therapists,165,65614,59116,
"        3223 Dental technologists, technicians and laboratory assistants",50,42019,37529,
      323 Other technical occupations in health care,1195,40937,40209,
        3231 Opticians,75,36980,42193,
