"Occupation - National Occupational Classification (NOC) 2016 (691), Employment Income Statistics (3), Highest Certificate, Diploma or Degree (7), Visible Minority (15), Work Activity During the Reference Year (4), Age (4D) and Sex (3) for the Population Aged 15 Years and Over Who Worked in 2015 and Reported Employment Income in 2015, in Private Households of Canada, Provinces and Territories and Census Metropolitan Areas, 2016 Census - 25% Sample Data",,,,
Geography = Kingston,,,,
Global non-response rate (GNR) =   4.4 %,,,,
Visible minority (15) = Total - Visible minority [1],,,,
"Highest certificate, diploma or degree (7) = Total - Highest certificate, diploma or degree [2]",,,,
Work activity during the reference year (4) = Total - Work activity during the reference year [3],,,,
Age (4D) = Total - Age,,,,
Sex (3) = Total - Sex,,,,
Occupation - National Occupational Classification (NOC) 2016 (691),Total - Number of employment income recipients [4],Median employment income in 2015 ($) [5],Average employment income in 2015 ($) [6], 
Total - Occupation - National Occupational Classification (NOC) 2016 [7],83435,36399,45599,
  0 Management occupations,7785,59364,73104,
    00 Senior management occupations,565,90869,168462,
      001 Legislators and senior management,565,90869,168462,
        0011 Legislators,15,0,0,
        0012 Senior government managers and officials,75,104419,111915,
"        0013 Senior managers - financial, communications and other business services",130,102283,118516,
"        0014 Senior managers - health, education, social and community services and membership organizations",135,66514,88521,
"        0015 Senior managers - trade, broadcasting and other services, n.e.c.",75,76229,102567,
"        0016 Senior managers - construction, transportation, production and utilities",135,101913,372565,
    01-05 Specialized middle management occupations,3105,83213,84101,
      011 Administrative services managers,575,72611,76936,
        0111 Financial managers,245,77635,81655,
        0112 Human resources managers,155,74885,76353,
        0113 Purchasing managers,90,62907,70621,
        0114 Other administrative services managers,85,62113,71242,
      012 Managers in financial and business services,505,70544,82620,
"        0121 Insurance, real estate and financial brokerage managers",115,83950,129369,
"        0122 Banking, credit and other investment managers",145,74368,80352,
"        0124 Advertising, marketing and public relations managers",170,61743,65306,
        0125 Other business services managers,80,31356,57276,
      013 Managers in communication (except broadcasting),40,46837,58505,
        0131 Telecommunication carriers managers,35,77317,59223,
        0132 Postal and courier services managers,10,0,0,
"      021 Managers in engineering, architecture, science and information systems",280,85879,97455,
        0211 Engineering managers,95,95716,114088,
        0212 Architecture and science managers,25,0,86038,
        0213 Computer and information systems managers,155,81629,89306,
      031 Managers in health care,220,96446,93561,
        0311 Managers in health care,220,96446,93561,
      041 Managers in public administration,50,82197,86244,
        0411 Government managers - health and social policy development and program administration,25,0,89054,
"        0412 Government managers - economic analysis, policy development and program administration",15,0,0,
        0413 Government managers - education policy development and program administration,0,0,0,
        0414 Other managers in public administration,15,0,0,
      042 Managers in education and social and community services,530,82710,82446,
        0421 Administrators - post-secondary education and vocational training,195,56602,67151,
        0422 School principals and administrators of elementary and secondary education,150,108244,110111,
"        0423 Managers in social, community and correctional services",190,80441,76637,
      043 Managers in public protection services,800,94487,91211,
        0431 Commissioned police officers,30,0,0,
        0432 Fire chiefs and senior firefighting officers,20,0,0,
        0433 Commissioned officers of the Canadian Armed Forces,755,94490,89677,
"      051 Managers in art, culture, recreation and sport",100,24081,37356,
"        0511 Library, archive, museum and art gallery managers",40,0,0,
"        0512 Managers - publishing, motion pictures, broadcasting and performing arts",20,0,0,
"        0513 Recreation, sports and fitness program and service directors",50,24153,37886,
    06 Middle management occupations in retail and wholesale trade and customer services,2725,41611,51939,
      060 Corporate sales managers,180,85206,96683,
        0601 Corporate sales managers,180,85206,96683,
      062 Retail and wholesale trade managers,1630,43224,53441,
        0621 Retail and wholesale trade managers,1630,43224,53441,
      063 Managers in food service and accommodation,760,33045,39746,
        0631 Restaurant and food service managers,640,32553,38217,
        0632 Accommodation service managers,120,33950,48113,
"      065 Managers in customer and personal services, n.e.c.",160,35650,44560,
"        0651 Managers in customer and personal services, n.e.c.",160,35650,44560,
"    07-09 Middle management occupations in trades, transportation, production and utilities",1395,42937,51331,
      071 Managers in construction and facility operation and maintenance,800,50115,53555,
        0711 Construction managers,280,69496,62546,
        0712 Home building and renovation managers,180,16387,25171,
        0714 Facility operation and maintenance managers,340,58463,61362,
      073 Managers in transportation,65,77595,72063,
        0731 Managers in transportation,65,77595,72063,
      081 Managers in natural resources production and fishing,10,0,0,
        0811 Managers in natural resources production and fishing,10,0,0,
"      082 Managers in agriculture, horticulture and aquaculture",320,7925,13197,
        0821 Managers in agriculture,320,7920,12938,
        0822 Managers in horticulture,0,0,0,
        0823 Managers in aquaculture,0,0,0,
      091 Managers in manufacturing and utilities,200,80368,97706,
        0911 Manufacturing managers,170,80111,92657,
        0912 Utilities managers,30,0,0,
"  1 Business, finance and administration occupations",11880,41482,43841,
    11 Professional occupations in business and finance,1990,57441,67516,
"      111 Auditors, accountants and investment professionals",1035,58246,75804,
        1111 Financial auditors and accountants,425,59471,62465,
        1112 Financial and investment analysts,80,63262,86537,
"        1113 Securities agents, investment dealers and brokers",15,0,0,
        1114 Other financial officers,510,54841,83375,
      112 Human resources and business service professionals,955,57357,58553,
        1121 Human resources professionals,325,64210,75052,
        1122 Professional occupations in business management consulting,225,59737,60374,
"        1123 Professional occupations in advertising, marketing and public relations",400,43997,44226,
    12 Administrative and financial supervisors and administrative occupations,4500,43841,43087,
      121 Administrative services supervisors,325,56915,56907,
"        1211 Supervisors, general office and administrative support workers",40,56837,62140,
"        1212 Supervisors, finance and insurance office workers",105,58658,60520,
"        1213 Supervisors, library, correspondence and related information workers",25,0,0,
"        1214 Supervisors, mail and message distribution occupations",20,0,0,
"        1215 Supervisors, supply chain, tracking and scheduling co-ordination occupations",140,59289,58900,
      122 Administrative and regulatory occupations,2450,44120,45248,
        1221 Administrative officers,1465,42452,43996,
        1222 Executive assistants,140,53971,55853,
        1223 Human resources and recruitment officers,110,48241,43524,
        1224 Property administrators,315,31980,36988,
        1225 Purchasing agents and officers,175,50847,55075,
        1226 Conference and event planners,125,25804,29578,
        1227 Court officers and justices of the peace,25,0,83836,
"        1228 Employment insurance, immigration, border services and revenue officers",100,65863,69376,
"      124 Office administrative assistants - general, legal and medical",1590,40205,36894,
        1241 Administrative assistants,1005,38185,35816,
        1242 Legal administrative assistants,140,44539,38396,
        1243 Medical administrative assistants,450,42677,38845,
