"Occupation - National Occupational Classification (NOC) 2016 (691), Employment Income Statistics (3), Highest Certificate, Diploma or Degree (7), Visible Minority (15), Work Activity During the Reference Year (4), Age (4D) and Sex (3) for the Population Aged 15 Years and Over Who Worked in 2015 and Reported Employment Income in 2015, in Private Households of Canada, Provinces and Territories and Census Metropolitan Areas, 2016 Census - 25% Sample Data",,,,
Geography = Kitchener - Cambridge - Waterloo,,,,
Global non-response rate (GNR) =   4.4 %,,,,
Visible minority (15) = Total - Visible minority [1],,,,
"Highest certificate, diploma or degree (7) = Total - Highest certificate, diploma or degree [2]",,,,
Work activity during the reference year (4) = Total - Work activity during the reference year [3],,,,
Age (4D) = Total - Age,,,,
Sex (3) = Total - Sex,,,,
Occupation - National Occupational Classification (NOC) 2016 (691),Total - Number of employment income recipients [4],Median employment income in 2015 ($) [5],Average employment income in 2015 ($) [6], 
Total - Occupation - National Occupational Classification (NOC) 2016 [7],288440,39542,49144,
  0 Management occupations,29800,68210,85784,
    00 Senior management occupations,3300,113484,170518,
      001 Legislators and senior management,3300,113484,170518,
        0011 Legislators,65,88140,71697,
        0012 Senior government managers and officials,105,103279,97951,
"        0013 Senior managers - financial, communications and other business services",1085,129279,207549,
"        0014 Senior managers - health, education, social and community services and membership organizations",380,94006,122833,
"        0015 Senior managers - trade, broadcasting and other services, n.e.c.",655,115533,160543,
"        0016 Senior managers - construction, transportation, production and utilities",1005,114151,169218,
    01-05 Specialized middle management occupations,10460,83639,91506,
      011 Administrative services managers,3025,79408,89196,
        0111 Financial managers,1280,81119,89997,
        0112 Human resources managers,815,74279,82937,
        0113 Purchasing managers,395,89336,98778,
        0114 Other administrative services managers,540,76403,89684,
      012 Managers in financial and business services,3025,77118,87388,
"        0121 Insurance, real estate and financial brokerage managers",775,83150,94373,
"        0122 Banking, credit and other investment managers",805,73953,85078,
"        0124 Advertising, marketing and public relations managers",1140,79837,86507,
        0125 Other business services managers,300,49992,78867,
      013 Managers in communication (except broadcasting),270,85100,92882,
        0131 Telecommunication carriers managers,195,98271,106654,
        0132 Postal and courier services managers,70,51201,55281,
"      021 Managers in engineering, architecture, science and information systems",2135,103125,111689,
        0211 Engineering managers,530,104184,116742,
        0212 Architecture and science managers,135,98733,107655,
        0213 Computer and information systems managers,1465,103445,110228,
      031 Managers in health care,365,88325,85451,
        0311 Managers in health care,365,88325,85451,
      041 Managers in public administration,125,101977,99521,
        0411 Government managers - health and social policy development and program administration,35,112990,111328,
"        0412 Government managers - economic analysis, policy development and program administration",50,91855,89531,
        0413 Government managers - education policy development and program administration,0,0,0,
        0414 Other managers in public administration,35,103519,103970,
      042 Managers in education and social and community services,1100,83612,82163,
        0421 Administrators - post-secondary education and vocational training,335,69729,77654,
        0422 School principals and administrators of elementary and secondary education,430,104947,96106,
"        0423 Managers in social, community and correctional services",335,66641,68721,
      043 Managers in public protection services,80,74713,77322,
        0431 Commissioned police officers,10,0,0,
        0432 Fire chiefs and senior firefighting officers,20,0,0,
        0433 Commissioned officers of the Canadian Armed Forces,50,74425,67524,
"      051 Managers in art, culture, recreation and sport",330,49277,57288,
"        0511 Library, archive, museum and art gallery managers",65,55899,59610,
"        0512 Managers - publishing, motion pictures, broadcasting and performing arts",70,71340,74573,
"        0513 Recreation, sports and fitness program and service directors",195,40246,50323,
    06 Middle management occupations in retail and wholesale trade and customer services,10005,45886,59281,
      060 Corporate sales managers,1445,96178,105569,
        0601 Corporate sales managers,1445,96178,105569,
      062 Retail and wholesale trade managers,6015,46327,57716,
        0621 Retail and wholesale trade managers,6015,46327,57716,
      063 Managers in food service and accommodation,2010,30242,37027,
        0631 Restaurant and food service managers,1835,29974,36568,
        0632 Accommodation service managers,180,37401,41787,
"      065 Managers in customer and personal services, n.e.c.",530,25473,35489,
"        0651 Managers in customer and personal services, n.e.c.",530,25473,35489,
"    07-09 Middle management occupations in trades, transportation, production and utilities",6035,62820,73444,
      071 Managers in construction and facility operation and maintenance,2760,55777,63844,
        0711 Construction managers,1135,67289,76887,
        0712 Home building and renovation managers,655,25441,37089,
        0714 Facility operation and maintenance managers,970,61920,66592,
      073 Managers in transportation,485,68823,94384,
        0731 Managers in transportation,485,68823,94384,
      081 Managers in natural resources production and fishing,35,116082,116266,
        0811 Managers in natural resources production and fishing,35,116082,116266,
"      082 Managers in agriculture, horticulture and aquaculture",840,18772,31572,
        0821 Managers in agriculture,800,18693,30362,
        0822 Managers in horticulture,30,0,0,
        0823 Managers in aquaculture,0,0,0,
      091 Managers in manufacturing and utilities,1910,85335,99507,
        0911 Manufacturing managers,1805,84719,98532,
        0912 Utilities managers,105,105272,115863,
"  1 Business, finance and administration occupations",43550,42480,48012,
    11 Professional occupations in business and finance,9160,58550,70419,
"      111 Auditors, accountants and investment professionals",5365,60299,77048,
        1111 Financial auditors and accountants,2765,64198,75460,
        1112 Financial and investment analysts,765,56634,66097,
"        1113 Securities agents, investment dealers and brokers",115,46273,52774,
        1114 Other financial officers,1730,59178,86014,
      112 Human resources and business service professionals,3795,55887,61038,
        1121 Human resources professionals,1225,59194,63959,
        1122 Professional occupations in business management consulting,1135,67016,73481,
"        1123 Professional occupations in advertising, marketing and public relations",1430,44963,48683,
    12 Administrative and financial supervisors and administrative occupations,13200,44273,47037,
      121 Administrative services supervisors,1455,54609,54950,
"        1211 Supervisors, general office and administrative support workers",220,62314,59699,
"        1212 Supervisors, finance and insurance office workers",345,55006,58712,
"        1213 Supervisors, library, correspondence and related information workers",40,0,0,
"        1214 Supervisors, mail and message distribution occupations",55,72170,70384,
"        1215 Supervisors, supply chain, tracking and scheduling co-ordination occupations",790,50717,52188,
      122 Administrative and regulatory occupations,7110,46376,51124,
        1221 Administrative officers,4055,44878,47712,
        1222 Executive assistants,540,51963,66587,
        1223 Human resources and recruitment officers,475,45747,51354,
        1224 Property administrators,690,34022,52821,
        1225 Purchasing agents and officers,680,54406,59400,
        1226 Conference and event planners,365,36779,36447,
        1227 Court officers and justices of the peace,40,76809,67802,
"        1228 Employment insurance, immigration, border services and revenue officers",260,59502,63617,
"      124 Office administrative assistants - general, legal and medical",4140,38459,37874,
        1241 Administrative assistants,2975,37080,36745,
        1242 Legal administrative assistants,450,42827,44716,
        1243 Medical administrative assistants,710,40061,38224,
"      125 Court reporters, transcriptionists, records management technicians and statistical officers",505,43312,41833,
"        1251 Court reporters, medical transcriptionists and related occupations",170,22410,26424,
        1252 Health information management occupations,110,53787,55469,
        1253 Records management technicians,95,47969,48361,
        1254 Statistical officers and related research support occupations,135,48744,45906,
"    13 Finance, insurance and related business administrative occupations",3675,43329,47424,
"      131 Finance, insurance and related business administrative occupations",3680,43329,47424,
        1311 Accounting technicians and bookkeepers,1825,29833,37446,
        1312 Insurance adjusters and claims examiners,920,51540,58134,
        1313 Insurance underwriters,730,51938,56839,
"        1314 Assessors, valuators and appraisers",120,67286,66324,
"        1315 Customs, ship and other brokers",80,32741,37708,
    14 Office support occupations,11725,32835,34481,
      141 General office workers,6170,28479,31713,
        1411 General office support workers,3585,30747,34797,
