"Occupation - National Occupational Classification (NOC) 2016 (691), Employment Income Statistics (3), Highest Certificate, Diploma or Degree (7), Visible Minority (15), Work Activity During the Reference Year (4), Age (4D) and Sex (3) for the Population Aged 15 Years and Over Who Worked in 2015 and Reported Employment Income in 2015, in Private Households of Canada, Provinces and Territories and Census Metropolitan Areas, 2016 Census - 25% Sample Data",,,,
Geography = Lethbridge,,,,
Global non-response rate (GNR) =   6.0 %,,,,
Visible minority (15) = Total - Visible minority [1],,,,
"Highest certificate, diploma or degree (7) = Total - Highest certificate, diploma or degree [2]",,,,
Work activity during the reference year (4) = Total - Work activity during the reference year [3],,,,
Age (4D) = Total - Age,,,,
Sex (3) = Total - Sex,,,,
Occupation - National Occupational Classification (NOC) 2016 (691),Total - Number of employment income recipients [4],Median employment income in 2015 ($) [5],Average employment income in 2015 ($) [6], 
Total - Occupation - National Occupational Classification (NOC) 2016 [7],63520,38751,47140,
  0 Management occupations,6735,57864,70748,
    00 Senior management occupations,400,88088,115166,
      001 Legislators and senior management,400,88088,115166,
        0011 Legislators,30,40667,49604,
        0012 Senior government managers and officials,50,130491,150405,
"        0013 Senior managers - financial, communications and other business services",45,87190,126168,
"        0014 Senior managers - health, education, social and community services and membership organizations",100,102597,124492,
"        0015 Senior managers - trade, broadcasting and other services, n.e.c.",75,60839,109671,
"        0016 Senior managers - construction, transportation, production and utilities",100,98026,109197,
    01-05 Specialized middle management occupations,1680,76195,86081,
      011 Administrative services managers,415,65029,76813,
        0111 Financial managers,235,65447,83380,
        0112 Human resources managers,80,65047,66559,
        0113 Purchasing managers,60,74088,79398,
        0114 Other administrative services managers,50,58111,58405,
      012 Managers in financial and business services,475,72096,90382,
"        0121 Insurance, real estate and financial brokerage managers",75,83440,104635,
"        0122 Banking, credit and other investment managers",225,79157,84690,
"        0124 Advertising, marketing and public relations managers",85,68354,72931,
        0125 Other business services managers,85,38540,110618,
      013 Managers in communication (except broadcasting),20,0,0,
        0131 Telecommunication carriers managers,10,0,0,
        0132 Postal and courier services managers,10,0,0,
"      021 Managers in engineering, architecture, science and information systems",90,82913,97736,
        0211 Engineering managers,25,0,0,
        0212 Architecture and science managers,20,0,0,
        0213 Computer and information systems managers,50,81875,96895,
      031 Managers in health care,130,103122,99759,
        0311 Managers in health care,130,103122,99759,
      041 Managers in public administration,40,71065,85484,
        0411 Government managers - health and social policy development and program administration,0,0,0,
"        0412 Government managers - economic analysis, policy development and program administration",15,0,0,
        0413 Government managers - education policy development and program administration,0,0,0,
        0414 Other managers in public administration,25,0,0,
      042 Managers in education and social and community services,385,94983,87877,
        0421 Administrators - post-secondary education and vocational training,105,89195,95377,
        0422 School principals and administrators of elementary and secondary education,145,116044,109594,
"        0423 Managers in social, community and correctional services",135,51673,58758,
      043 Managers in public protection services,35,0,0,
        0431 Commissioned police officers,15,0,0,
        0432 Fire chiefs and senior firefighting officers,10,0,0,
        0433 Commissioned officers of the Canadian Armed Forces,10,0,0,
"      051 Managers in art, culture, recreation and sport",100,53201,65893,
"        0511 Library, archive, museum and art gallery managers",20,0,0,
"        0512 Managers - publishing, motion pictures, broadcasting and performing arts",0,0,0,
"        0513 Recreation, sports and fitness program and service directors",70,63491,74340,
    06 Middle management occupations in retail and wholesale trade and customer services,2500,48440,60732,
      060 Corporate sales managers,115,97037,98921,
        0601 Corporate sales managers,110,97037,98921,
      062 Retail and wholesale trade managers,1750,51248,64968,
        0621 Retail and wholesale trade managers,1745,51248,64968,
      063 Managers in food service and accommodation,540,39971,44342,
        0631 Restaurant and food service managers,475,38648,42788,
        0632 Accommodation service managers,65,51983,55997,
"      065 Managers in customer and personal services, n.e.c.",105,28597,31964,
"        0651 Managers in customer and personal services, n.e.c.",100,28597,31964,
"    07-09 Middle management occupations in trades, transportation, production and utilities",2155,52417,62185,
      071 Managers in construction and facility operation and maintenance,780,57876,67993,
        0711 Construction managers,320,71265,80282,
        0712 Home building and renovation managers,190,27800,35289,
        0714 Facility operation and maintenance managers,270,59473,75652,
      073 Managers in transportation,95,67750,65145,
        0731 Managers in transportation,90,67750,65145,
      081 Managers in natural resources production and fishing,50,128636,107786,
        0811 Managers in natural resources production and fishing,50,128636,107786,
"      082 Managers in agriculture, horticulture and aquaculture",930,36007,41033,
        0821 Managers in agriculture,910,36035,41070,
        0822 Managers in horticulture,20,0,0,
        0823 Managers in aquaculture,0,0,0,
