"Occupation - National Occupational Classification (NOC) 2016 (691), Employment Income Statistics (3), Highest Certificate, Diploma or Degree (7), Visible Minority (15), Work Activity During the Reference Year (4), Age (4D) and Sex (3) for the Population Aged 15 Years and Over Who Worked in 2015 and Reported Employment Income in 2015, in Private Households of Canada, Provinces and Territories and Census Metropolitan Areas, 2016 Census - 25% Sample Data",,,,
Geography = London,,,,
Global non-response rate (GNR) =   4.3 %,,,,
Visible minority (15) = Total - Visible minority [1],,,,
"Highest certificate, diploma or degree (7) = Total - Highest certificate, diploma or degree [2]",,,,
Work activity during the reference year (4) = Total - Work activity during the reference year [3],,,,
Age (4D) = Total - Age,,,,
Sex (3) = Total - Sex,,,,
Occupation - National Occupational Classification (NOC) 2016 (691),Total - Number of employment income recipients [4],Median employment income in 2015 ($) [5],Average employment income in 2015 ($) [6], 
Total - Occupation - National Occupational Classification (NOC) 2016 [7],254925,36662,45655,
  0 Management occupations,25295,58501,74223,
    00 Senior management occupations,2305,94755,133972,
      001 Legislators and senior management,2305,94755,133972,
        0011 Legislators,80,44756,63429,
        0012 Senior government managers and officials,75,102035,89491,
"        0013 Senior managers - financial, communications and other business services",720,99966,139955,
"        0014 Senior managers - health, education, social and community services and membership organizations",360,103851,133236,
"        0015 Senior managers - trade, broadcasting and other services, n.e.c.",475,81150,124556,
"        0016 Senior managers - construction, transportation, production and utilities",600,97867,149374,
    01-05 Specialized middle management occupations,8320,76982,85592,
      011 Administrative services managers,2250,74147,83308,
        0111 Financial managers,970,72652,83612,
        0112 Human resources managers,625,74513,80622,
        0113 Purchasing managers,305,85262,97699,
        0114 Other administrative services managers,345,64303,74695,
      012 Managers in financial and business services,2495,71363,83241,
"        0121 Insurance, real estate and financial brokerage managers",485,80350,102814,
"        0122 Banking, credit and other investment managers",880,74240,85432,
"        0124 Advertising, marketing and public relations managers",795,69412,80146,
        0125 Other business services managers,335,53120,56541,
      013 Managers in communication (except broadcasting),225,91472,92039,
        0131 Telecommunication carriers managers,170,94450,96165,
        0132 Postal and courier services managers,60,81181,79565,
"      021 Managers in engineering, architecture, science and information systems",1205,95874,102275,
        0211 Engineering managers,295,106422,110792,
        0212 Architecture and science managers,125,69335,104419,
        0213 Computer and information systems managers,780,92751,98648,
      031 Managers in health care,490,93932,88447,
        0311 Managers in health care,490,93932,88447,
      041 Managers in public administration,110,82270,79619,
        0411 Government managers - health and social policy development and program administration,30,0,0,
"        0412 Government managers - economic analysis, policy development and program administration",30,0,97658,
        0413 Government managers - education policy development and program administration,0,0,0,
        0414 Other managers in public administration,50,82023,64539,
      042 Managers in education and social and community services,1135,77662,86822,
        0421 Administrators - post-secondary education and vocational training,335,77594,114564,
        0422 School principals and administrators of elementary and secondary education,430,107660,84572,
"        0423 Managers in social, community and correctional services",375,58334,64819,
      043 Managers in public protection services,125,70556,77633,
        0431 Commissioned police officers,25,0,147253,
        0432 Fire chiefs and senior firefighting officers,10,0,0,
        0433 Commissioned officers of the Canadian Armed Forces,90,60184,59290,
"      051 Managers in art, culture, recreation and sport",280,38439,43493,
"        0511 Library, archive, museum and art gallery managers",40,50242,37987,
"        0512 Managers - publishing, motion pictures, broadcasting and performing arts",60,38471,44655,
"        0513 Recreation, sports and fitness program and service directors",180,38306,44317,
    06 Middle management occupations in retail and wholesale trade and customer services,9125,42309,56306,
      060 Corporate sales managers,1035,92198,100222,
        0601 Corporate sales managers,1035,92198,100222,
      062 Retail and wholesale trade managers,5540,44002,56683,
        0621 Retail and wholesale trade managers,5540,44002,56683,
      063 Managers in food service and accommodation,2160,31767,38702,
        0631 Restaurant and food service managers,1965,30946,38106,
        0632 Accommodation service managers,195,40176,44697,
"      065 Managers in customer and personal services, n.e.c.",390,27197,31708,
"        0651 Managers in customer and personal services, n.e.c.",390,27197,31708,
"    07-09 Middle management occupations in trades, transportation, production and utilities",5545,49496,61787,
      071 Managers in construction and facility operation and maintenance,2505,49678,60785,
        0711 Construction managers,890,71872,78508,
        0712 Home building and renovation managers,765,23381,39049,
        0714 Facility operation and maintenance managers,845,55987,61858,
      073 Managers in transportation,350,65731,74492,
