"Occupation - National Occupational Classification (NOC) 2016 (691), Employment Income Statistics (3), Highest Certificate, Diploma or Degree (7), Visible Minority (15), Work Activity During the Reference Year (4), Age (4D) and Sex (3) for the Population Aged 15 Years and Over Who Worked in 2015 and Reported Employment Income in 2015, in Private Households of Canada, Provinces and Territories and Census Metropolitan Areas, 2016 Census - 25% Sample Data",,,,
Geography = Manitoba,,,,
Global non-response rate (GNR) =   5.3 %,,,,
Visible minority (15) = Total - Visible minority [1],,,,
"Highest certificate, diploma or degree (7) = Total - Highest certificate, diploma or degree [2]",,,,
Work activity during the reference year (4) = Total - Work activity during the reference year [3],,,,
Age (4D) = Total - Age,,,,
Sex (3) = Total - Sex,,,,
Occupation - National Occupational Classification (NOC) 2016 (691),Total - Number of employment income recipients [4],Median employment income in 2015 ($) [5],Average employment income in 2015 ($) [6], 
Total - Occupation - National Occupational Classification (NOC) 2016 [7],660885,36313,45193,
  0 Management occupations,71235,53307,70352,
    00 Senior management occupations,6220,87888,151485,
      001 Legislators and senior management,6220,87888,151485,
        0011 Legislators,495,44421,78696,
        0012 Senior government managers and officials,720,96081,101460,
"        0013 Senior managers - financial, communications and other business services",1230,124592,189514,
"        0014 Senior managers - health, education, social and community services and membership organizations",1160,72080,82202,
"        0015 Senior managers - trade, broadcasting and other services, n.e.c.",1080,87947,183821,
"        0016 Senior managers - construction, transportation, production and utilities",1540,100214,197536,
    01-05 Specialized middle management occupations,19765,75570,80979,
      011 Administrative services managers,5070,72584,81888,
        0111 Financial managers,2080,75691,90601,
        0112 Human resources managers,1555,72652,75199,
        0113 Purchasing managers,480,76970,89260,
        0114 Other administrative services managers,960,66160,70152,
      012 Managers in financial and business services,4980,67043,77336,
"        0121 Insurance, real estate and financial brokerage managers",995,76765,89737,
"        0122 Banking, credit and other investment managers",1790,70758,82114,
"        0124 Advertising, marketing and public relations managers",1595,62791,69744,
        0125 Other business services managers,600,46884,62726,
      013 Managers in communication (except broadcasting),425,88140,82751,
        0131 Telecommunication carriers managers,315,95488,92616,
        0132 Postal and courier services managers,120,49286,56177,
"      021 Managers in engineering, architecture, science and information systems",1775,92751,98612,
        0211 Engineering managers,425,96332,100193,
        0212 Architecture and science managers,190,96997,101972,
        0213 Computer and information systems managers,1165,91519,97490,
      031 Managers in health care,1415,86706,90054,
        0311 Managers in health care,1415,86706,90054,
      041 Managers in public administration,735,81653,81356,
        0411 Government managers - health and social policy development and program administration,165,87590,80418,
"        0412 Government managers - economic analysis, policy development and program administration",210,85866,87373,
        0413 Government managers - education policy development and program administration,40,91206,98163,
        0414 Other managers in public administration,320,78525,75769,
      042 Managers in education and social and community services,3550,76803,75198,
        0421 Administrators - post-secondary education and vocational training,605,63193,74694,
        0422 School principals and administrators of elementary and secondary education,1480,100894,95069,
"        0423 Managers in social, community and correctional services",1465,51706,55304,
      043 Managers in public protection services,1015,89953,89233,
        0431 Commissioned police officers,50,129457,109877,
        0432 Fire chiefs and senior firefighting officers,95,101953,94191,
        0433 Commissioned officers of the Canadian Armed Forces,865,87844,87373,
"      051 Managers in art, culture, recreation and sport",800,44418,56533,
"        0511 Library, archive, museum and art gallery managers",185,50793,53318,
"        0512 Managers - publishing, motion pictures, broadcasting and performing arts",195,58297,70037,
"        0513 Recreation, sports and fitness program and service directors",420,37871,51502,
    06 Middle management occupations in retail and wholesale trade and customer services,21240,43498,58529,
      060 Corporate sales managers,1820,82399,90204,
        0601 Corporate sales managers,1820,82399,90204,
      062 Retail and wholesale trade managers,13300,46439,63909,
        0621 Retail and wholesale trade managers,13300,46439,63909,
      063 Managers in food service and accommodation,5250,31935,37010,
        0631 Restaurant and food service managers,4235,31600,37049,
        0632 Accommodation service managers,1010,33223,36845,
"      065 Managers in customer and personal services, n.e.c.",880,33105,40041,
"        0651 Managers in customer and personal services, n.e.c.",875,33105,40041,
"    07-09 Middle management occupations in trades, transportation, production and utilities",24010,39275,51052,
      071 Managers in construction and facility operation and maintenance,6660,54329,66138,
        0711 Construction managers,2925,68912,81721,
        0712 Home building and renovation managers,1585,26892,33866,
        0714 Facility operation and maintenance managers,2145,59618,68767,
      073 Managers in transportation,1350,71050,80641,
        0731 Managers in transportation,1355,71050,80641,
      081 Managers in natural resources production and fishing,105,123684,140854,
        0811 Managers in natural resources production and fishing,105,123684,140854,
"      082 Managers in agriculture, horticulture and aquaculture",13120,23590,30052,
        0821 Managers in agriculture,12835,23555,29966,
        0822 Managers in horticulture,280,24692,34192,
        0823 Managers in aquaculture,0,0,0,
      091 Managers in manufacturing and utilities,2770,77109,96331,
        0911 Manufacturing managers,2435,74877,94578,
        0912 Utilities managers,340,105185,108891,
"  1 Business, finance and administration occupations",99005,39874,45511,
    11 Professional occupations in business and finance,17015,55812,69727,
"      111 Auditors, accountants and investment professionals",10770,56563,77170,
        1111 Financial auditors and accountants,6290,55956,74402,
        1112 Financial and investment analysts,925,61122,83732,
"        1113 Securities agents, investment dealers and brokers",290,54757,89658,
        1114 Other financial officers,3260,56927,79521,
      112 Human resources and business service professionals,6245,54623,56886,
        1121 Human resources professionals,2490,58971,61567,
        1122 Professional occupations in business management consulting,1640,57138,61321,
"        1123 Professional occupations in advertising, marketing and public relations",2120,43885,47958,
    12 Administrative and financial supervisors and administrative occupations,30775,42217,44493,
      121 Administrative services supervisors,3245,52206,52580,
"        1211 Supervisors, general office and administrative support workers",420,53261,54581,
"        1212 Supervisors, finance and insurance office workers",820,56625,59068,
"        1213 Supervisors, library, correspondence and related information workers",150,20162,26971,
"        1214 Supervisors, mail and message distribution occupations",435,50161,47500,
"        1215 Supervisors, supply chain, tracking and scheduling co-ordination occupations",1415,50606,52494,
      122 Administrative and regulatory occupations,14880,46915,49294,
        1221 Administrative officers,7700,44910,47949,
        1222 Executive assistants,1275,47989,50161,
        1223 Human resources and recruitment officers,775,51204,55080,
        1224 Property administrators,1500,35062,39953,
        1225 Purchasing agents and officers,1460,54113,60277,
        1226 Conference and event planners,610,35893,37216,
        1227 Court officers and justices of the peace,170,51336,53801,
"        1228 Employment insurance, immigration, border services and revenue officers",1390,54621,56037,
"      124 Office administrative assistants - general, legal and medical",11800,36824,36486,
        1241 Administrative assistants,8765,36186,36470,
        1242 Legal administrative assistants,1270,37048,36708,
        1243 Medical administrative assistants,1760,39525,36409,
"      125 Court reporters, transcriptionists, records management technicians and statistical officers",855,42114,40691,
"        1251 Court reporters, medical transcriptionists and related occupations",395,37536,33714,
        1252 Health information management occupations,250,47204,50626,
        1253 Records management technicians,95,37271,38545,
        1254 Statistical officers and related research support occupations,110,47653,45125,
"    13 Finance, insurance and related business administrative occupations",7370,38626,59308,
"      131 Finance, insurance and related business administrative occupations",7370,38626,59308,
        1311 Accounting technicians and bookkeepers,4745,30397,62561,
        1312 Insurance adjusters and claims examiners,1490,52436,53162,
        1313 Insurance underwriters,670,51818,56617,
