"Occupation - National Occupational Classification (NOC) 2016 (691), Employment Income Statistics (3), Highest Certificate, Diploma or Degree (7), Visible Minority (15), Work Activity During the Reference Year (4), Age (4D) and Sex (3) for the Population Aged 15 Years and Over Who Worked in 2015 and Reported Employment Income in 2015, in Private Households of Canada, Provinces and Territories and Census Metropolitan Areas, 2016 Census - 25% Sample Data",,,,
Geography = Moncton,,,,
Global non-response rate (GNR) =   4.5 %,,,,
Visible minority (15) = Total - Visible minority [1],,,,
"Highest certificate, diploma or degree (7) = Total - Highest certificate, diploma or degree [2]",,,,
Work activity during the reference year (4) = Total - Work activity during the reference year [3],,,,
Age (4D) = Total - Age,,,,
Sex (3) = Total - Sex,,,,
Occupation - National Occupational Classification (NOC) 2016 (691),Total - Number of employment income recipients [4],Median employment income in 2015 ($) [5],Average employment income in 2015 ($) [6], 
Total - Occupation - National Occupational Classification (NOC) 2016 [7],79765,34472,41942,
  0 Management occupations,7820,57566,68980,
    00 Senior management occupations,725,83061,112938,
      001 Legislators and senior management,725,83061,112938,
        0011 Legislators,35,84595,75670,
        0012 Senior government managers and officials,75,99860,113822,
"        0013 Senior managers - financial, communications and other business services",190,105160,129188,
"        0014 Senior managers - health, education, social and community services and membership organizations",105,58925,114456,
"        0015 Senior managers - trade, broadcasting and other services, n.e.c.",165,78317,111651,
"        0016 Senior managers - construction, transportation, production and utilities",150,92325,101395,
    01-05 Specialized middle management occupations,2605,71080,73448,
      011 Administrative services managers,690,70928,76165,
        0111 Financial managers,245,69759,74557,
        0112 Human resources managers,190,65764,75600,
        0113 Purchasing managers,105,67758,74084,
        0114 Other administrative services managers,150,78759,81046,
      012 Managers in financial and business services,735,63301,68188,
"        0121 Insurance, real estate and financial brokerage managers",160,65286,69673,
"        0122 Banking, credit and other investment managers",250,63363,72006,
"        0124 Advertising, marketing and public relations managers",230,61534,60930,
        0125 Other business services managers,90,66284,73814,
      013 Managers in communication (except broadcasting),105,71270,73787,
        0131 Telecommunication carriers managers,65,76572,77644,
        0132 Postal and courier services managers,45,61349,67838,
"      021 Managers in engineering, architecture, science and information systems",290,89549,101456,
        0211 Engineering managers,50,91234,113399,
        0212 Architecture and science managers,0,0,0,
        0213 Computer and information systems managers,235,89438,98759,
      031 Managers in health care,145,91181,80029,
        0311 Managers in health care,150,91181,80029,
      041 Managers in public administration,105,83860,79942,
        0411 Government managers - health and social policy development and program administration,20,0,0,
"        0412 Government managers - economic analysis, policy development and program administration",45,99163,89273,
        0413 Government managers - education policy development and program administration,0,0,0,
        0414 Other managers in public administration,30,69341,57938,
      042 Managers in education and social and community services,415,64434,63838,
        0421 Administrators - post-secondary education and vocational training,85,66400,59515,
        0422 School principals and administrators of elementary and secondary education,145,92828,86924,
"        0423 Managers in social, community and correctional services",185,40782,47177,
      043 Managers in public protection services,25,0,0,
        0431 Commissioned police officers,0,0,0,
        0432 Fire chiefs and senior firefighting officers,0,0,0,
        0433 Commissioned officers of the Canadian Armed Forces,25,0,0,
"      051 Managers in art, culture, recreation and sport",95,37936,42403,
"        0511 Library, archive, museum and art gallery managers",20,0,0,
"        0512 Managers - publishing, motion pictures, broadcasting and performing arts",20,0,0,
"        0513 Recreation, sports and fitness program and service directors",60,54333,53077,
    06 Middle management occupations in retail and wholesale trade and customer services,3155,43932,55838,
