"Occupation - National Occupational Classification (NOC) 2016 (691), Employment Income Statistics (3), Highest Certificate, Diploma or Degree (7), Visible Minority (15), Work Activity During the Reference Year (4), Age (4D) and Sex (3) for the Population Aged 15 Years and Over Who Worked in 2015 and Reported Employment Income in 2015, in Private Households of Canada, Provinces and Territories and Census Metropolitan Areas, 2016 Census - 25% Sample Data",,,,
Geography = Montréal [1],,,,
Global non-response rate (GNR) =   3.7 %,,,,
Visible minority (15) = Total - Visible minority [2],,,,
"Highest certificate, diploma or degree (7) = Total - Highest certificate, diploma or degree [3]",,,,
Work activity during the reference year (4) = Total - Work activity during the reference year [4],,,,
Age (4D) = Total - Age,,,,
Sex (3) = Total - Sex,,,,
Occupation - National Occupational Classification (NOC) 2016 (691),Total - Number of employment income recipients [5],Median employment income in 2015 ($) [6],Average employment income in 2015 ($) [7], 
Total - Occupation - National Occupational Classification (NOC) 2016 [8],2146860,35161,46128,
  0 Management occupations,220735,60574,86237,
    00 Senior management occupations,34590,78203,153244,
      001 Legislators and senior management,34590,78203,153244,
        0011 Legislators,545,61274,69059,
        0012 Senior government managers and officials,1275,100896,105020,
"        0013 Senior managers - financial, communications and other business services",9650,101102,200023,
"        0014 Senior managers - health, education, social and community services and membership organizations",3175,70650,92607,
"        0015 Senior managers - trade, broadcasting and other services, n.e.c.",10325,64885,144280,
"        0016 Senior managers - construction, transportation, production and utilities",9625,78063,147114,
    01-05 Specialized middle management occupations,81630,80630,92677,
      011 Administrative services managers,24480,80744,98098,
        0111 Financial managers,10265,84455,110149,
        0112 Human resources managers,6590,80675,88766,
        0113 Purchasing managers,3080,79402,88904,
        0114 Other administrative services managers,4555,75673,90660,
      012 Managers in financial and business services,22195,74544,94463,
"        0121 Insurance, real estate and financial brokerage managers",2490,85621,136395,
"        0122 Banking, credit and other investment managers",8195,82351,102357,
"        0124 Advertising, marketing and public relations managers",9500,67026,80411,
        0125 Other business services managers,2010,65547,76703,
      013 Managers in communication (except broadcasting),2810,85289,92886,
        0131 Telecommunication carriers managers,2585,86297,94742,
        0132 Postal and courier services managers,230,68616,71875,
"      021 Managers in engineering, architecture, science and information systems",13405,94888,102894,
        0211 Engineering managers,2380,99942,111084,
        0212 Architecture and science managers,1445,90808,104643,
        0213 Computer and information systems managers,9575,94193,100594,
      031 Managers in health care,3690,79940,83668,
        0311 Managers in health care,3695,79940,83668,
      041 Managers in public administration,1950,90256,90362,
        0411 Government managers - health and social policy development and program administration,305,87968,92207,
"        0412 Government managers - economic analysis, policy development and program administration",745,95713,98077,
        0413 Government managers - education policy development and program administration,135,69267,66438,
        0414 Other managers in public administration,755,87801,86323,
      042 Managers in education and social and community services,8650,72561,72234,
