"Occupation - National Occupational Classification (NOC) 2016 (691), Employment Income Statistics (3), Highest Certificate, Diploma or Degree (7), Visible Minority (15), Work Activity During the Reference Year (4), Age (4D) and Sex (3) for the Population Aged 15 Years and Over Who Worked in 2015 and Reported Employment Income in 2015, in Private Households of Canada, Provinces and Territories and Census Metropolitan Areas, 2016 Census - 25% Sample Data",,,,
Geography = New Brunswick / Nouveau-Brunswick,,,,
Global non-response rate (GNR) =   4.9 %,,,,
Visible minority (15) = Total - Visible minority [1],,,,
"Highest certificate, diploma or degree (7) = Total - Highest certificate, diploma or degree [2]",,,,
Work activity during the reference year (4) = Total - Work activity during the reference year [3],,,,
Age (4D) = Total - Age,,,,
Sex (3) = Total - Sex,,,,
Occupation - National Occupational Classification (NOC) 2016 (691),Total - Number of employment income recipients [4],Median employment income in 2015 ($) [5],Average employment income in 2015 ($) [6], 
Total - Occupation - National Occupational Classification (NOC) 2016 [7],388500,31820,40054,
  0 Management occupations,33865,52286,63274,
    00 Senior management occupations,3180,74980,93766,
      001 Legislators and senior management,3180,74980,93766,
        0011 Legislators,250,34261,52398,
        0012 Senior government managers and officials,475,87617,95522,
"        0013 Senior managers - financial, communications and other business services",605,90442,118623,
"        0014 Senior managers - health, education, social and community services and membership organizations",580,59390,75988,
"        0015 Senior managers - trade, broadcasting and other services, n.e.c.",595,64041,100820,
"        0016 Senior managers - construction, transportation, production and utilities",680,76648,94391,
    01-05 Specialized middle management occupations,10710,70385,74126,
      011 Administrative services managers,2710,68164,74872,
        0111 Financial managers,1005,67374,73658,
        0112 Human resources managers,805,69120,74032,
        0113 Purchasing managers,370,76702,83890,
        0114 Other administrative services managers,525,66949,72059,
      012 Managers in financial and business services,2325,61582,68178,
"        0121 Insurance, real estate and financial brokerage managers",415,63653,71432,
"        0122 Banking, credit and other investment managers",835,66013,73833,
"        0124 Advertising, marketing and public relations managers",690,60006,63043,
        0125 Other business services managers,380,55563,61565,
      013 Managers in communication (except broadcasting),300,79533,76636,
        0131 Telecommunication carriers managers,215,81653,79915,
        0132 Postal and courier services managers,85,64909,68259,
"      021 Managers in engineering, architecture, science and information systems",1130,88143,98469,
        0211 Engineering managers,245,105678,122798,
        0212 Architecture and science managers,75,77792,96674,
        0213 Computer and information systems managers,810,85940,91300,
      031 Managers in health care,615,74904,71765,
        0311 Managers in health care,615,74904,71765,
