"Occupation - National Occupational Classification (NOC) 2016 (691), Employment Income Statistics (3), Highest Certificate, Diploma or Degree (7), Visible Minority (15), Work Activity During the Reference Year (4), Age (4D) and Sex (3) for the Population Aged 15 Years and Over Who Worked in 2015 and Reported Employment Income in 2015, in Private Households of Canada, Provinces and Territories and Census Metropolitan Areas, 2016 Census - 25% Sample Data",,,,
Geography = Newfoundland and Labrador / Terre-Neuve-et-Labrador,,,,
Global non-response rate (GNR) =   6.8 %,,,,
Visible minority (15) = Total - Visible minority [1],,,,
"Highest certificate, diploma or degree (7) = Total - Highest certificate, diploma or degree [2]",,,,
Work activity during the reference year (4) = Total - Work activity during the reference year [3],,,,
Age (4D) = Total - Age,,,,
Sex (3) = Total - Sex,,,,
Occupation - National Occupational Classification (NOC) 2016 (691),Total - Number of employment income recipients [4],Median employment income in 2015 ($) [5],Average employment income in 2015 ($) [6], 
Total - Occupation - National Occupational Classification (NOC) 2016 [7],271450,35823,49686,
  0 Management occupations,21315,59885,84365,
    00 Senior management occupations,2155,91290,184619,
      001 Legislators and senior management,2150,91290,184619,
        0011 Legislators,135,80227,76055,
        0012 Senior government managers and officials,545,62123,82434,
"        0013 Senior managers - financial, communications and other business services",370,118479,154248,
"        0014 Senior managers - health, education, social and community services and membership organizations",385,83200,97714,
"        0015 Senior managers - trade, broadcasting and other services, n.e.c.",315,84561,216811,
"        0016 Senior managers - construction, transportation, production and utilities",400,152209,446713,
    01-05 Specialized middle management occupations,6840,82462,85760,
      011 Administrative services managers,1965,81940,93429,
        0111 Financial managers,705,80643,89507,
        0112 Human resources managers,610,85825,98376,
        0113 Purchasing managers,265,82445,106487,
        0114 Other administrative services managers,380,79270,83713,
      012 Managers in financial and business services,1355,67378,80623,
"        0121 Insurance, real estate and financial brokerage managers",210,67527,76131,
"        0122 Banking, credit and other investment managers",495,70222,78968,
"        0124 Advertising, marketing and public relations managers",465,64371,77733,
        0125 Other business services managers,185,53765,97318,
      013 Managers in communication (except broadcasting),205,82815,74991,
        0131 Telecommunication carriers managers,150,88264,80437,
        0132 Postal and courier services managers,55,62719,60662,
"      021 Managers in engineering, architecture, science and information systems",745,95040,103673,
        0211 Engineering managers,235,113311,125500,
        0212 Architecture and science managers,60,85134,87208,
        0213 Computer and information systems managers,445,88582,94420,
      031 Managers in health care,535,86594,80721,
        0311 Managers in health care,535,86594,80721,
      041 Managers in public administration,375,92853,92472,
        0411 Government managers - health and social policy development and program administration,80,88538,105269,
"        0412 Government managers - economic analysis, policy development and program administration",120,96560,90170,
        0413 Government managers - education policy development and program administration,40,93193,77705,
        0414 Other managers in public administration,125,89562,91080,
      042 Managers in education and social and community services,1150,86829,80242,
        0421 Administrators - post-secondary education and vocational training,345,70795,82868,
        0422 School principals and administrators of elementary and secondary education,470,99069,95975,
"        0423 Managers in social, community and correctional services",335,51733,55791,
      043 Managers in public protection services,265,70965,76019,
        0431 Commissioned police officers,25,0,0,
        0432 Fire chiefs and senior firefighting officers,20,117750,111152,
        0433 Commissioned officers of the Canadian Armed Forces,220,59628,62822,
"      051 Managers in art, culture, recreation and sport",255,41041,45368,
"        0511 Library, archive, museum and art gallery managers",55,32919,35320,
"        0512 Managers - publishing, motion pictures, broadcasting and performing arts",45,46523,50446,
"        0513 Recreation, sports and fitness program and service directors",155,41097,47458,
    06 Middle management occupations in retail and wholesale trade and customer services,8285,40063,52386,
      060 Corporate sales managers,325,74988,79961,
        0601 Corporate sales managers,325,74988,79961,
      062 Retail and wholesale trade managers,5635,42113,56135,
        0621 Retail and wholesale trade managers,5635,42113,56135,
      063 Managers in food service and accommodation,2095,31232,39707,
        0631 Restaurant and food service managers,1630,33207,42353,
        0632 Accommodation service managers,465,18136,30409,
"      065 Managers in customer and personal services, n.e.c.",225,31362,37256,
"        0651 Managers in customer and personal services, n.e.c.",225,31362,37256,
"    07-09 Middle management occupations in trades, transportation, production and utilities",4035,71701,94109,
      071 Managers in construction and facility operation and maintenance,2160,72302,93231,
        0711 Construction managers,1050,89449,115437,
        0712 Home building and renovation managers,240,42271,53303,
        0714 Facility operation and maintenance managers,870,57808,77410,
      073 Managers in transportation,370,85439,98234,
        0731 Managers in transportation,365,85439,98234,
      081 Managers in natural resources production and fishing,360,150191,170672,
        0811 Managers in natural resources production and fishing,360,150191,170672,
"      082 Managers in agriculture, horticulture and aquaculture",410,28067,30753,
        0821 Managers in agriculture,300,22653,28702,
        0822 Managers in horticulture,40,28077,33623,
        0823 Managers in aquaculture,70,39594,38072,
      091 Managers in manufacturing and utilities,740,74754,92724,
        0911 Manufacturing managers,605,69108,86408,
        0912 Utilities managers,135,126464,121896,
"  1 Business, finance and administration occupations",34260,40743,45012,
    11 Professional occupations in business and finance,4990,58657,70493,
"      111 Auditors, accountants and investment professionals",3180,59028,74951,
        1111 Financial auditors and accountants,2050,60083,73259,
        1112 Financial and investment analysts,130,73079,79675,
"        1113 Securities agents, investment dealers and brokers",45,57624,62565,
        1114 Other financial officers,950,56603,78563,
      112 Human resources and business service professionals,1810,57048,62679,
        1121 Human resources professionals,820,65281,72383,
        1122 Professional occupations in business management consulting,405,64574,71255,
"        1123 Professional occupations in advertising, marketing and public relations",585,39700,43222,
    12 Administrative and financial supervisors and administrative occupations,11845,43503,46599,
      121 Administrative services supervisors,1380,52051,55452,
"        1211 Supervisors, general office and administrative support workers",180,63556,69072,
"        1212 Supervisors, finance and insurance office workers",260,57306,61887,
"        1213 Supervisors, library, correspondence and related information workers",80,1230,16324,
"        1214 Supervisors, mail and message distribution occupations",430,38213,41434,
"        1215 Supervisors, supply chain, tracking and scheduling co-ordination occupations",435,58067,67292,
      122 Administrative and regulatory occupations,5795,48031,50963,
        1221 Administrative officers,3255,42689,49179,
        1222 Executive assistants,475,52184,51352,
        1223 Human resources and recruitment officers,280,54289,54027,
        1224 Property administrators,300,47210,43070,
        1225 Purchasing agents and officers,475,68116,71294,
        1226 Conference and event planners,160,9813,22808,
        1227 Court officers and justices of the peace,110,50888,55647,
"        1228 Employment insurance, immigration, border services and revenue officers",730,53263,53053,
"      124 Office administrative assistants - general, legal and medical",4265,36988,36473,
        1241 Administrative assistants,2920,35361,35250,
        1242 Legal administrative assistants,490,42778,42359,
        1243 Medical administrative assistants,850,41638,37262,
"      125 Court reporters, transcriptionists, records management technicians and statistical officers",410,52785,60482,
"        1251 Court reporters, medical transcriptionists and related occupations",65,42204,33102,
        1252 Health information management occupations,150,54483,61703,
        1253 Records management technicians,130,54634,63356,
        1254 Statistical officers and related research support occupations,65,58931,77140,
"    13 Finance, insurance and related business administrative occupations",1645,36988,41344,
"      131 Finance, insurance and related business administrative occupations",1645,36988,41344,
        1311 Accounting technicians and bookkeepers,1160,27029,32619,
        1312 Insurance adjusters and claims examiners,280,61103,59769,
        1313 Insurance underwriters,95,49231,52034,
"        1314 Assessors, valuators and appraisers",85,77806,75332,
"        1315 Customs, ship and other brokers",25,0,0,
    14 Office support occupations,11610,34246,34121,
      141 General office workers,6815,31900,31991,
        1411 General office support workers,4905,36201,34089,
        1414 Receptionists,1720,24551,25118,
        1415 Personnel clerks,175,35548,40015,
        1416 Court clerks,20,0,0,
      142 Office equipment operators,445,36208,36522,
        1422 Data entry clerks,415,35906,34873,
        1423 Desktop publishing operators and related occupations,25,0,60205,
"      143 Financial, insurance and related administrative support workers",3130,39945,40953,
        1431 Accounting and related clerks,1995,38661,39784,
