"Occupation - National Occupational Classification (NOC) 2016 (691), Employment Income Statistics (3), Highest Certificate, Diploma or Degree (7), Visible Minority (15), Work Activity During the Reference Year (4), Age (4D) and Sex (3) for the Population Aged 15 Years and Over Who Worked in 2015 and Reported Employment Income in 2015, in Private Households of Canada, Provinces and Territories and Census Metropolitan Areas, 2016 Census - 25% Sample Data",,,,
Geography = Northwest Territories / Territoires du Nord-Ouest [1],,,,
Global non-response rate (GNR) =   8.8 %,,,,
Visible minority (15) = Total - Visible minority [2],,,,
"Highest certificate, diploma or degree (7) = Total - Highest certificate, diploma or degree [3]",,,,
Work activity during the reference year (4) = Total - Work activity during the reference year [4],,,,
Age (4D) = Total - Age,,,,
Sex (3) = Total - Sex,,,,
Occupation - National Occupational Classification (NOC) 2016 (691),Total - Number of employment income recipients [5],Median employment income in 2015 ($) [6],Average employment income in 2015 ($) [7], 
Total - Occupation - National Occupational Classification (NOC) 2016 [8],24135,61080,69690,
  0 Management occupations,2855,102602,110958,
    00 Senior management occupations,490,107876,130292,
      001 Legislators and senior management,490,107876,130292,
        0011 Legislators,100,89004,95396,
        0012 Senior government managers and officials,150,127024,136972,
"        0013 Senior managers - financial, communications and other business services",55,105952,130714,
"        0014 Senior managers - health, education, social and community services and membership organizations",85,102451,108279,
"        0015 Senior managers - trade, broadcasting and other services, n.e.c.",35,86100,81652,
"        0016 Senior managers - construction, transportation, production and utilities",65,151152,224626,
    01-05 Specialized middle management occupations,1215,116471,120542,
      011 Administrative services managers,360,113728,127046,
        0111 Financial managers,140,104559,105852,
        0112 Human resources managers,125,126838,127074,
        0113 Purchasing managers,20,122332,151648,
        0114 Other administrative services managers,80,95225,158907,
      012 Managers in financial and business services,150,103213,106604,
"        0121 Insurance, real estate and financial brokerage managers",20,0,116278,
"        0122 Banking, credit and other investment managers",55,100169,119588,
"        0124 Advertising, marketing and public relations managers",55,112938,106971,
        0125 Other business services managers,30,81007,73989,
      013 Managers in communication (except broadcasting),10,0,0,
        0131 Telecommunication carriers managers,10,0,0,
        0132 Postal and courier services managers,0,0,0,
"      021 Managers in engineering, architecture, science and information systems",90,116453,129084,
        0211 Engineering managers,30,135337,187187,
        0212 Architecture and science managers,15,80651,97280,
        0213 Computer and information systems managers,45,110271,99880,
      031 Managers in health care,55,101496,103634,
        0311 Managers in health care,55,101496,103634,
      041 Managers in public administration,205,130146,131535,
        0411 Government managers - health and social policy development and program administration,55,132672,149022,
"        0412 Government managers - economic analysis, policy development and program administration",55,134402,126316,
        0413 Government managers - education policy development and program administration,20,89584,96801,
        0414 Other managers in public administration,70,124135,132148,
      042 Managers in education and social and community services,215,122304,116052,
        0421 Administrators - post-secondary education and vocational training,25,122993,126090,
        0422 School principals and administrators of elementary and secondary education,85,145302,146422,
"        0423 Managers in social, community and correctional services",105,92296,89039,
      043 Managers in public protection services,85,115199,116968,
        0431 Commissioned police officers,10,0,0,
        0432 Fire chiefs and senior firefighting officers,0,0,0,
        0433 Commissioned officers of the Canadian Armed Forces,80,114762,112351,
"      051 Managers in art, culture, recreation and sport",35,103859,91502,
"        0511 Library, archive, museum and art gallery managers",10,90383,87463,
"        0512 Managers - publishing, motion pictures, broadcasting and performing arts",10,0,0,
"        0513 Recreation, sports and fitness program and service directors",15,0,0,
    06 Middle management occupations in retail and wholesale trade and customer services,660,62939,72022,
      060 Corporate sales managers,20,67634,75590,
        0601 Corporate sales managers,20,67634,75590,
      062 Retail and wholesale trade managers,445,70154,77789,
        0621 Retail and wholesale trade managers,445,70154,77789,
      063 Managers in food service and accommodation,175,47833,59898,
        0631 Restaurant and food service managers,105,47784,59332,
        0632 Accommodation service managers,75,52776,60725,
"      065 Managers in customer and personal services, n.e.c.",20,44030,46842,
"        0651 Managers in customer and personal services, n.e.c.",20,44030,46842,
"    07-09 Middle management occupations in trades, transportation, production and utilities",485,109181,120225,
      071 Managers in construction and facility operation and maintenance,240,92865,94562,
        0711 Construction managers,105,90334,99249,
        0712 Home building and renovation managers,35,45624,57989,
        0714 Facility operation and maintenance managers,100,118106,100882,
      073 Managers in transportation,90,91103,113492,
        0731 Managers in transportation,90,91103,113492,
      081 Managers in natural resources production and fishing,85,215669,196684,
        0811 Managers in natural resources production and fishing,85,215669,196684,
"      082 Managers in agriculture, horticulture and aquaculture",10,0,0,
        0821 Managers in agriculture,10,0,0,
        0822 Managers in horticulture,0,0,0,
        0823 Managers in aquaculture,0,0,0,
      091 Managers in manufacturing and utilities,65,136424,129517,
        0911 Manufacturing managers,20,79952,109421,
        0912 Utilities managers,45,136765,138001,
"  1 Business, finance and administration occupations",4115,67868,68600,
    11 Professional occupations in business and finance,595,91814,90788,
"      111 Auditors, accountants and investment professionals",285,102446,96191,
        1111 Financial auditors and accountants,165,101387,94595,
        1112 Financial and investment analysts,40,116759,119253,
"        1113 Securities agents, investment dealers and brokers",0,0,0,
        1114 Other financial officers,80,87832,88433,
      112 Human resources and business service professionals,310,84988,85867,
        1121 Human resources professionals,105,101515,109071,
        1122 Professional occupations in business management consulting,55,95120,80449,
"        1123 Professional occupations in advertising, marketing and public relations",155,76299,71772,
    12 Administrative and financial supervisors and administrative occupations,1600,73802,71820,
      121 Administrative services supervisors,135,102719,91116,
"        1211 Supervisors, general office and administrative support workers",40,112270,112713,
"        1212 Supervisors, finance and insurance office workers",25,108409,108897,
"        1213 Supervisors, library, correspondence and related information workers",10,0,0,
"        1214 Supervisors, mail and message distribution occupations",10,0,0,
"        1215 Supervisors, supply chain, tracking and scheduling co-ordination occupations",45,82837,84595,
      122 Administrative and regulatory occupations,870,80397,78663,
