"Occupation - National Occupational Classification (NOC) 2016 (691), Employment Income Statistics (3), Highest Certificate, Diploma or Degree (7), Visible Minority (15), Work Activity During the Reference Year (4), Age (4D) and Sex (3) for the Population Aged 15 Years and Over Who Worked in 2015 and Reported Employment Income in 2015, in Private Households of Canada, Provinces and Territories and Census Metropolitan Areas, 2016 Census - 25% Sample Data",,,,
Geography = Nova Scotia / Nouvelle-…cosse,,,,
Global non-response rate (GNR) =   5.5 %,,,,
Visible minority (15) = Total - Visible minority [1],,,,
"Highest certificate, diploma or degree (7) = Total - Highest certificate, diploma or degree [2]",,,,
Work activity during the reference year (4) = Total - Work activity during the reference year [3],,,,
Age (4D) = Total - Age,,,,
Sex (3) = Total - Sex,,,,
Occupation - National Occupational Classification (NOC) 2016 (691),Total - Number of employment income recipients [4],Median employment income in 2015 ($) [5],Average employment income in 2015 ($) [6], 
Total - Occupation - National Occupational Classification (NOC) 2016 [7],477450,32858,42096,
  0 Management occupations,44595,55236,71736,
    00 Senior management occupations,4020,91620,152594,
      001 Legislators and senior management,4015,91620,152594,
        0011 Legislators,285,45117,58653,
        0012 Senior government managers and officials,480,95175,98831,
"        0013 Senior managers - financial, communications and other business services",965,117377,213601,
"        0014 Senior managers - health, education, social and community services and membership organizations",750,81384,92093,
"        0015 Senior managers - trade, broadcasting and other services, n.e.c.",725,77349,130288,
"        0016 Senior managers - construction, transportation, production and utilities",810,103232,220788,
    01-05 Specialized middle management occupations,15700,75365,77802,
      011 Administrative services managers,3750,71055,76005,
        0111 Financial managers,1445,70109,78982,
        0112 Human resources managers,1275,74865,76885,
        0113 Purchasing managers,440,78424,80638,
        0114 Other administrative services managers,590,60289,63448,
      012 Managers in financial and business services,3335,64262,77157,
"        0121 Insurance, real estate and financial brokerage managers",555,73308,110411,
"        0122 Banking, credit and other investment managers",1235,67407,75071,
"        0124 Advertising, marketing and public relations managers",1025,66901,71746,
        0125 Other business services managers,515,44279,57089,
      013 Managers in communication (except broadcasting),385,77294,72083,
        0131 Telecommunication carriers managers,270,79085,75699,
        0132 Postal and courier services managers,110,69510,63382,
"      021 Managers in engineering, architecture, science and information systems",1660,85804,89181,
        0211 Engineering managers,435,94355,93888,
        0212 Architecture and science managers,215,89505,95403,
        0213 Computer and information systems managers,1010,82953,85818,
      031 Managers in health care,980,83819,81777,
        0311 Managers in health care,980,83819,81777,
      041 Managers in public administration,675,86652,84481,
        0411 Government managers - health and social policy development and program administration,150,94282,94429,
"        0412 Government managers - economic analysis, policy development and program administration",250,91657,82518,
        0413 Government managers - education policy development and program administration,60,83123,76483,
        0414 Other managers in public administration,220,82282,81986,
      042 Managers in education and social and community services,2255,77567,75065,
        0421 Administrators - post-secondary education and vocational training,640,76383,82347,
        0422 School principals and administrators of elementary and secondary education,875,93527,89868,
"        0423 Managers in social, community and correctional services",745,45846,51402,
      043 Managers in public protection services,1905,86396,84045,
        0431 Commissioned police officers,20,0,0,
        0432 Fire chiefs and senior firefighting officers,30,0,95770,
        0433 Commissioned officers of the Canadian Armed Forces,1855,85673,83416,
"      051 Managers in art, culture, recreation and sport",750,42232,48648,
"        0511 Library, archive, museum and art gallery managers",200,35217,45650,
"        0512 Managers - publishing, motion pictures, broadcasting and performing arts",175,39027,59332,
"        0513 Recreation, sports and fitness program and service directors",370,45469,45185,
    06 Middle management occupations in retail and wholesale trade and customer services,16530,38934,51628,
      060 Corporate sales managers,1475,83773,97101,
        0601 Corporate sales managers,1475,83773,97101,
      062 Retail and wholesale trade managers,10605,40877,52831,
        0621 Retail and wholesale trade managers,10605,40877,52831,
      063 Managers in food service and accommodation,3820,27898,33364,
        0631 Restaurant and food service managers,2975,28337,32792,
        0632 Accommodation service managers,845,23929,35381,
"      065 Managers in customer and personal services, n.e.c.",630,25521,35717,
"        0651 Managers in customer and personal services, n.e.c.",635,25521,35717,
"    07-09 Middle management occupations in trades, transportation, production and utilities",8355,47608,61253,
      071 Managers in construction and facility operation and maintenance,3575,50966,65555,
        0711 Construction managers,1545,58230,80804,
        0712 Home building and renovation managers,560,23953,32280,
        0714 Facility operation and maintenance managers,1465,56362,62252,
      073 Managers in transportation,725,67104,78534,
        0731 Managers in transportation,725,67104,78534,
      081 Managers in natural resources production and fishing,290,85371,119522,
        0811 Managers in natural resources production and fishing,295,85371,119522,
"      082 Managers in agriculture, horticulture and aquaculture",2145,13952,22362,
        0821 Managers in agriculture,1890,13043,21544,
        0822 Managers in horticulture,175,13990,17721,
        0823 Managers in aquaculture,75,53940,53182,
      091 Managers in manufacturing and utilities,1620,67387,84991,
        0911 Manufacturing managers,1345,66819,78465,
        0912 Utilities managers,280,79047,116900,
"  1 Business, finance and administration occupations",69975,36745,40441,
    11 Professional occupations in business and finance,13255,44328,59051,
"      111 Auditors, accountants and investment professionals",8960,42953,61282,
        1111 Financial auditors and accountants,5835,40172,50900,
        1112 Financial and investment analysts,705,55409,78199,
"        1113 Securities agents, investment dealers and brokers",120,42277,66329,
        1114 Other financial officers,2300,54541,82125,
      112 Human resources and business service professionals,4295,49482,54397,
        1121 Human resources professionals,1535,58302,64648,
        1122 Professional occupations in business management consulting,1085,53756,58605,
"        1123 Professional occupations in advertising, marketing and public relations",1680,36833,42327,
    12 Administrative and financial supervisors and administrative occupations,23240,38844,40750,
      121 Administrative services supervisors,2180,48714,49645,
"        1211 Supervisors, general office and administrative support workers",300,48294,51618,
"        1212 Supervisors, finance and insurance office workers",470,52797,53435,
"        1213 Supervisors, library, correspondence and related information workers",200,8970,25413,
"        1214 Supervisors, mail and message distribution occupations",305,51247,47863,
"        1215 Supervisors, supply chain, tracking and scheduling co-ordination occupations",900,49251,52993,
      122 Administrative and regulatory occupations,11785,41870,44115,
        1221 Administrative officers,6565,38650,40979,
        1222 Executive assistants,865,50894,59253,
        1223 Human resources and recruitment officers,570,50000,52648,
        1224 Property administrators,1400,32753,36232,
        1225 Purchasing agents and officers,855,50606,53206,
        1226 Conference and event planners,480,27333,32365,
        1227 Court officers and justices of the peace,230,53206,60174,
"        1228 Employment insurance, immigration, border services and revenue officers",815,54870,53625,
"      124 Office administrative assistants - general, legal and medical",8480,35428,33817,
        1241 Administrative assistants,5600,34312,33160,
        1242 Legal administrative assistants,885,40908,40344,
        1243 Medical administrative assistants,2000,36008,32774,
"      125 Court reporters, transcriptionists, records management technicians and statistical officers",805,39117,40441,
"        1251 Court reporters, medical transcriptionists and related occupations",420,35538,32340,
        1252 Health information management occupations,135,50053,53104,
        1253 Records management technicians,115,46976,45092,
        1254 Statistical officers and related research support occupations,135,48236,49238,
"    13 Finance, insurance and related business administrative occupations",4925,33699,38681,
"      131 Finance, insurance and related business administrative occupations",4925,33699,38681,
        1311 Accounting technicians and bookkeepers,3390,24858,30364,
        1312 Insurance adjusters and claims examiners,780,57912,59517,
        1313 Insurance underwriters,475,49847,54143,
"        1314 Assessors, valuators and appraisers",240,59200,57674,
"        1315 Customs, ship and other brokers",40,36707,38864,
    14 Office support occupations,20545,30037,30147,
      141 General office workers,10845,27828,28672,
        1411 General office support workers,7040,31053,30859,
        1414 Receptionists,3420,21476,22835,
        1415 Personnel clerks,325,39130,40662,
        1416 Court clerks,60,42826,39085,
      142 Office equipment operators,1225,24981,27510,
        1422 Data entry clerks,1190,24279,27170,
        1423 Desktop publishing operators and related occupations,35,45604,39388,
"      143 Financial, insurance and related administrative support workers",5770,37115,37041,
        1431 Accounting and related clerks,3770,35217,35023,
        1432 Payroll administrators,1270,41476,40755,
"        1434 Banking, insurance and other financial clerks",540,38476,40443,
        1435 Collectors,190,43364,42612,
"      145 Library, correspondence and other clerks",2690,16720,22505,
        1451 Library assistants and clerks,755,21865,23089,
"        1452 Correspondence, publication and regulatory clerks",605,41273,42468,
        1454 Survey interviewers and statistical clerks,1330,6207,13092,
"    15 Distribution, tracking and scheduling co-ordination occupations",8015,35329,36240,
      151 Mail and message distribution occupations,2690,34059,33953,
"        1511 Mail, postal and related workers",1055,36299,33953,
        1512 Letter carriers,850,45670,42782,
"        1513 Couriers, messengers and door-to-door distributors",795,15690,24516,
"      152 Supply chain logistics, tracking and scheduling co-ordination occupations",5325,35532,37397,
        1521 Shippers and receivers,1940,30326,32026,
        1522 Storekeepers and partspersons,1065,36958,35944,
        1523 Production logistics co-ordinators,540,45482,50022,
        1524 Purchasing and inventory control workers,765,31913,33134,
        1525 Dispatchers,835,41006,45305,
        1526 Transportation route and crew schedulers,175,43794,47431,
  2 Natural and applied sciences and related occupations,27880,60695,64472,
    21 Professional occupations in natural and applied sciences,13085,65749,69724,
      211 Physical science professionals,650,75276,75995,
        2111 Physicists and astronomers,50,85832,90882,
        2112 Chemists,220,62724,63267,
        2113 Geoscientists and oceanographers,270,76971,81057,
        2114 Meteorologists and climatologists,100,90416,83013,
        2115 Other professional occupations in physical sciences,20,0,0,
      212 Life science professionals,805,56901,58128,
        2121 Biologists and related scientists,665,55880,56836,
        2122 Forestry professionals,60,74241,62809,
"        2123 Agricultural representatives, consultants and specialists",85,62205,64980,
"      213 Civil, mechanical, electrical and chemical engineers",2830,78873,83377,
        2131 Civil engineers,1235,77021,81380,
        2132 Mechanical engineers,820,80279,87448,
        2133 Electrical and electronics engineers,675,79355,78169,
        2134 Chemical engineers,110,82530,107422,
      214 Other engineers,1415,76712,90875,
        2141 Industrial and manufacturing engineers,335,77473,114218,
        2142 Metallurgical and materials engineers,45,0,0,
        2143 Mining engineers,75,59612,90262,
        2144 Geological engineers,35,96662,100964,
        2145 Petroleum engineers,90,149522,182568,
        2146 Aerospace engineers,120,78050,81889,
        2147 Computer engineers (except software engineers and designers),365,59928,63788,
"        2148 Other professional engineers, n.e.c.",360,81961,81071,
"      215 Architects, urban planners and land surveyors",755,54889,58574,
        2151 Architects,225,52235,52236,
        2152 Landscape architects,25,0,0,
        2153 Urban and land use planners,240,67506,69035,
        2154 Land surveyors,270,48879,55366,
"      216 Mathematicians, statisticians and actuaries",190,72269,75240,
"        2161 Mathematicians, statisticians and actuaries",185,72269,75240,
      217 Computer and information systems professionals,6435,62046,61035,
        2171 Information systems analysts and consultants,2970,65818,65039,
        2172 Database analysts and data administrators,390,65742,61746,
        2173 Software engineers and designers,810,71207,71125,
        2174 Computer programmers and interactive media developers,1710,56642,57144,
        2175 Web designers and developers,555,36296,36540,
    22 Technical occupations related to natural and applied sciences,14795,55853,59826,
      221 Technical occupations in physical sciences,570,45924,51157,
        2211 Chemical technologists and technicians,435,40018,43410,
        2212 Geological and mineral technologists and technicians,135,64763,75436,
      222 Technical occupations in life sciences,1485,45363,44321,
        2221 Biological technologists and technicians,355,47899,41818,
        2222 Agricultural and fish products inspectors,150,69035,64812,
        2223 Forestry technologists and technicians,255,50627,47258,
        2224 Conservation and fishery officers,330,67909,53910,
        2225 Landscape and horticulture technicians and specialists,390,21117,28605,
"      223 Technical occupations in civil, mechanical and industrial engineering",1815,58177,60702,
        2231 Civil engineering technologists and technicians,400,46694,49726,
        2232 Mechanical engineering technologists and technicians,580,72640,70156,
        2233 Industrial engineering and manufacturing technologists and technicians,285,51883,52859,
        2234 Construction estimators,560,57013,62706,
      224 Technical occupations in electronics and electrical engineering,3605,58086,58376,
        2241 Electrical and electronics engineering technologists and technicians,1605,62591,61362,
        2242 Electronic service technicians (household and business equipment),1360,47655,46611,
        2243 Industrial instrument technicians and mechanics,220,89856,95670,
"        2244 Aircraft instrument, electrical and avionics mechanics, technicians and inspectors",425,67910,65576,
