"Occupation - National Occupational Classification (NOC) 2016 (691), Employment Income Statistics (3), Highest Certificate, Diploma or Degree (7), Visible Minority (15), Work Activity During the Reference Year (4), Age (4D) and Sex (3) for the Population Aged 15 Years and Over Who Worked in 2015 and Reported Employment Income in 2015, in Private Households of Canada, Provinces and Territories and Census Metropolitan Areas, 2016 Census - 25% Sample Data",,,,
Geography = Nunavut [1],,,,
Global non-response rate (GNR) =   8.7 %,,,,
Visible minority (15) = Total - Visible minority [2],,,,
"Highest certificate, diploma or degree (7) = Total - Highest certificate, diploma or degree [3]",,,,
Work activity during the reference year (4) = Total - Work activity during the reference year [4],,,,
Age (4D) = Total - Age,,,,
Sex (3) = Total - Sex,,,,
Occupation - National Occupational Classification (NOC) 2016 (691),Total - Number of employment income recipients [5],Median employment income in 2015 ($) [6],Average employment income in 2015 ($) [7], 
Total - Occupation - National Occupational Classification (NOC) 2016 [8],15675,42368,58607,
  0 Management occupations,1375,117504,112040,
    00 Senior management occupations,240,131584,138174,
      001 Legislators and senior management,240,131584,138174,
        0011 Legislators,60,86656,92676,
        0012 Senior government managers and officials,90,145408,152400,
"        0013 Senior managers - financial, communications and other business services",30,157184,174856,
"        0014 Senior managers - health, education, social and community services and membership organizations",35,136704,149250,
"        0015 Senior managers - trade, broadcasting and other services, n.e.c.",15,122496,156855,
"        0016 Senior managers - construction, transportation, production and utilities",20,125696,132291,
    01-05 Specialized middle management occupations,630,132096,128805,
      011 Administrative services managers,205,130560,133434,
        0111 Financial managers,100,133376,132963,
        0112 Human resources managers,45,133888,130980,
        0113 Purchasing managers,10,103168,102085,
        0114 Other administrative services managers,50,127232,143876,
      012 Managers in financial and business services,55,123221,120733,
"        0121 Insurance, real estate and financial brokerage managers",10,0,0,
"        0122 Banking, credit and other investment managers",20,133376,136862,
"        0124 Advertising, marketing and public relations managers",20,113152,111542,
        0125 Other business services managers,10,0,0,
      013 Managers in communication (except broadcasting),0,0,0,
        0131 Telecommunication carriers managers,10,0,0,
        0132 Postal and courier services managers,0,0,0,
"      021 Managers in engineering, architecture, science and information systems",25,140544,151367,
        0211 Engineering managers,0,0,0,
        0212 Architecture and science managers,10,0,0,
        0213 Computer and information systems managers,0,0,0,
      031 Managers in health care,25,132608,126369,
        0311 Managers in health care,25,132608,126369,
      041 Managers in public administration,120,133888,139233,
        0411 Government managers - health and social policy development and program administration,50,143872,142338,
"        0412 Government managers - economic analysis, policy development and program administration",30,152064,142525,
        0413 Government managers - education policy development and program administration,10,143360,140112,
        0414 Other managers in public administration,35,128768,131322,
      042 Managers in education and social and community services,160,133530,122573,
        0421 Administrators - post-secondary education and vocational training,20,125696,128592,
        0422 School principals and administrators of elementary and secondary education,65,146773,145557,
"        0423 Managers in social, community and correctional services",75,104704,101187,
      043 Managers in public protection services,10,0,0,
        0431 Commissioned police officers,0,0,0,
        0432 Fire chiefs and senior firefighting officers,0,0,0,
        0433 Commissioned officers of the Canadian Armed Forces,0,0,0,
"      051 Managers in art, culture, recreation and sport",25,60928,65495,
"        0511 Library, archive, museum and art gallery managers",0,0,0,
"        0512 Managers - publishing, motion pictures, broadcasting and performing arts",10,0,0,
"        0513 Recreation, sports and fitness program and service directors",10,77824,70451,
    06 Middle management occupations in retail and wholesale trade and customer services,265,61312,68128,
      060 Corporate sales managers,0,0,0,
        0601 Corporate sales managers,10,0,0,
      062 Retail and wholesale trade managers,185,58539,65672,
        0621 Retail and wholesale trade managers,185,58539,65672,
      063 Managers in food service and accommodation,70,64768,67197,
        0631 Restaurant and food service managers,25,46208,56879,
        0632 Accommodation service managers,40,72960,73676,
"      065 Managers in customer and personal services, n.e.c.",10,80640,81334,
"        0651 Managers in customer and personal services, n.e.c.",10,80640,81334,
"    07-09 Middle management occupations in trades, transportation, production and utilities",240,86784,90430,
      071 Managers in construction and facility operation and maintenance,170,82176,85907,
        0711 Construction managers,40,86784,99611,
        0712 Home building and renovation managers,35,23904,36586,
        0714 Facility operation and maintenance managers,90,105899,99635,
      073 Managers in transportation,30,73856,85196,
        0731 Managers in transportation,30,73856,85196,
      081 Managers in natural resources production and fishing,15,108544,110066,
        0811 Managers in natural resources production and fishing,15,108544,110066,
"      082 Managers in agriculture, horticulture and aquaculture",0,0,0,
        0821 Managers in agriculture,0,0,0,
        0822 Managers in horticulture,0,0,0,
        0823 Managers in aquaculture,0,0,0,
      091 Managers in manufacturing and utilities,20,118528,119319,
        0911 Manufacturing managers,0,0,0,
        0912 Utilities managers,15,101888,115267,
"  1 Business, finance and administration occupations",2325,76928,72776,
    11 Professional occupations in business and finance,250,101120,96563,
"      111 Auditors, accountants and investment professionals",100,113152,104672,
        1111 Financial auditors and accountants,40,121344,110624,
        1112 Financial and investment analysts,20,114048,102240,
"        1113 Securities agents, investment dealers and brokers",0,0,0,
        1114 Other financial officers,30,97536,98029,
      112 Human resources and business service professionals,150,98355,91299,
        1121 Human resources professionals,85,99968,91952,
        1122 Professional occupations in business management consulting,15,93696,86918,
"        1123 Professional occupations in advertising, marketing and public relations",55,94720,91618,
    12 Administrative and financial supervisors and administrative occupations,940,84261,80119,
      121 Administrative services supervisors,55,52864,67286,
"        1211 Supervisors, general office and administrative support workers",10,85760,91761,
"        1212 Supervisors, finance and insurance office workers",10,134656,115459,
"        1213 Supervisors, library, correspondence and related information workers",0,0,0,
"        1214 Supervisors, mail and message distribution occupations",20,13504,25800,
"        1215 Supervisors, supply chain, tracking and scheduling co-ordination occupations",20,62080,59979,
      122 Administrative and regulatory occupations,590,92331,87394,
        1221 Administrative officers,295,81664,81527,
        1222 Executive assistants,55,101120,99327,
        1223 Human resources and recruitment officers,50,102912,91975,
        1224 Property administrators,75,97536,89568,
        1225 Purchasing agents and officers,70,95232,93023,
        1226 Conference and event planners,10,0,0,
        1227 Court officers and justices of the peace,15,110336,96910,
"        1228 Employment insurance, immigration, border services and revenue officers",20,98816,99401,
"      124 Office administrative assistants - general, legal and medical",270,73472,67728,
        1241 Administrative assistants,230,74240,67364,
        1242 Legal administrative assistants,15,62848,62974,
        1243 Medical administrative assistants,20,79104,74675,
"      125 Court reporters, transcriptionists, records management technicians and statistical officers",20,81664,71441,
"        1251 Court reporters, medical transcriptionists and related occupations",0,0,0,
        1252 Health information management occupations,10,0,0,
