"Occupation - National Occupational Classification (NOC) 2016 (691), Employment Income Statistics (3), Highest Certificate, Diploma or Degree (7), Visible Minority (15), Work Activity During the Reference Year (4), Age (4D) and Sex (3) for the Population Aged 15 Years and Over Who Worked in 2015 and Reported Employment Income in 2015, in Private Households of Canada, Provinces and Territories and Census Metropolitan Areas, 2016 Census - 25% Sample Data",,,,
Geography = Ontario [1],,,,
Global non-response rate (GNR) =   4.6 %,,,,
Visible minority (15) = Total - Visible minority [2],,,,
"Highest certificate, diploma or degree (7) = Total - Highest certificate, diploma or degree [3]",,,,
Work activity during the reference year (4) = Total - Work activity during the reference year [4],,,,
Age (4D) = Total - Age,,,,
Sex (3) = Total - Sex,,,,
Occupation - National Occupational Classification (NOC) 2016 (691),Total - Number of employment income recipients [5],Median employment income in 2015 ($) [6],Average employment income in 2015 ($) [7], 
Total - Occupation - National Occupational Classification (NOC) 2016 [8],7006945,38029,51105,
  0 Management occupations,774765,64396,91074,
    00 Senior management occupations,81415,108872,199648,
      001 Legislators and senior management,81415,108872,199648,
        0011 Legislators,2000,33654,55167,
        0012 Senior government managers and officials,5910,116315,129700,
"        0013 Senior managers - financial, communications and other business services",26560,129058,246765,
"        0014 Senior managers - health, education, social and community services and membership organizations",10070,94339,120652,
"        0015 Senior managers - trade, broadcasting and other services, n.e.c.",17520,98662,193895,
"        0016 Senior managers - construction, transportation, production and utilities",19355,112871,217607,
    01-05 Specialized middle management occupations,285890,86706,101726,
      011 Administrative services managers,76825,85138,102761,
        0111 Financial managers,34005,88232,112384,
        0112 Human resources managers,20745,84238,93914,
        0113 Purchasing managers,9480,88162,97907,
        0114 Other administrative services managers,12590,75062,95003,
      012 Managers in financial and business services,88050,77442,105823,
"        0121 Insurance, real estate and financial brokerage managers",13600,88243,158945,
"        0122 Banking, credit and other investment managers",30200,83020,113136,
"        0124 Advertising, marketing and public relations managers",34845,74907,87832,
        0125 Other business services managers,9405,53816,72179,
      013 Managers in communication (except broadcasting),8205,88530,94617,
        0131 Telecommunication carriers managers,6415,92338,101143,
        0132 Postal and courier services managers,1790,64208,71237,
"      021 Managers in engineering, architecture, science and information systems",43880,105383,116174,
        0211 Engineering managers,8655,113101,126460,
        0212 Architecture and science managers,3750,98285,111667,
        0213 Computer and information systems managers,31475,104370,113882,
      031 Managers in health care,12685,87685,90241,
        0311 Managers in health care,12685,87685,90241,
      041 Managers in public administration,8875,103707,105318,
        0411 Government managers - health and social policy development and program administration,2485,109541,107898,
"        0412 Government managers - economic analysis, policy development and program administration",3060,106446,112760,
        0413 Government managers - education policy development and program administration,365,87356,89933,
        0414 Other managers in public administration,2960,98150,97373,
      042 Managers in education and social and community services,29600,86637,86025,
        0421 Administrators - post-secondary education and vocational training,6425,74729,85295,
        0422 School principals and administrators of elementary and secondary education,12775,110297,100120,
"        0423 Managers in social, community and correctional services",10405,66603,69164,
      043 Managers in public protection services,7795,98373,95088,
        0431 Commissioned police officers,545,136600,124655,
        0432 Fire chiefs and senior firefighting officers,815,106336,104742,
        0433 Commissioned officers of the Canadian Armed Forces,6435,96423,91360,
"      051 Managers in art, culture, recreation and sport",9970,53393,63070,
"        0511 Library, archive, museum and art gallery managers",1850,62498,62481,
"        0512 Managers - publishing, motion pictures, broadcasting and performing arts",3520,63887,77456,
"        0513 Recreation, sports and fitness program and service directors",4600,42835,52295,
    06 Middle management occupations in retail and wholesale trade and customer services,248395,43035,60153,
      060 Corporate sales managers,31295,94977,110678,
        0601 Corporate sales managers,31295,94977,110678,
      062 Retail and wholesale trade managers,147970,43840,59372,
        0621 Retail and wholesale trade managers,147970,43840,59372,
      063 Managers in food service and accommodation,58220,30476,39357,
        0631 Restaurant and food service managers,50240,30053,37634,
        0632 Accommodation service managers,7985,34666,50195,
"      065 Managers in customer and personal services, n.e.c.",10910,27013,36820,
"        0651 Managers in customer and personal services, n.e.c.",10915,27013,36820,
"    07-09 Middle management occupations in trades, transportation, production and utilities",159060,49788,64641,
      071 Managers in construction and facility operation and maintenance,72420,50069,62361,
        0711 Construction managers,28805,62740,74728,
        0712 Home building and renovation managers,20480,22067,38226,
        0714 Facility operation and maintenance managers,23140,60138,68328,
      073 Managers in transportation,13730,68520,80188,
        0731 Managers in transportation,13730,68520,80188,
      081 Managers in natural resources production and fishing,1865,113218,140199,
        0811 Managers in natural resources production and fishing,1860,113218,140199,
"      082 Managers in agriculture, horticulture and aquaculture",37505,15561,25879,
        0821 Managers in agriculture,35540,15011,24837,
        0822 Managers in horticulture,1860,37599,45707,
        0823 Managers in aquaculture,105,14961,26892,
      091 Managers in manufacturing and utilities,33540,81158,102343,
        0911 Manufacturing managers,29960,78129,99737,
        0912 Utilities managers,3585,112282,124146,
"  1 Business, finance and administration occupations",1143660,43337,53612,
    11 Professional occupations in business and finance,273325,60920,88103,
"      111 Auditors, accountants and investment professionals",161565,62455,99296,
        1111 Financial auditors and accountants,75960,61039,81258,
        1112 Financial and investment analysts,28415,71909,141862,
"        1113 Securities agents, investment dealers and brokers",7285,60720,153288,
