"Occupation - National Occupational Classification (NOC) 2016 (691), Employment Income Statistics (3), Highest Certificate, Diploma or Degree (7), Visible Minority (15), Work Activity During the Reference Year (4), Age (4D) and Sex (3) for the Population Aged 15 Years and Over Who Worked in 2015 and Reported Employment Income in 2015, in Private Households of Canada, Provinces and Territories and Census Metropolitan Areas, 2016 Census - 25% Sample Data",,,,
Geography = Oshawa,,,,
Global non-response rate (GNR) =   4.0 %,,,,
Visible minority (15) = Total - Visible minority [1],,,,
"Highest certificate, diploma or degree (7) = Total - Highest certificate, diploma or degree [2]",,,,
Work activity during the reference year (4) = Total - Work activity during the reference year [3],,,,
Age (4D) = Total - Age,,,,
Sex (3) = Total - Sex,,,,
Occupation - National Occupational Classification (NOC) 2016 (691),Total - Number of employment income recipients [4],Median employment income in 2015 ($) [5],Average employment income in 2015 ($) [6], 
Total - Occupation - National Occupational Classification (NOC) 2016 [7],199895,42492,51919,
  0 Management occupations,21715,71134,84925,
    00 Senior management occupations,1705,109788,161049,
      001 Legislators and senior management,1700,109788,161049,
        0011 Legislators,55,40627,58330,
        0012 Senior government managers and officials,120,94605,97969,
"        0013 Senior managers - financial, communications and other business services",525,125666,180277,
"        0014 Senior managers - health, education, social and community services and membership organizations",245,94730,154424,
"        0015 Senior managers - trade, broadcasting and other services, n.e.c.",365,115237,166207,
"        0016 Senior managers - construction, transportation, production and utilities",395,119241,168258,
    01-05 Specialized middle management occupations,8225,90545,94762,
      011 Administrative services managers,2405,92135,98672,
        0111 Financial managers,910,97092,101564,
        0112 Human resources managers,790,90245,97284,
        0113 Purchasing managers,330,101834,113171,
        0114 Other administrative services managers,375,78599,81653,
      012 Managers in financial and business services,2355,84068,90203,
"        0121 Insurance, real estate and financial brokerage managers",310,91713,93005,
"        0122 Banking, credit and other investment managers",975,87211,96302,
"        0124 Advertising, marketing and public relations managers",810,83412,87513,
        0125 Other business services managers,260,67152,72582,
      013 Managers in communication (except broadcasting),355,82469,85459,
        0131 Telecommunication carriers managers,305,82631,84879,
        0132 Postal and courier services managers,50,81097,89049,
"      021 Managers in engineering, architecture, science and information systems",1220,113261,115859,
        0211 Engineering managers,265,118026,123127,
        0212 Architecture and science managers,80,108073,117658,
        0213 Computer and information systems managers,875,110739,113535,
      031 Managers in health care,360,95030,91543,
        0311 Managers in health care,360,95030,91543,
      041 Managers in public administration,200,106628,112553,
        0411 Government managers - health and social policy development and program administration,45,102407,102806,
"        0412 Government managers - economic analysis, policy development and program administration",55,120940,133216,
        0413 Government managers - education policy development and program administration,10,0,0,
        0414 Other managers in public administration,90,104543,105474,
      042 Managers in education and social and community services,905,93122,85140,
        0421 Administrators - post-secondary education and vocational training,225,81238,78393,
        0422 School principals and administrators of elementary and secondary education,410,107423,100942,
"        0423 Managers in social, community and correctional services",280,65457,67373,
      043 Managers in public protection services,80,57287,68793,
        0431 Commissioned police officers,10,0,0,
        0432 Fire chiefs and senior firefighting officers,20,0,0,
        0433 Commissioned officers of the Canadian Armed Forces,45,53695,61339,
"      051 Managers in art, culture, recreation and sport",350,57485,58169,
"        0511 Library, archive, museum and art gallery managers",65,68133,56473,
"        0512 Managers - publishing, motion pictures, broadcasting and performing arts",115,63667,72467,
"        0513 Recreation, sports and fitness program and service directors",175,43418,49250,
    06 Middle management occupations in retail and wholesale trade and customer services,7435,48708,63509,
      060 Corporate sales managers,1085,92499,107596,
        0601 Corporate sales managers,1080,92499,107596,
      062 Retail and wholesale trade managers,4750,49140,62046,
        0621 Retail and wholesale trade managers,4750,49140,62046,
      063 Managers in food service and accommodation,1295,29999,37558,
        0631 Restaurant and food service managers,1155,29633,36863,
        0632 Accommodation service managers,145,34516,43061,
"      065 Managers in customer and personal services, n.e.c.",305,21104,40091,
"        0651 Managers in customer and personal services, n.e.c.",305,21104,40091,
"    07-09 Middle management occupations in trades, transportation, production and utilities",4355,62876,73124,
      071 Managers in construction and facility operation and maintenance,2380,53765,61314,
        0711 Construction managers,895,67447,72014,
        0712 Home building and renovation managers,595,21077,32889,
        0714 Facility operation and maintenance managers,890,61002,69620,
      073 Managers in transportation,460,72867,96172,
        0731 Managers in transportation,460,72867,96172,
      081 Managers in natural resources production and fishing,30,144905,149983,
        0811 Managers in natural resources production and fishing,30,144905,149983,
"      082 Managers in agriculture, horticulture and aquaculture",350,30094,43665,
        0821 Managers in agriculture,320,29123,43232,
        0822 Managers in horticulture,35,46683,47701,
        0823 Managers in aquaculture,0,0,0,
      091 Managers in manufacturing and utilities,1130,83507,95674,
        0911 Manufacturing managers,835,76119,85415,
        0912 Utilities managers,300,134438,124243,
"  1 Business, finance and administration occupations",31785,46930,52889,
    11 Professional occupations in business and finance,6305,65129,84552,
"      111 Auditors, accountants and investment professionals",3540,66563,89046,
        1111 Financial auditors and accountants,1460,67149,88509,
        1112 Financial and investment analysts,605,70902,83216,
"        1113 Securities agents, investment dealers and brokers",115,53172,99927,
        1114 Other financial officers,1365,63724,91287,
      112 Human resources and business service professionals,2770,64529,78799,
        1121 Human resources professionals,1060,71750,74044,
        1122 Professional occupations in business management consulting,855,65665,110353,
"        1123 Professional occupations in advertising, marketing and public relations",850,49406,52996,
    12 Administrative and financial supervisors and administrative occupations,11060,48075,49203,
      121 Administrative services supervisors,1135,64175,64506,
"        1211 Supervisors, general office and administrative support workers",175,67999,69247,
"        1212 Supervisors, finance and insurance office workers",230,70663,78573,
"        1213 Supervisors, library, correspondence and related information workers",50,0,0,
"        1214 Supervisors, mail and message distribution occupations",110,66754,60617,
"        1215 Supervisors, supply chain, tracking and scheduling co-ordination occupations",580,60846,61748,
      122 Administrative and regulatory occupations,5670,50003,51619,
        1221 Administrative officers,3065,47096,49721,
        1222 Executive assistants,635,59361,57752,
        1223 Human resources and recruitment officers,365,54319,56398,
        1224 Property administrators,470,44528,46207,
        1225 Purchasing agents and officers,375,56101,65945,
        1226 Conference and event planners,325,24322,30901,
        1227 Court officers and justices of the peace,135,67315,67148,
"        1228 Employment insurance, immigration, border services and revenue officers",305,55112,58177,
"      124 Office administrative assistants - general, legal and medical",3935,43584,42236,
        1241 Administrative assistants,2540,42210,40962,
        1242 Legal administrative assistants,685,51663,49690,
        1243 Medical administrative assistants,705,39163,39565,
"      125 Court reporters, transcriptionists, records management technicians and statistical officers",315,39234,37471,
"        1251 Court reporters, medical transcriptionists and related occupations",195,20921,26616,
        1252 Health information management occupations,20,0,0,
        1253 Records management technicians,55,58457,58373,
        1254 Statistical officers and related research support occupations,45,51101,49610,
"    13 Finance, insurance and related business administrative occupations",1990,47741,50271,
"      131 Finance, insurance and related business administrative occupations",1990,47741,50271,
        1311 Accounting technicians and bookkeepers,1120,32391,38513,
        1312 Insurance adjusters and claims examiners,455,66362,72358,
        1313 Insurance underwriters,265,57166,61568,
"        1314 Assessors, valuators and appraisers",120,53554,50521,
"        1315 Customs, ship and other brokers",30,0,55914,
    14 Office support occupations,8530,37146,38446,
      141 General office workers,5120,34094,35962,
        1411 General office support workers,3180,39456,39831,
        1414 Receptionists,1775,25815,27648,
        1415 Personnel clerks,115,46040,53943,
        1416 Court clerks,45,48753,43991,
      142 Office equipment operators,495,28126,31593,
        1422 Data entry clerks,465,28008,31071,
        1423 Desktop publishing operators and related occupations,35,48160,39409,
"      143 Financial, insurance and related administrative support workers",2230,44925,46319,
        1431 Accounting and related clerks,1440,43271,44538,
        1432 Payroll administrators,315,52481,50336,
"        1434 Banking, insurance and other financial clerks",265,47428,50102,
        1435 Collectors,215,48641,47716,
"      145 Library, correspondence and other clerks",680,32662,36344,
        1451 Library assistants and clerks,165,16561,23170,
"        1452 Correspondence, publication and regulatory clerks",325,54030,52928,
        1454 Survey interviewers and statistical clerks,180,4181,18763,
"    15 Distribution, tracking and scheduling co-ordination occupations",3895,43049,45045,
      151 Mail and message distribution occupations,895,41485,40104,
"        1511 Mail, postal and related workers",270,35113,36851,
        1512 Letter carriers,350,57022,52029,
"        1513 Couriers, messengers and door-to-door distributors",270,19885,27798,
"      152 Supply chain logistics, tracking and scheduling co-ordination occupations",3005,43342,46513,
        1521 Shippers and receivers,1165,37043,40578,
        1522 Storekeepers and partspersons,360,38704,41328,
        1523 Production logistics co-ordinators,325,59871,63219,
        1524 Purchasing and inventory control workers,450,42613,41913,
        1525 Dispatchers,600,50640,54562,
        1526 Transportation route and crew schedulers,100,44248,51791,
  2 Natural and applied sciences and related occupations,11855,73410,75308,
    21 Professional occupations in natural and applied sciences,6265,81723,81787,
      211 Physical science professionals,170,65674,82132,
        2111 Physicists and astronomers,35,0,0,
        2112 Chemists,75,59172,76582,
        2113 Geoscientists and oceanographers,25,0,0,
        2114 Meteorologists and climatologists,20,0,0,
        2115 Other professional occupations in physical sciences,15,0,0,
      212 Life science professionals,80,32930,53880,
        2121 Biologists and related scientists,70,42067,57752,
        2122 Forestry professionals,0,0,0,
"        2123 Agricultural representatives, consultants and specialists",10,0,0,
"      213 Civil, mechanical, electrical and chemical engineers",1695,89639,90696,
        2131 Civil engineers,390,78196,80656,
        2132 Mechanical engineers,750,91210,91118,
        2133 Electrical and electronics engineers,470,102964,98125,
        2134 Chemical engineers,90,87811,91807,
      214 Other engineers,475,90764,86249,
        2141 Industrial and manufacturing engineers,200,83390,82055,
        2142 Metallurgical and materials engineers,30,0,85346,
        2143 Mining engineers,15,0,0,
        2144 Geological engineers,10,0,0,
        2145 Petroleum engineers,0,0,0,
        2146 Aerospace engineers,35,97123,103129,
        2147 Computer engineers (except software engineers and designers),165,92287,84993,
"        2148 Other professional engineers, n.e.c.",15,0,0,
"      215 Architects, urban planners and land surveyors",330,74274,75017,
        2151 Architects,45,65255,74178,
        2152 Landscape architects,15,0,0,
        2153 Urban and land use planners,185,76072,79091,
        2154 Land surveyors,75,51681,72873,
"      216 Mathematicians, statisticians and actuaries",30,61937,89497,
"        2161 Mathematicians, statisticians and actuaries",30,61937,89497,
      217 Computer and information systems professionals,3485,80614,78071,
        2171 Information systems analysts and consultants,2065,83728,80647,
        2172 Database analysts and data administrators,165,82814,80986,
        2173 Software engineers and designers,315,91782,107842,
        2174 Computer programmers and interactive media developers,700,68863,66547,
        2175 Web designers and developers,235,43789,47345,
    22 Technical occupations related to natural and applied sciences,5585,65563,68037,
      221 Technical occupations in physical sciences,290,69132,71829,
        2211 Chemical technologists and technicians,265,69770,74138,
        2212 Geological and mineral technologists and technicians,30,0,48405,
      222 Technical occupations in life sciences,310,34380,40345,
        2221 Biological technologists and technicians,70,31187,42857,
        2222 Agricultural and fish products inspectors,25,0,0,
        2223 Forestry technologists and technicians,10,0,0,
        2224 Conservation and fishery officers,20,0,0,
        2225 Landscape and horticulture technicians and specialists,195,28666,33413,
"      223 Technical occupations in civil, mechanical and industrial engineering",980,69402,75206,
        2231 Civil engineering technologists and technicians,250,68128,71808,
        2232 Mechanical engineering technologists and technicians,315,85479,90096,
        2233 Industrial engineering and manufacturing technologists and technicians,220,59345,60621,
        2234 Construction estimators,195,66660,71608,
      224 Technical occupations in electronics and electrical engineering,1500,59307,64193,
        2241 Electrical and electronics engineering technologists and technicians,650,76275,77340,
