"Occupation - National Occupational Classification (NOC) 2016 (691), Employment Income Statistics (3), Highest Certificate, Diploma or Degree (7), Visible Minority (15), Work Activity During the Reference Year (4), Age (4D) and Sex (3) for the Population Aged 15 Years and Over Who Worked in 2015 and Reported Employment Income in 2015, in Private Households of Canada, Provinces and Territories and Census Metropolitan Areas, 2016 Census - 25% Sample Data",,,,
Geography = Ottawa - Gatineau,,,,
Global non-response rate (GNR) =   4.0 %,,,,
Visible minority (15) = Total - Visible minority [1],,,,
"Highest certificate, diploma or degree (7) = Total - Highest certificate, diploma or degree [2]",,,,
Work activity during the reference year (4) = Total - Work activity during the reference year [3],,,,
Age (4D) = Total - Age,,,,
Sex (3) = Total - Sex,,,,
Occupation - National Occupational Classification (NOC) 2016 (691),Total - Number of employment income recipients [4],Median employment income in 2015 ($) [5],Average employment income in 2015 ($) [6], 
Total - Occupation - National Occupational Classification (NOC) 2016 [7],711740,43872,53845,
  0 Management occupations,80790,77085,88866,
    00 Senior management occupations,9940,107551,149196,
      001 Legislators and senior management,9940,107551,149196,
        0011 Legislators,270,67971,75924,
        0012 Senior government managers and officials,3005,131570,133720,
"        0013 Senior managers - financial, communications and other business services",2295,107208,188047,
"        0014 Senior managers - health, education, social and community services and membership organizations",1375,98413,117708,
"        0015 Senior managers - trade, broadcasting and other services, n.e.c.",1390,72303,166416,
"        0016 Senior managers - construction, transportation, production and utilities",1605,91261,147080,
    01-05 Specialized middle management occupations,38605,95801,98367,
      011 Administrative services managers,9845,88991,92568,
        0111 Financial managers,3330,90461,97549,
        0112 Human resources managers,3035,90573,90850,
        0113 Purchasing managers,1270,88022,90579,
        0114 Other administrative services managers,2205,84176,88553,
      012 Managers in financial and business services,6210,76791,86395,
"        0121 Insurance, real estate and financial brokerage managers",680,87475,100080,
"        0122 Banking, credit and other investment managers",1820,74199,87786,
"        0124 Advertising, marketing and public relations managers",2835,80171,84710,
        0125 Other business services managers,865,64682,78159,
      013 Managers in communication (except broadcasting),1155,96693,102039,
        0131 Telecommunication carriers managers,835,97814,107074,
        0132 Postal and courier services managers,320,94266,88862,
"      021 Managers in engineering, architecture, science and information systems",6715,110714,122099,
        0211 Engineering managers,1085,128070,161197,
        0212 Architecture and science managers,565,106655,113603,
        0213 Computer and information systems managers,5065,106258,114675,
      031 Managers in health care,1390,86453,88203,
        0311 Managers in health care,1390,86453,88203,
      041 Managers in public administration,5225,108581,107832,
        0411 Government managers - health and social policy development and program administration,1565,112600,112188,
"        0412 Government managers - economic analysis, policy development and program administration",1570,112422,111353,
        0413 Government managers - education policy development and program administration,185,89460,94124,
        0414 Other managers in public administration,1900,102464,102651,
      042 Managers in education and social and community services,3410,82191,83525,
        0421 Administrators - post-secondary education and vocational training,830,74112,83034,
        0422 School principals and administrators of elementary and secondary education,1150,108007,98065,
"        0423 Managers in social, community and correctional services",1430,67677,72076,
      043 Managers in public protection services,3450,106323,104119,
        0431 Commissioned police officers,195,119108,118854,
        0432 Fire chiefs and senior firefighting officers,60,104691,105632,
        0433 Commissioned officers of the Canadian Armed Forces,3195,105787,103186,
"      051 Managers in art, culture, recreation and sport",1210,63339,68102,
"        0511 Library, archive, museum and art gallery managers",300,82448,82078,
"        0512 Managers - publishing, motion pictures, broadcasting and performing arts",320,83541,84143,
"        0513 Recreation, sports and fitness program and service directors",595,45767,52381,
    06 Middle management occupations in retail and wholesale trade and customer services,21895,41825,56495,
      060 Corporate sales managers,2410,93201,110287,
        0601 Corporate sales managers,2410,93201,110287,
      062 Retail and wholesale trade managers,12975,42778,55933,
        0621 Retail and wholesale trade managers,12980,42778,55933,
      063 Managers in food service and accommodation,5440,31223,37637,
        0631 Restaurant and food service managers,4785,30746,37008,
        0632 Accommodation service managers,650,34289,42272,
"      065 Managers in customer and personal services, n.e.c.",1065,30814,37807,
"        0651 Managers in customer and personal services, n.e.c.",1070,30814,37807,
"    07-09 Middle management occupations in trades, transportation, production and utilities",10345,53250,63945,
      071 Managers in construction and facility operation and maintenance,6625,55646,65355,
        0711 Construction managers,3035,69535,78221,
        0712 Home building and renovation managers,1685,27727,40513,
        0714 Facility operation and maintenance managers,1900,59345,66869,
      073 Managers in transportation,880,80985,89811,
        0731 Managers in transportation,875,80985,89811,
      081 Managers in natural resources production and fishing,90,55558,62634,
        0811 Managers in natural resources production and fishing,95,55558,62634,
"      082 Managers in agriculture, horticulture and aquaculture",1545,11815,24662,
        0821 Managers in agriculture,1465,11328,24324,
        0822 Managers in horticulture,85,22966,30775,
        0823 Managers in aquaculture,0,0,0,
      091 Managers in manufacturing and utilities,1200,73411,87987,
        0911 Manufacturing managers,1015,68149,85040,
        0912 Utilities managers,185,103489,104166,
"  1 Business, finance and administration occupations",134970,49731,53778,
    11 Professional occupations in business and finance,34235,67139,75909,
"      111 Auditors, accountants and investment professionals",16435,68896,82822,
        1111 Financial auditors and accountants,8005,68780,77489,
        1112 Financial and investment analysts,3490,75451,81419,
"        1113 Securities agents, investment dealers and brokers",390,55056,94823,
        1114 Other financial officers,4555,62197,92244,
