"Occupation - National Occupational Classification (NOC) 2016 (691), Employment Income Statistics (3), Highest Certificate, Diploma or Degree (7), Visible Minority (15), Work Activity During the Reference Year (4), Age (4D) and Sex (3) for the Population Aged 15 Years and Over Who Worked in 2015 and Reported Employment Income in 2015, in Private Households of Canada, Provinces and Territories and Census Metropolitan Areas, 2016 Census - 25% Sample Data",,,,
Geography = Ottawa - Gatineau (Ontario part / partie de l'Ontario),,,,
Global non-response rate (GNR) =   4.0 %,,,,
Visible minority (15) = Total - Visible minority [1],,,,
"Highest certificate, diploma or degree (7) = Total - Highest certificate, diploma or degree [2]",,,,
Work activity during the reference year (4) = Total - Work activity during the reference year [3],,,,
Age (4D) = Total - Age,,,,
Sex (3) = Total - Sex,,,,
Occupation - National Occupational Classification (NOC) 2016 (691),Total - Number of employment income recipients [4],Median employment income in 2015 ($) [5],Average employment income in 2015 ($) [6], 
Total - Occupation - National Occupational Classification (NOC) 2016 [7],533800,45125,56045,
  0 Management occupations,63130,80232,92978,
    00 Senior management occupations,7775,116114,162086,
      001 Legislators and senior management,7775,116114,162086,
        0011 Legislators,170,79072,83647,
        0012 Senior government managers and officials,2325,137596,138368,
"        0013 Senior managers - financial, communications and other business services",2040,110814,199662,
"        0014 Senior managers - health, education, social and community services and membership organizations",1010,106145,128866,
"        0015 Senior managers - trade, broadcasting and other services, n.e.c.",1025,78315,186292,
"        0016 Senior managers - construction, transportation, production and utilities",1210,111223,162387,
    01-05 Specialized middle management occupations,30590,97417,100385,
      011 Administrative services managers,7465,89096,93448,
        0111 Financial managers,2595,90561,98694,
        0112 Human resources managers,2230,90862,91163,
        0113 Purchasing managers,1025,88777,92666,
        0114 Other administrative services managers,1610,83574,88658,
      012 Managers in financial and business services,5160,77141,87815,
"        0121 Insurance, real estate and financial brokerage managers",575,87371,102719,
"        0122 Banking, credit and other investment managers",1490,75016,89931,
"        0124 Advertising, marketing and public relations managers",2380,80018,86049,
        0125 Other business services managers,710,64620,77304,
      013 Managers in communication (except broadcasting),950,99777,104426,
        0131 Telecommunication carriers managers,685,102008,110728,
        0132 Postal and courier services managers,265,88631,88103,
"      021 Managers in engineering, architecture, science and information systems",5710,111634,124321,
        0211 Engineering managers,995,130025,166430,
        0212 Architecture and science managers,500,104416,112307,
        0213 Computer and information systems managers,4215,107589,115814,
      031 Managers in health care,1080,86647,90178,
        0311 Managers in health care,1075,86647,90178,
      041 Managers in public administration,3800,110861,110624,
        0411 Government managers - health and social policy development and program administration,1260,113262,113037,
"        0412 Government managers - economic analysis, policy development and program administration",1275,112601,112471,
        0413 Government managers - education policy development and program administration,75,106197,106069,
        0414 Other managers in public administration,1190,106844,106372,
      042 Managers in education and social and community services,2570,86916,86468,
        0421 Administrators - post-secondary education and vocational training,585,74547,84958,
        0422 School principals and administrators of elementary and secondary education,940,112887,100448,
"        0423 Managers in social, community and correctional services",1045,68735,74763,
      043 Managers in public protection services,2950,107814,105328,
        0431 Commissioned police officers,120,136113,127028,
        0432 Fire chiefs and senior firefighting officers,40,139343,123906,
        0433 Commissioned officers of the Canadian Armed Forces,2795,107090,104161,
"      051 Managers in art, culture, recreation and sport",905,54772,66379,
"        0511 Library, archive, museum and art gallery managers",215,82791,82190,
"        0512 Managers - publishing, motion pictures, broadcasting and performing arts",235,82663,85156,
"        0513 Recreation, sports and fitness program and service directors",450,44425,48993,
    06 Middle management occupations in retail and wholesale trade and customer services,16830,43290,60064,
      060 Corporate sales managers,2035,99800,116308,
        0601 Corporate sales managers,2040,99800,116308,
      062 Retail and wholesale trade managers,9765,44189,59119,
        0621 Retail and wholesale trade managers,9765,44189,59119,
      063 Managers in food service and accommodation,4210,32133,39191,
        0631 Restaurant and food service managers,3735,32067,38910,
        0632 Accommodation service managers,475,32593,41401,
"      065 Managers in customer and personal services, n.e.c.",810,30754,38523,
"        0651 Managers in customer and personal services, n.e.c.",810,30754,38523,
"    07-09 Middle management occupations in trades, transportation, production and utilities",7935,55458,66489,
      071 Managers in construction and facility operation and maintenance,5075,57216,67568,
        0711 Construction managers,2265,73481,81051,
        0712 Home building and renovation managers,1275,28763,43132,
        0714 Facility operation and maintenance managers,1535,60393,67945,
      073 Managers in transportation,720,85030,94390,
        0731 Managers in transportation,720,85030,94390,
      081 Managers in natural resources production and fishing,50,55610,63247,
        0811 Managers in natural resources production and fishing,50,55610,63247,
"      082 Managers in agriculture, horticulture and aquaculture",1145,13064,24931,
        0821 Managers in agriculture,1095,13071,24937,
        0822 Managers in horticulture,55,11891,24830,
        0823 Managers in aquaculture,0,0,0,
      091 Managers in manufacturing and utilities,940,73551,90079,
        0911 Manufacturing managers,805,67987,87430,
        0912 Utilities managers,140,106595,105559,
"  1 Business, finance and administration occupations",98645,49650,54883,
    11 Professional occupations in business and finance,25910,68117,79130,
"      111 Auditors, accountants and investment professionals",12415,70087,87356,
        1111 Financial auditors and accountants,6300,70390,80402,
        1112 Financial and investment analysts,2345,75496,85102,
"        1113 Securities agents, investment dealers and brokers",330,55625,101099,
        1114 Other financial officers,3445,63256,100296,
      112 Human resources and business service professionals,13495,66114,71563,
        1121 Human resources professionals,4330,71224,74550,
        1122 Professional occupations in business management consulting,3865,71064,80206,
"        1123 Professional occupations in advertising, marketing and public relations",5300,58052,62815,
    12 Administrative and financial supervisors and administrative occupations,37540,51800,52914,
      121 Administrative services supervisors,2240,55011,59046,
"        1211 Supervisors, general office and administrative support workers",475,56853,59705,
"        1212 Supervisors, finance and insurance office workers",415,61397,66201,
"        1213 Supervisors, library, correspondence and related information workers",330,56708,55665,
"        1214 Supervisors, mail and message distribution occupations",210,65969,59138,
"        1215 Supervisors, supply chain, tracking and scheduling co-ordination occupations",815,49516,56404,
      122 Administrative and regulatory occupations,23645,55607,57495,
        1221 Administrative officers,11155,53126,54277,
        1222 Executive assistants,2620,59025,63302,
        1223 Human resources and recruitment officers,1435,55238,60396,
        1224 Property administrators,1685,46480,53504,
        1225 Purchasing agents and officers,2155,66124,67674,
        1226 Conference and event planners,1310,39571,41134,
        1227 Court officers and justices of the peace,185,63721,71060,
"        1228 Employment insurance, immigration, border services and revenue officers",3100,64549,64013,
"      124 Office administrative assistants - general, legal and medical",10275,43687,41492,
        1241 Administrative assistants,7555,43329,41284,
        1242 Legal administrative assistants,1405,49272,46912,
        1243 Medical administrative assistants,1315,38844,36903,
"      125 Court reporters, transcriptionists, records management technicians and statistical officers",1380,50972,49500,
"        1251 Court reporters, medical transcriptionists and related occupations",345,22967,26571,
        1252 Health information management occupations,170,64971,64312,
        1253 Records management technicians,365,49697,53626,
        1254 Statistical officers and related research support occupations,500,61919,57240,
"    13 Finance, insurance and related business administrative occupations",4850,48159,51432,
"      131 Finance, insurance and related business administrative occupations",4850,48159,51432,
        1311 Accounting technicians and bookkeepers,3585,40163,44353,
        1312 Insurance adjusters and claims examiners,695,61586,74753,
        1313 Insurance underwriters,300,62658,68465,
"        1314 Assessors, valuators and appraisers",205,65931,69911,
"        1315 Customs, ship and other brokers",60,55973,54997,
    14 Office support occupations,23550,34598,36127,
      141 General office workers,13450,30860,33776,
        1411 General office support workers,8330,37610,37618,
        1414 Receptionists,4245,19973,23342,
        1415 Personnel clerks,755,49263,47773,
        1416 Court clerks,120,49163,47794,
      142 Office equipment operators,1690,26916,32177,
        1422 Data entry clerks,1610,26314,31424,
        1423 Desktop publishing operators and related occupations,80,55126,46855,
"      143 Financial, insurance and related administrative support workers",5440,44333,44792,
        1431 Accounting and related clerks,3595,41081,42224,
        1432 Payroll administrators,1000,55061,54742,
"        1434 Banking, insurance and other financial clerks",450,39949,40974,
        1435 Collectors,395,46756,47197,
"      145 Library, correspondence and other clerks",2965,28067,33140,
        1451 Library assistants and clerks,445,33482,33000,
"        1452 Correspondence, publication and regulatory clerks",1135,49859,47478,
        1454 Survey interviewers and statistical clerks,1380,9938,21348,
"    15 Distribution, tracking and scheduling co-ordination occupations",6790,39315,40744,
      151 Mail and message distribution occupations,2330,41915,39842,
"        1511 Mail, postal and related workers",1025,39587,38031,
        1512 Letter carriers,715,55304,50488,
"        1513 Couriers, messengers and door-to-door distributors",585,20826,29975,
"      152 Supply chain logistics, tracking and scheduling co-ordination occupations",4465,38471,41216,
        1521 Shippers and receivers,1590,31327,33528,
        1522 Storekeepers and partspersons,660,38941,37750,
        1523 Production logistics co-ordinators,455,50885,53403,
        1524 Purchasing and inventory control workers,920,37071,39372,
        1525 Dispatchers,705,49562,52567,
        1526 Transportation route and crew schedulers,125,62394,62219,
  2 Natural and applied sciences and related occupations,63510,79162,80856,
    21 Professional occupations in natural and applied sciences,45425,84502,88312,
      211 Physical science professionals,1330,86597,82669,
        2111 Physicists and astronomers,320,104963,101226,
        2112 Chemists,615,81321,77620,
        2113 Geoscientists and oceanographers,285,71486,74278,
        2114 Meteorologists and climatologists,50,82351,69051,
        2115 Other professional occupations in physical sciences,60,95019,85187,
      212 Life science professionals,1470,81001,77521,
        2121 Biologists and related scientists,1325,82649,78645,
        2122 Forestry professionals,40,66881,101844,
"        2123 Agricultural representatives, consultants and specialists",110,42050,55191,
"      213 Civil, mechanical, electrical and chemical engineers",7520,96862,100508,
        2131 Civil engineers,2090,85527,89477,
        2132 Mechanical engineers,1645,89260,88821,
        2133 Electrical and electronics engineers,3505,108502,113832,
        2134 Chemical engineers,280,84233,84679,
      214 Other engineers,3895,99951,106157,
        2141 Industrial and manufacturing engineers,380,89980,94455,
        2142 Metallurgical and materials engineers,55,100463,91566,
        2143 Mining engineers,25,0,0,
        2144 Geological engineers,75,80269,120527,
        2145 Petroleum engineers,40,0,0,
        2146 Aerospace engineers,485,103705,98226,
        2147 Computer engineers (except software engineers and designers),2535,102383,111886,
"        2148 Other professional engineers, n.e.c.",310,94329,85383,
"      215 Architects, urban planners and land surveyors",1345,75201,75147,
        2151 Architects,615,66070,74446,
        2152 Landscape architects,70,50507,51600,
        2153 Urban and land use planners,530,79637,79529,
        2154 Land surveyors,130,76849,73228,
"      216 Mathematicians, statisticians and actuaries",1270,74795,74790,
"        2161 Mathematicians, statisticians and actuaries",1270,74795,74790,
      217 Computer and information systems professionals,28595,81686,84708,
        2171 Information systems analysts and consultants,11455,82185,83135,
        2172 Database analysts and data administrators,1585,81176,79479,
        2173 Software engineers and designers,5640,99065,103910,
        2174 Computer programmers and interactive media developers,8485,80563,79986,
        2175 Web designers and developers,1430,57693,55405,
    22 Technical occupations related to natural and applied sciences,18085,60468,62127,
      221 Technical occupations in physical sciences,785,53510,51918,
        2211 Chemical technologists and technicians,650,56666,53148,
        2212 Geological and mineral technologists and technicians,140,39520,46169,
      222 Technical occupations in life sciences,965,29262,39618,
        2221 Biological technologists and technicians,320,41136,42095,
        2222 Agricultural and fish products inspectors,70,73167,69268,
        2223 Forestry technologists and technicians,65,16997,29824,
        2224 Conservation and fishery officers,80,75586,75083,
        2225 Landscape and horticulture technicians and specialists,445,21443,28307,
"      223 Technical occupations in civil, mechanical and industrial engineering",1890,54932,58266,
        2231 Civil engineering technologists and technicians,515,51598,56020,
        2232 Mechanical engineering technologists and technicians,460,60319,57538,
        2233 Industrial engineering and manufacturing technologists and technicians,350,50345,60128,
        2234 Construction estimators,570,59577,59746,
      224 Technical occupations in electronics and electrical engineering,3700,54540,58046,
        2241 Electrical and electronics engineering technologists and technicians,1690,63156,65340,
        2242 Electronic service technicians (household and business equipment),1725,45994,48204,
        2243 Industrial instrument technicians and mechanics,70,76898,70065,
"        2244 Aircraft instrument, electrical and avionics mechanics, technicians and inspectors",215,79232,75652,
"      225 Technical occupations in architecture, drafting, surveying, geomatics and meteorology",1690,57743,56760,
        2251 Architectural technologists and technicians,455,54192,54429,
        2252 Industrial designers,215,55828,60483,
        2253 Drafting technologists and technicians,485,55365,52932,
        2254 Land survey technologists and technicians,55,43305,50745,
        2255 Technical occupations in geomatics and meteorology,485,67629,61810,
      226 Other technical inspectors and regulatory officers,1615,73132,69960,
        2261 Non-destructive testers and inspection technicians,30,0,67517,
        2262 Engineering inspectors and regulatory officers,260,88257,81692,
        2263 Inspectors in public and environmental health and occupational health and safety,965,74617,69318,
        2264 Construction inspectors,355,53876,63267,
      227 Transportation officers and controllers,570,109048,109504,
"        2271 Air pilots, flight engineers and flying instructors",380,116717,110086,
        2272 Air traffic controllers and related occupations,110,114844,123235,
"        2273 Deck officers, water transport",40,76447,83187,
