"Occupation - National Occupational Classification (NOC) 2016 (691), Employment Income Statistics (3), Highest Certificate, Diploma or Degree (7), Visible Minority (15), Work Activity During the Reference Year (4), Age (4D) and Sex (3) for the Population Aged 15 Years and Over Who Worked in 2015 and Reported Employment Income in 2015, in Private Households of Canada, Provinces and Territories and Census Metropolitan Areas, 2016 Census - 25% Sample Data",,,,
Geography = Ottawa - Gatineau (partie du Québec / Quebec part),,,,
Global non-response rate (GNR) =   4.0 %,,,,
Visible minority (15) = Total - Visible minority [1],,,,
"Highest certificate, diploma or degree (7) = Total - Highest certificate, diploma or degree [2]",,,,
Work activity during the reference year (4) = Total - Work activity during the reference year [3],,,,
Age (4D) = Total - Age,,,,
Sex (3) = Total - Sex,,,,
Occupation - National Occupational Classification (NOC) 2016 (691),Total - Number of employment income recipients [4],Median employment income in 2015 ($) [5],Average employment income in 2015 ($) [6], 
Total - Occupation - National Occupational Classification (NOC) 2016 [7],177935,40632,47245,
  0 Management occupations,17660,67082,74168,
    00 Senior management occupations,2165,82598,102902,
      001 Legislators and senior management,2170,82598,102902,
        0011 Legislators,100,63295,63352,
        0012 Senior government managers and officials,680,113212,117912,
"        0013 Senior managers - financial, communications and other business services",255,64770,94849,
"        0014 Senior managers - health, education, social and community services and membership organizations",365,77541,86727,
"        0015 Senior managers - trade, broadcasting and other services, n.e.c.",360,60073,110199,
"        0016 Senior managers - construction, transportation, production and utilities",400,52303,100612,
    01-05 Specialized middle management occupations,8015,90837,90665,
      011 Administrative services managers,2380,88713,89808,
        0111 Financial managers,735,90175,93512,
        0112 Human resources managers,805,89402,89980,
        0113 Purchasing managers,250,84128,81867,
        0114 Other administrative services managers,595,85907,88270,
      012 Managers in financial and business services,1050,74226,79396,
"        0121 Insurance, real estate and financial brokerage managers",110,88603,86365,
"        0122 Banking, credit and other investment managers",330,73872,78124,
"        0124 Advertising, marketing and public relations managers",455,81204,77700,
        0125 Other business services managers,150,65132,82191,
      013 Managers in communication (except broadcasting),205,89637,90960,
        0131 Telecommunication carriers managers,150,79476,90386,
        0132 Postal and courier services managers,55,100967,92536,
"      021 Managers in engineering, architecture, science and information systems",1000,102584,109425,
        0211 Engineering managers,90,97685,103220,
        0212 Architecture and science managers,65,110962,123362,
        0213 Computer and information systems managers,845,102427,108993,
      031 Managers in health care,310,86181,81429,
        0311 Managers in health care,315,86181,81429,
      041 Managers in public administration,1420,99288,100350,
        0411 Government managers - health and social policy development and program administration,305,107799,108675,
"        0412 Government managers - economic analysis, policy development and program administration",295,108636,106538,
        0413 Government managers - education policy development and program administration,110,82750,85859,
        0414 Other managers in public administration,710,93055,96406,
      042 Managers in education and social and community services,840,75475,74499,
        0421 Administrators - post-secondary education and vocational training,245,73698,78411,
        0422 School principals and administrators of elementary and secondary education,215,91997,87553,
"        0423 Managers in social, community and correctional services",380,61180,64711,
      043 Managers in public protection services,500,97920,96984,
        0431 Commissioned police officers,75,104139,106222,
        0432 Fire chiefs and senior firefighting officers,20,0,0,
        0433 Commissioned officers of the Canadian Armed Forces,400,98010,96404,
"      051 Managers in art, culture, recreation and sport",310,70718,73108,
"        0511 Library, archive, museum and art gallery managers",80,80735,81783,
"        0512 Managers - publishing, motion pictures, broadcasting and performing arts",85,83754,81364,
"        0513 Recreation, sports and fitness program and service directors",140,56258,63108,
    06 Middle management occupations in retail and wholesale trade and customer services,5070,37333,44640,
      060 Corporate sales managers,375,73113,77582,
        0601 Corporate sales managers,375,73113,77582,
      062 Retail and wholesale trade managers,3210,38629,46232,
        0621 Retail and wholesale trade managers,3210,38629,46232,
      063 Managers in food service and accommodation,1230,28232,32307,
        0631 Restaurant and food service managers,1050,26060,30252,
        0632 Accommodation service managers,175,41270,44629,
"      065 Managers in customer and personal services, n.e.c.",255,31422,35536,
"        0651 Managers in customer and personal services, n.e.c.",255,31422,35536,
"    07-09 Middle management occupations in trades, transportation, production and utilities",2410,44255,55567,
