"Occupation - National Occupational Classification (NOC) 2016 (691), Employment Income Statistics (3), Highest Certificate, Diploma or Degree (7), Visible Minority (15), Work Activity During the Reference Year (4), Age (4D) and Sex (3) for the Population Aged 15 Years and Over Who Worked in 2015 and Reported Employment Income in 2015, in Private Households of Canada, Provinces and Territories and Census Metropolitan Areas, 2016 Census - 25% Sample Data",,,,
Geography = Peterborough,,,,
Global non-response rate (GNR) =   4.5 %,,,,
Visible minority (15) = Total - Visible minority [1],,,,
"Highest certificate, diploma or degree (7) = Total - Highest certificate, diploma or degree [2]",,,,
Work activity during the reference year (4) = Total - Work activity during the reference year [3],,,,
Age (4D) = Total - Age,,,,
Sex (3) = Total - Sex,,,,
Occupation - National Occupational Classification (NOC) 2016 (691),Total - Number of employment income recipients [4],Median employment income in 2015 ($) [5],Average employment income in 2015 ($) [6], 
Total - Occupation - National Occupational Classification (NOC) 2016 [7],60270,33138,42745,
  0 Management occupations,5785,50127,66769,
    00 Senior management occupations,540,81392,116048,
      001 Legislators and senior management,535,81392,116048,
        0011 Legislators,15,0,0,
        0012 Senior government managers and officials,40,81231,110543,
"        0013 Senior managers - financial, communications and other business services",110,105479,163606,
"        0014 Senior managers - health, education, social and community services and membership organizations",135,81012,106936,
"        0015 Senior managers - trade, broadcasting and other services, n.e.c.",95,64971,108321,
"        0016 Senior managers - construction, transportation, production and utilities",140,85391,105120,
    01-05 Specialized middle management occupations,1720,70628,80716,
      011 Administrative services managers,445,66191,72557,
        0111 Financial managers,170,64142,69158,
        0112 Human resources managers,135,70331,83763,
        0113 Purchasing managers,60,67168,79515,
        0114 Other administrative services managers,75,46241,54004,
      012 Managers in financial and business services,380,53467,74250,
"        0121 Insurance, real estate and financial brokerage managers",25,0,0,
"        0122 Banking, credit and other investment managers",135,58802,77453,
"        0124 Advertising, marketing and public relations managers",105,68390,81001,
        0125 Other business services managers,110,29640,76698,
      013 Managers in communication (except broadcasting),30,0,0,
        0131 Telecommunication carriers managers,30,0,0,
        0132 Postal and courier services managers,0,0,0,
"      021 Managers in engineering, architecture, science and information systems",190,96323,100302,
        0211 Engineering managers,45,102818,113751,
        0212 Architecture and science managers,45,87712,86670,
        0213 Computer and information systems managers,105,91780,100384,
      031 Managers in health care,120,85347,94094,
        0311 Managers in health care,120,85347,94094,
      041 Managers in public administration,80,88709,93280,
        0411 Government managers - health and social policy development and program administration,10,0,0,
"        0412 Government managers - economic analysis, policy development and program administration",30,0,109256,
        0413 Government managers - education policy development and program administration,10,0,0,
        0414 Other managers in public administration,35,81129,82533,
      042 Managers in education and social and community services,325,86944,82302,
        0421 Administrators - post-secondary education and vocational training,60,63183,86439,
        0422 School principals and administrators of elementary and secondary education,155,106371,94382,
"        0423 Managers in social, community and correctional services",115,65584,64000,
      043 Managers in public protection services,25,0,0,
        0431 Commissioned police officers,15,0,0,
        0432 Fire chiefs and senior firefighting officers,10,0,0,
        0433 Commissioned officers of the Canadian Armed Forces,0,0,0,
"      051 Managers in art, culture, recreation and sport",120,65334,57788,
"        0511 Library, archive, museum and art gallery managers",30,0,0,
"        0512 Managers - publishing, motion pictures, broadcasting and performing arts",20,0,0,
"        0513 Recreation, sports and fitness program and service directors",70,73142,64989,
    06 Middle management occupations in retail and wholesale trade and customer services,2295,38038,51109,
      060 Corporate sales managers,220,89857,101862,
        0601 Corporate sales managers,220,89857,101862,
      062 Retail and wholesale trade managers,1375,39966,51433,
        0621 Retail and wholesale trade managers,1370,39966,51433,
      063 Managers in food service and accommodation,615,28606,34583,
        0631 Restaurant and food service managers,485,28666,32424,
        0632 Accommodation service managers,130,27965,42554,
"      065 Managers in customer and personal services, n.e.c.",80,22057,32844,
"        0651 Managers in customer and personal services, n.e.c.",85,22057,32844,
"    07-09 Middle management occupations in trades, transportation, production and utilities",1240,41738,55090,
      071 Managers in construction and facility operation and maintenance,515,45259,54155,
        0711 Construction managers,150,78605,79247,
        0712 Home building and renovation managers,190,16430,23795,
        0714 Facility operation and maintenance managers,175,62012,65783,
      073 Managers in transportation,60,58515,69896,
        0731 Managers in transportation,55,58515,69896,
      081 Managers in natural resources production and fishing,15,0,0,
        0811 Managers in natural resources production and fishing,15,0,0,
"      082 Managers in agriculture, horticulture and aquaculture",395,6274,24371,
        0821 Managers in agriculture,375,5367,24152,
        0822 Managers in horticulture,10,0,0,
        0823 Managers in aquaculture,0,0,0,
      091 Managers in manufacturing and utilities,260,75277,99684,
        0911 Manufacturing managers,205,71272,95708,
        0912 Utilities managers,50,116514,116123,
"  1 Business, finance and administration occupations",7675,37888,42519,
    11 Professional occupations in business and finance,1255,48964,67488,
"      111 Auditors, accountants and investment professionals",700,50978,80345,
        1111 Financial auditors and accountants,300,49163,56674,
        1112 Financial and investment analysts,40,0,0,
"        1113 Securities agents, investment dealers and brokers",15,0,0,
        1114 Other financial officers,350,48314,84484,
      112 Human resources and business service professionals,555,46694,51275,
        1121 Human resources professionals,200,60221,60971,
        1122 Professional occupations in business management consulting,130,46079,53213,
"        1123 Professional occupations in advertising, marketing and public relations",220,40104,41372,
    12 Administrative and financial supervisors and administrative occupations,2650,40991,42886,
      121 Administrative services supervisors,220,50180,50795,
"        1211 Supervisors, general office and administrative support workers",35,53549,53452,
"        1212 Supervisors, finance and insurance office workers",30,38403,40479,
"        1213 Supervisors, library, correspondence and related information workers",25,0,0,
"        1214 Supervisors, mail and message distribution occupations",35,52960,50724,
"        1215 Supervisors, supply chain, tracking and scheduling co-ordination occupations",95,52668,61966,
      122 Administrative and regulatory occupations,1340,40965,44803,
        1221 Administrative officers,760,40226,43629,
        1222 Executive assistants,75,50781,64025,
        1223 Human resources and recruitment officers,85,59815,48632,
        1224 Property administrators,175,21213,29311,
        1225 Purchasing agents and officers,125,47955,56874,
        1226 Conference and event planners,55,16505,27535,
        1227 Court officers and justices of the peace,10,0,0,
"        1228 Employment insurance, immigration, border services and revenue officers",65,55783,59355,
"      124 Office administrative assistants - general, legal and medical",985,39692,38058,
        1241 Administrative assistants,720,38738,37538,
        1242 Legal administrative assistants,65,35429,39479,
        1243 Medical administrative assistants,210,45373,39418,
"      125 Court reporters, transcriptionists, records management technicians and statistical officers",100,44272,47395,
"        1251 Court reporters, medical transcriptionists and related occupations",45,30830,38138,
        1252 Health information management occupations,25,0,71799,
        1253 Records management technicians,20,0,0,
        1254 Statistical officers and related research support occupations,0,0,0,
"    13 Finance, insurance and related business administrative occupations",635,29883,35101,
"      131 Finance, insurance and related business administrative occupations",640,29883,35101,
        1311 Accounting technicians and bookkeepers,515,25837,30655,
        1312 Insurance adjusters and claims examiners,50,48494,51200,
        1313 Insurance underwriters,20,0,0,
"        1314 Assessors, valuators and appraisers",50,67053,61254,
"        1315 Customs, ship and other brokers",10,0,0,
    14 Office support occupations,2255,32426,32847,
      141 General office workers,1325,30917,31969,
        1411 General office support workers,795,32485,34821,
        1414 Receptionists,510,28042,26386,
        1415 Personnel clerks,20,0,0,
        1416 Court clerks,0,0,0,
      142 Office equipment operators,80,29467,29758,
        1422 Data entry clerks,80,29467,29758,
        1423 Desktop publishing operators and related occupations,0,0,0,
"      143 Financial, insurance and related administrative support workers",650,37880,37511,
        1431 Accounting and related clerks,395,35979,35614,
        1432 Payroll administrators,90,50882,52699,
"        1434 Banking, insurance and other financial clerks",40,34233,36077,
        1435 Collectors,125,36902,32858,
"      145 Library, correspondence and other clerks",200,20579,24895,
        1451 Library assistants and clerks,80,19076,22575,
"        1452 Correspondence, publication and regulatory clerks",50,47789,41644,
        1454 Survey interviewers and statistical clerks,75,2996,16637,
"    15 Distribution, tracking and scheduling co-ordination occupations",875,33358,35844,
      151 Mail and message distribution occupations,320,26216,31619,
"        1511 Mail, postal and related workers",70,26120,28994,
        1512 Letter carriers,100,42908,40623,
"        1513 Couriers, messengers and door-to-door distributors",145,19215,26570,
"      152 Supply chain logistics, tracking and scheduling co-ordination occupations",555,35514,38269,
        1521 Shippers and receivers,245,31294,34705,
        1522 Storekeepers and partspersons,70,42629,41044,
        1523 Production logistics co-ordinators,55,45500,50108,
        1524 Purchasing and inventory control workers,85,23557,26758,
        1525 Dispatchers,85,49987,48917,
        1526 Transportation route and crew schedulers,20,0,0,
  2 Natural and applied sciences and related occupations,3560,57752,60066,
    21 Professional occupations in natural and applied sciences,1520,68770,69277,
      211 Physical science professionals,110,64162,69208,
        2111 Physicists and astronomers,0,0,0,
        2112 Chemists,35,59934,53659,
        2113 Geoscientists and oceanographers,25,0,0,
        2114 Meteorologists and climatologists,10,0,0,
        2115 Other professional occupations in physical sciences,45,74710,77094,
      212 Life science professionals,155,66933,58982,
        2121 Biologists and related scientists,125,73098,64050,
        2122 Forestry professionals,10,0,0,
"        2123 Agricultural representatives, consultants and specialists",20,0,0,
"      213 Civil, mechanical, electrical and chemical engineers",375,83502,81644,
        2131 Civil engineers,75,68487,71436,
        2132 Mechanical engineers,170,77957,79109,
        2133 Electrical and electronics engineers,100,95562,87319,
        2134 Chemical engineers,25,0,107535,
      214 Other engineers,175,79955,77831,
        2141 Industrial and manufacturing engineers,80,79961,72766,
        2142 Metallurgical and materials engineers,10,0,0,
        2143 Mining engineers,10,0,0,
        2144 Geological engineers,15,0,0,
        2145 Petroleum engineers,0,0,0,
        2146 Aerospace engineers,15,0,0,
        2147 Computer engineers (except software engineers and designers),40,65464,80587,
"        2148 Other professional engineers, n.e.c.",10,0,0,
"      215 Architects, urban planners and land surveyors",165,64935,63793,
        2151 Architects,20,0,0,
        2152 Landscape architects,0,0,0,
        2153 Urban and land use planners,90,67113,64976,
        2154 Land surveyors,50,42464,62209,
