"Occupation - National Occupational Classification (NOC) 2016 (691), Employment Income Statistics (3), Highest Certificate, Diploma or Degree (7), Visible Minority (15), Work Activity During the Reference Year (4), Age (4D) and Sex (3) for the Population Aged 15 Years and Over Who Worked in 2015 and Reported Employment Income in 2015, in Private Households of Canada, Provinces and Territories and Census Metropolitan Areas, 2016 Census - 25% Sample Data",,,,
Geography = Prince Edward Island / Œle-du-Prince-…douard,,,,
Global non-response rate (GNR) =   5.6 %,,,,
Visible minority (15) = Total - Visible minority [1],,,,
"Highest certificate, diploma or degree (7) = Total - Highest certificate, diploma or degree [2]",,,,
Work activity during the reference year (4) = Total - Work activity during the reference year [3],,,,
Age (4D) = Total - Age,,,,
Sex (3) = Total - Sex,,,,
Occupation - National Occupational Classification (NOC) 2016 (691),Total - Number of employment income recipients [4],Median employment income in 2015 ($) [5],Average employment income in 2015 ($) [6], 
Total - Occupation - National Occupational Classification (NOC) 2016 [7],80225,28958,36741,
  0 Management occupations,7855,43474,53328,
    00 Senior management occupations,760,62219,81029,
      001 Legislators and senior management,755,62219,81029,
        0011 Legislators,45,57486,52233,
        0012 Senior government managers and officials,160,82237,85866,
"        0013 Senior managers - financial, communications and other business services",110,84156,95912,
"        0014 Senior managers - health, education, social and community services and membership organizations",160,55888,69252,
"        0015 Senior managers - trade, broadcasting and other services, n.e.c.",135,44462,41611,
"        0016 Senior managers - construction, transportation, production and utilities",160,71989,119128,
    01-05 Specialized middle management occupations,2275,66560,67913,
      011 Administrative services managers,525,70263,70943,
        0111 Financial managers,240,74136,78480,
        0112 Human resources managers,155,73840,73488,
        0113 Purchasing managers,45,50751,59070,
        0114 Other administrative services managers,85,47593,51246,
      012 Managers in financial and business services,465,55159,58187,
"        0121 Insurance, real estate and financial brokerage managers",45,49926,70755,
"        0122 Banking, credit and other investment managers",160,58990,61119,
"        0124 Advertising, marketing and public relations managers",190,57667,55185,
        0125 Other business services managers,75,46880,52448,
      013 Managers in communication (except broadcasting),20,0,0,
        0131 Telecommunication carriers managers,10,0,0,
        0132 Postal and courier services managers,10,0,0,
"      021 Managers in engineering, architecture, science and information systems",275,77139,86273,
        0211 Engineering managers,40,94250,118069,
        0212 Architecture and science managers,35,61865,77553,
        0213 Computer and information systems managers,200,76303,81164,
      031 Managers in health care,130,82494,81650,
        0311 Managers in health care,130,82494,81650,
      041 Managers in public administration,185,83108,79726,
        0411 Government managers - health and social policy development and program administration,40,90325,80293,
"        0412 Government managers - economic analysis, policy development and program administration",95,81762,82314,
        0413 Government managers - education policy development and program administration,15,0,0,
        0414 Other managers in public administration,30,69919,64341,
      042 Managers in education and social and community services,420,75676,67549,
        0421 Administrators - post-secondary education and vocational training,85,55642,64429,
        0422 School principals and administrators of elementary and secondary education,155,91348,85979,
"        0423 Managers in social, community and correctional services",180,46114,53560,
      043 Managers in public protection services,95,39960,57662,
        0431 Commissioned police officers,15,0,0,
        0432 Fire chiefs and senior firefighting officers,0,0,0,
        0433 Commissioned officers of the Canadian Armed Forces,80,28124,42799,
"      051 Managers in art, culture, recreation and sport",165,40207,39701,
"        0511 Library, archive, museum and art gallery managers",35,44220,38727,
"        0512 Managers - publishing, motion pictures, broadcasting and performing arts",20,0,0,
"        0513 Recreation, sports and fitness program and service directors",105,31955,39449,
    06 Middle management occupations in retail and wholesale trade and customer services,2630,32658,39073,
      060 Corporate sales managers,120,72221,76944,
        0601 Corporate sales managers,115,72221,76944,
      062 Retail and wholesale trade managers,1620,37637,42513,
        0621 Retail and wholesale trade managers,1620,37637,42513,
      063 Managers in food service and accommodation,800,23374,27443,
        0631 Restaurant and food service managers,495,27797,31157,
        0632 Accommodation service managers,310,7995,21462,
"      065 Managers in customer and personal services, n.e.c.",90,23488,31079,
"        0651 Managers in customer and personal services, n.e.c.",90,23488,31079,
"    07-09 Middle management occupations in trades, transportation, production and utilities",2195,34877,45716,
      071 Managers in construction and facility operation and maintenance,560,39192,46568,
        0711 Construction managers,235,48304,54111,
        0712 Home building and renovation managers,75,29281,32670,
        0714 Facility operation and maintenance managers,245,34403,43483,
      073 Managers in transportation,55,63547,65014,
        0731 Managers in transportation,55,63547,65014,
      081 Managers in natural resources production and fishing,45,86826,158103,
        0811 Managers in natural resources production and fishing,45,86826,158103,
"      082 Managers in agriculture, horticulture and aquaculture",1275,25737,32427,
