"Occupation - National Occupational Classification (NOC) 2016 (691), Employment Income Statistics (3), Highest Certificate, Diploma or Degree (7), Visible Minority (15), Work Activity During the Reference Year (4), Age (4D) and Sex (3) for the Population Aged 15 Years and Over Who Worked in 2015 and Reported Employment Income in 2015, in Private Households of Canada, Provinces and Territories and Census Metropolitan Areas, 2016 Census - 25% Sample Data",,,,
Geography = Quebec / QuÈbec [1],,,,
Global non-response rate (GNR) =   4.3 %,,,,
Visible minority (15) = Total - Visible minority [2],,,,
"Highest certificate, diploma or degree (7) = Total - Highest certificate, diploma or degree [3]",,,,
Work activity during the reference year (4) = Total - Work activity during the reference year [4],,,,
Age (4D) = Total - Age,,,,
Sex (3) = Total - Sex,,,,
Occupation - National Occupational Classification (NOC) 2016 (691),Total - Number of employment income recipients [5],Median employment income in 2015 ($) [6],Average employment income in 2015 ($) [7], 
Total - Occupation - National Occupational Classification (NOC) 2016 [8],4244290,34219,43203,
  0 Management occupations,408305,54207,74813,
    00 Senior management occupations,62605,69123,124449,
      001 Legislators and senior management,62605,69123,124449,
        0011 Legislators,1945,26876,47309,
        0012 Senior government managers and officials,4540,91333,96216,
"        0013 Senior managers - financial, communications and other business services",14070,90694,174282,
"        0014 Senior managers - health, education, social and community services and membership organizations",6480,66290,82920,
"        0015 Senior managers - trade, broadcasting and other services, n.e.c.",17195,58487,117945,
"        0016 Senior managers - construction, transportation, production and utilities",18375,67218,122171,
    01-05 Specialized middle management occupations,132965,79802,88195,
      011 Administrative services managers,40715,78838,91648,
        0111 Financial managers,16195,81150,101241,
        0112 Human resources managers,11565,79767,85585,
        0113 Purchasing managers,4765,75756,82804,
        0114 Other administrative services managers,8195,74575,86389,
      012 Managers in financial and business services,31070,73836,90157,
"        0121 Insurance, real estate and financial brokerage managers",3590,84910,124069,
"        0122 Banking, credit and other investment managers",11860,80950,97727,
"        0124 Advertising, marketing and public relations managers",12595,65256,77148,
        0125 Other business services managers,3035,64180,74427,
      013 Managers in communication (except broadcasting),4035,82718,89422,
        0131 Telecommunication carriers managers,3655,83690,91212,
        0132 Postal and courier services managers,375,74897,72161,
"      021 Managers in engineering, architecture, science and information systems",19410,93358,99706,
        0211 Engineering managers,3535,97034,107002,
        0212 Architecture and science managers,2165,90111,101013,
        0213 Computer and information systems managers,13705,92837,97618,
      031 Managers in health care,6695,81307,82994,
        0311 Managers in health care,6690,81307,82994,
      041 Managers in public administration,5775,90574,89804,
        0411 Government managers - health and social policy development and program administration,1070,98076,97862,
"        0412 Government managers - economic analysis, policy development and program administration",1755,95809,96035,
        0413 Government managers - education policy development and program administration,330,78606,76497,
        0414 Other managers in public administration,2625,84964,84046,
      042 Managers in education and social and community services,16075,76655,73804,
        0421 Administrators - post-secondary education and vocational training,3440,82742,82338,
        0422 School principals and administrators of elementary and secondary education,5405,91733,87194,
"        0423 Managers in social, community and correctional services",7235,53733,59732,
      043 Managers in public protection services,3745,88493,85707,
        0431 Commissioned police officers,965,106660,109814,
        0432 Fire chiefs and senior firefighting officers,555,92793,91028,
        0433 Commissioned officers of the Canadian Armed Forces,2230,81113,73981,
"      051 Managers in art, culture, recreation and sport",5440,52922,58100,
"        0511 Library, archive, museum and art gallery managers",965,52567,57088,
"        0512 Managers - publishing, motion pictures, broadcasting and performing arts",1820,60161,65637,
"        0513 Recreation, sports and fitness program and service directors",2650,48860,53294,
    06 Middle management occupations in retail and wholesale trade and customer services,131350,37541,49987,
      060 Corporate sales managers,15935,85990,97827,
        0601 Corporate sales managers,15935,85990,97827,
      062 Retail and wholesale trade managers,81075,36916,47064,
        0621 Retail and wholesale trade managers,81070,36916,47064,
      063 Managers in food service and accommodation,29670,28966,34729,
        0631 Restaurant and food service managers,24905,28184,33346,
        0632 Accommodation service managers,4770,34584,41950,
"      065 Managers in customer and personal services, n.e.c.",4670,26132,34454,
"        0651 Managers in customer and personal services, n.e.c.",4670,26132,34454,
"    07-09 Middle management occupations in trades, transportation, production and utilities",81380,41829,54835,
      071 Managers in construction and facility operation and maintenance,30660,45327,55754,
        0711 Construction managers,14265,60870,68674,
        0712 Home building and renovation managers,7890,20307,27608,
        0714 Facility operation and maintenance managers,8505,49338,60188,
      073 Managers in transportation,6650,68260,77808,
        0731 Managers in transportation,6650,68260,77808,
      081 Managers in natural resources production and fishing,1030,85085,100545,
        0811 Managers in natural resources production and fishing,1030,85085,100545,
"      082 Managers in agriculture, horticulture and aquaculture",24405,17220,23612,
        0821 Managers in agriculture,23670,17222,23640,
        0822 Managers in horticulture,660,17296,22160,
        0823 Managers in aquaculture,75,16535,27485,
      091 Managers in manufacturing and utilities,18630,69774,83498,
        0911 Manufacturing managers,17160,68150,82373,
        0912 Utilities managers,1475,95011,96598,
"  1 Business, finance and administration occupations",694335,38958,44507,
    11 Professional occupations in business and finance,147345,55104,68097,
"      111 Auditors, accountants and investment professionals",88065,54693,73017,
        1111 Financial auditors and accountants,44870,52221,64714,
        1112 Financial and investment analysts,14060,64906,95678,
"        1113 Securities agents, investment dealers and brokers",3015,48444,101690,
        1114 Other financial officers,26125,53453,71774,
      112 Human resources and business service professionals,59280,55749,60789,
        1121 Human resources professionals,19805,62181,64876,
        1122 Professional occupations in business management consulting,16655,62968,71369,
"        1123 Professional occupations in advertising, marketing and public relations",22815,45176,49516,
    12 Administrative and financial supervisors and administrative occupations,267035,39836,42239,
      121 Administrative services supervisors,22860,50196,53724,
"        1211 Supervisors, general office and administrative support workers",3480,58806,60781,
"        1212 Supervisors, finance and insurance office workers",4100,53495,59055,
"        1213 Supervisors, library, correspondence and related information workers",720,30010,36524,
"        1214 Supervisors, mail and message distribution occupations",2295,52118,50802,
"        1215 Supervisors, supply chain, tracking and scheduling co-ordination occupations",12265,47487,51498,
      122 Administrative and regulatory occupations,121590,44398,47844,
        1221 Administrative officers,67220,41590,45884,
        1222 Executive assistants,11970,51020,53985,
