"Occupation - National Occupational Classification (NOC) 2016 (691), Employment Income Statistics (3), Highest Certificate, Diploma or Degree (7), Visible Minority (15), Work Activity During the Reference Year (4), Age (4D) and Sex (3) for the Population Aged 15 Years and Over Who Worked in 2015 and Reported Employment Income in 2015, in Private Households of Canada, Provinces and Territories and Census Metropolitan Areas, 2016 Census - 25% Sample Data",,,,
Geography = Québec,,,,
Global non-response rate (GNR) =   4.3 %,,,,
Visible minority (15) = Total - Visible minority [1],,,,
"Highest certificate, diploma or degree (7) = Total - Highest certificate, diploma or degree [2]",,,,
Work activity during the reference year (4) = Total - Work activity during the reference year [3],,,,
Age (4D) = Total - Age,,,,
Sex (3) = Total - Sex,,,,
Occupation - National Occupational Classification (NOC) 2016 (691),Total - Number of employment income recipients [4],Median employment income in 2015 ($) [5],Average employment income in 2015 ($) [6], 
Total - Occupation - National Occupational Classification (NOC) 2016 [7],444020,37944,44739,
  0 Management occupations,39155,62720,75442,
    00 Senior management occupations,6390,82535,114197,
      001 Legislators and senior management,6385,82535,114197,
        0011 Legislators,185,63935,63316,
        0012 Senior government managers and officials,755,114841,118315,
"        0013 Senior managers - financial, communications and other business services",1585,96435,146651,
"        0014 Senior managers - health, education, social and community services and membership organizations",650,73302,85067,
"        0015 Senior managers - trade, broadcasting and other services, n.e.c.",1545,64728,98114,
"        0016 Senior managers - construction, transportation, production and utilities",1670,78966,113342,
    01-05 Specialized middle management occupations,14245,83469,85988,
      011 Administrative services managers,4355,85272,87062,
        0111 Financial managers,1530,86520,92219,
        0112 Human resources managers,1495,85453,84861,
        0113 Purchasing managers,330,71989,77446,
        0114 Other administrative services managers,1000,84349,85635,
      012 Managers in financial and business services,2950,80399,88347,
"        0121 Insurance, real estate and financial brokerage managers",555,88523,107648,
"        0122 Banking, credit and other investment managers",1055,89151,96955,
"        0124 Advertising, marketing and public relations managers",1070,65260,71091,
        0125 Other business services managers,265,83216,83422,
      013 Managers in communication (except broadcasting),340,78015,77837,
        0131 Telecommunication carriers managers,300,77660,78801,
        0132 Postal and courier services managers,40,83687,71325,
"      021 Managers in engineering, architecture, science and information systems",2115,87087,93599,
        0211 Engineering managers,270,87496,100181,
        0212 Architecture and science managers,290,85778,94973,
        0213 Computer and information systems managers,1555,86910,92179,
      031 Managers in health care,630,82475,83296,
        0311 Managers in health care,630,82475,83296,
      041 Managers in public administration,970,97822,94646,
        0411 Government managers - health and social policy development and program administration,210,103101,103014,
"        0412 Government managers - economic analysis, policy development and program administration",320,99606,97872,
        0413 Government managers - education policy development and program administration,45,91868,98143,
