"Occupation - National Occupational Classification (NOC) 2016 (691), Employment Income Statistics (3), Highest Certificate, Diploma or Degree (7), Visible Minority (15), Work Activity During the Reference Year (4), Age (4D) and Sex (3) for the Population Aged 15 Years and Over Who Worked in 2015 and Reported Employment Income in 2015, in Private Households of Canada, Provinces and Territories and Census Metropolitan Areas, 2016 Census - 25% Sample Data",,,,
Geography = Regina,,,,
Global non-response rate (GNR) =   5.5 %,,,,
Visible minority (15) = Total - Visible minority [1],,,,
"Highest certificate, diploma or degree (7) = Total - Highest certificate, diploma or degree [2]",,,,
Work activity during the reference year (4) = Total - Work activity during the reference year [3],,,,
Age (4D) = Total - Age,,,,
Sex (3) = Total - Sex,,,,
Occupation - National Occupational Classification (NOC) 2016 (691),Total - Number of employment income recipients [4],Median employment income in 2015 ($) [5],Average employment income in 2015 ($) [6], 
Total - Occupation - National Occupational Classification (NOC) 2016 [7],133950,45614,54974,
  0 Management occupations,14590,74563,89974,
    00 Senior management occupations,1385,118164,158682,
      001 Legislators and senior management,1385,118164,158682,
        0011 Legislators,55,108966,107133,
        0012 Senior government managers and officials,315,137191,140993,
"        0013 Senior managers - financial, communications and other business services",310,165482,186512,
"        0014 Senior managers - health, education, social and community services and membership organizations",310,87281,116553,
"        0015 Senior managers - trade, broadcasting and other services, n.e.c.",210,71445,117360,
"        0016 Senior managers - construction, transportation, production and utilities",180,97194,276124,
    01-05 Specialized middle management occupations,5170,96480,101589,
      011 Administrative services managers,1295,93126,96780,
        0111 Financial managers,570,91655,97321,
        0112 Human resources managers,360,103425,107017,
        0113 Purchasing managers,115,95614,90069,
        0114 Other administrative services managers,255,81748,83811,
      012 Managers in financial and business services,1515,89880,104802,
"        0121 Insurance, real estate and financial brokerage managers",365,97306,151675,
"        0122 Banking, credit and other investment managers",455,95181,105222,
"        0124 Advertising, marketing and public relations managers",545,81929,82988,
        0125 Other business services managers,150,64982,69183,
      013 Managers in communication (except broadcasting),230,102847,93300,
        0131 Telecommunication carriers managers,175,114942,106210,
        0132 Postal and courier services managers,55,40958,54074,
"      021 Managers in engineering, architecture, science and information systems",645,114610,128905,
        0211 Engineering managers,95,131529,188640,
        0212 Architecture and science managers,50,117426,114544,
        0213 Computer and information systems managers,505,112898,119224,
      031 Managers in health care,300,96822,95250,
        0311 Managers in health care,295,96822,95250,
      041 Managers in public administration,315,100457,100396,
        0411 Government managers - health and social policy development and program administration,90,102849,101637,
"        0412 Government managers - economic analysis, policy development and program administration",75,105510,113580,
        0413 Government managers - education policy development and program administration,20,0,0,
        0414 Other managers in public administration,130,94914,92330,
