"Occupation - National Occupational Classification (NOC) 2016 (691), Employment Income Statistics (3), Highest Certificate, Diploma or Degree (7), Visible Minority (15), Work Activity During the Reference Year (4), Age (4D) and Sex (3) for the Population Aged 15 Years and Over Who Worked in 2015 and Reported Employment Income in 2015, in Private Households of Canada, Provinces and Territories and Census Metropolitan Areas, 2016 Census - 25% Sample Data",,,,
Geography = Saguenay,,,,
Global non-response rate (GNR) =   4.6 %,,,,
Visible minority (15) = Total - Visible minority [1],,,,
"Highest certificate, diploma or degree (7) = Total - Highest certificate, diploma or degree [2]",,,,
Work activity during the reference year (4) = Total - Work activity during the reference year [3],,,,
Age (4D) = Total - Age,,,,
Sex (3) = Total - Sex,,,,
Occupation - National Occupational Classification (NOC) 2016 (691),Total - Number of employment income recipients [4],Median employment income in 2015 ($) [5],Average employment income in 2015 ($) [6], 
Total - Occupation - National Occupational Classification (NOC) 2016 [7],80815,33629,41948,
  0 Management occupations,6380,54966,64504,
    00 Senior management occupations,900,68250,76019,
      001 Legislators and senior management,895,68250,76019,
        0011 Legislators,30,0,0,
        0012 Senior government managers and officials,65,78028,89319,
"        0013 Senior managers - financial, communications and other business services",115,82753,92045,
"        0014 Senior managers - health, education, social and community services and membership organizations",130,68486,70722,
"        0015 Senior managers - trade, broadcasting and other services, n.e.c.",290,60812,68851,
"        0016 Senior managers - construction, transportation, production and utilities",270,65915,79674,
    01-05 Specialized middle management occupations,2035,77661,81611,
      011 Administrative services managers,660,71530,81719,
        0111 Financial managers,265,72397,85410,
        0112 Human resources managers,215,71225,80569,
        0113 Purchasing managers,55,102453,96581,
        0114 Other administrative services managers,125,66338,69321,
      012 Managers in financial and business services,295,62999,79703,
"        0121 Insurance, real estate and financial brokerage managers",0,0,0,
"        0122 Banking, credit and other investment managers",145,80442,94638,
"        0124 Advertising, marketing and public relations managers",95,46364,57279,
        0125 Other business services managers,50,60170,80602,
      013 Managers in communication (except broadcasting),40,76462,72330,
        0131 Telecommunication carriers managers,30,70755,69486,
        0132 Postal and courier services managers,0,0,0,
"      021 Managers in engineering, architecture, science and information systems",290,77545,87648,
        0211 Engineering managers,105,89050,112912,
        0212 Architecture and science managers,25,0,0,
        0213 Computer and information systems managers,155,63383,65959,
      031 Managers in health care,120,88453,95012,
        0311 Managers in health care,120,88453,95012,
      041 Managers in public administration,65,93267,94072,
        0411 Government managers - health and social policy development and program administration,15,0,0,
"        0412 Government managers - economic analysis, policy development and program administration",15,0,0,
        0413 Government managers - education policy development and program administration,0,0,0,
        0414 Other managers in public administration,30,93480,94889,
      042 Managers in education and social and community services,295,88431,76543,
        0421 Administrators - post-secondary education and vocational training,60,94025,86456,
        0422 School principals and administrators of elementary and secondary education,115,94828,96705,
"        0423 Managers in social, community and correctional services",120,42724,51288,
      043 Managers in public protection services,230,83652,78488,
        0431 Commissioned police officers,15,0,0,
        0432 Fire chiefs and senior firefighting officers,10,0,0,
        0433 Commissioned officers of the Canadian Armed Forces,210,83627,78280,
"      051 Managers in art, culture, recreation and sport",40,48178,55678,
"        0511 Library, archive, museum and art gallery managers",10,0,0,
"        0512 Managers - publishing, motion pictures, broadcasting and performing arts",0,0,0,
"        0513 Recreation, sports and fitness program and service directors",20,0,54012,
    06 Middle management occupations in retail and wholesale trade and customer services,2215,36643,42664,
      060 Corporate sales managers,155,82286,84679,
        0601 Corporate sales managers,155,82286,84679,
      062 Retail and wholesale trade managers,1530,36745,40408,
        0621 Retail and wholesale trade managers,1530,36745,40408,
      063 Managers in food service and accommodation,445,31923,38707,
        0631 Restaurant and food service managers,380,31919,37726,
        0632 Accommodation service managers,70,32774,43943,
"      065 Managers in customer and personal services, n.e.c.",85,21009,26650,
"        0651 Managers in customer and personal services, n.e.c.",85,21009,26650,
"    07-09 Middle management occupations in trades, transportation, production and utilities",1230,58919,67164,
      071 Managers in construction and facility operation and maintenance,575,58543,62893,
        0711 Construction managers,375,68641,73529,
        0712 Home building and renovation managers,80,13788,19010,
