"Occupation - National Occupational Classification (NOC) 2016 (691), Employment Income Statistics (3), Highest Certificate, Diploma or Degree (7), Visible Minority (15), Work Activity During the Reference Year (4), Age (4D) and Sex (3) for the Population Aged 15 Years and Over Who Worked in 2015 and Reported Employment Income in 2015, in Private Households of Canada, Provinces and Territories and Census Metropolitan Areas, 2016 Census - 25% Sample Data",,,,
Geography = Saint John,,,,
Global non-response rate (GNR) =   4.9 %,,,,
Visible minority (15) = Total - Visible minority [1],,,,
"Highest certificate, diploma or degree (7) = Total - Highest certificate, diploma or degree [2]",,,,
Work activity during the reference year (4) = Total - Work activity during the reference year [3],,,,
Age (4D) = Total - Age,,,,
Sex (3) = Total - Sex,,,,
Occupation - National Occupational Classification (NOC) 2016 (691),Total - Number of employment income recipients [4],Median employment income in 2015 ($) [5],Average employment income in 2015 ($) [6], 
Total - Occupation - National Occupational Classification (NOC) 2016 [7],65370,35991,45368,
  0 Management occupations,5895,62674,74086,
    00 Senior management occupations,450,93052,119159,
      001 Legislators and senior management,445,93052,119159,
        0011 Legislators,10,0,0,
        0012 Senior government managers and officials,65,118464,119685,
"        0013 Senior managers - financial, communications and other business services",100,106128,146716,
"        0014 Senior managers - health, education, social and community services and membership organizations",85,62793,78169,
"        0015 Senior managers - trade, broadcasting and other services, n.e.c.",110,83010,134460,
"        0016 Senior managers - construction, transportation, production and utilities",80,110257,112679,
    01-05 Specialized middle management occupations,2075,74688,83223,
      011 Administrative services managers,640,79229,87027,
        0111 Financial managers,260,79887,91332,
        0112 Human resources managers,175,78480,81557,
        0113 Purchasing managers,85,104837,96832,
        0114 Other administrative services managers,115,75330,78591,
      012 Managers in financial and business services,465,67030,73768,
"        0121 Insurance, real estate and financial brokerage managers",100,67036,82497,
"        0122 Banking, credit and other investment managers",150,67884,70106,
"        0124 Advertising, marketing and public relations managers",130,72504,74811,
        0125 Other business services managers,85,56899,67938,
      013 Managers in communication (except broadcasting),55,79229,79861,
        0131 Telecommunication carriers managers,55,86578,84083,
        0132 Postal and courier services managers,0,0,0,
"      021 Managers in engineering, architecture, science and information systems",370,98619,110307,
        0211 Engineering managers,105,148901,159957,
        0212 Architecture and science managers,20,0,0,
        0213 Computer and information systems managers,240,87557,93523,
      031 Managers in health care,80,60058,65510,
        0311 Managers in health care,80,60058,65510,
      041 Managers in public administration,50,101700,98024,
        0411 Government managers - health and social policy development and program administration,15,0,0,
"        0412 Government managers - economic analysis, policy development and program administration",15,0,0,
        0413 Government managers - education policy development and program administration,0,0,0,
        0414 Other managers in public administration,20,0,102141,
      042 Managers in education and social and community services,235,74393,76513,
        0421 Administrators - post-secondary education and vocational training,40,74562,92272,
        0422 School principals and administrators of elementary and secondary education,80,96945,102371,
"        0423 Managers in social, community and correctional services",105,40646,49545,
      043 Managers in public protection services,80,69320,63802,
        0431 Commissioned police officers,10,0,0,
        0432 Fire chiefs and senior firefighting officers,15,0,0,
        0433 Commissioned officers of the Canadian Armed Forces,55,51663,51802,
"      051 Managers in art, culture, recreation and sport",100,37076,41991,
"        0511 Library, archive, museum and art gallery managers",20,0,0,
"        0512 Managers - publishing, motion pictures, broadcasting and performing arts",30,0,0,
"        0513 Recreation, sports and fitness program and service directors",55,36991,42067,
    06 Middle management occupations in retail and wholesale trade and customer services,2290,42509,54585,
      060 Corporate sales managers,220,85692,98778,
        0601 Corporate sales managers,220,85692,98778,
      062 Retail and wholesale trade managers,1460,42978,53350,
        0621 Retail and wholesale trade managers,1465,42978,53350,
      063 Managers in food service and accommodation,530,31180,40852,
        0631 Restaurant and food service managers,430,29275,38728,
        0632 Accommodation service managers,100,43551,49912,
"      065 Managers in customer and personal services, n.e.c.",70,40146,46219,
"        0651 Managers in customer and personal services, n.e.c.",75,40146,46219,
"    07-09 Middle management occupations in trades, transportation, production and utilities",1085,70263,79116,
      071 Managers in construction and facility operation and maintenance,560,66493,74347,
        0711 Construction managers,225,81725,81695,
        0712 Home building and renovation managers,80,29099,35296,
        0714 Facility operation and maintenance managers,255,73910,80156,
      073 Managers in transportation,140,70406,84720,
        0731 Managers in transportation,140,70406,84720,
      081 Managers in natural resources production and fishing,40,151930,154904,
        0811 Managers in natural resources production and fishing,35,151930,154904,
"      082 Managers in agriculture, horticulture and aquaculture",85,11788,16937,
        0821 Managers in agriculture,75,11493,15385,
        0822 Managers in horticulture,0,0,0,
        0823 Managers in aquaculture,0,0,0,
      091 Managers in manufacturing and utilities,260,85294,95089,
        0911 Manufacturing managers,200,83659,92820,
        0912 Utilities managers,55,103535,103643,
"  1 Business, finance and administration occupations",9935,39518,44893,
    11 Professional occupations in business and finance,1970,56913,71519,
"      111 Auditors, accountants and investment professionals",1265,61624,76614,
        1111 Financial auditors and accountants,800,63365,73389,
        1112 Financial and investment analysts,100,69751,81790,
"        1113 Securities agents, investment dealers and brokers",10,0,0,
        1114 Other financial officers,355,52030,75422,
      112 Human resources and business service professionals,705,52548,62381,
        1121 Human resources professionals,230,53047,62703,
        1122 Professional occupations in business management consulting,245,60999,74540,
"        1123 Professional occupations in advertising, marketing and public relations",225,43780,48814,
    12 Administrative and financial supervisors and administrative occupations,3350,41512,43916,
      121 Administrative services supervisors,320,49894,58550,
"        1211 Supervisors, general office and administrative support workers",50,65601,62934,
"        1212 Supervisors, finance and insurance office workers",60,54446,60975,
"        1213 Supervisors, library, correspondence and related information workers",30,0,0,
"        1214 Supervisors, mail and message distribution occupations",20,0,0,
"        1215 Supervisors, supply chain, tracking and scheduling co-ordination occupations",165,46005,65212,
      122 Administrative and regulatory occupations,1695,43803,47873,
        1221 Administrative officers,890,38557,41721,
        1222 Executive assistants,140,48708,54393,
        1223 Human resources and recruitment officers,75,54999,59781,
        1224 Property administrators,150,28611,36106,
        1225 Purchasing agents and officers,135,64139,70797,
        1226 Conference and event planners,75,39335,45513,
        1227 Court officers and justices of the peace,10,0,0,
"        1228 Employment insurance, immigration, border services and revenue officers",230,56428,59629,
"      124 Office administrative assistants - general, legal and medical",1235,34944,34947,
        1241 Administrative assistants,810,34052,34399,
        1242 Legal administrative assistants,150,38925,36049,
        1243 Medical administrative assistants,275,41328,35980,
"      125 Court reporters, transcriptionists, records management technicians and statistical officers",100,42115,40642,
"        1251 Court reporters, medical transcriptionists and related occupations",60,37826,37259,
        1252 Health information management occupations,15,0,0,
        1253 Records management technicians,10,0,0,
        1254 Statistical officers and related research support occupations,15,0,0,
"    13 Finance, insurance and related business administrative occupations",650,36958,38093,
"      131 Finance, insurance and related business administrative occupations",650,36958,38093,
        1311 Accounting technicians and bookkeepers,360,25267,26488,
        1312 Insurance adjusters and claims examiners,155,48093,49793,
        1313 Insurance underwriters,85,53852,56610,
"        1314 Assessors, valuators and appraisers",40,56350,53451,
"        1315 Customs, ship and other brokers",10,0,0,
    14 Office support occupations,2820,31782,31129,
      141 General office workers,1545,29508,29515,
        1411 General office support workers,915,34853,32523,
        1414 Receptionists,595,23631,23855,
        1415 Personnel clerks,30,52266,50663,
        1416 Court clerks,0,0,0,
      142 Office equipment operators,180,29740,28183,
        1422 Data entry clerks,180,29702,28075,
        1423 Desktop publishing operators and related occupations,0,0,0,
"      143 Financial, insurance and related administrative support workers",895,35835,35267,
        1431 Accounting and related clerks,590,34652,33299,
        1432 Payroll administrators,165,37318,38656,
"        1434 Banking, insurance and other financial clerks",95,39561,38743,
        1435 Collectors,50,45580,41215,
"      145 Library, correspondence and other clerks",200,21515,27769,
        1451 Library assistants and clerks,70,23710,25372,
"        1452 Correspondence, publication and regulatory clerks",55,44080,51375,
        1454 Survey interviewers and statistical clerks,70,6749,11763,
"    15 Distribution, tracking and scheduling co-ordination occupations",1145,39014,39710,
      151 Mail and message distribution occupations,355,40422,38747,
"        1511 Mail, postal and related workers",135,43790,40528,
        1512 Letter carriers,130,46541,46105,
"        1513 Couriers, messengers and door-to-door distributors",95,16475,25981,
"      152 Supply chain logistics, tracking and scheduling co-ordination occupations",785,38470,40149,
        1521 Shippers and receivers,275,30743,33878,
        1522 Storekeepers and partspersons,120,42298,40757,
        1523 Production logistics co-ordinators,135,40645,54395,
        1524 Purchasing and inventory control workers,95,36477,40851,
        1525 Dispatchers,140,40618,39610,
        1526 Transportation route and crew schedulers,30,0,0,
  2 Natural and applied sciences and related occupations,4545,62875,69457,
    21 Professional occupations in natural and applied sciences,1995,79997,82256,
      211 Physical science professionals,60,77964,97261,
