"Occupation - National Occupational Classification (NOC) 2016 (691), Employment Income Statistics (3), Highest Certificate, Diploma or Degree (7), Visible Minority (15), Work Activity During the Reference Year (4), Age (4D) and Sex (3) for the Population Aged 15 Years and Over Who Worked in 2015 and Reported Employment Income in 2015, in Private Households of Canada, Provinces and Territories and Census Metropolitan Areas, 2016 Census - 25% Sample Data",,,,
Geography = Saskatchewan,,,,
Global non-response rate (GNR) =   6.3 %,,,,
Visible minority (15) = Total - Visible minority [1],,,,
"Highest certificate, diploma or degree (7) = Total - Highest certificate, diploma or degree [2]",,,,
Work activity during the reference year (4) = Total - Work activity during the reference year [3],,,,
Age (4D) = Total - Age,,,,
Sex (3) = Total - Sex,,,,
Occupation - National Occupational Classification (NOC) 2016 (691),Total - Number of employment income recipients [4],Median employment income in 2015 ($) [5],Average employment income in 2015 ($) [6], 
Total - Occupation - National Occupational Classification (NOC) 2016 [7],583220,39725,49764,
  0 Management occupations,78420,48030,64098,
    00 Senior management occupations,4735,92072,140294,
      001 Legislators and senior management,4735,92072,140294,
        0011 Legislators,505,41625,51287,
        0012 Senior government managers and officials,835,103854,107007,
"        0013 Senior managers - financial, communications and other business services",915,144433,197904,
"        0014 Senior managers - health, education, social and community services and membership organizations",860,88764,110751,
"        0015 Senior managers - trade, broadcasting and other services, n.e.c.",740,82622,151184,
"        0016 Senior managers - construction, transportation, production and utilities",880,86458,182959,
    01-05 Specialized middle management occupations,16375,84782,89550,
      011 Administrative services managers,4105,81101,90711,
        0111 Financial managers,1830,78731,92810,
        0112 Human resources managers,1160,86798,94441,
        0113 Purchasing managers,360,85157,89177,
        0114 Other administrative services managers,760,74431,80775,
      012 Managers in financial and business services,4125,76875,88307,
"        0121 Insurance, real estate and financial brokerage managers",705,90031,121139,
"        0122 Banking, credit and other investment managers",1675,79911,91945,
"        0124 Advertising, marketing and public relations managers",1225,66499,76001,
        0125 Other business services managers,525,49887,61294,
      013 Managers in communication (except broadcasting),435,89873,86895,
        0131 Telecommunication carriers managers,295,110766,100522,
        0132 Postal and courier services managers,140,52345,58179,
"      021 Managers in engineering, architecture, science and information systems",1555,105423,115393,
        0211 Engineering managers,340,128962,151562,
        0212 Architecture and science managers,225,105813,109431,
        0213 Computer and information systems managers,980,100602,104128,
      031 Managers in health care,1185,94336,86327,
        0311 Managers in health care,1185,94336,86327,
      041 Managers in public administration,705,90276,90165,
