"Occupation - National Occupational Classification (NOC) 2016 (691), Employment Income Statistics (3), Highest Certificate, Diploma or Degree (7), Visible Minority (15), Work Activity During the Reference Year (4), Age (4D) and Sex (3) for the Population Aged 15 Years and Over Who Worked in 2015 and Reported Employment Income in 2015, in Private Households of Canada, Provinces and Territories and Census Metropolitan Areas, 2016 Census - 25% Sample Data",,,,
Geography = Saskatoon,,,,
Global non-response rate (GNR) =   4.9 %,,,,
Visible minority (15) = Total - Visible minority [1],,,,
"Highest certificate, diploma or degree (7) = Total - Highest certificate, diploma or degree [2]",,,,
Work activity during the reference year (4) = Total - Work activity during the reference year [3],,,,
Age (4D) = Total - Age,,,,
Sex (3) = Total - Sex,,,,
Occupation - National Occupational Classification (NOC) 2016 (691),Total - Number of employment income recipients [4],Median employment income in 2015 ($) [5],Average employment income in 2015 ($) [6], 
Total - Occupation - National Occupational Classification (NOC) 2016 [7],166675,41497,52688,
  0 Management occupations,16765,66298,86113,
    00 Senior management occupations,1500,116689,181364,
      001 Legislators and senior management,1500,116689,181364,
        0011 Legislators,60,71264,74182,
        0012 Senior government managers and officials,160,104266,109807,
"        0013 Senior managers - financial, communications and other business services",415,142240,214217,
"        0014 Senior managers - health, education, social and community services and membership organizations",270,96112,114548,
"        0015 Senior managers - trade, broadcasting and other services, n.e.c.",270,110113,196847,
"        0016 Senior managers - construction, transportation, production and utilities",325,129622,238637,
    01-05 Specialized middle management occupations,5060,81779,91364,
      011 Administrative services managers,1425,79895,96672,
        0111 Financial managers,595,79741,101745,
        0112 Human resources managers,435,80285,95587,
        0113 Purchasing managers,130,83991,94213,
        0114 Other administrative services managers,265,78210,88424,
      012 Managers in financial and business services,1195,72135,83601,
"        0121 Insurance, real estate and financial brokerage managers",180,84644,87862,
"        0122 Banking, credit and other investment managers",435,78010,99289,
"        0124 Advertising, marketing and public relations managers",435,60566,72698,
        0125 Other business services managers,150,52945,63843,
      013 Managers in communication (except broadcasting),120,78442,77913,
        0131 Telecommunication carriers managers,75,95938,87863,
        0132 Postal and courier services managers,35,61591,58212,
"      021 Managers in engineering, architecture, science and information systems",650,99585,108889,
        0211 Engineering managers,160,130236,138072,
        0212 Architecture and science managers,145,100191,108142,
        0213 Computer and information systems managers,345,93618,95140,
      031 Managers in health care,380,93000,87627,
        0311 Managers in health care,380,93000,87627,
      041 Managers in public administration,165,93393,89175,
        0411 Government managers - health and social policy development and program administration,45,97604,96700,
"        0412 Government managers - economic analysis, policy development and program administration",50,101062,94671,
        0413 Government managers - education policy development and program administration,15,0,0,
        0414 Other managers in public administration,60,72589,74747,
      042 Managers in education and social and community services,860,92474,91361,
