"Occupation - National Occupational Classification (NOC) 2016 (691), Employment Income Statistics (3), Highest Certificate, Diploma or Degree (7), Visible Minority (15), Work Activity During the Reference Year (4), Age (4D) and Sex (3) for the Population Aged 15 Years and Over Who Worked in 2015 and Reported Employment Income in 2015, in Private Households of Canada, Provinces and Territories and Census Metropolitan Areas, 2016 Census - 25% Sample Data",,,,
Geography = Sherbrooke,,,,
Global non-response rate (GNR) =   4.2 %,,,,
Visible minority (15) = Total - Visible minority [1],,,,
"Highest certificate, diploma or degree (7) = Total - Highest certificate, diploma or degree [2]",,,,
Work activity during the reference year (4) = Total - Work activity during the reference year [3],,,,
Age (4D) = Total - Age,,,,
Sex (3) = Total - Sex,,,,
Occupation - National Occupational Classification (NOC) 2016 (691),Total - Number of employment income recipients [4],Median employment income in 2015 ($) [5],Average employment income in 2015 ($) [6], 
Total - Occupation - National Occupational Classification (NOC) 2016 [7],108640,31987,39306,
  0 Management occupations,9030,51492,64009,
    00 Senior management occupations,1385,57553,87645,
      001 Legislators and senior management,1385,57553,87645,
        0011 Legislators,20,0,0,
        0012 Senior government managers and officials,70,96789,99864,
"        0013 Senior managers - financial, communications and other business services",245,53983,93495,
"        0014 Senior managers - health, education, social and community services and membership organizations",185,59083,75747,
"        0015 Senior managers - trade, broadcasting and other services, n.e.c.",390,40186,82913,
"        0016 Senior managers - construction, transportation, production and utilities",475,58366,91402,
    01-05 Specialized middle management occupations,2850,74841,78426,
      011 Administrative services managers,740,71317,81624,
        0111 Financial managers,300,68983,80839,
        0112 Human resources managers,210,72795,76686,
        0113 Purchasing managers,70,78741,81544,
        0114 Other administrative services managers,160,72455,89582,
      012 Managers in financial and business services,515,60340,67383,
"        0121 Insurance, real estate and financial brokerage managers",50,66755,73524,
"        0122 Banking, credit and other investment managers",215,62943,71411,
"        0124 Advertising, marketing and public relations managers",190,46964,66288,
        0125 Other business services managers,70,57884,53664,
      013 Managers in communication (except broadcasting),40,53680,70005,
        0131 Telecommunication carriers managers,40,88228,74574,
        0132 Postal and courier services managers,10,0,0,
"      021 Managers in engineering, architecture, science and information systems",405,76317,78100,
        0211 Engineering managers,105,84981,91247,
        0212 Architecture and science managers,40,81311,84681,
        0213 Computer and information systems managers,255,71621,71468,
      031 Managers in health care,255,79628,80021,
        0311 Managers in health care,255,79628,80021,
      041 Managers in public administration,155,88692,91944,
        0411 Government managers - health and social policy development and program administration,25,0,106798,
"        0412 Government managers - economic analysis, policy development and program administration",85,85857,100261,
        0413 Government managers - education policy development and program administration,0,0,0,
        0414 Other managers in public administration,50,85821,70792,
      042 Managers in education and social and community services,555,87212,83863,
        0421 Administrators - post-secondary education and vocational training,205,97581,99605,
        0422 School principals and administrators of elementary and secondary education,170,90436,86730,
"        0423 Managers in social, community and correctional services",190,66028,64377,
      043 Managers in public protection services,65,98594,82789,
        0431 Commissioned police officers,30,0,113067,
        0432 Fire chiefs and senior firefighting officers,15,0,0,
        0433 Commissioned officers of the Canadian Armed Forces,25,0,0,
"      051 Managers in art, culture, recreation and sport",110,66700,60550,
"        0511 Library, archive, museum and art gallery managers",15,0,0,
"        0512 Managers - publishing, motion pictures, broadcasting and performing arts",15,0,0,
"        0513 Recreation, sports and fitness program and service directors",80,51085,48903,
    06 Middle management occupations in retail and wholesale trade and customer services,3015,37446,44960,
      060 Corporate sales managers,310,74083,87697,
        0601 Corporate sales managers,310,74083,87697,
      062 Retail and wholesale trade managers,1880,37438,42046,
        0621 Retail and wholesale trade managers,1875,37438,42046,
      063 Managers in food service and accommodation,710,26095,33653,
        0631 Restaurant and food service managers,535,27391,32602,
        0632 Accommodation service managers,170,23581,36958,
"      065 Managers in customer and personal services, n.e.c.",115,43208,46428,
"        0651 Managers in customer and personal services, n.e.c.",115,43208,46428,
"    07-09 Middle management occupations in trades, transportation, production and utilities",1785,41558,54798,
      071 Managers in construction and facility operation and maintenance,630,38121,48875,
        0711 Construction managers,245,55257,64071,
