"Occupation - National Occupational Classification (NOC) 2016 (691), Employment Income Statistics (3), Highest Certificate, Diploma or Degree (7), Visible Minority (15), Work Activity During the Reference Year (4), Age (4D) and Sex (3) for the Population Aged 15 Years and Over Who Worked in 2015 and Reported Employment Income in 2015, in Private Households of Canada, Provinces and Territories and Census Metropolitan Areas, 2016 Census - 25% Sample Data",,,,
Geography = St. Catharines - Niagara,,,,
Global non-response rate (GNR) =   5.1 %,,,,
Visible minority (15) = Total - Visible minority [1],,,,
"Highest certificate, diploma or degree (7) = Total - Highest certificate, diploma or degree [2]",,,,
Work activity during the reference year (4) = Total - Work activity during the reference year [3],,,,
Age (4D) = Total - Age,,,,
Sex (3) = Total - Sex,,,,
Occupation - National Occupational Classification (NOC) 2016 (691),Total - Number of employment income recipients [4],Median employment income in 2015 ($) [5],Average employment income in 2015 ($) [6], 
Total - Occupation - National Occupational Classification (NOC) 2016 [7],203425,31955,41668,
  0 Management occupations,20640,50196,66677,
    00 Senior management occupations,1750,82342,137408,
      001 Legislators and senior management,1750,82342,137408,
        0011 Legislators,60,20033,46187,
        0012 Senior government managers and officials,70,108682,113267,
"        0013 Senior managers - financial, communications and other business services",365,85590,138499,
"        0014 Senior managers - health, education, social and community services and membership organizations",320,85892,104186,
"        0015 Senior managers - trade, broadcasting and other services, n.e.c.",435,74859,151752,
"        0016 Senior managers - construction, transportation, production and utilities",505,79701,158903,
    01-05 Specialized middle management occupations,5330,76143,79750,
      011 Administrative services managers,1515,72181,77417,
        0111 Financial managers,560,72548,80643,
        0112 Human resources managers,545,70156,77999,
        0113 Purchasing managers,215,82562,78851,
        0114 Other administrative services managers,195,55963,64968,
      012 Managers in financial and business services,1460,61789,72231,
"        0121 Insurance, real estate and financial brokerage managers",145,64347,83648,
"        0122 Banking, credit and other investment managers",495,70953,82167,
"        0124 Advertising, marketing and public relations managers",535,58054,65619,
        0125 Other business services managers,280,53460,61520,
      013 Managers in communication (except broadcasting),130,83409,84564,
        0131 Telecommunication carriers managers,95,91768,99381,
        0132 Postal and courier services managers,35,39715,45623,
"      021 Managers in engineering, architecture, science and information systems",570,92129,93001,
        0211 Engineering managers,175,92453,92229,
        0212 Architecture and science managers,45,91956,79963,
        0213 Computer and information systems managers,350,91934,95102,
      031 Managers in health care,325,84847,85545,
        0311 Managers in health care,325,84847,85545,
      041 Managers in public administration,130,104450,97170,
        0411 Government managers - health and social policy development and program administration,35,109605,102473,
"        0412 Government managers - economic analysis, policy development and program administration",35,99415,89082,
        0413 Government managers - education policy development and program administration,0,0,0,
        0414 Other managers in public administration,50,100131,99095,
      042 Managers in education and social and community services,830,94363,89808,
        0421 Administrators - post-secondary education and vocational training,195,75754,83550,
        0422 School principals and administrators of elementary and secondary education,370,116509,113481,
"        0423 Managers in social, community and correctional services",260,63024,60578,
      043 Managers in public protection services,80,110914,108323,
        0431 Commissioned police officers,20,0,0,
        0432 Fire chiefs and senior firefighting officers,45,110780,112343,
        0433 Commissioned officers of the Canadian Armed Forces,15,0,0,
"      051 Managers in art, culture, recreation and sport",305,44690,52055,
"        0511 Library, archive, museum and art gallery managers",65,44635,54277,
"        0512 Managers - publishing, motion pictures, broadcasting and performing arts",40,54534,54869,
"        0513 Recreation, sports and fitness program and service directors",200,44384,50778,
    06 Middle management occupations in retail and wholesale trade and customer services,8925,37480,48351,
      060 Corporate sales managers,570,85663,94109,
        0601 Corporate sales managers,570,85663,94109,
      062 Retail and wholesale trade managers,5195,41187,51778,
        0621 Retail and wholesale trade managers,5200,41187,51778,
      063 Managers in food service and accommodation,2805,30516,34367,
        0631 Restaurant and food service managers,2160,30241,33668,
        0632 Accommodation service managers,640,31097,36714,
"      065 Managers in customer and personal services, n.e.c.",350,25354,34928,
"        0651 Managers in customer and personal services, n.e.c.",350,25354,34928,
"    07-09 Middle management occupations in trades, transportation, production and utilities",4635,49585,60204,
      071 Managers in construction and facility operation and maintenance,2045,47588,55927,
        0711 Construction managers,725,63552,70243,
        0712 Home building and renovation managers,615,20248,31286,
        0714 Facility operation and maintenance managers,705,57359,62572,
      073 Managers in transportation,375,59964,68930,
        0731 Managers in transportation,375,59964,68930,
      081 Managers in natural resources production and fishing,30,0,126296,
        0811 Managers in natural resources production and fishing,25,0,126296,
"      082 Managers in agriculture, horticulture and aquaculture",1245,20775,33256,
        0821 Managers in agriculture,935,13606,24463,
        0822 Managers in horticulture,305,50121,60480,
        0823 Managers in aquaculture,0,0,0,
      091 Managers in manufacturing and utilities,940,76763,99675,
        0911 Manufacturing managers,830,74507,99075,
        0912 Utilities managers,110,111835,104274,
"  1 Business, finance and administration occupations",26820,37771,43737,
    11 Professional occupations in business and finance,4670,52048,67733,
"      111 Auditors, accountants and investment professionals",2765,54772,74364,
        1111 Financial auditors and accountants,1385,58860,74405,
        1112 Financial and investment analysts,210,68731,89082,
"        1113 Securities agents, investment dealers and brokers",100,24574,41913,
        1114 Other financial officers,1075,50556,74470,
      112 Human resources and business service professionals,1900,47723,58091,
        1121 Human resources professionals,665,58031,71798,
        1122 Professional occupations in business management consulting,465,52000,63372,
"        1123 Professional occupations in advertising, marketing and public relations",775,33990,43109,
    12 Administrative and financial supervisors and administrative occupations,9020,41511,43777,
      121 Administrative services supervisors,725,47891,53022,
"        1211 Supervisors, general office and administrative support workers",70,50582,55771,
"        1212 Supervisors, finance and insurance office workers",170,50405,55838,
"        1213 Supervisors, library, correspondence and related information workers",40,0,0,
"        1214 Supervisors, mail and message distribution occupations",35,50589,54317,
"        1215 Supervisors, supply chain, tracking and scheduling co-ordination occupations",415,48097,54196,
      122 Administrative and regulatory occupations,4920,44887,47772,
        1221 Administrative officers,2440,40288,44260,
        1222 Executive assistants,285,46222,46061,
        1223 Human resources and recruitment officers,245,45870,48401,
        1224 Property administrators,385,22918,29735,
        1225 Purchasing agents and officers,370,50559,52004,
        1226 Conference and event planners,325,26430,29722,
        1227 Court officers and justices of the peace,45,80530,71690,
"        1228 Employment insurance, immigration, border services and revenue officers",820,77272,71148,
"      124 Office administrative assistants - general, legal and medical",3125,35294,35389,
        1241 Administrative assistants,2305,33099,33673,
        1242 Legal administrative assistants,340,45859,43995,
        1243 Medical administrative assistants,480,36952,37530,
"      125 Court reporters, transcriptionists, records management technicians and statistical officers",260,46185,43281,
"        1251 Court reporters, medical transcriptionists and related occupations",125,24052,29386,
        1252 Health information management occupations,65,58051,58277,
        1253 Records management technicians,20,0,0,
        1254 Statistical officers and related research support occupations,50,66561,59669,
"    13 Finance, insurance and related business administrative occupations",2120,31304,37363,
"      131 Finance, insurance and related business administrative occupations",2115,31304,37363,
        1311 Accounting technicians and bookkeepers,1575,24991,31439,
        1312 Insurance adjusters and claims examiners,165,71910,71369,
        1313 Insurance underwriters,70,37445,38847,
"        1314 Assessors, valuators and appraisers",100,59251,57051,
"        1315 Customs, ship and other brokers",210,41819,45613,
    14 Office support occupations,7450,31639,32240,
      141 General office workers,4140,29196,30800,
        1411 General office support workers,2395,32203,33489,
        1414 Receptionists,1620,25337,26038,
        1415 Personnel clerks,100,38537,41490,
        1416 Court clerks,25,0,38090,
      142 Office equipment operators,390,28535,29878,
        1422 Data entry clerks,385,28430,29191,
        1423 Desktop publishing operators and related occupations,10,0,0,
"      143 Financial, insurance and related administrative support workers",2240,38754,38708,
        1431 Accounting and related clerks,1355,36758,36863,
        1432 Payroll administrators,435,45600,43177,
"        1434 Banking, insurance and other financial clerks",130,48319,53189,
        1435 Collectors,315,33307,34388,
"      145 Library, correspondence and other clerks",685,15021,21110,
        1451 Library assistants and clerks,160,5517,13063,
"        1452 Correspondence, publication and regulatory clerks",280,32940,32743,
        1454 Survey interviewers and statistical clerks,240,1032,13185,
"    15 Distribution, tracking and scheduling co-ordination occupations",3560,35887,40012,
      151 Mail and message distribution occupations,1010,36131,35580,
"        1511 Mail, postal and related workers",230,29704,34370,
        1512 Letter carriers,395,57169,47765,
"        1513 Couriers, messengers and door-to-door distributors",390,14830,23989,
"      152 Supply chain logistics, tracking and scheduling co-ordination occupations",2545,35873,41772,
        1521 Shippers and receivers,1240,34589,38462,
        1522 Storekeepers and partspersons,345,36354,37870,
        1523 Production logistics co-ordinators,230,49431,59239,
        1524 Purchasing and inventory control workers,240,32865,37516,
        1525 Dispatchers,445,39909,47891,
        1526 Transportation route and crew schedulers,50,32480,37116,
  2 Natural and applied sciences and related occupations,9160,57888,63415,
    21 Professional occupations in natural and applied sciences,3895,70223,73483,
      211 Physical science professionals,150,56138,67803,
        2111 Physicists and astronomers,15,0,0,
        2112 Chemists,70,25267,43894,
        2113 Geoscientists and oceanographers,55,76765,91066,
        2114 Meteorologists and climatologists,0,0,0,
        2115 Other professional occupations in physical sciences,10,0,0,
      212 Life science professionals,150,49657,59631,
        2121 Biologists and related scientists,120,53257,57162,
        2122 Forestry professionals,10,0,0,
"        2123 Agricultural representatives, consultants and specialists",20,0,0,
"      213 Civil, mechanical, electrical and chemical engineers",1215,81463,84779,
        2131 Civil engineers,450,74861,81989,
        2132 Mechanical engineers,420,80587,80056,
        2133 Electrical and electronics engineers,235,90431,87935,
        2134 Chemical engineers,105,103724,109232,
      214 Other engineers,385,89915,87713,
        2141 Industrial and manufacturing engineers,150,100920,96584,
        2142 Metallurgical and materials engineers,20,0,0,
        2143 Mining engineers,10,0,0,
        2144 Geological engineers,30,0,100944,
        2145 Petroleum engineers,10,0,0,
        2146 Aerospace engineers,25,0,0,
        2147 Computer engineers (except software engineers and designers),70,75980,73102,
"        2148 Other professional engineers, n.e.c.",65,49994,56456,
"      215 Architects, urban planners and land surveyors",265,63417,64854,
        2151 Architects,55,73860,89322,
        2152 Landscape architects,25,0,0,
        2153 Urban and land use planners,120,69943,60877,
        2154 Land surveyors,60,53252,55223,
"      216 Mathematicians, statisticians and actuaries",15,0,0,
"        2161 Mathematicians, statisticians and actuaries",15,0,0,
      217 Computer and information systems professionals,1720,61315,65609,
        2171 Information systems analysts and consultants,750,73602,75126,
        2172 Database analysts and data administrators,130,75313,81013,
        2173 Software engineers and designers,115,64649,85067,
        2174 Computer programmers and interactive media developers,525,51689,53860,
        2175 Web designers and developers,200,38283,39517,
    22 Technical occupations related to natural and applied sciences,5260,51642,55958,
