"Occupation - National Occupational Classification (NOC) 2016 (691), Employment Income Statistics (3), Highest Certificate, Diploma or Degree (7), Visible Minority (15), Work Activity During the Reference Year (4), Age (4D) and Sex (3) for the Population Aged 15 Years and Over Who Worked in 2015 and Reported Employment Income in 2015, in Private Households of Canada, Provinces and Territories and Census Metropolitan Areas, 2016 Census - 25% Sample Data",,,,
Geography = St. John's,,,,
Global non-response rate (GNR) =   5.3 %,,,,
Visible minority (15) = Total - Visible minority [1],,,,
"Highest certificate, diploma or degree (7) = Total - Highest certificate, diploma or degree [2]",,,,
Work activity during the reference year (4) = Total - Work activity during the reference year [3],,,,
Age (4D) = Total - Age,,,,
Sex (3) = Total - Sex,,,,
Occupation - National Occupational Classification (NOC) 2016 (691),Total - Number of employment income recipients [4],Median employment income in 2015 ($) [5],Average employment income in 2015 ($) [6], 
Total - Occupation - National Occupational Classification (NOC) 2016 [7],116290,42805,56744,
  0 Management occupations,11250,70013,102728,
    00 Senior management occupations,1270,116468,253892,
      001 Legislators and senior management,1270,116468,253892,
        0011 Legislators,70,81097,81500,
        0012 Senior government managers and officials,230,117847,128354,
"        0013 Senior managers - financial, communications and other business services",295,119915,170185,
"        0014 Senior managers - health, education, social and community services and membership organizations",245,98717,107501,
"        0015 Senior managers - trade, broadcasting and other services, n.e.c.",195,104521,279510,
"        0016 Senior managers - construction, transportation, production and utilities",240,193764,654247,
    01-05 Specialized middle management occupations,4215,86133,92371,
      011 Administrative services managers,1310,88582,101353,
        0111 Financial managers,480,91103,98317,
        0112 Human resources managers,420,88434,104694,
        0113 Purchasing managers,165,82700,111127,
        0114 Other administrative services managers,245,84700,94994,
      012 Managers in financial and business services,860,75417,87070,
"        0121 Insurance, real estate and financial brokerage managers",125,89572,78711,
"        0122 Banking, credit and other investment managers",215,83017,90548,
"        0124 Advertising, marketing and public relations managers",405,66324,78957,
        0125 Other business services managers,120,92197,116301,
      013 Managers in communication (except broadcasting),155,82495,76765,
        0131 Telecommunication carriers managers,120,84398,82914,
        0132 Postal and courier services managers,35,62490,57938,
"      021 Managers in engineering, architecture, science and information systems",590,99166,108120,
        0211 Engineering managers,220,113818,126623,
        0212 Architecture and science managers,50,81470,81858,
        0213 Computer and information systems managers,325,91221,99270,
      031 Managers in health care,250,86794,83596,
        0311 Managers in health care,250,86794,83596,
      041 Managers in public administration,225,97446,93035,
        0411 Government managers - health and social policy development and program administration,50,103744,100927,
"        0412 Government managers - economic analysis, policy development and program administration",85,98307,93475,
        0413 Government managers - education policy development and program administration,15,0,0,
        0414 Other managers in public administration,75,86379,89534,
      042 Managers in education and social and community services,610,80974,82440,
        0421 Administrators - post-secondary education and vocational training,245,69751,87728,
        0422 School principals and administrators of elementary and secondary education,170,102184,99936,
"        0423 Managers in social, community and correctional services",195,54492,60284,
      043 Managers in public protection services,75,89397,95141,
        0431 Commissioned police officers,15,0,0,
        0432 Fire chiefs and senior firefighting officers,15,0,0,
        0433 Commissioned officers of the Canadian Armed Forces,45,40270,49476,
"      051 Managers in art, culture, recreation and sport",140,42729,47269,
"        0511 Library, archive, museum and art gallery managers",25,0,0,
"        0512 Managers - publishing, motion pictures, broadcasting and performing arts",20,0,0,
"        0513 Recreation, sports and fitness program and service directors",95,43630,50015,
    06 Middle management occupations in retail and wholesale trade and customer services,3830,45778,62428,
      060 Corporate sales managers,240,78959,83638,
        0601 Corporate sales managers,240,78959,83638,
      062 Retail and wholesale trade managers,2495,48250,69581,
        0621 Retail and wholesale trade managers,2495,48250,69581,
      063 Managers in food service and accommodation,975,31431,41385,
        0631 Restaurant and food service managers,865,32666,42746,
        0632 Accommodation service managers,110,16896,30614,
"      065 Managers in customer and personal services, n.e.c.",120,37026,42905,
"        0651 Managers in customer and personal services, n.e.c.",120,37026,42905,
"    07-09 Middle management occupations in trades, transportation, production and utilities",1930,79131,105842,
      071 Managers in construction and facility operation and maintenance,1120,71820,97433,
        0711 Construction managers,550,89260,119253,
        0712 Home building and renovation managers,155,47312,65779,
        0714 Facility operation and maintenance managers,410,59304,80202,
      073 Managers in transportation,195,95024,110987,
        0731 Managers in transportation,190,95024,110987,
      081 Managers in natural resources production and fishing,145,186967,225708,
        0811 Managers in natural resources production and fishing,145,186967,225708,
"      082 Managers in agriculture, horticulture and aquaculture",145,25553,27895,
        0821 Managers in agriculture,110,23528,29014,
        0822 Managers in horticulture,20,0,0,
        0823 Managers in aquaculture,15,0,0,
      091 Managers in manufacturing and utilities,335,94157,111506,
        0911 Manufacturing managers,265,81098,107304,
        0912 Utilities managers,65,131982,128979,
"  1 Business, finance and administration occupations",18775,44774,50774,
    11 Professional occupations in business and finance,3680,61243,74262,
"      111 Auditors, accountants and investment professionals",2325,62346,78663,
        1111 Financial auditors and accountants,1525,63391,75469,
        1112 Financial and investment analysts,120,72913,79510,
"        1113 Securities agents, investment dealers and brokers",40,57778,68201,
        1114 Other financial officers,635,58866,86902,
      112 Human resources and business service professionals,1355,60114,66716,
        1121 Human resources professionals,625,65673,73539,
        1122 Professional occupations in business management consulting,310,69352,76192,
"        1123 Professional occupations in advertising, marketing and public relations",420,42888,49585,
    12 Administrative and financial supervisors and administrative occupations,6490,47332,51288,
      121 Administrative services supervisors,580,58524,64872,
"        1211 Supervisors, general office and administrative support workers",85,67432,72713,
"        1212 Supervisors, finance and insurance office workers",155,61469,68907,
"        1213 Supervisors, library, correspondence and related information workers",20,0,0,
"        1214 Supervisors, mail and message distribution occupations",55,51296,52016,
"        1215 Supervisors, supply chain, tracking and scheduling co-ordination occupations",265,58242,65488,
      122 Administrative and regulatory occupations,3520,50909,55251,
        1221 Administrative officers,1800,48046,54423,
        1222 Executive assistants,300,54823,53770,
        1223 Human resources and recruitment officers,195,59470,57373,
        1224 Property administrators,170,50700,48640,
        1225 Purchasing agents and officers,295,71878,80264,
        1226 Conference and event planners,115,16681,27914,
        1227 Court officers and justices of the peace,50,50866,60522,
"        1228 Employment insurance, immigration, border services and revenue officers",585,52345,51905,
"      124 Office administrative assistants - general, legal and medical",2170,41494,39580,
        1241 Administrative assistants,1510,39446,38077,
        1242 Legal administrative assistants,285,42979,45941,
        1243 Medical administrative assistants,375,43113,40805,
