"Occupation - National Occupational Classification (NOC) 2016 (691), Employment Income Statistics (3), Highest Certificate, Diploma or Degree (7), Visible Minority (15), Work Activity During the Reference Year (4), Age (4D) and Sex (3) for the Population Aged 15 Years and Over Who Worked in 2015 and Reported Employment Income in 2015, in Private Households of Canada, Provinces and Territories and Census Metropolitan Areas, 2016 Census - 25% Sample Data",,,,
Geography = Thunder Bay,,,,
Global non-response rate (GNR) =   5.0 %,,,,
Visible minority (15) = Total - Visible minority [1],,,,
"Highest certificate, diploma or degree (7) = Total - Highest certificate, diploma or degree [2]",,,,
Work activity during the reference year (4) = Total - Work activity during the reference year [3],,,,
Age (4D) = Total - Age,,,,
Sex (3) = Total - Sex,,,,
Occupation - National Occupational Classification (NOC) 2016 (691),Total - Number of employment income recipients [4],Median employment income in 2015 ($) [5],Average employment income in 2015 ($) [6], 
Total - Occupation - National Occupational Classification (NOC) 2016 [7],62720,38895,46456,
  0 Management occupations,5135,58640,72255,
    00 Senior management occupations,460,78417,132674,
      001 Legislators and senior management,455,78417,132674,
        0011 Legislators,15,0,0,
        0012 Senior government managers and officials,40,102962,100411,
"        0013 Senior managers - financial, communications and other business services",55,0,0,
"        0014 Senior managers - health, education, social and community services and membership organizations",130,92057,105504,
"        0015 Senior managers - trade, broadcasting and other services, n.e.c.",80,55793,81368,
"        0016 Senior managers - construction, transportation, production and utilities",130,64824,138128,
    01-05 Specialized middle management occupations,1735,73715,78159,
      011 Administrative services managers,460,61927,68787,
        0111 Financial managers,255,58179,63431,
        0112 Human resources managers,115,71291,72024,
        0113 Purchasing managers,25,0,0,
        0114 Other administrative services managers,65,57802,71687,
      012 Managers in financial and business services,320,61672,68047,
"        0121 Insurance, real estate and financial brokerage managers",40,55463,65084,
"        0122 Banking, credit and other investment managers",125,66908,74991,
"        0124 Advertising, marketing and public relations managers",85,80504,80415,
        0125 Other business services managers,60,46917,38959,
      013 Managers in communication (except broadcasting),60,87374,78420,
        0131 Telecommunication carriers managers,35,0,93802,
        0132 Postal and courier services managers,20,0,57237,
"      021 Managers in engineering, architecture, science and information systems",155,87034,93525,
        0211 Engineering managers,30,126533,121977,
        0212 Architecture and science managers,20,0,0,
        0213 Computer and information systems managers,110,80442,85404,
      031 Managers in health care,185,82347,84599,
        0311 Managers in health care,180,82347,84599,
      041 Managers in public administration,90,80501,74081,
        0411 Government managers - health and social policy development and program administration,35,81719,76634,
"        0412 Government managers - economic analysis, policy development and program administration",25,0,0,
        0413 Government managers - education policy development and program administration,10,0,0,
        0414 Other managers in public administration,25,0,69650,
      042 Managers in education and social and community services,360,92118,91531,
        0421 Administrators - post-secondary education and vocational training,80,94836,95390,
        0422 School principals and administrators of elementary and secondary education,140,109495,104156,
"        0423 Managers in social, community and correctional services",140,82157,76298,
      043 Managers in public protection services,50,125816,100785,
        0431 Commissioned police officers,10,0,0,
        0432 Fire chiefs and senior firefighting officers,25,0,120698,
        0433 Commissioned officers of the Canadian Armed Forces,15,0,0,
"      051 Managers in art, culture, recreation and sport",60,50171,50708,
"        0511 Library, archive, museum and art gallery managers",0,0,0,
"        0512 Managers - publishing, motion pictures, broadcasting and performing arts",35,0,0,
"        0513 Recreation, sports and fitness program and service directors",30,0,52317,
    06 Middle management occupations in retail and wholesale trade and customer services,1920,43270,53219,
      060 Corporate sales managers,95,81636,88694,
        0601 Corporate sales managers,90,81636,88694,
      062 Retail and wholesale trade managers,1220,46513,56828,
        0621 Retail and wholesale trade managers,1220,46513,56828,
      063 Managers in food service and accommodation,540,35858,40046,
        0631 Restaurant and food service managers,470,37093,42276,
        0632 Accommodation service managers,75,32039,26377,
"      065 Managers in customer and personal services, n.e.c.",60,46450,44262,
"        0651 Managers in customer and personal services, n.e.c.",60,46450,44262,
"    07-09 Middle management occupations in trades, transportation, production and utilities",1025,53240,70910,
      071 Managers in construction and facility operation and maintenance,545,61434,80482,
        0711 Construction managers,210,83671,105529,
        0712 Home building and renovation managers,110,34086,36291,
        0714 Facility operation and maintenance managers,215,62752,77874,
      073 Managers in transportation,95,59687,64581,
        0731 Managers in transportation,95,59687,64581,
      081 Managers in natural resources production and fishing,55,68058,56380,
        0811 Managers in natural resources production and fishing,55,68058,56380,
"      082 Managers in agriculture, horticulture and aquaculture",200,20908,24077,
        0821 Managers in agriculture,170,14682,20733,
        0822 Managers in horticulture,25,0,0,
        0823 Managers in aquaculture,0,0,0,
      091 Managers in manufacturing and utilities,135,93565,112376,
        0911 Manufacturing managers,105,86349,98380,
        0912 Utilities managers,30,0,160978,
"  1 Business, finance and administration occupations",9180,40996,43345,
    11 Professional occupations in business and finance,1215,55953,73096,
"      111 Auditors, accountants and investment professionals",695,67134,88531,
        1111 Financial auditors and accountants,400,59733,74309,
        1112 Financial and investment analysts,20,0,0,
"        1113 Securities agents, investment dealers and brokers",15,0,0,
        1114 Other financial officers,265,80783,114545,
      112 Human resources and business service professionals,515,49678,52197,
        1121 Human resources professionals,175,53658,59640,
        1122 Professional occupations in business management consulting,100,63054,60523,
"        1123 Professional occupations in advertising, marketing and public relations",240,38849,43252,
    12 Administrative and financial supervisors and administrative occupations,3280,42414,42992,
      121 Administrative services supervisors,240,60001,53110,
"        1211 Supervisors, general office and administrative support workers",50,64256,62439,
"        1212 Supervisors, finance and insurance office workers",30,60042,57232,
"        1213 Supervisors, library, correspondence and related information workers",25,0,0,
"        1214 Supervisors, mail and message distribution occupations",20,0,0,
"        1215 Supervisors, supply chain, tracking and scheduling co-ordination occupations",115,54097,53441,
      122 Administrative and regulatory occupations,1545,46695,48013,
        1221 Administrative officers,890,42648,44016,
        1222 Executive assistants,145,49058,48404,
        1223 Human resources and recruitment officers,75,57626,54201,
        1224 Property administrators,95,36600,48746,
        1225 Purchasing agents and officers,150,60040,65668,
        1226 Conference and event planners,65,27645,31241,
        1227 Court officers and justices of the peace,15,0,0,
"        1228 Employment insurance, immigration, border services and revenue officers",105,56685,59288,
"      124 Office administrative assistants - general, legal and medical",1390,36944,35849,
        1241 Administrative assistants,915,35338,34898,
        1242 Legal administrative assistants,165,37431,35596,
        1243 Medical administrative assistants,305,42725,38845,
"      125 Court reporters, transcriptionists, records management technicians and statistical officers",110,44936,40870,
"        1251 Court reporters, medical transcriptionists and related occupations",65,37696,32826,
        1252 Health information management occupations,45,45348,48958,
        1253 Records management technicians,0,0,0,
        1254 Statistical officers and related research support occupations,10,0,0,
"    13 Finance, insurance and related business administrative occupations",720,34941,38686,
"      131 Finance, insurance and related business administrative occupations",720,34941,38686,
        1311 Accounting technicians and bookkeepers,570,28194,30559,
        1312 Insurance adjusters and claims examiners,100,72754,69143,
        1313 Insurance underwriters,10,0,0,
"        1314 Assessors, valuators and appraisers",35,78390,78135,
"        1315 Customs, ship and other brokers",10,0,0,
    14 Office support occupations,2845,34858,33342,
      141 General office workers,1695,31393,31819,
        1411 General office support workers,1105,35026,34129,
        1414 Receptionists,495,22989,24701,
        1415 Personnel clerks,60,41603,42516,
        1416 Court clerks,35,49497,41024,
      142 Office equipment operators,160,38971,34113,
        1422 Data entry clerks,155,35869,32860,
        1423 Desktop publishing operators and related occupations,0,0,0,
"      143 Financial, insurance and related administrative support workers",735,42860,39366,
        1431 Accounting and related clerks,475,38141,34632,
        1432 Payroll administrators,180,49459,46594,
"        1434 Banking, insurance and other financial clerks",45,50570,56134,
        1435 Collectors,35,54128,44352,
"      145 Library, correspondence and other clerks",255,15130,25525,
        1451 Library assistants and clerks,85,15133,24544,
"        1452 Correspondence, publication and regulatory clerks",60,49219,46529,
        1454 Survey interviewers and statistical clerks,105,2153,14636,
"    15 Distribution, tracking and scheduling co-ordination occupations",1120,39547,40511,
      151 Mail and message distribution occupations,365,34085,33902,
"        1511 Mail, postal and related workers",145,20471,29597,
        1512 Letter carriers,100,56934,53184,
"        1513 Couriers, messengers and door-to-door distributors",120,23694,23138,
"      152 Supply chain logistics, tracking and scheduling co-ordination occupations",760,42844,43667,
        1521 Shippers and receivers,250,34916,35116,
        1522 Storekeepers and partspersons,190,42141,38756,
        1523 Production logistics co-ordinators,70,51486,51724,
        1524 Purchasing and inventory control workers,95,33162,33073,
        1525 Dispatchers,150,60876,64547,
        1526 Transportation route and crew schedulers,15,0,0,
  2 Natural and applied sciences and related occupations,3855,61018,65083,
    21 Professional occupations in natural and applied sciences,1530,69295,72706,
      211 Physical science professionals,125,63016,70883,
        2111 Physicists and astronomers,10,0,0,
        2112 Chemists,15,0,0,
        2113 Geoscientists and oceanographers,105,66720,75559,
        2114 Meteorologists and climatologists,0,0,0,
        2115 Other professional occupations in physical sciences,10,0,0,
      212 Life science professionals,235,72068,71402,
        2121 Biologists and related scientists,135,71037,71201,
        2122 Forestry professionals,95,72283,71035,
"        2123 Agricultural representatives, consultants and specialists",10,0,0,
"      213 Civil, mechanical, electrical and chemical engineers",520,81998,85495,
        2131 Civil engineers,250,77791,75057,
        2132 Mechanical engineers,105,84861,115487,
        2133 Electrical and electronics engineers,140,80084,79571,
        2134 Chemical engineers,20,0,0,
      214 Other engineers,105,74587,98637,
        2141 Industrial and manufacturing engineers,25,0,90806,
        2142 Metallurgical and materials engineers,10,0,0,
        2143 Mining engineers,10,0,0,
        2144 Geological engineers,15,0,0,
        2145 Petroleum engineers,0,0,0,
        2146 Aerospace engineers,20,0,0,
        2147 Computer engineers (except software engineers and designers),25,0,88237,
"        2148 Other professional engineers, n.e.c.",0,0,0,
"      215 Architects, urban planners and land surveyors",100,67053,56955,
        2151 Architects,25,0,55048,
        2152 Landscape architects,10,0,0,
        2153 Urban and land use planners,45,68208,49254,
        2154 Land surveyors,30,0,0,
"      216 Mathematicians, statisticians and actuaries",0,0,0,
"        2161 Mathematicians, statisticians and actuaries",10,0,0,
      217 Computer and information systems professionals,440,57772,56029,
        2171 Information systems analysts and consultants,215,63590,61130,
        2172 Database analysts and data administrators,35,46961,43655,
        2173 Software engineers and designers,10,0,0,
        2174 Computer programmers and interactive media developers,115,65023,66758,
        2175 Web designers and developers,60,20732,24972,
    22 Technical occupations related to natural and applied sciences,2330,56751,60063,
      221 Technical occupations in physical sciences,155,44315,47349,
