"Occupation - National Occupational Classification (NOC) 2016 (691), Employment Income Statistics (3), Highest Certificate, Diploma or Degree (7), Visible Minority (15), Work Activity During the Reference Year (4), Age (4D) and Sex (3) for the Population Aged 15 Years and Over Who Worked in 2015 and Reported Employment Income in 2015, in Private Households of Canada, Provinces and Territories and Census Metropolitan Areas, 2016 Census - 25% Sample Data",,,,
Geography = Toronto,,,,
Global non-response rate (GNR) =   4.2 %,,,,
Visible minority (15) = Total - Visible minority [1],,,,
"Highest certificate, diploma or degree (7) = Total - Highest certificate, diploma or degree [2]",,,,
Work activity during the reference year (4) = Total - Work activity during the reference year [3],,,,
Age (4D) = Total - Age,,,,
Sex (3) = Total - Sex,,,,
Occupation - National Occupational Classification (NOC) 2016 (691),Total - Number of employment income recipients [4],Median employment income in 2015 ($) [5],Average employment income in 2015 ($) [6], 
Total - Occupation - National Occupational Classification (NOC) 2016 [7],3122280,38629,55456,
  0 Management occupations,365565,70940,107788,
    00 Senior management occupations,43280,125652,246532,
      001 Legislators and senior management,43285,125652,246532,
        0011 Legislators,475,67645,79939,
        0012 Senior government managers and officials,1665,121814,145761,
"        0013 Senior managers - financial, communications and other business services",17300,142795,290682,
"        0014 Senior managers - health, education, social and community services and membership organizations",4205,101561,135213,
"        0015 Senior managers - trade, broadcasting and other services, n.e.c.",10085,117022,230405,
"        0016 Senior managers - construction, transportation, production and utilities",9555,124481,258464,
    01-05 Specialized middle management occupations,154815,88011,111071,
      011 Administrative services managers,41595,89064,115083,
        0111 Financial managers,20100,94129,128421,
        0112 Human resources managers,10255,86675,100269,
        0113 Purchasing managers,4770,88151,102389,
        0114 Other administrative services managers,6475,75838,106487,
      012 Managers in financial and business services,57075,80763,117670,
"        0121 Insurance, real estate and financial brokerage managers",8820,92115,192807,
"        0122 Banking, credit and other investment managers",19655,88730,127825,
"        0124 Advertising, marketing and public relations managers",23700,75490,89978,
        0125 Other business services managers,4900,56480,75678,
      013 Managers in communication (except broadcasting),4490,90553,98348,
        0131 Telecommunication carriers managers,3710,93934,104591,
        0132 Postal and courier services managers,780,56226,68522,
"      021 Managers in engineering, architecture, science and information systems",25195,106055,116683,
        0211 Engineering managers,4065,109165,117276,
        0212 Architecture and science managers,1880,101936,119916,
        0213 Computer and information systems managers,19255,105838,116242,
      031 Managers in health care,5480,87074,94217,
        0311 Managers in health care,5480,87074,94217,
      041 Managers in public administration,2570,103440,109713,
        0411 Government managers - health and social policy development and program administration,640,110020,107967,
"        0412 Government managers - economic analysis, policy development and program administration",980,104860,123988,
        0413 Government managers - education policy development and program administration,200,94069,92127,
        0414 Other managers in public administration,755,97692,97314,
      042 Managers in education and social and community services,12545,84907,86975,
        0421 Administrators - post-secondary education and vocational training,2835,73718,84981,
        0422 School principals and administrators of elementary and secondary education,5425,109809,101983,
"        0423 Managers in social, community and correctional services",4290,65499,69316,
      043 Managers in public protection services,815,86572,90109,
        0431 Commissioned police officers,110,140287,127122,
        0432 Fire chiefs and senior firefighting officers,145,136733,136250,
        0433 Commissioned officers of the Canadian Armed Forces,560,66035,70676,
"      051 Managers in art, culture, recreation and sport",5045,57166,68958,
"        0511 Library, archive, museum and art gallery managers",865,65565,64377,
"        0512 Managers - publishing, motion pictures, broadcasting and performing arts",2280,64481,82407,
"        0513 Recreation, sports and fitness program and service directors",1905,44364,54942,
    06 Middle management occupations in retail and wholesale trade and customer services,110455,44598,65295,
      060 Corporate sales managers,17555,95370,112709,
        0601 Corporate sales managers,17555,95370,112709,
      062 Retail and wholesale trade managers,62705,44474,63676,
        0621 Retail and wholesale trade managers,62700,44474,63676,
      063 Managers in food service and accommodation,25170,30025,41798,
        0631 Restaurant and food service managers,22525,29315,38535,
        0632 Accommodation service managers,2645,40808,69610,
"      065 Managers in customer and personal services, n.e.c.",5025,26076,37558,
"        0651 Managers in customer and personal services, n.e.c.",5025,26076,37558,
"    07-09 Middle management occupations in trades, transportation, production and utilities",57015,57145,75868,
      071 Managers in construction and facility operation and maintenance,31865,48461,64378,
        0711 Construction managers,12970,60151,76509,
        0712 Home building and renovation managers,9270,20277,41674,
        0714 Facility operation and maintenance managers,9630,60232,69892,
      073 Managers in transportation,7590,65172,77782,
        0731 Managers in transportation,7590,65172,77782,
      081 Managers in natural resources production and fishing,430,134206,202219,
        0811 Managers in natural resources production and fishing,430,134206,202219,
"      082 Managers in agriculture, horticulture and aquaculture",2370,18077,32507,
        0821 Managers in agriculture,2085,16990,30879,
        0822 Managers in horticulture,255,26972,44307,
        0823 Managers in aquaculture,25,0,0,
      091 Managers in manufacturing and utilities,14760,76568,102966,
        0911 Manufacturing managers,13570,74001,100559,
        0912 Utilities managers,1185,114730,130578,
"  1 Business, finance and administration occupations",581065,44772,59458,
    11 Professional occupations in business and finance,169850,61337,96104,
"      111 Auditors, accountants and investment professionals",103300,62928,108792,
        1111 Financial auditors and accountants,47455,60108,83897,
        1112 Financial and investment analysts,21510,72518,157920,
"        1113 Securities agents, investment dealers and brokers",5335,66588,173538,
        1114 Other financial officers,28995,58683,101177,
      112 Human resources and business service professionals,66550,59195,76409,
        1121 Human resources professionals,15200,64096,76917,
        1122 Professional occupations in business management consulting,25005,68285,93318,
"        1123 Professional occupations in advertising, marketing and public relations",26350,48333,60071,
    12 Administrative and financial supervisors and administrative occupations,170735,45646,50593,
      121 Administrative services supervisors,18945,53537,59715,
"        1211 Supervisors, general office and administrative support workers",2125,59709,62303,
"        1212 Supervisors, finance and insurance office workers",4970,59173,71469,
"        1213 Supervisors, library, correspondence and related information workers",530,24232,30688,
"        1214 Supervisors, mail and message distribution occupations",985,66682,61473,
"        1215 Supervisors, supply chain, tracking and scheduling co-ordination occupations",10335,50168,54859,
      122 Administrative and regulatory occupations,94705,48621,55174,
        1221 Administrative officers,48830,45825,50681,
        1222 Executive assistants,10145,61412,68361,
        1223 Human resources and recruitment officers,7600,47307,57041,
        1224 Property administrators,9430,44814,62696,
        1225 Purchasing agents and officers,7035,54260,61726,
        1226 Conference and event planners,6770,36048,40807,
        1227 Court officers and justices of the peace,875,76532,76955,
"        1228 Employment insurance, immigration, border services and revenue officers",4015,59591,63248,
"      124 Office administrative assistants - general, legal and medical",52670,38561,39414,
