"Occupation - National Occupational Classification (NOC) 2016 (691), Employment Income Statistics (3), Highest Certificate, Diploma or Degree (7), Visible Minority (15), Work Activity During the Reference Year (4), Age (4D) and Sex (3) for the Population Aged 15 Years and Over Who Worked in 2015 and Reported Employment Income in 2015, in Private Households of Canada, Provinces and Territories and Census Metropolitan Areas, 2016 Census - 25% Sample Data",,,,
Geography = Trois-Rivières,,,,
Global non-response rate (GNR) =   3.8 %,,,,
Visible minority (15) = Total - Visible minority [1],,,,
"Highest certificate, diploma or degree (7) = Total - Highest certificate, diploma or degree [2]",,,,
Work activity during the reference year (4) = Total - Work activity during the reference year [3],,,,
Age (4D) = Total - Age,,,,
Sex (3) = Total - Sex,,,,
Occupation - National Occupational Classification (NOC) 2016 (691),Total - Number of employment income recipients [4],Median employment income in 2015 ($) [5],Average employment income in 2015 ($) [6], 
Total - Occupation - National Occupational Classification (NOC) 2016 [7],76810,31975,39448,
  0 Management occupations,6250,50632,62122,
    00 Senior management occupations,915,61744,76453,
      001 Legislators and senior management,915,61744,76453,
        0011 Legislators,15,0,0,
        0012 Senior government managers and officials,50,71228,76297,
"        0013 Senior managers - financial, communications and other business services",180,69904,88815,
"        0014 Senior managers - health, education, social and community services and membership organizations",130,59881,65916,
"        0015 Senior managers - trade, broadcasting and other services, n.e.c.",210,53964,57414,
"        0016 Senior managers - construction, transportation, production and utilities",330,62961,85262,
    01-05 Specialized middle management occupations,1845,76678,75790,
      011 Administrative services managers,640,72257,77742,
        0111 Financial managers,220,79766,81431,
        0112 Human resources managers,220,61644,73275,
        0113 Purchasing managers,75,76924,79093,
        0114 Other administrative services managers,125,65580,78340,
      012 Managers in financial and business services,345,69095,72639,
"        0121 Insurance, real estate and financial brokerage managers",40,58108,72956,
"        0122 Banking, credit and other investment managers",165,72394,83771,
"        0124 Advertising, marketing and public relations managers",105,65083,60464,
        0125 Other business services managers,35,51414,54202,
      013 Managers in communication (except broadcasting),70,79813,90026,
        0131 Telecommunication carriers managers,70,95453,92929,
        0132 Postal and courier services managers,0,0,0,
"      021 Managers in engineering, architecture, science and information systems",185,87119,80875,
        0211 Engineering managers,55,83908,85018,
        0212 Architecture and science managers,20,0,0,
        0213 Computer and information systems managers,110,87233,78724,
      031 Managers in health care,115,86504,75554,
        0311 Managers in health care,115,86504,75554,
      041 Managers in public administration,80,68806,63840,
        0411 Government managers - health and social policy development and program administration,25,0,87631,
"        0412 Government managers - economic analysis, policy development and program administration",10,0,0,
        0413 Government managers - education policy development and program administration,15,0,0,
        0414 Other managers in public administration,35,0,0,
      042 Managers in education and social and community services,285,87961,81402,
        0421 Administrators - post-secondary education and vocational training,65,99868,95658,
        0422 School principals and administrators of elementary and secondary education,110,91265,85796,
"        0423 Managers in social, community and correctional services",120,73353,69402,
      043 Managers in public protection services,60,83118,67383,
        0431 Commissioned police officers,20,0,0,
        0432 Fire chiefs and senior firefighting officers,20,0,0,
