"Occupation - National Occupational Classification (NOC) 2016 (691), Employment Income Statistics (3), Highest Certificate, Diploma or Degree (7), Visible Minority (15), Work Activity During the Reference Year (4), Age (4D) and Sex (3) for the Population Aged 15 Years and Over Who Worked in 2015 and Reported Employment Income in 2015, in Private Households of Canada, Provinces and Territories and Census Metropolitan Areas, 2016 Census - 25% Sample Data",,,,
Geography = Vancouver [1],,,,
Global non-response rate (GNR) =   5.7 %,,,,
Visible minority (15) = Total - Visible minority [2],,,,
"Highest certificate, diploma or degree (7) = Total - Highest certificate, diploma or degree [3]",,,,
Work activity during the reference year (4) = Total - Work activity during the reference year [4],,,,
Age (4D) = Total - Age,,,,
Sex (3) = Total - Sex,,,,
Occupation - National Occupational Classification (NOC) 2016 (691),Total - Number of employment income recipients [5],Median employment income in 2015 ($) [6],Average employment income in 2015 ($) [7], 
Total - Occupation - National Occupational Classification (NOC) 2016 [8],1325680,37615,49901,
  0 Management occupations,150290,60727,84948,
    00 Senior management occupations,16565,99880,171462,
      001 Legislators and senior management,16565,99880,171462,
        0011 Legislators,245,50137,66800,
        0012 Senior government managers and officials,675,105104,150960,
"        0013 Senior managers - financial, communications and other business services",5645,110028,201987,
"        0014 Senior managers - health, education, social and community services and membership organizations",1935,93456,111708,
"        0015 Senior managers - trade, broadcasting and other services, n.e.c.",3845,78924,145801,
"        0016 Senior managers - construction, transportation, production and utilities",4215,108940,190805,
    01-05 Specialized middle management occupations,54340,75921,89447,
      011 Administrative services managers,13625,78063,90310,
        0111 Financial managers,5770,80401,92635,
        0112 Human resources managers,3540,82696,87764,
        0113 Purchasing managers,1650,84876,93012,
        0114 Other administrative services managers,2675,64472,86996,
      012 Managers in financial and business services,18545,65508,85084,
"        0121 Insurance, real estate and financial brokerage managers",4455,71309,108608,
"        0122 Banking, credit and other investment managers",5090,74853,90599,
"        0124 Advertising, marketing and public relations managers",7085,59972,71782,
        0125 Other business services managers,1920,50565,64950,
      013 Managers in communication (except broadcasting),1535,80455,91598,
        0131 Telecommunication carriers managers,1205,86745,100858,
        0132 Postal and courier services managers,335,51715,58439,
"      021 Managers in engineering, architecture, science and information systems",8260,99627,113222,
        0211 Engineering managers,1720,114393,126008,
        0212 Architecture and science managers,835,80500,100320,
        0213 Computer and information systems managers,5700,98678,111248,
      031 Managers in health care,2525,81005,85263,
        0311 Managers in health care,2530,81005,85263,
      041 Managers in public administration,1165,92774,99804,
        0411 Government managers - health and social policy development and program administration,250,89513,92283,
"        0412 Government managers - economic analysis, policy development and program administration",520,93657,113366,
        0413 Government managers - education policy development and program administration,60,90573,72109,
        0414 Other managers in public administration,335,92323,89248,
      042 Managers in education and social and community services,6290,71971,75589,
        0421 Administrators - post-secondary education and vocational training,1995,66573,74157,
        0422 School principals and administrators of elementary and secondary education,2100,101385,90362,
"        0423 Managers in social, community and correctional services",2200,57625,62746,
      043 Managers in public protection services,400,123549,120008,
        0431 Commissioned police officers,105,135341,137001,
        0432 Fire chiefs and senior firefighting officers,165,145281,135750,
        0433 Commissioned officers of the Canadian Armed Forces,130,62603,86751,
"      051 Managers in art, culture, recreation and sport",1995,48294,60840,
"        0511 Library, archive, museum and art gallery managers",350,54208,61085,
"        0512 Managers - publishing, motion pictures, broadcasting and performing arts",725,48147,68479,
"        0513 Recreation, sports and fitness program and service directors",915,46333,54720,
    06 Middle management occupations in retail and wholesale trade and customer services,51250,43547,58606,
      060 Corporate sales managers,5980,89247,101767,
        0601 Corporate sales managers,5980,89247,101767,
      062 Retail and wholesale trade managers,29590,46887,59994,
        0621 Retail and wholesale trade managers,29595,46887,59994,
      063 Managers in food service and accommodation,13235,30885,39556,
        0631 Restaurant and food service managers,11490,29972,37623,
        0632 Accommodation service managers,1745,39384,52281,
"      065 Managers in customer and personal services, n.e.c.",2440,30417,39259,
"        0651 Managers in customer and personal services, n.e.c.",2440,30417,39259,
"    07-09 Middle management occupations in trades, transportation, production and utilities",28135,58426,73308,
      071 Managers in construction and facility operation and maintenance,16320,54587,66570,
        0711 Construction managers,7610,66284,78462,
        0712 Home building and renovation managers,3935,26074,39436,
        0714 Facility operation and maintenance managers,4780,61528,69984,
      073 Managers in transportation,3470,71178,83262,
        0731 Managers in transportation,3470,71178,83262,
      081 Managers in natural resources production and fishing,515,110030,200690,
        0811 Managers in natural resources production and fishing,515,110030,200690,
"      082 Managers in agriculture, horticulture and aquaculture",2275,21197,31454,
        0821 Managers in agriculture,1910,19510,29893,
        0822 Managers in horticulture,320,27462,36836,
        0823 Managers in aquaculture,45,63546,58063,
      091 Managers in manufacturing and utilities,5555,69077,92180,
        0911 Manufacturing managers,4935,66613,88737,
        0912 Utilities managers,615,114860,119805,
"  1 Business, finance and administration occupations",223750,42155,50478,
    11 Professional occupations in business and finance,54895,56054,76900,
"      111 Auditors, accountants and investment professionals",34420,57397,84205,
        1111 Financial auditors and accountants,19815,55064,69345,
        1112 Financial and investment analysts,2770,75476,132138,
"        1113 Securities agents, investment dealers and brokers",1505,43851,100820,
        1114 Other financial officers,10330,59387,97441,
      112 Human resources and business service professionals,20480,53832,64621,
        1121 Human resources professionals,5285,63035,71643,
        1122 Professional occupations in business management consulting,6690,58247,71257,
"        1123 Professional occupations in advertising, marketing and public relations",8500,45509,55027,
