"Occupation - National Occupational Classification (NOC) 2016 (691), Employment Income Statistics (3), Highest Certificate, Diploma or Degree (7), Visible Minority (15), Work Activity During the Reference Year (4), Age (4D) and Sex (3) for the Population Aged 15 Years and Over Who Worked in 2015 and Reported Employment Income in 2015, in Private Households of Canada, Provinces and Territories and Census Metropolitan Areas, 2016 Census - 25% Sample Data",,,,
Geography = Victoria [1],,,,
Global non-response rate (GNR) =   4.9 %,,,,
Visible minority (15) = Total - Visible minority [2],,,,
"Highest certificate, diploma or degree (7) = Total - Highest certificate, diploma or degree [3]",,,,
Work activity during the reference year (4) = Total - Work activity during the reference year [4],,,,
Age (4D) = Total - Age,,,,
Sex (3) = Total - Sex,,,,
Occupation - National Occupational Classification (NOC) 2016 (691),Total - Number of employment income recipients [5],Median employment income in 2015 ($) [6],Average employment income in 2015 ($) [7], 
Total - Occupation - National Occupational Classification (NOC) 2016 [8],198135,37848,46519,
  0 Management occupations,21285,60292,74948,
    00 Senior management occupations,2485,100283,137071,
      001 Legislators and senior management,2490,100283,137071,
        0011 Legislators,115,57549,76963,
        0012 Senior government managers and officials,700,113699,123153,
"        0013 Senior managers - financial, communications and other business services",640,114403,204911,
"        0014 Senior managers - health, education, social and community services and membership organizations",335,84405,101068,
"        0015 Senior managers - trade, broadcasting and other services, n.e.c.",330,71217,111802,
"        0016 Senior managers - construction, transportation, production and utilities",360,92632,120178,
    01-05 Specialized middle management occupations,8355,78660,81276,
      011 Administrative services managers,1845,71749,76987,
        0111 Financial managers,710,78081,85822,
        0112 Human resources managers,500,70956,74377,
        0113 Purchasing managers,205,72554,73430,
        0114 Other administrative services managers,425,64291,67064,
      012 Managers in financial and business services,1810,65544,72342,
"        0121 Insurance, real estate and financial brokerage managers",375,77930,88997,
"        0122 Banking, credit and other investment managers",490,71127,75673,
"        0124 Advertising, marketing and public relations managers",700,62163,68685,
        0125 Other business services managers,245,48810,50658,
      013 Managers in communication (except broadcasting),125,76054,76686,
        0131 Telecommunication carriers managers,80,84266,87389,
        0132 Postal and courier services managers,45,64782,56819,
"      021 Managers in engineering, architecture, science and information systems",1010,91779,101320,
        0211 Engineering managers,180,108407,115876,
        0212 Architecture and science managers,85,88927,82554,
        0213 Computer and information systems managers,745,87548,99838,
      031 Managers in health care,415,86421,88825,
        0311 Managers in health care,415,86421,88825,
      041 Managers in public administration,650,93424,91710,
        0411 Government managers - health and social policy development and program administration,205,94533,91932,
"        0412 Government managers - economic analysis, policy development and program administration",175,95914,100431,
        0413 Government managers - education policy development and program administration,55,93392,81599,
        0414 Other managers in public administration,225,88933,87010,
      042 Managers in education and social and community services,1130,75546,76293,
        0421 Administrators - post-secondary education and vocational training,355,66490,75333,
        0422 School principals and administrators of elementary and secondary education,360,95499,91408,
"        0423 Managers in social, community and correctional services",415,58542,63980,
      043 Managers in public protection services,995,90182,90176,
        0431 Commissioned police officers,30,0,128426,
        0432 Fire chiefs and senior firefighting officers,45,136998,128453,
        0433 Commissioned officers of the Canadian Armed Forces,920,88934,87078,
"      051 Managers in art, culture, recreation and sport",375,47570,57770,
"        0511 Library, archive, museum and art gallery managers",75,58693,58632,
"        0512 Managers - publishing, motion pictures, broadcasting and performing arts",110,47294,77014,
"        0513 Recreation, sports and fitness program and service directors",190,46005,46256,
    06 Middle management occupations in retail and wholesale trade and customer services,7200,41065,53485,
