"Occupation - National Occupational Classification (NOC) 2016 (691), Employment Income Statistics (3), Highest Certificate, Diploma or Degree (7), Visible Minority (15), Work Activity During the Reference Year (4), Age (4D) and Sex (3) for the Population Aged 15 Years and Over Who Worked in 2015 and Reported Employment Income in 2015, in Private Households of Canada, Provinces and Territories and Census Metropolitan Areas, 2016 Census - 25% Sample Data",,,,
Geography = Windsor,,,,
Global non-response rate (GNR) =   5.0 %,,,,
Visible minority (15) = Total - Visible minority [1],,,,
"Highest certificate, diploma or degree (7) = Total - Highest certificate, diploma or degree [2]",,,,
Work activity during the reference year (4) = Total - Work activity during the reference year [3],,,,
Age (4D) = Total - Age,,,,
Sex (3) = Total - Sex,,,,
Occupation - National Occupational Classification (NOC) 2016 (691),Total - Number of employment income recipients [4],Median employment income in 2015 ($) [5],Average employment income in 2015 ($) [6], 
Total - Occupation - National Occupational Classification (NOC) 2016 [7],158630,36540,47898,
  0 Management occupations,13005,58051,83078,
    00 Senior management occupations,1050,107029,158195,
      001 Legislators and senior management,1045,107029,158195,
        0011 Legislators,15,0,0,
        0012 Senior government managers and officials,60,94874,108854,
"        0013 Senior managers - financial, communications and other business services",230,102966,158718,
"        0014 Senior managers - health, education, social and community services and membership organizations",145,74668,87019,
"        0015 Senior managers - trade, broadcasting and other services, n.e.c.",235,91538,163739,
"        0016 Senior managers - construction, transportation, production and utilities",365,148538,192795,
    01-05 Specialized middle management occupations,4145,82339,94710,
      011 Administrative services managers,1295,77208,84865,
        0111 Financial managers,500,78910,88559,
        0112 Human resources managers,430,80795,87869,
        0113 Purchasing managers,180,80164,85994,
        0114 Other administrative services managers,185,58756,67011,
      012 Managers in financial and business services,1025,63106,78398,
"        0121 Insurance, real estate and financial brokerage managers",165,65878,83168,
"        0122 Banking, credit and other investment managers",395,67262,84112,
"        0124 Advertising, marketing and public relations managers",245,72525,83037,
        0125 Other business services managers,220,48084,59221,
      013 Managers in communication (except broadcasting),80,56782,64894,
        0131 Telecommunication carriers managers,35,56576,66805,
        0132 Postal and courier services managers,45,65204,63289,
"      021 Managers in engineering, architecture, science and information systems",585,118020,164670,
        0211 Engineering managers,330,119353,184604,
        0212 Architecture and science managers,40,136647,172345,
        0213 Computer and information systems managers,210,104855,131753,
      031 Managers in health care,310,84206,88820,
        0311 Managers in health care,310,84206,88820,
      041 Managers in public administration,60,86704,80802,
        0411 Government managers - health and social policy development and program administration,20,0,0,
"        0412 Government managers - economic analysis, policy development and program administration",25,0,0,
        0413 Government managers - education policy development and program administration,0,0,0,
        0414 Other managers in public administration,15,0,0,
      042 Managers in education and social and community services,580,104575,90750,
