"Occupation - National Occupational Classification (NOC) 2016 (691), Employment Income Statistics (3), Highest Certificate, Diploma or Degree (7), Visible Minority (15), Work Activity During the Reference Year (4), Age (4D) and Sex (3) for the Population Aged 15 Years and Over Who Worked in 2015 and Reported Employment Income in 2015, in Private Households of Canada, Provinces and Territories and Census Metropolitan Areas, 2016 Census - 25% Sample Data",,,,
Geography = Winnipeg,,,,
Global non-response rate (GNR) =   4.0 %,,,,
Visible minority (15) = Total - Visible minority [1],,,,
"Highest certificate, diploma or degree (7) = Total - Highest certificate, diploma or degree [2]",,,,
Work activity during the reference year (4) = Total - Work activity during the reference year [3],,,,
Age (4D) = Total - Age,,,,
Sex (3) = Total - Sex,,,,
Occupation - National Occupational Classification (NOC) 2016 (691),Total - Number of employment income recipients [4],Median employment income in 2015 ($) [5],Average employment income in 2015 ($) [6], 
Total - Occupation - National Occupational Classification (NOC) 2016 [7],422370,37597,47197,
  0 Management occupations,41270,63047,82936,
    00 Senior management occupations,4460,98277,177422,
      001 Legislators and senior management,4460,98277,177422,
        0011 Legislators,180,71582,146564,
        0012 Senior government managers and officials,450,105303,119717,
"        0013 Senior managers - financial, communications and other business services",1025,126933,199811,
"        0014 Senior managers - health, education, social and community services and membership organizations",875,78041,88291,
"        0015 Senior managers - trade, broadcasting and other services, n.e.c.",845,95566,209266,
"        0016 Senior managers - construction, transportation, production and utilities",1095,110421,231601,
    01-05 Specialized middle management occupations,14680,77046,83237,
      011 Administrative services managers,3925,74863,83635,
        0111 Financial managers,1605,79403,94406,
        0112 Human resources managers,1200,73583,76477,
        0113 Purchasing managers,345,78352,86009,
        0114 Other administrative services managers,775,66651,71473,
      012 Managers in financial and business services,3850,68446,80288,
"        0121 Insurance, real estate and financial brokerage managers",840,77118,93227,
"        0122 Banking, credit and other investment managers",1215,72534,87521,
"        0124 Advertising, marketing and public relations managers",1365,63493,70606,
        0125 Other business services managers,435,48766,65417,
      013 Managers in communication (except broadcasting),350,87846,80250,
        0131 Telecommunication carriers managers,255,95492,90195,
        0132 Postal and courier services managers,95,38043,53711,
"      021 Managers in engineering, architecture, science and information systems",1480,93658,102075,
        0211 Engineering managers,345,94620,100966,
        0212 Architecture and science managers,135,99577,111345,
        0213 Computer and information systems managers,995,92959,101186,
      031 Managers in health care,990,86758,88390,
        0311 Managers in health care,990,86758,88390,
      041 Managers in public administration,530,83471,82646,
        0411 Government managers - health and social policy development and program administration,145,87988,79757,
"        0412 Government managers - economic analysis, policy development and program administration",165,83796,87763,
        0413 Government managers - education policy development and program administration,25,0,0,
        0414 Other managers in public administration,195,79857,78273,
      042 Managers in education and social and community services,2320,72836,76010,
        0421 Administrators - post-secondary education and vocational training,510,62174,75506,
        0422 School principals and administrators of elementary and secondary education,815,105361,96962,
"        0423 Managers in social, community and correctional services",990,56834,59028,
      043 Managers in public protection services,725,92003,88833,
        0431 Commissioned police officers,50,132360,113289,
        0432 Fire chiefs and senior firefighting officers,45,127517,109509,
        0433 Commissioned officers of the Canadian Armed Forces,630,90223,85427,
"      051 Managers in art, culture, recreation and sport",510,49282,65425,
"        0511 Library, archive, museum and art gallery managers",120,63541,61346,
"        0512 Managers - publishing, motion pictures, broadcasting and performing arts",145,68210,80866,
"        0513 Recreation, sports and fitness program and service directors",245,39265,58343,
    06 Middle management occupations in retail and wholesale trade and customer services,13885,43622,58343,
      060 Corporate sales managers,1415,83431,92021,
        0601 Corporate sales managers,1415,83431,92021,
      062 Retail and wholesale trade managers,8285,46169,62541,
        0621 Retail and wholesale trade managers,8285,46169,62541,
      063 Managers in food service and accommodation,3515,32775,38272,
        0631 Restaurant and food service managers,2995,32431,38080,
        0632 Accommodation service managers,515,33278,39382,
"      065 Managers in customer and personal services, n.e.c.",675,31984,40551,
"        0651 Managers in customer and personal services, n.e.c.",675,31984,40551,
"    07-09 Middle management occupations in trades, transportation, production and utilities",8240,60634,72709,
      071 Managers in construction and facility operation and maintenance,4165,55903,67431,
        0711 Construction managers,1790,69604,85742,
        0712 Home building and renovation managers,990,26236,33800,
        0714 Facility operation and maintenance managers,1385,58296,67846,
      073 Managers in transportation,960,73798,84699,
        0731 Managers in transportation,960,73798,84699,
      081 Managers in natural resources production and fishing,40,119538,113220,
        0811 Managers in natural resources production and fishing,40,119538,113220,
"      082 Managers in agriculture, horticulture and aquaculture",1210,25579,38568,
        0821 Managers in agriculture,1135,24688,38156,
        0822 Managers in horticulture,70,44312,46349,
        0823 Managers in aquaculture,10,0,0,
      091 Managers in manufacturing and utilities,1870,76774,99565,
        0911 Manufacturing managers,1665,73889,97398,
        0912 Utilities managers,210,109752,116874,
"  1 Business, finance and administration occupations",69795,41029,47930,
