"Occupation - National Occupational Classification (NOC) 2016 (691), Employment Income Statistics (3), Highest Certificate, Diploma or Degree (7), Visible Minority (15), Work Activity During the Reference Year (4), Age (4D) and Sex (3) for the Population Aged 15 Years and Over Who Worked in 2015 and Reported Employment Income in 2015, in Private Households of Canada, Provinces and Territories and Census Metropolitan Areas, 2016 Census - 25% Sample Data",,,,
Geography = Yukon [1],,,,
Global non-response rate (GNR) =   6.8 %,,,,
Visible minority (15) = Total - Visible minority [2],,,,
"Highest certificate, diploma or degree (7) = Total - Highest certificate, diploma or degree [3]",,,,
Work activity during the reference year (4) = Total - Work activity during the reference year [4],,,,
Age (4D) = Total - Age,,,,
Sex (3) = Total - Sex,,,,
Occupation - National Occupational Classification (NOC) 2016 (691),Total - Number of employment income recipients [5],Median employment income in 2015 ($) [6],Average employment income in 2015 ($) [7], 
Total - Occupation - National Occupational Classification (NOC) 2016 [8],22040,46648,52909,
  0 Management occupations,2455,71184,76047,
    00 Senior management occupations,385,88131,94074,
      001 Legislators and senior management,390,88131,94074,
        0011 Legislators,75,67371,70416,
        0012 Senior government managers and officials,140,112912,120242,
"        0013 Senior managers - financial, communications and other business services",25,0,0,
"        0014 Senior managers - health, education, social and community services and membership organizations",50,65131,77034,
"        0015 Senior managers - trade, broadcasting and other services, n.e.c.",65,63725,83126,
"        0016 Senior managers - construction, transportation, production and utilities",30,126976,112796,
    01-05 Specialized middle management occupations,1010,90939,91313,
      011 Administrative services managers,235,99087,96554,
        0111 Financial managers,110,89984,91399,
        0112 Human resources managers,65,110819,98430,
        0113 Purchasing managers,10,0,0,
        0114 Other administrative services managers,55,117500,105422,
      012 Managers in financial and business services,180,66486,82398,
"        0121 Insurance, real estate and financial brokerage managers",30,84637,90753,
"        0122 Banking, credit and other investment managers",30,0,0,
"        0124 Advertising, marketing and public relations managers",85,79405,76242,
        0125 Other business services managers,30,0,0,
      013 Managers in communication (except broadcasting),60,103999,98963,
        0131 Telecommunication carriers managers,45,104023,103397,
        0132 Postal and courier services managers,10,0,0,
"      021 Managers in engineering, architecture, science and information systems",75,100766,88207,
        0211 Engineering managers,0,0,0,
        0212 Architecture and science managers,20,0,0,
        0213 Computer and information systems managers,55,102745,98092,
      031 Managers in health care,35,121574,154852,
        0311 Managers in health care,35,121574,154852,
      041 Managers in public administration,165,95716,105550,
        0411 Government managers - health and social policy development and program administration,40,95660,112199,
"        0412 Government managers - economic analysis, policy development and program administration",80,113251,113612,
        0413 Government managers - education policy development and program administration,0,0,0,
        0414 Other managers in public administration,35,74161,79362,
      042 Managers in education and social and community services,170,78599,81900,
        0421 Administrators - post-secondary education and vocational training,10,0,0,
        0422 School principals and administrators of elementary and secondary education,60,114882,97933,
"        0423 Managers in social, community and correctional services",95,68209,71394,
      043 Managers in public protection services,25,0,109572,
        0431 Commissioned police officers,10,0,0,
        0432 Fire chiefs and senior firefighting officers,15,0,0,
        0433 Commissioned officers of the Canadian Armed Forces,10,0,0,
"      051 Managers in art, culture, recreation and sport",70,40681,45579,
"        0511 Library, archive, museum and art gallery managers",30,42113,53913,
"        0512 Managers - publishing, motion pictures, broadcasting and performing arts",10,0,0,
"        0513 Recreation, sports and fitness program and service directors",30,37480,40238,
    06 Middle management occupations in retail and wholesale trade and customer services,685,43677,50462,
      060 Corporate sales managers,15,0,0,
        0601 Corporate sales managers,15,0,0,
      062 Retail and wholesale trade managers,390,52061,61421,
        0621 Retail and wholesale trade managers,390,52061,61421,
      063 Managers in food service and accommodation,265,37411,34292,
        0631 Restaurant and food service managers,160,37405,34538,
        0632 Accommodation service managers,100,37644,33899,
"      065 Managers in customer and personal services, n.e.c.",20,39960,33366,
"        0651 Managers in customer and personal services, n.e.c.",25,39960,33366,
"    07-09 Middle management occupations in trades, transportation, production and utilities",375,61457,63092,
      071 Managers in construction and facility operation and maintenance,180,65452,67962,
        0711 Construction managers,65,55710,68627,
        0712 Home building and renovation managers,45,21644,47965,
        0714 Facility operation and maintenance managers,65,85982,81222,
      073 Managers in transportation,35,113694,97019,
        0731 Managers in transportation,30,113694,97019,
      081 Managers in natural resources production and fishing,40,55282,80659,
        0811 Managers in natural resources production and fishing,45,55282,80659,
"      082 Managers in agriculture, horticulture and aquaculture",80,0,0,
        0821 Managers in agriculture,65,0,0,
        0822 Managers in horticulture,10,0,0,
        0823 Managers in aquaculture,0,0,0,
      091 Managers in manufacturing and utilities,40,93478,99287,
        0911 Manufacturing managers,10,0,0,
        0912 Utilities managers,30,93463,94342,
"  1 Business, finance and administration occupations",3575,52554,51292,
    11 Professional occupations in business and finance,490,64799,67747,
"      111 Auditors, accountants and investment professionals",195,64974,71364,
        1111 Financial auditors and accountants,100,68813,70048,
        1112 Financial and investment analysts,30,0,57003,
"        1113 Securities agents, investment dealers and brokers",0,0,0,
        1114 Other financial officers,60,72354,80053,
      112 Human resources and business service professionals,300,63333,65443,
        1121 Human resources professionals,100,66490,63911,
        1122 Professional occupations in business management consulting,30,83081,122574,
"        1123 Professional occupations in advertising, marketing and public relations",170,54967,55249,
    12 Administrative and financial supervisors and administrative occupations,1425,59369,54491,
      121 Administrative services supervisors,70,56062,52391,
"        1211 Supervisors, general office and administrative support workers",20,0,0,
"        1212 Supervisors, finance and insurance office workers",10,0,0,
"        1213 Supervisors, library, correspondence and related information workers",10,0,0,
"        1214 Supervisors, mail and message distribution occupations",15,70700,57755,
"        1215 Supervisors, supply chain, tracking and scheduling co-ordination occupations",15,0,0,
      122 Administrative and regulatory occupations,820,63301,60385,
        1221 Administrative officers,485,60033,55816,
        1222 Executive assistants,85,63355,68306,
        1223 Human resources and recruitment officers,35,68950,59554,
        1224 Property administrators,55,68107,61047,
        1225 Purchasing agents and officers,75,69384,65917,
        1226 Conference and event planners,10,0,0,
        1227 Court officers and justices of the peace,30,78080,78244,
"        1228 Employment insurance, immigration, border services and revenue officers",35,77839,78710,
"      124 Office administrative assistants - general, legal and medical",500,46533,44739,
        1241 Administrative assistants,410,43448,42414,
        1242 Legal administrative assistants,55,60826,61704,
        1243 Medical administrative assistants,40,37305,45349,
"      125 Court reporters, transcriptionists, records management technicians and statistical officers",35,68877,60613,
"        1251 Court reporters, medical transcriptionists and related occupations",10,0,0,
        1252 Health information management occupations,0,0,0,
        1253 Records management technicians,15,0,0,
        1254 Statistical officers and related research support occupations,10,0,0,
"    13 Finance, insurance and related business administrative occupations",305,51577,51962,
"      131 Finance, insurance and related business administrative occupations",305,51577,51962,
        1311 Accounting technicians and bookkeepers,265,47557,50752,
        1312 Insurance adjusters and claims examiners,20,0,0,
        1313 Insurance underwriters,0,0,0,
