occupation,dummy
Senior management occupations,0
Specialized middle management occupations,0
Middle management occupations in retail and wholesale trade and customer services,0
"Middle management occupations in trades, transportation, production and utilities",0
Professional occupations in business and finance,1
Administrative and financial supervisors and administrative occupations,1
"Finance, insurance and related business administrative occupations",1
Office support occupations,0
"Distribution, tracking and scheduling co-ordination occupations",1
Professional occupations in natural and applied sciences,0
Technical occupations related to natural and applied sciences,0
Professional occupations in nursing,1
Professional occupations in health (except nursing),1
Technical occupations in health,1
Assisting occupations in support of health services,1
Professional occupations in education services,0
"Professional occupations in law and social, community and government services",0
"Paraprofessional occupations in legal, social, community and education services",0
Occupations in front-line public protection services,1
"Care providers and educational, legal and public protection support occupations",0
Professional occupations in art and culture,0
"Technical occupations in art, culture, recreation and sport",0
Retail sales supervisors and specialized sales occupations,1
Service supervisors and specialized service occupations,0
Sales representatives and salespersons - wholesale and retail trade,0
Service representatives and other customer and personal services occupations,1
Sales support occupations,1
"Service support and other service occupations, n.e.c.",0
"Industrial, electrical and construction trades",0
Maintenance and equipment operation trades,0
"Other installers, repairers and servicers and material handlers",0
Transport and heavy equipment operation and related maintenance occupations,1
"Trades helpers, construction labourers and related occupations",1
"Supervisors and technical occupations in natural resources, agriculture and related production",0
"Workers in natural resources, agriculture and related production",0
"Harvesting, landscaping and natural resources labourers",1
"Processing, manufacturing and utilities supervisors and central control operators",0
Processing and manufacturing machine operators and related production workers,0
Assemblers in manufacturing,0
"Labourers in processing, manufacturing and utilities",1
