NOC match,NOC code,LMIC's preliminary short list
Senior government managers and officials,12,No
"Senior managers - financial, communications and other business services",13,No
"Senior managers - trade, broadcasting and other services, n.e.c.",15,No
"Senior managers - construction, transportation, production and utilities",16,No
Financial managers,111,No
Purchasing managers,113,Yes
"Insurance, real estate and financial brokerage managers",121,No
Human resources managers,122,No
"Banking, credit and other investment managers",122,No
"
Telecommunication carriers managers",131,No
"
Telecommunication carriers managers",131,No
Postal and courier services managers,132,Yes
Architecture and science managers,212,No
Architecture and science managers,212,No
Government managers - health and social policy development and program administration,411,Yes
Other managers in public administration,414,No
Administrators - post-secondary education and vocational training,421,No
"Managers in social, community and correctional services",423,No
"
Commissioned police officers",431,No
Occupations in front-line public protection services,431,No
Fire chiefs and senior firefighting officers,432,Yes
"Managers - publishing, motion pictures, broadcasting and performing arts",512,No
Retail and wholesale trade managers,621,Yes
Retail and wholesale trade managers,621,Yes
Retail and wholesale trade managers,621,Yes
Retail and wholesale trade managers,621,Yes
Restaurant and food service managers,631,No
Construction managers,711,No
Construction managers,711,No
Facility operation and maintenance managers,714,No
Facility operation and maintenance managers,714,No
Managers in transportation,731,No
"
Managers in natural resources production and fishing",811,No
Managers in agriculture,821,No
Utilities managers,912,Yes
Financial auditors and accountants,1111,Yes
Financial auditors and accountants,1111,Yes
Financial and investment analysts,1112,No
Other financial officers,1114,No
Human resources professionals,1121,No
"Supervisors, finance and insurance office workers",1212,No
"Supervisors, mail and message distribution occupations",1214,Yes
"Supervisors, supply chain, tracking and scheduling co-ordination occupations",1215,Yes
"Supervisors, supply chain, tracking and scheduling co-ordination occupations",1215,Yes
"Supervisors, supply chain, tracking and scheduling co-ordination occupations",1215,Yes
"Supervisors, supply chain, tracking and scheduling co-ordination occupations",1215,Yes
Administrative officers,1221,No
"
Human resources and recruitment officers",1223,No
Property administrators,1224,No
Purchasing agents and officers,1225,No
Purchasing agents and officers,1225,No
"Employment insurance, immigration, border services and revenue officers",1228,Yes
Administrative assistants,1241,No
Accounting technicians and bookkeepers,1311,Yes
Accounting technicians and bookkeepers,1311,Yes
Insurance adjusters and claims examiners,1312,No
Insurance underwriters,1313,No
"Assessors, valuators and appraisers",1314,No
General office support workers,1411,No
Data entry clerks,1422,No
Data entry clerks,1422,No
Desktop publishing operators and related occupations,1423,No
Payroll administrators,1432,Yes
"Banking, insurance and other financial clerks",1434,Yes
"Correspondence, publication and regulatory clerks",1452,No
"Mail, postal and related workers",1511,Yes
Letter carriers,1512,No
Letter carriers,1512,No
"Couriers, messengers and door-to-door distributors",1513,Yes
"Couriers, messengers and door-to-door distributions",1513,Yes
Shippers and receivers,1521,Yes
Shippers and receivers,1521,Yes
Storekeepers and partspersons,1522,No
Production logistics co-ordinators,1523,Yes
 Production logistics co-ordinators,1523,Yes
Purchasing and inventory control workers,1524,No
Dispatchers,1525,Yes
Dispatcher,1525,Yes
Dispatcher,1525,Yes
Transportation route and crew schedulers,1526,Yes
Transportation route and crew schedulers,1526,Yes
Physicists and astronomers,2111,No
Chemist,2112,No
Geoscientists and oceanographers,2113,No
Biologists and related scientists,2121,No
"
Forestry professionals",2122,No
"Agricultural representatives, consultants and specialists",2123,No
Civil engineers,2131,No
Mechanical engineers,2132,No
Chemical engineers,2134,No
Industrial and manufacturing engineers,2141,Yes
Industrial and manufacturing engineers,2141,Yes
Metallurgical and materials engineers,2142,No
Mining engineers,2143,No
Geological engineers,2144,No
Petroleum engineers,2145,No
Aerospace engineers,2146,No
Computer engineers (except software engineers and designers),2147,No
