NOC6_2 digit,NOC16_4 digit,Introspection 1,Introspection 2
    01 Management occupations,        0011 Legislators,1,1
    01 Management occupations,        0012 Senior government managers and officials,1,1
    01 Management occupations,"        0013 Senior managers - financial, communications and other business services",1,1
    01 Management occupations,"        0014 Senior managers - health, education, social and community services and membership organizations",1,1
    01 Management occupations,"        0015 Senior managers - trade, broadcasting and other services, n.e.c.",1,1
    01 Management occupations,"        0016 Senior managers - construction, transportation, production and utilities",1,0.5
    02-05 Specialized middle management occupations,        0111 Financial managers,1,1
    02-05 Specialized middle management occupations,        0112 Human resources managers,1,1
    02-05 Specialized middle management occupations,        0113 Purchasing managers,0.5,1
    02-05 Specialized middle management occupations,        0114 Other administrative services managers,1,1
    02-05 Specialized middle management occupations,"        0121 Insurance, real estate and financial brokerage managers",1,1
    02-05 Specialized middle management occupations,"        0122 Banking, credit and other investment managers",1,1
    02-05 Specialized middle management occupations,"        0124 Advertising, marketing and public relations managers",0.5,1
    02-05 Specialized middle management occupations,        0125 Other business services managers,1,1
    02-05 Specialized middle management occupations,        0131 Telecommunication carriers managers,0.5,1
    02-05 Specialized middle management occupations,        0132 Postal and courier services managers,1,1
    02-05 Specialized middle management occupations,        0211 Engineering managers,1,0.5
    02-05 Specialized middle management occupations,        0212 Architecture and science managers,1,0.5
    02-05 Specialized middle management occupations,        0213 Computer and information systems managers,0.5,1
    02-05 Specialized middle management occupations,        0311 Managers in health care,1,0.5
    02-05 Specialized middle management occupations,        0411 Government managers - health and social policy development and program administration,1,1
    02-05 Specialized middle management occupations,"        0412 Government managers - economic analysis, policy development and program administration",1,1
    02-05 Specialized middle management occupations,        0413 Government managers - education policy development and program administration,1,1
    02-05 Specialized middle management occupations,        0414 Other managers in public administration,1,1
    02-05 Specialized middle management occupations,        0421 Administrators - post-secondary education and vocational training,1,1
    02-05 Specialized middle management occupations,        0422 School principals and administrators of elementary and secondary education,1,1
    02-05 Specialized middle management occupations,"        0423 Managers in social, community and correctional services",1,1
    02-05 Specialized middle management occupations,"        0511 Library, archive, museum and art gallery managers",1,1
    02-05 Specialized middle management occupations,"        0512 Managers - publishing, motion pictures, broadcasting and performing arts",0.5,1
    02-05 Specialized middle management occupations,"        0513 Recreation, sports and fitness program and service directors",0.5,0.5
    06 Middle management occupations in retail and wholesale trade and customer services,        0601 Corporate sales managers,0.5,1
    06 Middle management occupations in retail and wholesale trade and customer services,        0621 Retail and wholesale trade managers,0.5,1
    06 Middle management occupations in retail and wholesale trade and customer services,        0631 Restaurant and food service managers,0.5,0.5
    06 Middle management occupations in retail and wholesale trade and customer services,        0632 Accommodation service managers,0.5,0
    06 Middle management occupations in retail and wholesale trade and customer services,"        0651 Managers in customer and personal services, n.e.c.",0.5,1
"    07-09 Middle management occupations in trades, transportation, production and utilities",        0731 Managers in transportation,1,0.5
"    07-09 Middle management occupations in trades, transportation, production and utilities",        0811 Managers in natural resources production and fishing,0.5,1
    11 Professional occupations in business and finance,        1111 Financial auditors and accountants,1,1
    11 Professional occupations in business and finance,        1112 Financial and investment analysts,1,1
    11 Professional occupations in business and finance,"        1113 Securities agents, investment dealers and brokers",1,1
    11 Professional occupations in business and finance,        1114 Other financial officers,1,1
    11 Professional occupations in business and finance,        1121 Human resources professionals,1,1
    11 Professional occupations in business and finance,        1122 Professional occupations in business management consulting,1,1
    11 Professional occupations in business and finance,"        1123 Professional occupations in advertising, marketing and public relations",1,1
    12 Administrative and financial supervisors and administrative occupations,"        1211 Supervisors, general office and administrative support workers",0.5,0.5
