"","CMA","remote_work_onet","remote_work_manual","name"
"1",0,0.354582250431148,0.327078538411564,"Other CMA or non-CMA"
"2",1,0.446064456822989,0.410347998412393,"Québec"
"3",2,0.450685607769806,0.413062001135087,"Montréal"
"4",3,0.550765923776141,0.521447459169465,"Ottawa"
"5",4,0.473579985433771,0.44447028116148,"Toronto"
"6",5,0.409304663904403,0.385309015974207,"Hamilton"
"7",6,0.401718851925162,0.36195481340215,"Winnipeg"
"8",7,0.432767897686658,0.409078591400264,"Calgary"
"9",8,0.400997839711082,0.375770926314201,"Edmonton"
"10",9,0.441592160599601,0.41279009202042,"Vancouver"
