"","NAICS_21","jan20","feb20","mar20","apr20","janfeb","febmar","marapr","febapr","X","remote_work_onet","remote_work_manual","name"
"1",1,277631,274605,270861,272102,-1.08993592214126,-1.36341290216857,0.458168580932661,-0.911491050782032,1,0.153237967744096,0.246800813876801,"Agriculture"
"2",2,37999,42492,40496,40709,11.8239953682992,-4.69735479619693,0.525977874357952,-4.19608396874706,2,0.228253262933553,0.217322335508168,"Forestry and logging and support activities for forestry"
"3",3,17148,15549,15125,13975,-9.32470258922323,-2.72686346388835,-7.60330578512397,-10.1228374815101,3,0.0831885611018236,0.0663225820024509,"Fishing, hunting and trapping"
"4",4,253587,252609,251173,219792,-0.385666457665412,-0.56846747344711,-12.4937791880497,-12.9912235906084,4,0.294901032820977,0.291245868871891,"Mining, quarrying, and oil and gas extraction"
"5",5,132356,137101,130065,131529,3.58502825712472,-5.13198299064194,1.12559105062853,-4.06415708127584,5,0.376482952509931,0.37619744472303,"Utilities"
"6",6,1391014,1387939,1369473,1120410,-0.221061757825591,-1.33046192952284,-18.1867769572675,-19.2752707431667,6,0.168169167713431,0.199879917851942,"Construction"
"7",7,913917,916294,892826,679328,0.260089264123553,-2.56118669335388,-23.9126100718393,-25.8613501779996,7,0.213470163375624,0.212487167850209,"Manufacturing - durable goods"
"8",8,777032,785697,771145,735218,1.11514068918654,-1.85211347376915,-4.65891628682025,-6.42474134430957,8,0.213139823054886,0.211194082880287,"Manufacturing - non-durable goods"
"9",9,615329,618035,628817,556795,0.439764743738724,1.74456139215418,-11.4535707526991,-9.9088239339196,9,0.401288506278094,0.421417927418128,"Wholesale trade"
"10",10,2213654,2227464,2021209,1728593,0.623855399262929,-9.25963337679082,-14.4772757295262,-22.3963664508158,10,0.298001843501736,0.290243623543983,"Retail trade"
"11",11,1023435,1025674,981160,878077,0.218773053491428,-4.33997546978865,-10.5062375147784,-14.390244853628,11,0.202664305085124,0.171622002382072,"Transportation and warehousing"
"12",12,876375,889522,880486,898845,1.5001568963058,-1.01582647759133,2.08509845698852,1.04809099718726,12,0.798065471104402,0.797157998420059,"Finance and insurance"
"13",13,357183,350673,334320,292403,-1.82259514030623,-4.66331881838636,-12.5379875568318,-16.6166200420335,13,0.575550945458152,0.644110769811504,"Real estate and rental and leasing"
"14",14,1564462,1549109,1547296,1482426,-0.981359726218978,-0.117035018194334,-4.19247513080885,-4.30460348497104,14,0.76694607717167,0.748892200921107,"Professional, scientific and technical services"
"15",15,718613,740037,710545,650277,2.98129869623844,-3.98520614509815,-8.48193991935767,-12.1291232735661,15,0.294869128642092,0.239634532752311,"Business, building and other support services"
"16",16,1448603,1454922,1313147,1279913,0.436213372469885,-9.74450864032573,-2.53086668895409,-12.0287548060996,16,0.82354452871913,0.66972379618597,"Educational services"
"17",17,2504496,2515034,2407248,2274140,0.420763299282578,-4.28566770866716,-5.52946767429031,-9.57816077237922,17,0.341349775978276,0.257794445831366,"Health care and social assistance"
"18",18,733077,745509,641860,563957,1.69586550935303,-13.9031185404871,-12.1370703891814,-24.3527576461183,18,0.476723651055444,0.467308405035092,"Information, culture and recreation"
"19",19,1199634,1188846,905691,602179,-0.899274278654993,-23.8176349165493,-33.5116502206603,-49.3476026331417,19,0.242863285377025,0.187463776341795,"Accommodation and food services"
"20",20,791385,802507,753985,618783,1.40538423144234,-6.04630239985445,-17.9316564653143,-22.8937566899728,20,0.363490123776768,0.331354100598078,"Other services (except public administration)"
"21",21,991663,997423,989781,971916,0.580842483787336,-0.766174431510003,-1.80494473019789,-2.55729013668223,21,0.638566163482768,0.615389601321855,"Public administration"
