"","noc10","remote_work_onet","remote_work_manual","occupation"
"1","1",0.701082537606279,0.71554688592088,"  0 Management occupations"
"2","2",0.811020167752918,0.731662914158613,"  1 Business, finance and administration occupations"
"3","3",0.65783389485354,0.640010446489233,"  2 Natural and applied sciences and related occupations"
"4","4",0.0206635912418056,0.0479831952841716,"  3 Health occupations"
"5","5",0.774494153983514,0.562802328864931,"  4 Occupations in education, law and social, community and government services"
"6","6",0.491113005472165,0.551804558311575,"  5 Occupations in art, culture, recreation and sport"
"7","7",0.199943902896027,0.166564412271441,"  6 Sales and service occupations"
"8","8",0.0251224089940172,0.0350934864030783,"  7 Trades, transport and equipment operators and related occupations"
"9","9",0.0249443742858861,0.0168669568508706,"  8 Natural resources, agriculture and related production occupations"
"10","10",0.0125459107603913,0.0108909971352887,"  9 Occupations in manufacturing and utilities"
