"","NOC_40","jan20","feb20","mar20","apr20","janfeb","febmar","marapr","febapr","X","remote_work_onet","remote_work_manual","occupation","dummy","essential_share_weighted"
"1",1,54501,55793,52959,44945,2.37059870461092,-5.0794902586346,-15.1324609603656,-19.4432993386267,1,0.907418684452177,0.934353187529083,"    00 Senior management occupations",0,0
"2",2,586806,586803,610425,580912,-0.000511242216338914,4.02554179170864,-4.83482819347176,-1.00391443124864,2,0.934176302334438,0.875680264287466,"01-05 Specialized middle management occupations",0,0.0884837588080538
"3",3,553845,556849,518534,499855,0.542390018868089,-6.88068039989297,-3.60227101790818,-10.2350906619209,3,0.719047843729357,0.680198405209022,"    06 Middle management occupations in retail and wholesale trade and customer services",0,0.924691788268444
"4",4,560699,546432,542942,535826,-2.54450248707417,-0.638688802998355,-1.31063723196952,-1.94095514171937,4,0.262611998981072,0.437660882957985,"07-09 Middle management occupations in trades, transportation, production and utilities",0,0.0213112205234517
"5",5,856063,859619,896198,833592,0.415389988820913,4.25525727095375,-6.98573306345249,-3.02773670661072,5,1,1,"    11 Professional occupations in business and finance",1,0.620932864162701
"6",6,1030567,1032820,1022542,908677,0.218617518317576,-0.995139520923294,-11.1354839214428,-12.0198098410178,6,0.880770034479156,0.87068565022648,"    12 Administrative and financial supervisors and administrative occupations",1,0.242020225139932
"7",7,271094,267992,270419,250548,-1.14425254708699,0.90562404847907,-7.34822627108302,-6.50914952685154,7,1,0.907224584852167,"    13 Finance, insurance and related business administrative occupations",1,0.832291572304255
"8",8,618233,622244,591235,529308,0.648784519752255,-4.98341486619397,-10.4741769347214,-14.935620110439,8,0.725847361421945,0.577615062761506,"    14 Office support occupations",0,0.14480068499667
"9",9,307604,304046,292836,291730,-1.15668196772474,-3.68694210744427,-0.377685803658023,-4.05070285417338,9,0.289733815205373,0.0885811180553556,"    15 Distribution, tracking and scheduling co-ordination occupations",1,0.78404096641169
"10",10,996603,1009159,989154,976489,1.25987981172042,-1.98234371392417,-1.28038707825071,-3.23734911941528,10,0.839363614741025,0.810032469799595,"    21 Professional occupations in natural and applied sciences",0,0.0501927594723209
"11",11,568872,570896,596866,538529,0.355791812569439,4.54898965836159,-9.77388559576187,-5.66950898237157,11,0.424939643334739,0.42148024160616,"    22 Technical occupations related to natural and applied sciences",0,0.0821613480184505
"12",12,332313,343817,333372,336513,3.46179655926793,-3.03795332982372,0.94219070587811,-2.12438593786811,12,0,0.0397282249693309,"    30 Professional occupations in nursing",1,1
"13",13,342269,344359,346501,360727,0.610630819618496,0.622025270139592,4.10561585680849,4.75317909507229,13,0.0657488519276039,0.133981978157681,"    31 Professional occupations in health",1,0.652385153814481
"14",14,412252,417489,396163,358509,1.27033950108186,-5.10815853830879,-9.50467358132889,-14.1273183245547,14,0.00823480635338185,0.0369637010879666,"    32 Technical occupations in health",1,0.868418934796955
"15",15,363901,337460,319793,302397,-7.26598717783133,-5.23528714514313,-5.43976885047515,-10.3902684762639,15,0.0183352559043167,0,"    34 Assisting occupations in support of health services",1,0.966201596657465
"16",16,815098,829232,768546,770325,1.73402462035239,-7.31833793196597,0.231476059988611,-7.10380207227893,16,0.993373228009646,0.798078890298294,"    40 Professional occupations in education services",0,0
"17",17,529864,528576,511971,516847,-0.243081243488896,-3.14145931710861,0.952397694400653,-2.21898080881463,17,0.757305633696776,0.87740993776228,"    41 Professional occupations in law and social, community and government services",0,0.185128930926162
"18",18,472477,466960,420644,373854,-1.16767588686857,-9.91862258009252,-11.1234202793811,-19.9387527839644,18,0.755038417448957,0.105069242605574,"    42 Paraprofessional occupations in legal, social, community and education services",0,0
"19",19,102638,114899,124634,118297,11.9458680021045,8.47265859581023,-5.08448737904584,2.95737995979077,19,0,0,"    43 Occupations in front-line public protection services",1,1
"20",20,269794,263158,220162,211739,-2.45965440298894,-16.3384734646106,-3.82581916952063,-19.5392121843151,20,0.613810043668122,0.458515283842795,"    44 Care providers and educational, legal and public protection support occupations",0,0.655015314524942
