"","PROV","jan20","feb20","mar20","apr20","janfeb","febmar","marapr","febapr","X","remote_work_onet","remote_work_manual","name"
"1",10,212447,213781,206082,182812,0.627921316846081,-3.60134904411524,-11.2916217816209,-14.4863201126386,1,0.366715142804032,0.335876088947987,"Newfoundland"
"2",11,75601,76098,72679,65343,0.657398711657242,-4.49289074614313,-10.0936996931713,-14.1330915398565,2,0.350593694055193,0.322018713895867,"Prince Edward Island"
"3",12,455420,458364,433389,389320,0.646436256642224,-5.4487263397649,-10.1684629743717,-15.0631375937028,3,0.374030923652611,0.343771659592067,"Nova Scotia"
"4",13,345793,349528,331088,300936,1.0801259713181,-5.27568606806894,-9.10694437732566,-13.9021766496532,4,0.375898676594503,0.339141340750325,"New Brunswick"
"5",24,4284256,4312706,4037033,3513324,0.664059290574603,-6.39211205215473,-12.972621229502,-18.5355087965653,5,0.412672772712983,0.377048253573209,"Québec"
"6",35,7453920,7466910,7030016,6409117,0.174270719299385,-5.85106824643661,-8.83211361112123,-14.1664088625683,6,0.429707350162789,0.401262037237106,"Ontario"
"7",46,652102,655133,631791,570160,0.464804585785661,-3.56294065479834,-9.75496643668555,-12.9703434264493,7,0.371770914161024,0.339930581153489,"Manitoba"
"8",47,571771,569694,551341,498933,-0.363257318052157,-3.22155402724972,-9.50555101108026,-12.4208785769202,8,0.366926575946935,0.343729743011788,"Saskatchewan"
"9",48,2281554,2303887,2186967,1953101,0.978850380047991,-5.07490167703537,-10.693622720416,-15.2258335586771,9,0.387242680136933,0.365686578104206,"Alberta"
"10",59,2505729,2510940,2376323,2128321,0.207963431001512,-5.36121930432427,-10.4363758630456,-15.2380781699284,10,0.40788879860813,0.380604254699334,"British Columbia"
