"","occupation","employment","median.income","mean.income","geography"
"9","Total - Occupation - National Occupational Classification (NOC) 2016 [7]","92995","33377","41904","Abbotsford - Mission"
"10","  0 Management occupations","9190","54976","67607","Abbotsford - Mission"
"11","    00 Senior management occupations","655","82181","114700","Abbotsford - Mission"
"12","      001 Legislators and senior management","655","82181","114700","Abbotsford - Mission"
"13","        0011 Legislators","20","0","0","Abbotsford - Mission"
"14","        0012 Senior government managers and officials","50","79502","105230","Abbotsford - Mission"
"15","        0013 Senior managers - financial, communications and other business services","105","65022","125248","Abbotsford - Mission"
"16","        0014 Senior managers - health, education, social and community services and membership organizations","95","70291","90709","Abbotsford - Mission"
"17","        0015 Senior managers - trade, broadcasting and other services, n.e.c.","155","82102","121496","Abbotsford - Mission"
"18","        0016 Senior managers - construction, transportation, production and utilities","225","100898","121611","Abbotsford - Mission"
"19","    01-05 Specialized middle management occupations","2165","67876","71357","Abbotsford - Mission"
"20","      011 Administrative services managers","595","62918","67683","Abbotsford - Mission"
"21","        0111 Financial managers","245","57670","65180","Abbotsford - Mission"
"22","        0112 Human resources managers","175","64050","65174","Abbotsford - Mission"
"23","        0113 Purchasing managers","80","83733","76943","Abbotsford - Mission"
"24","        0114 Other administrative services managers","95","62386","71058","Abbotsford - Mission"
"25","      012 Managers in financial and business services","655","57861","62911","Abbotsford - Mission"
"26","        0121 Insurance, real estate and financial brokerage managers","150","50814","63290","Abbotsford - Mission"
"27","        0122 Banking, credit and other investment managers","245","63989","70443","Abbotsford - Mission"
"28","        0124 Advertising, marketing and public relations managers","160","60249","61760","Abbotsford - Mission"
"29","        0125 Other business services managers","105","33641","46903","Abbotsford - Mission"
"30","      013 Managers in communication (except broadcasting)","40","52321","60643","Abbotsford - Mission"
"31","        0131 Telecommunication carriers managers","20","0","0","Abbotsford - Mission"
"32","        0132 Postal and courier services managers","15","0","0","Abbotsford - Mission"
"33","      021 Managers in engineering, architecture, science and information systems","190","95298","95115","Abbotsford - Mission"
"34","        0211 Engineering managers","35","106298","114011","Abbotsford - Mission"
"35","        0212 Architecture and science managers","10","0","0","Abbotsford - Mission"
"36","        0213 Computer and information systems managers","150","92881","91224","Abbotsford - Mission"
"37","      031 Managers in health care","120","74000","73390","Abbotsford - Mission"
"38","        0311 Managers in health care","115","74000","73390","Abbotsford - Mission"
"39","      041 Managers in public administration","45","78041","83309","Abbotsford - Mission"
"40","        0411 Government managers - health and social policy development and program administration","10","0","0","Abbotsford - Mission"
"41","        0412 Government managers - economic analysis, policy development and program administration","15","0","0","Abbotsford - Mission"
"42","        0413 Government managers - education policy development and program administration","0","0","0","Abbotsford - Mission"
"43","        0414 Other managers in public administration","25","0","0","Abbotsford - Mission"
"44","      042 Managers in education and social and community services","400","87927","83688","Abbotsford - Mission"
"45","        0421 Administrators - post-secondary education and vocational training","55","70493","84931","Abbotsford - Mission"
"46","        0422 School principals and administrators of elementary and secondary education","165","103603","101145","Abbotsford - Mission"
"47","        0423 Managers in social, community and correctional services","175","62985","66585","Abbotsford - Mission"
"48","      043 Managers in public protection services","30","0","0","Abbotsford - Mission"
"49","        0431 Commissioned police officers","0","0","0","Abbotsford - Mission"
"50","        0432 Fire chiefs and senior firefighting officers","15","0","0","Abbotsford - Mission"
"51","        0433 Commissioned officers of the Canadian Armed Forces","10","0","0","Abbotsford - Mission"
"52","      051 Managers in art, culture, recreation and sport","85","34275","41192","Abbotsford - Mission"
"53","        0511 Library, archive, museum and art gallery managers","20","0","0","Abbotsford - Mission"
"54","        0512 Managers - publishing, motion pictures, broadcasting and performing arts","25","0","0","Abbotsford - Mission"
"55","        0513 Recreation, sports and fitness program and service directors","40","43197","43215","Abbotsford - Mission"
"56","    06 Middle management occupations in retail and wholesale trade and customer services","3245","43908","58985","Abbotsford - Mission"
"57","      060 Corporate sales managers","245","87605","92937","Abbotsford - Mission"
"58","        0601 Corporate sales managers","245","87605","92937","Abbotsford - Mission"
"59","      062 Retail and wholesale trade managers","2165","48863","60577","Abbotsford - Mission"
"60","        0621 Retail and wholesale trade managers","2165","48863","60577","Abbotsford - Mission"
"61","      063 Managers in food service and accommodation","685","28113","47569","Abbotsford - Mission"
"62","        0631 Restaurant and food service managers","585","27485","47952","Abbotsford - Mission"
"63","        0632 Accommodation service managers","100","31205","45300","Abbotsford - Mission"
"64","      065 Managers in customer and personal services, n.e.c.","145","26757","31418","Abbotsford - Mission"
"65","        0651 Managers in customer and personal services, n.e.c.","145","26757","31418","Abbotsford - Mission"
"66","    07-09 Middle management occupations in trades, transportation, production and utilities","3130","55502","64121","Abbotsford - Mission"
"67","      071 Managers in construction and facility operation and maintenance","1315","55581","66461","Abbotsford - Mission"
"68","        0711 Construction managers","590","71078","79865","Abbotsford - Mission"
"69","        0712 Home building and renovation managers","360","26547","43080","Abbotsford - Mission"
"70","        0714 Facility operation and maintenance managers","370","60029","68115","Abbotsford - Mission"
"71","      073 Managers in transportation","180","73708","81179","Abbotsford - Mission"
"72","        0731 Managers in transportation","175","73708","81179","Abbotsford - Mission"
"73","      081 Managers in natural resources production and fishing","45","89699","94933","Abbotsford - Mission"
"74","        0811 Managers in natural resources production and fishing","50","89699","94933","Abbotsford - Mission"
"75","      082 Managers in agriculture, horticulture and aquaculture","1055","30503","40872","Abbotsford - Mission"
