"","noc_code","noc40"
"13","0011","    00 Senior management occupations"
"14","0012","    00 Senior management occupations"
"15","0013","    00 Senior management occupations"
"16","0014","    00 Senior management occupations"
"17","0015","    00 Senior management occupations"
"18","0016","    00 Senior management occupations"
"21","0111","01-05 Specialized middle management occupations"
"22","0112","01-05 Specialized middle management occupations"
"23","0113","01-05 Specialized middle management occupations"
"24","0114","01-05 Specialized middle management occupations"
"26","0121","01-05 Specialized middle management occupations"
"27","0122","01-05 Specialized middle management occupations"
"28","0124","01-05 Specialized middle management occupations"
"29","0125","01-05 Specialized middle management occupations"
"31","0131","01-05 Specialized middle management occupations"
"32","0132","01-05 Specialized middle management occupations"
"34","0211","01-05 Specialized middle management occupations"
"35","0212","01-05 Specialized middle management occupations"
"36","0213","01-05 Specialized middle management occupations"
"38","0311","01-05 Specialized middle management occupations"
"40","0411","01-05 Specialized middle management occupations"
"41","0412","01-05 Specialized middle management occupations"
"42","0413","01-05 Specialized middle management occupations"
"43","0414","01-05 Specialized middle management occupations"
"45","0421","01-05 Specialized middle management occupations"
"46","0422","01-05 Specialized middle management occupations"
"47","0423","01-05 Specialized middle management occupations"
"49","0431","01-05 Specialized middle management occupations"
"50","0432","01-05 Specialized middle management occupations"
"51","0433","01-05 Specialized middle management occupations"
"53","0511","01-05 Specialized middle management occupations"
"54","0512","01-05 Specialized middle management occupations"
"55","0513","01-05 Specialized middle management occupations"
"58","0601","    06 Middle management occupations in retail and wholesale trade and customer services"
"60","0621","    06 Middle management occupations in retail and wholesale trade and customer services"
"62","0631","    06 Middle management occupations in retail and wholesale trade and customer services"
"63","0632","    06 Middle management occupations in retail and wholesale trade and customer services"
"65","0651","    06 Middle management occupations in retail and wholesale trade and customer services"
"68","0711","07-09 Middle management occupations in trades, transportation, production and utilities"
"69","0712","07-09 Middle management occupations in trades, transportation, production and utilities"
"70","0714","07-09 Middle management occupations in trades, transportation, production and utilities"
"72","0731","07-09 Middle management occupations in trades, transportation, production and utilities"
"74","0811","07-09 Middle management occupations in trades, transportation, production and utilities"
"76","0821","07-09 Middle management occupations in trades, transportation, production and utilities"
"77","0822","07-09 Middle management occupations in trades, transportation, production and utilities"
"78","0823","07-09 Middle management occupations in trades, transportation, production and utilities"
"80","0911","07-09 Middle management occupations in trades, transportation, production and utilities"
