Province,Jobs Benchmark,Jobs Alternative,"Growth of Employment, Jan-Feb, 2020","Growth of Employment, Feb-Mar, 2020","Growth of Employment, Mar-Apr, 2020","Growth of Employment, Feb-Apr, 2020","Growth of Employment, Mar-Apr, 2020","Growth of Employment, Feb-Apr, 2020"
Alberta,0.39,0.38,-3.637322,-3.333277,-5.270879,-9.821515,,
British Columbia,0.39,0.37,-0.4606301,-12.74424,-3.893193,-16.46125,,
Manitoba,0.38,0.36,4.497939,1.469574,-1.191877,-5.30494,,
New Brunswick,0.38,0.36,4.187908,-5.624671,0.7701892,-8.833489,,
Newfoundland and,0.38,0.36,4.075976,-4.083883,-1.985106,-6.534443,,
Nova Scotia,0.39,0.37,1.482244,-5.327067,-5.443951,-11.23318,,
Ontario,0.41,0.39,3.895298,-4.137768,-0.4212599,-7.291921,,
Prince Edward Is,0.37,0.35,-0.4919134,-6.644422,0.1745548,-11.87121,,
Quebec,0.39,0.37,1.461004,-0.7896376,0.9189079,-0.5905785,,
Saskatchewan,0.38,0.36,-2.473693,-7.139581,-4.150472,-14.05833,,
