NOC,Dummy,2-digit occupation,Jobs Benchmark,Jobs Alternative,share of female
1,0,Senior management occupations,1,1,0.36
506,0,Specialized middle management occupations,0.89,0.87,0.52
6,0,Middle management occupations in retail and wholesale trade and customer services,1,0.45,0.42
708,0,"Middle management occupations in trades, transportation, production and utilities",0.2,0.15,0.18
11,1,Professional occupations in business and finance,1,0.89,0.56
12,1,Administrative and financial supervisors and administrative occupations,1,0.56,0.79
13,1,"Finance, insurance and related business administrative occupations",0.8,0.9,0.79
14,0,Office support occupations,0.77,0.42,0.88
15,0,"Distribution, tracking and scheduling co-ordination occupations",0.22,0.08,0.40
21,0,Professional occupations in natural and applied sciences,0.7,0.67,0.24
22,0,Technical occupations related to natural and applied sciences,0.38,0.4,0.23
30,1,Professional occupations in nursing,0.5,0.25,0.91
31,1,Professional occupations in health (except nursing),0,0.05,0.60
32,1,Technical occupations in health,0,0.03,0.80
34,1,Assisting occupations in support of health services,0,0,0.88
40,0,Professional occupations in education services,1,1,0.69
41,0,"Professional occupations in law and social, community and government services",0.82,0.87,0.65
42,0,"Paraprofessional occupations in legal, social, community and education services",0.33,0.54,0.87
43,1,Occupations in front-line public protection services,0,0,0.18
44,0,"Care providers and educational, legal and public protection support occupations",0.5,0.17,0.83
51,0,Professional occupations in art and culture,0.33,0.29,0.59
52,0,"Technical occupations in art, culture, recreation and sport",0.55,0.36,0.58
62,0,Retail sales supervisors and specialized sales occupations,0.83,0.83,0.51
63,0,Service supervisors and specialized service occupations,0.06,0.06,0.56
64,0,Sales representatives and salespersons - wholesale and retail trade,0.5,0.25,0.51
65,1,Service representatives and other customer and personal services occupations,0.33,0.33,0.69
66,0,Sales support occupations,0,0.19,0.62
67,0,"Service support and other service occupations, n.e.c.",0,0,0.55
72,0,"Industrial, electrical and construction trades",0,0,0.04
73,0,Maintenance and equipment operation trades,0,0,0.05
74,0,"Other installers, repairers and servicers and material handlers",0,0,0.14
75,1,Transport and heavy equipment operation and related maintenance occupations,0,0,0.09
76,0,"Trades helpers, construction labourers and related occupations",0,0,0.09
82,0,"Supervisors and technical occupations in natural resources, agriculture and related production",0,0,0.12
84,0,"Workers in natural resources, agriculture and related production",0,0,0.30
86,1,"Harvesting, landscaping and natural resources labourers",0,0,0.20
92,0,"Processing, manufacturing and utilities supervisors and central control operators",0,0,0.14
94,0,Processing and manufacturing machine operators and related production workers,0.03,0,0.32
95,1,Assemblers in manufacturing,0,0,0.25
96,1,"Labourers in processing, manufacturing and utilities",0,0,0.34
