Sector,Jobs (Benchmark),Jobs (Alternative),share of female
Agriculture,0.17,0.22,0.31
Forestry and logging and support activities for forestry,0.25,0.27,0.15
"Fishing, hunting and trapping",0.18,0.19,0.17
"Mining, quarrying, and oil and gas extraction",0.32,0.32,0.15
Utilities,0.39,0.38,0.24
Construction,0.39,0.38,0.12
Manufacturing - durable goods,0.37,0.36,0.19
Manufacturing - non-durable goods,0.35,0.33,0.36
Wholesale trade,0.44,0.41,0.29
Retail trade,0.39,0.36,0.54
Transportation and warehousing,0.39,0.38,0.24
Finance and insurance,0.62,0.57,0.61
Real estate and rental and leasing,0.46,0.42,0.44
"Professional, scientific and technical services",0.43,0.41,0.45
"Business, building and other support service",0.34,0.32,0.44
Educational services,0.42,0.4,0.7
Health care and social assistance,0.41,0.38,0.82
"Information, culture and recreation",0.41,0.39,0.49
Accommodation and food services,0.39,0.35,0.6
Other services (except public administration),0.38,0.36,0.53
Public administration,0.37,0.35,0.51
Total,0.39,0.37,0.4
